    kid_score mom_hs    mom_iq mom_work mom_age
240        78      0 108.20535        3      21
241       104      1 126.41475        4      29
242       120      1 101.90050        2      21
243        83      0  99.15626        2      17
244       105      1  91.81275        1      21
245        68      1  84.14147        4      24
246       104      1  84.35483        4      19
247        80      1  79.11972        2      23
248       120      1  91.41684        4      26
249        94      1  90.44631        2      24
250        81      1  79.00071        4      22
251       101      1 109.26398        4      22
252        61      1  76.75218        4      25
253        68      1  97.59501        4      19
254       110      1 128.80901        4      22
255        89      0 113.65741        1      17
256        98      0 114.20669        2      18
257       113      1 112.51328        4      24
258        50      0  75.33682        1      23
259        57      0  81.52265        2      22
260        86      1 102.63889        4      19
261        83      1 101.18669        1      23
262       106      1 112.22284        4      26
263       106      0 123.40806        3      25
264       104      1  86.56653        3      22
265        78      1 100.11695        2      19
266        99      1 102.32865        3      22
267        91      1  87.94651        1      23
268        40      0  80.25801        1      20
269        42      0  80.25801        1      20
270        69      1  91.07680        4      24
271        84      1  85.57897        4      25
272        58      1 113.16591        4      23
273        42      1 112.05934        2      25
274        72      1 101.27002        3      21
275        80      0  81.83289        1      19
276        58      0  81.09450        3      21
277        52      1  81.32908        4      26
278       101      1 120.60905        3      20
279        63      1 102.44766        4      23
280        73      1  90.97626        2      20
281        68      1 103.70863        4      23
282        60      1 102.32865        4      22
283        69      1 121.87001        4      20
284        73      0  88.66032        1      21
285        75      0  90.02919        1      19
286        20      0  83.53312        2      23
287        56      1  91.92064        2      19
288        49      1  87.19335        1      20
289        71      0  80.46402        4      21
290        46      0  84.31800        1      25
291        54      0  77.73974        3      22
292        54      0  82.27215        1      23
293        44      1  77.38267        4      25
294        74      1  89.71529        3      20
295        58      0  79.90461        2      25
296        46      1  82.15313        4      22
297        76      0  80.26168        2      22
298        43      0  77.38267        4      25
299        60      0  82.78362        4      22
300        58      1  89.20748        4      23
301        89      1  89.08847        4      22
302        43      0  88.98729        2      18
303        94      1 118.92359        1      21
304        88      1  83.85102        4      26
305        79      1  84.04459        4      22
306        87      1 105.05293        4      21
307        46      1 107.99935        4      20
308        95      1  97.38165        4      24
309        92      1 103.79196        4      21
310        42      0  97.59501        4      19
311        62      1  88.66032        2      21
312        52      1 107.24686        2      27
313       101      1  89.83797        2      23
314        97      1 108.90691        4      25
315        85      1 100.63953        3      21
316        98      1 118.84027        1      23
317        94      1  95.51233        2      23
318        90      1  84.77195        2      24
319        72      1 100.74743        1      19
320        92      1  87.00345        1      26
321        75      0  77.85876        4      23
322        83      1  85.30189        4      20
323        64      1  92.77020        1      18
324       101      1  74.86073        4      25
325        82      1 115.24858        4      19
326        77      1 107.37253        4      22
327       101      1 102.20298        4      27
328        50      1  97.91159        4      20
329        90      1  96.85662        4      21
330       103      1 111.46567        2      19
331        96      1 109.46632        3      21
332        50      1  82.25001        4      24
333        47      1  92.77020        4      18
334        73      1 115.56883        2      22
335        62      0  84.04459        4      22
336        77      1 116.19932        4      22
337        64      1  99.29524        4      23
338        52      1  87.19335        2      20
339        61      1  76.71177        4      28
340        86      1  80.69860        2      26
341        41      0  82.46337        1      19
342        83      1  85.17989        4      27
343        64      1  93.07371        4      21
344        83      1  88.57700        4      23
345       116      1 103.05601        4      24
346       100      0  86.87677        3      19
347        42      0  97.91525        4      22
348        74      1 120.92295        4      19
349        76      1  91.72942        4      23
350        92      1  87.50725        4      19
351        98      1  90.44631        4      24
352        96      1  84.16360        3      23
353        67      1  96.65428        4      22
354        84      1  95.70355        2      19
355       111      1  88.76822        4      19
356        41      0  92.13972        1      18
357        68      1 108.00301        3      22
358       107      1  80.38935        3      29
359        82      0  99.80304        4      20
360        89      1  90.02919        4      19
361        83      1  93.93878        4      26
362        73      1 103.70863        4      23
363        74      1  77.10925        4      22
364        94      1 117.55716        2      24
365        58      1  79.83353        2      21
366        76      1  83.61644        2      21
367        61      1  88.73140        4      25
368        38      1  82.78362        4      22
369       100      1  86.87677        4      19
370        84      1  88.73140        4      25
371        99      1  92.24089        4      22
372        86      1  90.55178        1      21
373        94      1  84.14147        4      24
374        90      1  93.07371        2      21
375        50      0  85.83487        2      18
376       112      1  98.85598        4      19
377        58      1  95.51233        2      23
378        87      1 101.06768        2      22
379        76      1  85.93238        1      20
380        68      1  82.78362        2      22
381       110      1  98.66476        2      23
382        88      0  82.14947        3      20
383        87      0  85.61580        1      19
384        54      0  79.43763        1      26
385        49      0  75.33682        1      23
386        56      1  80.89216        2      22
387        79      1 115.77117        3      21
388        82      1  97.15910        4      27
389        80      0  80.89216        1      22
390        60      1  79.50553        4      27
391       102      1  98.01213        4      24
392        87      1 108.86650        4      28
393        42      0  80.69860        4      26
394       119      1 100.74743        4      19
395        84      1  91.09894        4      23
396        86      1  82.98596        1      21
397       113      1  89.71529        4      20
398        72      1 131.01071        4      19
399       104      1 124.51463        4      23
400        94      1  91.61041        4      22
401        78      0  92.99039        1      23
402        80      0  91.88382        1      25
403        67      0  88.69098        1      28
404       104      1 126.09351        3      26
405        96      0  84.98531        3      19
406        65      0  82.98596        1      21
407        64      1 101.79504        3      24
408        95      1 100.24363        2      26
409        56      1 110.01348        4      23
410        75      0  88.57700        2      23
411        91      1 106.74204        3      22
412       106      1  95.29214        2      18
413        76      1 108.31325        1      19
414        90      1 110.33139        3      26
415       108      1 116.82980        4      22
416        86      0  86.68554        1      23
417        85      1  96.85662        2      21
418       104      0  90.24826        1      18
419        87      1  89.29081        4      21
420        41      0  74.23025        1      25
421       106      0  91.88382        4      25
422        76      0  96.46072        3      26
423       100      0  97.40379        4      23
424        89      1 131.53329        4      21
425        42      1  78.24456        2      27
426       102      1 127.67572        4      29
427       104      1 124.51463        4      23
428        59      0  80.46402        4      21
429        93      0  74.86073        2      25
430        94      0  84.87741        4      21
431        76      1  92.99039        4      23
432        50      0  94.85971        2      24
433        88      1  96.85662        2      21
434        70      1  91.25334        2      25
