WarNum,WarName,WarType,ccode1,SideA,ccode2,SideB,StartMonth1,StartDay1,StartYear1,EndMonth1,EndDay1,EndYear1,StartMonth2,StartDay2,StartYear2,EndMonth2,EndDay2 ,EndYear2,Initiator,Interven,TransFrom,Outcome,TransTo,WhereFought,BatDeath,NonStateDeaths,Version
316,Russo-Persian,3,365,Russia,-8,Persia,9,28,1826,2,28,1828,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,6,5000,2000,4
317,Spanish Reconquest of Mexico,3,230,Spain,-8,Mexico,7,16,1829,9,11,1829,-8,-8,-8,-8,-8,-8,1,0,-8,2,-8,1,1700,135,4
319,French Occupation of Algiers,3,220,France,-8,Algeria,6,12,1830,7,5,1830,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,6,600,3000,4
320,Ottoman-Bilmez-Asiri War,3,640,Ottoman Empire,-8,Bilmez-Asiri,6,-9,1832,-9,-9,1837,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,6,-9,800,4
321,First British-Zulu,3,200,United Kingdom,-8,Zulu tribe,4,17,1838,4,-9,1838,-8,-8,-8,-8,-8,-8,1,0,-8,2,-8,4,800,-9,4
322,First British-Afghan,3,200,United Kingdom,-8,Afghanistan,2,14,1839,10,12,1842,-8,-8,-8,-8,-8,-8,1,0,-8,2,-8,7,20000,-9,4
323,First Opium,3,200,United Kingdom,-8,China,9,4,1839,8,29,1842,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,7,450,2000,4
324,First Franco-Algerian,3,220,France,-8,Algerian forces,11,1,1839,12,23,1847,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,6,15000,20000,4
325,Peru-Bolivian,3,135,Peru,-8,Bolivia,10,19,1841,11,28,1841,-8,-8,-8,-8,-8,-8,0,0,-8,2,-8,1,600,400,4
326,British-Sind,3,200,United Kingdom,-8,Sind,1,6,1843,6,14,1843,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,7,200,4000,4
327,Uruguay War,3,160,Argentina,-8,Uruguay,2,16,1843,7,18,1851,-8,-8,-8,-8,-8,-8,1,1,-8,4,19,1,1500,3500,4
327,Uruguay War,3,-8,-8,200,United Kingdom,1,-9,1845,3,6,1849,-8,-8,-8,-8,-8,-8,0,1,-8,4,19,1,400,-8,4
327,Uruguay War,3,-8,-8,220,France,1,-9,1845,5,24,1849,-8,-8,-8,-8,-8,-8,0,1,-8,4,19,1,600,-8,4
329,Gwalior,3,200,United Kingdom,-8,Gwalior,12,28,1843,12,29,1843,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,7,106,1330,4
330,Franco-Moroccan,3,220,France,-8,Morocco,8,6,1844,9,10,1844,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,6,200,800,4
331,First British-Sikh,3,200,United Kingdom,-8,Sikhs,12,13,1845,2,10,1846,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,1500,7000,4
332,Cracow Revolt,3,365,Russia,-8,-8,2,-9,1846,3,3,1846,-8,-8,-8,-8,-8,-8,0,1,-8,1,-8,2,-9,-8,4
332,Cracow Revolt,3,255,Prussia,-8,-8,2,-9,1846,3,3,1846,-8,-8,-8,-8,-8,-8,0,1,-8,1,-8,2,-9,-8,4
332,Cracow Revolt,3,300,Austria,-8,Cracow,2,15,1846,3,3,1846,-8,-8,-8,-8,-8,-8,0,1,-8,1,-8,2,1000,1000,4
333,First British-Xhosa,3,200,United Kingdom,-8,Khosa,4,16,1846,12,23,1847,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,1000,2000,4
334,First Dutch-Bali,3,210,Netherlands,-8,Bali,4,12,1848,6,21,1848,4,2,1849,6,14,1849,1,0,-8,6,-8,7,300,2000,4
335,Second British-Sikh,3,200,United Kingdom,-8,Sikhs,5,18,1848,3,10,1849,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,7,1500,5000,4
336,Chinese Pirates,3,200,United Kingdom,-8,Chinese Pirates,10,20,1849,10,22,1849,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,7,0,2800,4
337,Second British-Xhosa,2,200,United Kingdom,-8,Xhosa,12,24,1850,4,8,1852,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,1400,6000,4
338,Ottoman-Yam,3,640,Turkey/Ottoman Empire/Egypt,-8,Yam,4,21,1851,7,9,1851,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,6,-9,1600,4
339,Second British-Burmese,3,200,United Kingdom,-8,Burma,4,5,1852,11,20,1852,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,7,400,800,4
340,French-Tukulor War,3,220,France,-8,Tukulor,-9,-9,1854,7,15,1857,-8,-8,-8,-8,-8,-8,0,0,-8,6,-8,4,100,2000,4
341,British-Santal,2,200,United Kingdom,-8,Santal,-9,-9,1855,-9,-9,1856,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,-9,15000,4
342,Hodeida Seige,2,640,Ottoman Empire,-8,Beni Aseer tribe,1,22,1856,2,22,1856,-8,-8,-8,-8,-8,-8,0,0,-8,6,-8,6,1700,15000,4
343,Second Opium,3,200,United Kingdom,-8,China,10,22,1856,10,24,1860,-8,-8,-8,-8,-8,-8,1,1,-8,1,-8,7,200,3000,4
343,Second Opium,3,220,France,-8,-8,10,22,1856,10,24,1860,-8,-8,-8,-8,-8,-8,1,1,-8,1,-8,7,100,-8,4
345,French Conquest of Kabylia,2,220,France,-8,Kabylia,5,17,1856,12,-9,1857,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,1000,-9,4
347,Indian Mutiny,2,200,United Kingdom,-8,Indian sepoys,5,10,1857,4,7,1859,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,11000,11500,4
349,First Franco-Vietnamese,3,220,France,-8,Vietnam,8,31,1858,6,5,1862,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,7,1500,2500,4
350,Netherlands-Bone,3,210,Netherlands,-8,Bone,2,20,1859,1,20,1860,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,7,500,500,4
351,Argentine-Buenos Aires,3,160,Argentina,-8,Buenos Aires,5,29,1859,10,23,1859,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,1,500,500,4
352,Garibaldi Expedition,3,329,Two Sicilies,-8,Red Shirts,5,11,1860,10,14,1860,-8,-8,-8,-8,-8,-8,0,0,-8,4,37,2,4500,1500,4
353,Spanish-Santo Dominican,2,230,Spain,-8,Santo Domingo,4,-9,1863,5,3,1865,-8,-8,-8,-8,-8,-8,1,0,-8,2,-8,1,28000,4000,4
355,British-Maori,2,200,United Kingdom,-8,New Zealand Maori,6,4,1863,1,14,1866,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,9,700,2000,4
356,Shimonoseki War,3,2,United States,-8,Choshu Daimyo,6,25,1863,9,7,1864,-8,-8,-8,-8,-8,-8,0,1,-8,1,-8,7,5,1000,4
356,Shimonoseki War,3,200,United Kingdom,-8,-8,7,5,1864,9,7,1864,-8,-8,-8,-8,-8,-8,0,1,-8,1,-8,7,13,-8,4
356,Shimonoseki War,3,210,Netherlands,-8,-8,7,5,1864,9,7,1864,-8,-8,-8,-8,-8,-8,0,1,-8,1,-8,7,2,-8,4
356,Shimonoseki War,3,220,France,-8,-8,6,25,1863,9,7,1864,-8,-8,-8,-8,-8,-8,0,1,-8,1,-8,7,6,-8,4
357,British Umbeyla Campaign,3,200,United Kingdom,-8,Pathan tribe,10,20,1863,12,21,1863,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,7,900,1500,4
359,Russian-Kokand,3,365,Russia,-8,Kokand,4,24,1864,6,17,1865,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,7,120,1500,4
360,British-Bhutanese,3,200,United Kingdom,-8,Bhutan,1,-9,1865,11,11,1865,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,7,100,900,4
361,Russian-Bukharan,3,365,Russia,-8,Bukhara,1,12,1866,10,18,1866,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,7,100,1000,4
362,British-Ethiopian,3,200,United Kingdom,-8,Ethiopians,12,-9,1867,4,13,1868,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,400,800,4
363,First Spanish-Cuban,2,230,Spain,-8,Cuba,10,10,1868,2,11,1878,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,1,100000,50000,4
364,Attack on Bahr el-Ghazal,3,651,Egypt,-8,Bahr el-Ghazal,-9,-9,1869,-9,-9,1870,-8,-8,-8,-8,-8,-8,1,0,-8,2,-8,6,-9,1500,4
365,Ottoman Conquest of Arabia,3,640,Ottoman Empire,-8,"Yemen, Asir, Hasa",11,30,1870,12,30,1872,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,6,4000,1500,4
366,Second Franco-Algerian,2,220,France,-8,Algeria,3,-9,1871,1,-9,1872,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,6,2686,10000,4
367,Second British-Ashanti,3,200,United Kingdom,-8,Ashanti,1,-9,1873,2,4,1874,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,4,100,1400,4
369,Second Franco-Vietnamese,3,220,France,-8,Vietnam,11,20,1873,-9,-9,1874,-8,-8,-8,-8,-8,-8,1,0,-8,3,-8,7,400,600,4
370,First Dutch-Achinese,3,210,Netherlands,-8,Aceh,3,26,1873,10,13,1878,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,12000,11000,4
371,Kokand Rebellion,3,365,Russia,-8,Kokand,8,9,1875,2,28,1876,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,100,4800,4
372,Egyptian-Ethiopian,3,651,Egypt,-8,Ethiopia,9,-9,1875,3,9,1876,-8,-8,-8,-8,-8,-8,1,0,-8,2,-8,4,4250,4550,4
373,Serbian-Turkish,3,640,Ottoman Empire,-8,"Serbia, Montenegro",6,30,1876,4,23,1877,-8,-8,-8,-8,-8,-8,0,0,601,4,61,2,-9,5000,4
374,Third British-Xhosa,2,200,United Kingdom,-8,S. Africa Xhosa,8,-9,1877,6,-9,1878,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,4,200,3700,4
375,Egypt-Sudanese Slavers,3,651,Egypt,-8,Sudanese Slavers,2,-9,1878,7,-9,1879,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,6,-9,4000,4
376,Russo-Turkoman,3,365,Russia,-8,Turkomans,5,-9,1878,1,24,1881,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,7,2000,8000,4
377,Austrian-Bosnian,3,300,Austria-Hungary,-8,Bosnia,7,29,1878,10,1,1878,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,2,3500,2500,4
379,Second British-Afghan,3,200,United Kingdom,-8,Afghanistan,11,21,1878,5,26,1879,9,3,1879,9,2,1880,1,0,-8,1,-8,7,10000,11000,4
380,Second British-Zulu,3,200,United Kingdom,-8,Zulu,1,11,1879,7,4,1879,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,2500,8000,4
381,Gun War,2,200,United Kingdom,-8,Basuto,9,-9,1880,4,-9,1881,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,-9,1400,4
382,First Boer War,2,200,United Kingdom,-8,Transvaal,12,16,1880,4,5,1881,-8,-8,-8,-8,-8,-8,0,0,-8,2,-8,4,900,100,4
383,Franco-Tunisian,3,220,France,-8,Tunisia,6,-9,1881,4,4,1882,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,6,3500,-9,4
384,First British-Mahdi,2,651,Egypt,-8,-8,8,-9,1881,9,15,1882,-8,-8,-8,-8,-8,-8,0,1,-8,2,-8,6,5000,-8,4
384,First British-Mahdi,2,200,United Kingdom,-8,Mahdist Empire,8,-9,1881,3,22,1885,-8,-8,-8,-8,-8,-8,0,1,-8,2,-8,6,25000,17000,4
385,Third Franco-Vietnamese,3,220,France,-8,"Vietnam, Black Flag",4,25,1882,6,14,1884,-8,-8,-8,-8,-8,-8,1,1,-8,4,67,7,4500,2000,4
385,Third Franco-Vietnamese,3,-8,-8,710,China,12,14,1883,6,14,1884,-8,-8,-8,-8,-8,-8,0,1,-8,4,67,7,1000,-8,4
386,First Franco-Madagascan,3,220,France,-8,Madagasar,5,7,1883,12,12,1885,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,300,700,4
387,Third British-Burmese,3,200,United Kingdom,-8,Burma,11,10,1885,-9,-9,1889,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,7,3000,3000,4
389,French-Mandinka,3,220,France,-8,Mandinka,-9,-9,1885,-9,-9,1886,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,1000,-9,4
390,Russo-Afghan,3,365,Russia,-8,Afghanistan,3,30,1885,4,-9,1885,-8,-8,-8,-8,-8,-8,1,0,-8,3,-8,7,1000,-9,4
391,Serbian-Bulgarian,3,345,Serbia,-8,Bulgaria,11,2,1885,12,7,1885,-8,-8,-8,-8,-8,-8,1,0,-8,2,-8,2,2000,3000,4
392,First Italian-Ethiopian,3,325,Italy,-8,Ethiopia,1,24,1887,3,-9,1887,-8,-8,-8,-8,-8,-8,1,0,-8,3,-8,4,1000,400,4
393,Zambezi Conquest,3,235,Portugal,-8,Prazero da Cruz,-9,-9,1888,-9,-9,1888,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,-9,6000,4
394,First Franco-Dahomeyan,3,220,France,-8,Dahomey,3,1,1890,4,20,1890,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,200,800,4
395,Franco-Jolof,3,220,France,-8,Jolof/Tukulor,4,-9,1890,2,24,1891,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,100,3000,4
396,Second Franco-Dahomeyan,3,220,France,-8,Dahomey,9,19,1892,11,9,1893,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,80,1800,4
397,Belgian-Tib,3,211,Belgium,-8,Tippu Tib Empire,10,-9,1892,2,-9,1894,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,7000,13000,4
398,Third British-Ashanti,3,200,United Kingdom,-8,Ashanti,9,28,1893,-9,-9,1894,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,4,200,800,4
399,Melilla War,3,230,Spain,-8,Rif tribes,9,29,1893,3,5,1894,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,6,1000,1500,4
400,Mahdist-Italian,3,325,Italy,-8,Mahdist Empire,12,21,1893,7,12,1894,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,4,270,5000,4
401,Second Franco-Madagascan,3,220,France,-8,Madagasar,6,16,1894,10,1,1895,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,4,6000,2000,4
402,Second Dutch-Bali,3,210,Netherlands,-8,Bali,7,-9,1894,11,22,1894,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,7,1000,2000,4
403,Portuguese-Gaza Empire,3,235,Portugal,-8,Gaza Empire,2,1,1895,12,28,1895,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,50,2000,4
404,Second Spanish-Cuban,2,230,Spain,-8,Cuba,2,24,1895,4,21,1898,-8,-8,-8,-8,-8,-8,0,0,-8,4,79,1,59000,20000,4
405,Japan-Taiwanese,2,740,Japan,-8,Taiwanese,5,29,1895,10,21,1895,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,4800,7760,4
406,Mazrui Rebellion,3,200,United Kingdom,-8,Mazrui clan of Kenya,7,3,1895,4,21,1896,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,4,200,800,4
407,Second Italian-Ethiopian,3,325,Italy,-8,Ethiopia,12,7,1895,10,21,1896,-8,-8,-8,-8,-8,-8,1,0,-8,2,-8,4,9000,7000,4
409,Second British-Mahdi,3,200,United Kingdom,-8,Mahdist Empire,6,7,1896,11,24,1899,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,6,1200,18000,4
410,Spanish-Philippine,2,230,Spain,-8,Philippines,8,30,1896,5,1,1898,-8,-8,-8,-8,-8,-8,0,0,-8,4,79,7,4000,4000,4
411,British-South Nigerian,3,200,United Kingdom,-8,Nigeria,1,6,1897,2,25,1897,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,20,1000,4
412,British-Pathan,2,200,United Kingdom,-8,Pathans,7,26,1897,3,7,1898,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,1100,-9,4
413,Hut Tax,2,200,United Kingdom,-8,Sierra Leone rebels,2,-9,1898,5,-9,1898,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,4,400,1600,4
414,American-Philippine,2,2,United States of America,-8,Philippines,2,4,1899,7,4,1902,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,4500,16000,4
415,French Conquest of Chad,3,220,France,-8,Rabih az-Zubayr,7,17,1899,4,22,1900,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,125,900,4
416,Second Boer War,3,200,United Kingdom,-8,Boer Republics,10,11,1899,5,31,1902,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,4,22000,8800,4
417,Last Ashanti War,3,200,United Kingdom,-8,Ashanti,4,2,1900,9,30,1900,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,4,1000,1000,4
419,Somali Rebellion,2,200,United Kingdom,-8,Mohammad Abdullah Hassan’s Dervishes,3,22,1901,4,21,1904,-8,-8,-8,-8,-8,-8,0,1,-8,1,-8,4,400,4000,4
419,Somali Rebellion,2,530,Ethiopia,-8,-8,3,22,1901,4,21,1904,-8,-8,-8,-8,-8,-8,0,1,-8,1,-8,4,-9,-8,4
420,Bailundu Revolt,3,235,Portugal,-8,Bailundu of Angola,-9,-9,1902,-9,-9,1903,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,4,-9,-9,4
421,Kuanhama Rebellion,3,235,Portugal,-8,Kuanhama of Angola,-9,-9,1902,-9,-9,1904,-8,-8,-8,-8,-8,-8,0,0,-8,6,-8,4,2000,2000,4
422,British Conquest of Kano & Sokoto,3,200,United Kingdom,-8,Kano & Sokoto,1,29,1903,7,27,1903,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,-9,1100,4
423,South West African Revolt,2,255,Germany,-8,Herero & Nama,1,12,1904,5,4,1906,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,4,1800,11000,4
424,Second Dutch-Achinese,2,210,Netherlands,-8,Aceh,-9,-9,1904,12,-9,1907,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,13000,11200,4
425,Younghusband Expedition,3,200,United Kingdom,-8,Tibet,3,31,1904,9,7,1904,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,7,300,2500,4
426,Maji-Maji Revolt,2,255,Germany,-8,Maji-Maji in Tanganyika,7,31,1905,6,-9,1906,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,4,3440,5400,4
427,Sokoto Uprising,2,200,United Kingdom,-8,Mahdist rebels,1,-9,1906,3,10,1906,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,4,80,2000,4
429,Third British-Zulu,2,200,United Kingdom,-8,Zulu,3,5,1906,6,10,1906,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,4,56,2300,4
430,Dembos War,3,235,Portugal,-8,Dembos,-9,-9,1907,-9,-9,1910,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,100,5000,4
431,Anti-Foreign Revolt,3,220,France,-8,Sheikh Ma Al-Ainie,7,30,1907,-9,-9,1910,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,150,3000,4
432,Japan-Korean Guerrillas,2,740,Japan,-8,Korea,8,1,1907,8,16,1910,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,136,17600,4
433,French Conquest of Wadai,3,220,France,-8,Wadai sultanate,5,-9,1909,-9,-9,1911,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,4000,8000,4
434,French-Berber,2,220,France,-8,Berbers,3,31,1912,9,6,1912,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,6,200,3400,4
435,First Sino-Tibetan,2,710,China,-8,Tibet,3,-9,1912,1,-9,1913,-8,-8,-8,-8,-8,-8,0,0,-8,2,-8,7,2000,-9,4
436,Moroccan Berber,2,220,France,-8,Berbers,3,26,1913,5,16,1915,-8,-8,-8,-8,-8,-8,1,1,-8,7,-8,6,900,1000,4
436,Moroccan Berber,2,230,Spain,-8,Berbers,6,-9,1913,12,-9,1914,-8,-8,-8,-8,-8,-8,0,1,-8,7,-8,6,-9,-8,4
437,Moro Rebellion,2,2,United States,-8,Moro,6,11,1913,10,22,1913,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,7,50,1500,4
440,Second Sino-Tibetan,3,710,China,-8,Tibet,1,7,1918,8,-9,1918,-8,-8,-8,-8,-8,-8,1,0,-8,6,-8,7,1000,500,4
441,Caco Revolt,2,2,United States,-8,Caco Rebels,10,17,1918,5,19,1920,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,1,98,2004,4
442,Third British-Afghan,3,200,United Kingdom,-8,Afghanistan,5,3,1919,8,8,1919,-8,-8,-8,-8,-8,-8,0,0,-8,3,-8,7,1136,1000,4
443,First British-Waziristan,3,200,United Kingdom,-8,Waziristan,5,26,1919,3,-9,1920,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,800,1600,4
444,Franco-Syrian,3,220,France,-8,Syrians,3,-9,1920,8,7,1920,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,6,3500,-9,4
445,Iraqi-British,2,200,United Kingdom,-8,Iraq,6,5,1920,10,17,1920,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,6,1040,8500,4
446,Conquest of Mongolia,3,365,USSR,-8,-8,5,28,1921,8,22,1921,-8,-8,-8,-8,-8,-8,0,1,-8,1,-8,7,-9,-8,4
446,Conquest of Mongolia,3,710,China,-8,Baron von Ungern-Sternberg’s White army,10,10,1920,8,22,1921,-8,-8,-8,-8,-8,-8,0,1,-8,1,-8,7,4000,1000,4
447,Italian-Sanusi,2,325,Italy,-8,Sanusi tribe,3,23,1923,9,12,1931,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,6,5000,35000,4
449,Rif Rebellion,2,220,France,-8,-8,4,12,1925,5,27,1926,-8,-8,-8,-8,-8,-8,0,1,-8,1,-8,6,10000,-8,4
449,Rif Rebellion,2,230,Spain,-8,Riffs,6,1,1921,5,27,1926,-8,-8,-8,-8,-8,-8,1,1,-8,1,-8,6,50000,10000,4
450,Moplah Rebellion,2,200,United Kingdom,-8,Muslim Moplahs,8,20,1921,2,-9,1922,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,50,2400,4
451,Franco-Druze,2,220,France,-8,Druze,7,18,1925,5,27,1927,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,6,4000,2000,4
452,Yen Bai Uprising,2,220,France,-8,Vietnamese Nationalists,2,9,1930,-9,-9,1931,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,1,1000,4
453,Saya San's Rebellion,2,200,United Kingdom,-8,Peasant Rebels,12,22,1930,6,-9,1932,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,140,1000,4
454,British-Palestinian,2,200,United Kingdom,-8,Palestinians,4,20,1936,10,-9,1936,8,-9,1937,1,-9,1939,0,0,-8,1,-8,6,126,2450,4
455,Second British-Waziristan,3,200,United Kingdom,-8,Pathan tribes,11,25,1936,1,8,1938,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,200,10000,4
456,Indonesian,2,200,United Kingdom,-8,-8,11,10,1945,10,15,1946,-8,-8,-8,-8,-8,-8,0,1,-8,3,-8,7,1000,-8,4
456,Indonesian,2,210,Netherlands,-8,Indonesia,11,10,1945,10,15,1946,-8,-8,-8,-8,-8,-8,0,1,-8,3,-8,7,800,3600,4
457,French-Indochina,2,220,France,-8,Vietminh,11,20,1946,6,1,1954,-8,-8,-8,-8,-8,-8,0,0,-8,2,-8,7,94500,175000,4
459,Third Franco-Madagascan,2,220,France,-8,Madagascar,3,29,1947,12,1,1948,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,4,1000,11200,4
460,Malayan Rebellion,2,200,United Kingdom,-8,Malayan Communists,6,18,1948,8,31,1957,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,2400,6700,4
461,Indo-Hyderabad,3,750,India,-8,Hyderabad,9,13,1948,9,17,1948,-8,-8,-8,-8,-8,-8,1,0,1571,1,-8,7,10,1200,4
