WarNum,WarName,WarType,ccode,StateName,Side,StartMonth1,StartDay1,StartYear1,EndMonth1,EndDay1,EndYear1,StartMonth2,StartDay2,StartYear2,EndMonth2,EndDay2,EndYear2,TransFrom,WhereFought,Initiator,Outcome,TransTo,BatDeath,Version
82,Boxer Rebellion,1,740,Japan,1,6,17,1900,8,14,1900,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,622,4
82,Boxer Rebellion,1,2,United States of America,1,6,17,1900,8,14,1900,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,21,4
82,Boxer Rebellion,1,710,China,2,6,17,1900,8,14,1900,-8,-8,-8,-8,-8,-8,-8,7,2,2,-8,2000,4
82,Boxer Rebellion,1,200,United Kingdom,1,6,17,1900,8,14,1900,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,34,4
82,Boxer Rebellion,1,220,France,1,6,17,1900,8,14,1900,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,24,4
83,Sino-Russian,1,365,Russia,1,7,17,1900,10,10,1900,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,242,4
83,Sino-Russian,1,710,China,2,7,17,1900,10,10,1900,-8,-8,-8,-8,-8,-8,-8,7,2,2,-8,3758,4
85,Russo-Japanese,1,740,Japan,1,2,8,1904,9,15,1905,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,80378,4
85,Russo-Japanese,1,365,Russia,2,2,8,1904,9,15,1905,-8,-8,-8,-8,-8,-8,-8,7,2,2,-8,71453,4
88,Third Central American,1,91,Honduras,2,5,27,1906,7,20,1906,-8,-8,-8,-8,-8,-8,-8,1,2,2,-8,300,4
88,Third Central American,1,92,El Salvador,2,5,27,1906,7,20,1906,-8,-8,-8,-8,-8,-8,-8,1,2,2,-8,300,4
88,Third Central American,1,90,Guatemala,1,5,27,1906,7,20,1906,-8,-8,-8,-8,-8,-8,-8,1,1,1,-8,400,4
91,Fourth Central American,1,93,Nicaragua,1,2,19,1907,4,23,1907,-8,-8,-8,-8,-8,-8,-8,1,1,1,-8,400,4
91,Fourth Central American,1,92,El Salvador,2,2,19,1907,4,23,1907,-8,-8,-8,-8,-8,-8,-8,1,2,2,-8,300,4
91,Fourth Central American,1,91,Honduras,2,2,19,1907,4,23,1907,-8,-8,-8,-8,-8,-8,-8,1,2,2,-8,300,4
94,Second Spanish-Moroccan,1,230,Spain,1,7,7,1909,3,23,1910,-8,-8,-8,-8,-8,-8,-8,6,1,1,-8,2000,4
94,Second Spanish-Moroccan,1,600,Morocco,2,7,7,1909,3,23,1910,-8,-8,-8,-8,-8,-8,-8,6,2,2,-8,8000,4
97,Italian-Turkish,1,325,Italy,1,9,29,1911,10,18,1912,-8,-8,-8,-8,-8,-8,-8,6,1,1,-8,6000,4
97,Italian-Turkish,1,640,Turkey,2,9,29,1911,10,18,1912,-8,-8,-8,-8,-8,-8,-8,6,2,2,-8,14000,4
100,First Balkan,1,640,Turkey,2,10,17,1912,4,19,1913,-8,-8,-8,-8,-8,-8,650,11,2,2,-8,30000,4
100,First Balkan,1,350,Greece,1,10,17,1912,4,19,1913,-8,-8,-8,-8,-8,-8,650,11,2,1,-8,5000,4
100,First Balkan,1,355,Bulgaria,1,10,17,1912,12,3,1912,2,3,1913,4,19,1913,650,2,2,1,-8,32000,4
100,First Balkan,1,345,Yugoslavia,1,10,17,1912,12,3,1912,2,3,1913,4,19,1913,650,11,1,1,-8,15000,4
103,Second Balkan,1,640,Turkey,1,7,15,1913,7,30,1913,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,20000,4
103,Second Balkan,1,345,Yugoslavia,1,6,30,1913,7,30,1913,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,18500,4
103,Second Balkan,1,350,Greece,1,6,30,1913,7,30,1913,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,2500,4
103,Second Balkan,1,355,Bulgaria,2,6,30,1913,7,30,1913,-8,-8,-8,-8,-8,-8,-8,2,1,2,-8,18000,4
103,Second Balkan,1,360,Romania,1,7,11,1913,7,30,1913,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,1500,4
106,World War I,1,345,Yugoslavia,1,7,29,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,70000,4
106,World War I,1,365,Russia,1,8,1,1914,12,5,1917,-8,-8,-8,-8,-8,-8,-8,11,2,1,-8,1700000,4
106,World War I,1,355,Bulgaria,2,10,12,1915,9,29,1918,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,87500,4
106,World War I,1,200,United Kingdom,1,8,5,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,15,2,1,-8,908371,4
106,World War I,1,740,Japan,1,8,23,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,7,2,1,-8,300,4
106,World War I,1,235,Portugal,1,3,1,1916,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,7222,4
106,World War I,1,640,Turkey,2,10,28,1914,10,30,1918,-8,-8,-8,-8,-8,-8,-8,6,2,2,-8,325000,4
106,World War I,1,211,Belgium,1,8,4,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,13716,4
106,World War I,1,255,Germany,2,8,1,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,15,2,2,-8,1773700,4
106,World War I,1,350,Greece,1,6,29,1917,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,5000,4
106,World War I,1,360,Romania,1,8,27,1916,12,9,1917,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,335706,4
106,World War I,1,300,Austria-Hungary,2,7,29,1914,11,3,1918,-8,-8,-8,-8,-8,-8,-8,2,1,2,-8,1200000,4
106,World War I,1,220,France,1,8,3,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,14,2,1,-8,1385000,4
106,World War I,1,325,Italy,1,5,23,1915,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,650000,4
106,World War I,1,2,United States of America,1,4,17,1917,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,116516,4
107,Estonian Liberation,1,366,Estonia,1,11,22,1918,1,3,1920,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,3600,4
107,Estonian Liberation,1,375,Finland,1,12,30,1918,1,3,1920,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,150,4
107,Estonian Liberation,1,365,Russia,2,11,22,1918,1,3,1920,-8,-8,-8,-8,-8,-8,-8,2,1,2,-8,8000,4
108,Latvian Liberation,1,255,Germany,1,12,7,1918,4,15,1919,-8,-8,-8,-8,-8,-8,-8,2,2,8,-8,450,4
108,Latvian Liberation,1,365,Russia,2,12,2,1918,2,1,1920,-8,-8,-8,-8,-8,-8,-8,2,1,2,-8,8000,4
108,Latvian Liberation,1,255,Germany,2,4,16,1919,7,13,1919,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,750,4
108,Latvian Liberation,1,366,Estonia,1,1,1,1919,1,3,1920,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,1000,4
108,Latvian Liberation,1,367,Latvia,1,12,2,1918,2,1,1920,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,3046,4
109,Russo-Polish,1,365,Russia,2,2,14,1919,10,18,1920,-8,-8,-8,-8,-8,-8,681,2,1,2,-8,60000,4
109,Russo-Polish,1,290,Poland,1,2,14,1919,10,18,1920,-8,-8,-8,-8,-8,-8,681,2,2,1,-8,40000,4
112,Hungarian Adversaries,1,310,Hungary,2,4,16,1919,8,4,1919,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,6000,4
112,Hungarian Adversaries,1,315,Czechoslovakia,1,4,26,1919,8,4,1919,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,2000,4
112,Hungarian Adversaries,1,360,Romania,1,4,16,1919,8,4,1919,-8,-8,-8,-8,-8,-8,-8,2,1,1,-8,3000,4
115,Second Greco-Turkish,1,640,Turkey,1,5,5,1919,10,11,1922,-8,-8,-8,-8,-8,-8,-8,11,2,1,-8,20000,4
115,Second Greco-Turkish,1,350,Greece,2,5,5,1919,10,11,1922,-8,-8,-8,-8,-8,-8,-8,11,1,2,-8,30000,4
116,Franco-Turkish,1,640,Turkey,2,11,1,1919,10,20,1921,-8,-8,-8,-8,-8,-8,-8,6,2,3,-8,35000,4
116,Franco-Turkish,1,220,France,1,11,1,1919,10,20,1921,-8,-8,-8,-8,-8,-8,-8,6,1,3,-8,5000,4
117,Lithuanian-Polish,1,368,Lithuania,2,7,15,1920,12,1,1920,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,500,4
117,Lithuanian-Polish,1,290,Poland,1,7,15,1920,12,1,1920,-8,-8,-8,-8,-8,-8,-8,2,1,1,-8,500,4
118,Manchurian,1,365,USSR,1,8,17,1929,12,3,1929,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,200,4
118,Manchurian,1,710,China,2,8,17,1929,12,3,1929,-8,-8,-8,-8,-8,-8,-8,7,2,2,-8,3000,4
121,Second Sino-Japanese,1,740,Japan,1,12,19,1931,5,22,1933,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,10000,4
121,Second Sino-Japanese,1,710,China,2,12,19,1931,5,22,1933,-8,-8,-8,-8,-8,-8,-8,7,2,2,-8,50000,4
124,Chaco,1,145,Bolivia,2,6,15,1932,6,12,1935,-8,-8,-8,-8,-8,-8,-8,1,1,2,-8,56661,4
124,Chaco,1,150,Paraguay,1,6,15,1932,6,12,1935,-8,-8,-8,-8,-8,-8,-8,1,2,1,-8,36000,4
125,Saudi-Yemeni,1,670,Saudi Arabia,1,3,20,1934,5,13,1934,-8,-8,-8,-8,-8,-8,-8,6,1,1,-8,100,4
125,Saudi-Yemeni,1,678,Yemen Arab Republic,2,3,20,1934,5,13,1934,-8,-8,-8,-8,-8,-8,-8,6,2,2,-8,2000,4
127,Conquest of Ethiopia,1,325,Italy,1,10,3,1935,5,9,1936,-8,-8,-8,-8,-8,-8,-8,4,1,1,-8,4000,4
127,Conquest of Ethiopia,1,530,Ethiopia,2,10,3,1935,5,9,1936,-8,-8,-8,-8,-8,-8,-8,4,2,2,-8,16000,4
130,Third Sino-Japanese,1,710,China,2,7,7,1937,12,6,1941,-8,-8,-8,-8,-8,-8,-8,7,2,2,-8,750000,4
130,Third Sino-Japanese,1,740,Japan,1,7,7,1937,12,6,1941,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,250000,4
133,Changkufeng,1,365,USSR,2,7,29,1938,8,11,1938,-8,-8,-8,-8,-8,-8,-8,7,2,1,-8,1200,4
133,Changkufeng,1,740,Japan,1,7,29,1938,8,11,1938,-8,-8,-8,-8,-8,-8,-8,7,1,2,-8,526,4
136,Nomonhan,1,365,USSR,1,5,11,1939,9,16,1939,-8,-8,-8,-8,-8,-8,-8,7,2,1,-8,5000,4
136,Nomonhan,1,712,Mongolia,1,5,11,1939,9,16,1939,-8,-8,-8,-8,-8,-8,-8,7,2,1,-8,3000,4
136,Nomonhan,1,740,Japan,2,5,11,1939,9,16,1939,-8,-8,-8,-8,-8,-8,-8,7,1,2,-8,20000,4
139,World War II,1,310,Hungary,2,6,27,1941,1,20,1945,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,136000,4
139,World War II,1,211,Belgium,1,5,10,1940,5,28,1940,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,9600,4
139,World War II,1,220,France,2,7,7,1940,7,14,1941,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,2500,4
139,World War II,1,345,Yugoslavia,1,4,6,1941,4,17,1941,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,305000,4
139,World War II,1,375,Finland,2,6,25,1941,9,19,1944,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,65000,4
139,World War II,1,385,Norway,1,4,9,1940,6,9,1940,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,3000,4
139,World War II,1,20,Canada,1,9,10,1939,8,14,1945,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,41992,4
139,World War II,1,2,United States of America,1,12,7,1941,8,14,1945,-8,-8,-8,-8,-8,-8,-8,19,2,1,-8,405400,4
139,World War II,1,200,United Kingdom,1,9,3,1939,8,14,1945,-8,-8,-8,-8,-8,-8,-8,15,2,1,-8,418765,4
139,World War II,1,210,Netherlands,1,5,10,1940,5,14,1940,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,7900,4
139,World War II,1,325,Italy,2,6,10,1940,9,2,1943,-8,-8,-8,-8,-8,-8,-8,14,2,2,-8,174500,4
139,World War II,1,360,Romania,1,9,9,1944,5,7,1945,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,10000,4
139,World War II,1,360,Romania,2,6,22,1941,8,23,1944,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,290000,4
139,World War II,1,355,Bulgaria,2,12,13,1941,9,8,1944,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,9000,4
139,World War II,1,355,Bulgaria,1,9,9,1944,5,7,1945,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,1000,4
139,World War II,1,350,Greece,1,10,25,1940,4,23,1941,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,18300,4
139,World War II,1,140,Brazil,1,7,6,1944,5,7,1945,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,1000,4
139,World War II,1,325,Italy,1,10,18,1943,5,7,1945,-8,-8,-8,-8,-8,-8,-8,14,2,1,-8,52400,4
139,World War II,1,900,Australia,1,9,3,1939,8,14,1945,-8,-8,-8,-8,-8,-8,-8,16,2,1,-8,33826,4
139,World War II,1,920,New Zealand,1,9,3,1939,8,14,1945,-8,-8,-8,-8,-8,-8,-8,16,2,1,-8,12200,4
139,World War II,1,365,USSR,1,6,22,1941,5,7,1945,8,8,1945,8,14,1945,-8,12,2,1,-8,7500000,4
139,World War II,1,255,Germany,2,9,1,1939,5,7,1945,-8,-8,-8,-8,-8,-8,-8,14,1,2,-8,3500000,4
139,World War II,1,290,Poland,1,9,1,1939,9,27,1939,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,320000,4
139,World War II,1,220,France,1,9,3,1939,6,22,1940,10,23,1944,8,14,1945,-8,2,2,1,-8,210824,4
139,World War II,1,740,Japan,2,12,7,1941,8,14,1945,-8,-8,-8,-8,-8,-8,-8,17,2,2,-8,1740000,4
139,World War II,1,712,Mongolia,1,8,10,1945,8,14,1945,-8,-8,-8,-8,-8,-8,-8,7,2,1,-8,3000,4
139,World War II,1,710,China,1,12,7,1941,8,14,1945,-8,-8,-8,-8,-8,-8,-8,7,2,1,-8,1350000,4
139,World War II,1,560,South Africa,1,9,6,1939,8,14,1945,-8,-8,-8,-8,-8,-8,-8,4,2,1,-8,8700,4
139,World War II,1,530,Ethiopia,1,1,24,1941,7,3,1941,-8,-8,-8,-8,-8,-8,-8,4,2,1,-8,5000,4
142,Russo-Finnish,1,375,Finland,2,11,30,1939,3,12,1940,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,24923,4
142,Russo-Finnish,1,365,USSR,1,11,30,1939,3,12,1940,-8,-8,-8,-8,-8,-8,-8,2,1,1,-8,126875,4
145,Franco-Thai,1,220,France,2,12,1,1940,1,28,1941,-8,-8,-8,-8,-8,-8,-8,7,2,2,-8,700,4
145,Franco-Thai,1,800,Thailand,1,12,1,1940,1,28,1941,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,700,4
147,First Kashmir,1,750,India,1,10,26,1947,1,1,1949,-8,-8,-8,-8,-8,-8,-8,7,1,6,-8,2500,4
147,First Kashmir,1,770,Pakistan,2,10,26,1947,1,1,1949,-8,-8,-8,-8,-8,-8,-8,7,2,6,-8,1000,4
148,Arab-Israeli,1,666,Israel,1,5,15,1948,7,18,1948,10,15,1948,1,7,1949,1572,6,2,1,-8,3000,4
148,Arab-Israeli,1,651,Egypt,2,5,15,1948,7,18,1948,10,15,1948,1,7,1949,1572,6,2,2,-8,2000,4
148,Arab-Israeli,1,652,Syria,2,5,15,1948,7,18,1948,10,15,1948,10,31,1948,1572,6,2,2,-8,1000,4
