incomegp	house	children	singpar	agegp	bankacc	bsocacc	manage	ccarduse	cigbuy	xmasbuy	locintrn	prodebt
122	5	2	0	0	3	1	1	5	3	0	1	4.670000076	3.710000038
123	3	2	1	0	1	1	0	4	1	1	1	3.329999924	4.059999943
124	3	2	2	0	1	1	0	3	1	1	1	5.329999924	3.650000095
125	2	1	0	0	3	0	0	4	1	1	1	4	3.349999905
126	5	2	0	0	3	1	0	4	3	0	1	5.170000076	3.529999971
127	1	2	0	0	1	1	1	5	1	0	1	3.5	4.880000114
128	1	1	2	0	2	0	0	5	1	1	1	4.170000076	3.349999905
129	4	2	2	0	2	1	0	4	1	0	1	5.829999924	2.349999905
130	3	1	0	0	1	1	0	4	1	0	0	3.170000076	3.940000057
131	3	2	0	0	2	1	0	5	1	0	1	6	2.650000095
132	3	1	0	0	1	1	1	5	3	0	1	5.829999924	4.239999771
133	NA	1	0	0	4	0	0	5	NA	1	1	3.329999924	NA
134	3	3	0	0	3	1	1	4	1	0	NA	4.170000076	2.589999914
135	1	1	2	0	2	0	1	2	1	1	1	4	3.410000086
136	2	2	1	0	2	1	1	5	1	1	1	5.170000076	4.53000021
137	1	1	0	0	2	0	0	3	1	1	1	4.5	3.180000067
138	3	1	2	0	2	0	1	4	1	1	1	4	2.710000038
139	1	1	1	1	1	0	1	4	1	1	1	3.170000076	2.650000095
140	1	2	1	1	3	1	0	5	1	0	1	NA	NA
141	3	3	2	0	3	1	1	5	1	1	1	4	2.289999962
142	3	2	0	0	3	1	0	NA	2	0	1	4.670000076	NA
143	3	1	1	0	2	1	0	3	2	0	1	6.170000076	2.180000067
144	2	2	1	0	2	0	1	3	1	1	1	1.5	3.710000038
145	3	2	2	0	3	1	0	3	1	0	1	4.170000076	3.349999905
146	2	1	0	0	2	0	0	2	1	1	0	6.170000076	2.710000038
147	4	2	1	0	2	1	0	4	2	1	1	4.5	3.180000067
148	5	2	2	0	2	1	0	4	2	0	1	3.170000076	4
149	2	1	2	1	2	0	0	5	2	1	NA	4	2.710000038
150	1	1	0	0	3	0	0	4	1	1	0	4.329999924	1.75999999
151	3	2	2	0	1	1	1	5	2	0	1	4.5	4.409999847
152	5	2	1	0	2	1	1	4	3	0	1	4.829999924	3.180000067
153	5	2	2	0	2	1	1	5	3	1	1	4.170000076	3.349999905
154	4	2	0	0	1	1	1	4	1	0	1	5.329999924	1.940000057
155	2	2	1	1	2	1	0	3	3	1	1	3.329999924	3.410000086
156	3	3	2	0	2	1	1	5	1	0	1	4.329999924	2.940000057
157	3	3	2	0	2	1	0	5	2	1	1	4	2.710000038
158	4	2	3	0	2	1	1	1	3	0	1	3.829999924	3.940000057
159	4	2	2	0	2	1	1	5	1	0	1	4.5	3.819999933
160	3	3	3	0	2	1	1	4	1	0	1	3.670000076	2.819999933
161	NA	2	2	0	2	1	1	4	2	1	1	4.5	3.650000095
162	4	2	1	0	3	1	1	5	1	0	0	2.5	2.880000114
163	4	2	0	0	1	1	1	4	2	0	0	3.5	4.289999962
164	5	2	0	0	3	1	0	4	2	0	1	3.329999924	2.650000095
165	3	2	3	0	2	1	0	5	1	1	1	4.670000076	NA
166	5	2	0	0	3	1	1	5	1	NA	NA	5.170000076	3.289999962
167	5	3	0	0	4	1	1	4	2	0	1	4.670000076	3.119999886
168	4	2	3	0	2	1	1	5	3	0	1	4.670000076	4.239999771
169	3	3	0	0	4	1	1	5	1	0	1	4.829999924	2.470000029
170	2	3	0	0	4	1	0	5	3	0	1	3.5	3.289999962
171	2	1	0	0	4	1	1	3	1	0	1	3.829999924	3
172	5	3	0	0	4	1	0	5	1	0	1	4.5	2.289999962
173	2	3	0	0	4	1	1	4	3	1	NA	2.670000076	NA
174	4	2	2	0	2	1	1	4	3	0	1	5.329999924	3.75999999
175	2	3	0	0	4	1	1	4	1	0	1	5.829999924	1.879999995
176	5	3	0	0	4	1	0	4	2	0	1	3.670000076	4.239999771
177	5	2	0	0	3	1	1	5	3	0	1	4.670000076	3.289999962
178	2	3	0	0	4	1	1	5	1	0	1	5	2.589999914
179	5	3	0	0	4	1	NA	5	3	0	1	5	3.650000095
180	4	3	0	0	3	1	1	4	1	0	NA	3.670000076	2.180000067
181	3	2	0	0	2	1	1	5	2	0	1	5.170000076	1.879999995
182	1	3	0	0	4	1	1	5	1	0	1	4.670000076	3
183	5	3	2	0	3	1	1	5	2	0	1	3.829999924	3.710000038
184	2	1	0	0	4	1	1	5	1	0	1	5	2.24000001
185	2	3	0	0	4	1	1	4	2	0	1	NA	2.349999905
186	5	2	3	0	3	1	1	4	3	0	1	3.329999924	4.820000172
187	2	2	0	0	2	1	1	5	2	0	1	4.829999924	2.75999999
188	3	2	2	0	2	1	0	5	2	0	1	4	4
189	4	2	2	0	2	1	1	5	1	0	0	5.829999924	2.650000095
190	3	3	0	0	4	1	1	4	1	0	0	5.670000076	2.24000001
191	4	3	2	0	2	1	0	4	1	0	1	5	2.710000038
192	2	3	0	0	4	1	1	5	1	0	1	3.5	NA
193	3	2	0	0	2	1	1	4	3	0	0	4	3.75999999
194	3	2	0	0	3	1	1	5	2	0	1	5.329999924	3
195	2	NA	0	0	4	1	1	4	1	1	0	NA	NA
196	5	2	1	0	2	1	1	2	1	1	1	6	NA
197	3	2	0	0	3	1	NA	5	3	0	1	5.170000076	2.940000057
198	4	2	2	0	2	1	1	5	3	0	1	5.170000076	3.180000067
199	1	2	0	0	4	1	1	5	1	0	1	5	3
200	4	2	1	0	2	1	1	5	2	0	1	4.329999924	2
201	1	3	0	0	4	0	1	5	1	0	1	3.5	3.119999886
202	5	2	1	1	2	1	0	4	2	1	1	5.170000076	3.650000095
203	1	3	0	0	1	1	0	4	1	0	0	4.5	2.880000114
204	5	3	4	0	3	1	0	4	2	0	1	4.670000076	3.650000095
205	3	3	0	0	3	NA	1	4	1	0	1	5.329999924	3.289999962
206	3	3	0	0	4	1	1	5	1	0	1	4.5	2.470000029
207	2	2	1	0	2	1	1	5	1	1	1	4.829999924	2.119999886
208	1	3	0	0	4	1	1	4	NA	0	1	3.5	3.180000067
209	5	2	2	0	2	1	1	5	3	0	1	3.829999924	2.710000038
210	1	3	2	1	4	1	1	4	1	1	1	5	2.650000095
211	4	2	0	0	4	1	1	5	3	0	1	4.5	2.529999971
212	1	2	3	0	2	1	1	5	2	NA	1	3.170000076	2.349999905
213	4	2	3	0	2	1	1	4	1	1	0	5	2.650000095
214	2	2	0	0	3	1	1	5	2	0	0	4.5	2.819999933
215	4	2	0	0	2	1	1	4	2	1	0	4.5	2.470000029
216	NA	2	0	0	4	1	1	3	1	0	0	4.170000076	3.650000095
217	2	3	0	0	4	1	1	5	1	0	0	5.329999924	2.470000029
218	4	2	3	0	2	1	1	5	3	0	1	5.5	2.119999886
219	5	2	0	0	3	1	1	5	1	0	0	4.670000076	3.119999886
220	3	2	1	0	1	1	NA	4	1	0	1	4.670000076	3.059999943
221	5	3	0	0	3	1	1	1	1	0	1	5.329999924	3.650000095
222	2	3	0	0	3	1	NA	4	2	0	1	5	2.529999971
223	4	2	1	0	1	1	1	4	1	0	1	6.329999924	2.470000029
224	3	2	0	0	1	1	NA	5	3	NA	NA	5	4
225	2	1	2	0	3	0	0	4	NA	1	1	4	3.589999914
226	1	1	3	1	2	NA	NA	3	1	0	1	5.170000076	3
227	3	2	2	0	2	0	1	5	1	0	1	3	3.880000114
228	3	2	0	0	4	1	NA	4	3	0	1	4.5	2.940000057
229	2	2	0	0	NA	1	NA	5	2	1	NA	5	2.589999914
230	2	2	0	0	4	1	1	5	2	0	1	4	3.059999943
231	5	2	0	0	2	1	1	4	2	1	1	5	3.180000067
232	1	2	0	0	4	1	NA	NA	1	0	1	NA	NA
233	4	2	1	0	3	1	NA	4	2	1	1	4.329999924	3.529999971
234	4	2	1	0	2	1	1	5	2	0	1	3.329999924	2.349999905
235	5	2	2	0	2	1	0	4	2	0	1	5.170000076	3.529999971
236	1	3	0	0	4	1	1	5	3	0	1	5.5	2.819999933
237	5	2	0	0	1	1	NA	4	2	0	1	4.670000076	2.75999999
238	2	1	0	0	4	1	NA	5	2	1	1	2.329999924	2.529999971
239	2	3	2	0	3	1	1	4	1	NA	NA	4.670000076	2.589999914
240	1	3	0	0	4	1	NA	4	1	NA	NA	4.670000076	3
241	4	3	0	0	4	1	1	4	3	0	NA	3.670000076	2.349999905
242	2	3	0	0	4	1	1	5	3	0	0	4.329999924	3.180000067
243	3	2	0	0	4	0	1	5	1	0	1	4.329999924	3.650000095
244	5	2	4	0	2	1	1	5	3	0	1	6.5	2.880000114
245	3	3	0	0	4	1	0	4	1	0	1	1.830000043	3.470000029
246	5	2	3	0	2	1	1	5	3	1	1	4	3.119999886
247	4	2	2	0	1	1	1	5	1	0	1	5.170000076	2.819999933
248	4	2	2	0	2	1	1	5	2	0	1	3.829999924	3.410000086
249	2	3	0	0	3	0	1	5	3	1	1	5.170000076	2.589999914
250	4	2	0	0	1	1	1	4	2	0	1	4.5	3.589999914
251	5	3	0	0	3	1	1	5	2	0	1	5.670000076	4.409999847
252	NA	3	0	0	4	1	1	5	1	0	0	3.670000076	3.470000029
253	5	2	0	0	3	1	1	5	3	0	1	3.829999924	3.710000038
254	3	3	0	0	2	1	NA	4	1	0	0	4.329999924	3.710000038
255	4	2	1	0	3	1	1	4	2	0	1	4.670000076	3.650000095
256	1	3	0	0	4	1	NA	4	3	0	1	4	3.180000067
257	3	2	0	0	1	1	1	4	1	0	1	4.329999924	3.819999933
258	4	2	0	0	2	1	1	5	3	0	1	4.670000076	4.059999943
259	4	3	0	0	4	1	1	5	2	0	1	5	2.819999933
260	4	2	1	0	2	1	1	4	2	1	1	4	4
261	2	3	0	0	4	1	1	5	1	0	0	3.329999924	3.289999962
262	3	3	0	0	4	1	0	4	2	0	1	4.5	4.119999886
263	2	1	1	0	2	0	1	5	1	0	1	6.5	2.119999886
264	2	1	0	0	4	1	0	4	2	0	1	5.5	3.24000001
265	3	2	2	0	2	1	1	4	2	0	1	6	3.349999905
266	2	1	2	0	3	1	0	3	1	1	1	4.670000076	3.410000086
267	3	1	1	0	1	1	0	4	1	0	1	5	3.710000038
268	5	2	0	0	2	1	NA	4	2	0	1	4.670000076	3.410000086
269	5	2	0	0	4	1	1	3	3	0	1	2.670000076	3.24000001
270	3	2	5	0	2	1	NA	3	1	0	1	3.670000076	2.880000114
271	1	2	0	0	3	1	1	5	1	NA	1	5.670000076	2.410000086
272	2	2	3	1	2	1	NA	5	3	1	1	5.829999924	3.059999943
273	1	1	1	0	3	NA	NA	4	1	1	1	4.329999924	2.75999999
274	5	2	0	0	2	1	1	2	3	0	1	4.170000076	4.760000229
275	2	1	2	0	1	NA	1	1	1	1	0	4.170000076	3.059999943
276	2	2	0	0	2	1	1	5	1	1	1	4.670000076	2.119999886
277	2	1	0	0	3	1	NA	4	1	1	1	5.170000076	2.650000095
278	1	1	3	0	1	1	1	4	1	1	1	4.170000076	3.410000086
279	3	3	1	0	3	1	NA	5	1	0	1	5.829999924	NA
280	4	3	0	0	4	NA	1	3	1	0	1	5.5	2.940000057
281	3	2	0	0	4	1	1	5	2	NA	NA	3.5	3.650000095
282	2	3	4	0	2	1	NA	1	2	1	NA	3.329999924	3.650000095
283	1	1	1	0	4	0	0	2	1	0	1	4.170000076	2.710000038
284	4	2	2	0	2	1	1	4	3	NA	1	5.5	3.589999914
285	2	1	4	1	2	NA	NA	4	1	0	1	4.329999924	NA
286	1	1	0	0	3	0	0	5	1	1	NA	3.5	NA
287	NA	1	1	1	1	NA	NA	4	1	1	1	6	3.529999971
288	3	2	3	0	1	1	NA	4	1	0	1	4.670000076	1.879999995
289	3	2	1	1	2	1	1	3	3	0	1	4	3.24000001
290	5	2	2	0	2	1	1	5	1	0	1	3.329999924	3.059999943
291	2	1	2	0	2	1	NA	3	1	1	1	5.670000076	NA
292	5	2	0	0	2	1	NA	2	1	1	1	3.670000076	4.409999847
293	5	2	2	0	2	1	NA	3	3	0	1	6.670000076	4.590000153
294	5	1	1	0	3	NA	NA	4	3	0	1	4.329999924	4.059999943
295	2	2	1	0	2	1	1	5	1	1	1	5	1.409999967
296	4	2	0	0	3	1	NA	4	1	0	1	5.170000076	2.349999905
297	1	1	0	0	3	0	0	1	NA	1	1	3.5	4.059999943
298	1	1	1	0	3	1	1	5	1	1	1	4.829999924	1.940000057
299	1	2	2	1	2	0	1	5	1	0	1	5	3
300	1	2	2	1	3	1	NA	4	1	1	1	6.829999924	2.470000029
301	3	2	2	0	2	1	NA	4	1	1	1	4.170000076	2.880000114
302	2	1	3	0	2	NA	NA	3	1	1	1	4.170000076	4.179999828
303	1	1	2	1	2	0	0	4	1	1	1	3.670000076	NA
304	2	3	0	0	3	1	NA	5	1	0	1	4.829999924	2.75999999
305	1	1	0	0	3	NA	NA	3	NA	NA	1	2.329999924	3.650000095
306	4	2	2	0	2	1	1	5	2	0	1	4.170000076	3.880000114
307	4	2	2	0	2	1	1	4	1	0	1	3.829999924	3.24000001
308	3	1	0	0	2	1	0	4	3	0	1	4.829999924	3.059999943
309	NA	2	1	0	1	0	1	4	2	0	1	NA	NA
310	5	2	0	0	3	1	1	4	2	0	1	4.170000076	4.46999979
311	4	2	0	0	3	1	0	5	1	0	1	5	2.470000029
312	1	2	2	1	2	1	0	4	1	0	1	4.170000076	2.75999999
313	4	2	2	0	3	1	1	5	3	0	1	5.329999924	2.710000038
314	2	2	2	0	1	1	1	5	1	0	1	2.329999924	2.529999971
315	3	1	0	0	2	1	1	NA	NA	0	1	NA	NA
316	4	2	0	0	2	1	0	4	1	1	1	4.170000076	3.470000029
317	4	2	0	0	1	1	1	5	2	0	0	5.829999924	3.529999971
318	3	1	2	0	1	1	NA	5	1	0	1	5.670000076	NA
319	1	1	0	0	4	NA	NA	4	NA	0	1	2.670000076	3.650000095
320	5	2	0	0	2	1	1	4	1	0	1	3.670000076	3.710000038
321	2	2	0	0	2	1	NA	4	2	1	0	4.5	4.590000153
322	2	2	0	0	3	1	1	4	NA	0	1	3.5	3.470000029
323	1	3	0	0	4	1	1	4	2	0	1	4.5	3
324	1	1	1	0	2	1	1	5	1	0	1	4.829999924	2.819999933
325	5	2	0	0	1	1	1	4	2	1	1	7	3
326	2	1	1	0	2	1	0	5	1	1	1	5.170000076	2.940000057
327	2	2	1	0	3	1	0	4	3	1	1	4.170000076	3.529999971
328	5	2	1	0	3	1	1	4	3	1	1	4.670000076	4.760000229
329	3	2	1	0	3	1	1	5	2	0	1	5.329999924	2.180000067
330	4	3	0	0	3	1	1	4	1	0	0	3.670000076	2.470000029
331	4	2	0	0	3	1	1	4	2	0	1	4	3.349999905
332	5	2	3	0	2	1	0	5	3	0	1	6	3.819999933
333	3	2	1	0	2	0	1	4	1	1	1	4.829999924	3.410000086
334	5	3	1	0	3	1	0	3	3	1	1	4.670000076	NA
335	5	2	0	0	1	0	1	4	2	0	1	3.170000076	4.820000172
336	3	1	2	0	2	1	0	4	3	0	1	3.5	4.880000114
337	1	2	0	0	2	1	1	4	3	1	1	5	3.410000086
338	2	2	0	0	3	1	1	4	2	0	0	4.5	2.289999962
339	2	1	0	0	4	1	0	3	1	0	1	3.670000076	2.410000086
340	4	2	2	0	2	1	0	4	3	0	1	3.329999924	5.46999979
341	5	2	0	0	3	1	1	5	3	0	1	5.670000076	3.410000086
342	4	2	0	0	1	0	1	4	1	0	1	5	2.819999933
343	4	3	2	0	3	1	1	4	3	0	1	3.829999924	3
344	NA	2	1	0	3	0	0	4	1	1	1	2.170000076	3.880000114
345	4	2	1	0	2	1	1	5	2	0	1	4.829999924	2.119999886
346	5	2	0	0	2	1	1	4	1	0	1	4.829999924	2.529999971
347	5	2	1	0	2	1	0	5	2	1	1	5.670000076	3
348	3	2	2	0	2	1	1	5	2	0	1	2.5	3
349	4	2	1	0	2	1	1	5	3	0	1	4.670000076	3.289999962
350	4	2	2	0	2	1	1	3	2	0	1	5	3.24000001
351	1	2	0	0	1	1	0	5	3	0	0	6	3.470000029
352	4	2	2	0	1	1	0	4	1	0	1	4.670000076	4.349999905
353	1	1	0	0	4	NA	NA	5	1	NA	NA	3.5	1.590000033
354	2	1	0	0	3	1	0	3	3	0	1	4.5	NA
355	5	2	2	0	2	1	1	3	1	0	1	4	NA
356	2	1	0	0	4	1	0	4	NA	0	1	6.170000076	3.24000001
357	5	2	0	0	1	1	1	4	3	0	1	6.170000076	4
358	2	1	2	0	1	1	0	5	1	1	1	4.5	3.059999943
359	5	2	0	0	3	1	0	5	2	1	1	4.829999924	1.820000052
360	1	3	0	0	3	1	0	5	1	0	0	2.5	3
361	5	2	0	0	3	1	1	5	3	1	1	4.329999924	3.75999999
362	3	2	1	0	3	1	0	4	1	1	1	5	4.409999847
363	NA	1	3	1	2	0	0	5	1	0	1	5.670000076	3.650000095
364	1	1	4	1	2	1	1	4	1	0	1	3.5	3.589999914
365	3	3	0	0	4	0	1	5	1	1	1	3.5	2.819999933
366	1	1	2	0	2	0	0	4	1	1	1	4.329999924	3.24000001
367	2	1	2	0	2	1	0	5	NA	1	1	4.5	3.349999905
368	5	3	0	0	2	1	1	5	1	0	0	4.329999924	2.410000086
369	2	2	0	0	3	1	0	4	2	1	1	4.170000076	3.349999905
370	5	2	0	0	3	1	0	2	1	0	NA	5.329999924	3.650000095
371	1	1	0	0	3	0	0	3	NA	1	1	2.829999924	3.349999905
372	3	2	2	0	3	1	1	5	1	0	1	6	3
373	1	2	0	0	2	0	1	3	1	0	1	3.670000076	1.879999995
374	4	2	3	0	2	1	1	3	2	1	1	5.329999924	2.710000038
375	2	3	3	0	2	1	1	4	2	0	1	5	3.180000067
376	2	3	0	0	4	1	0	4	3	0	1	4	2.180000067
377	NA	3	0	0	4	0	1	5	NA	1	1	3.829999924	3.880000114
378	5	2	2	0	2	1	1	4	1	1	1	3.329999924	3.819999933
379	1	1	0	0	3	1	0	4	NA	NA	1	5	NA
380	1	2	2	0	2	0	1	3	1	1	1	4.670000076	2.880000114
381	NA	2	2	0	2	1	0	NA	1	1	1	4.329999924	3.410000086
382	NA	3	0	0	2	1	1	4	2	0	1	3.170000076	NA
383	2	1	0	0	3	1	0	4	1	1	0	3.170000076	2.650000095
384	5	1	2	0	2	1	0	4	1	1	1	4.5	3.410000086
385	4	2	0	0	2	1	1	5	2	1	1	NA	3.940000057
386	3	2	0	0	1	0	1	5	1	0	1	3	2.710000038
387	2	1	3	0	2	1	0	4	2	0	1	4.670000076	3.410000086
388	1	1	0	0	4	0	0	2	2	0	1	2.829999924	NA
389	2	2	0	0	3	1	1	5	3	NA	1	6	3.289999962
390	4	1	0	0	3	1	0	5	3	0	1	4.670000076	3.589999914
391	1	1	2	1	1	1	0	5	NA	1	1	3.829999924	3.289999962
392	5	3	0	0	3	1	0	4	2	0	1	4	3.289999962
393	5	3	2	0	3	1	0	4	1	0	1	4.5	3.119999886
394	2	2	2	0	2	1	0	5	1	1	1	4.670000076	2.819999933
395	2	2	1	0	2	1	0	3	1	1	1	3.670000076	3.529999971
396	1	3	0	0	3	1	0	5	1	0	1	4.170000076	3.470000029
397	1	1	2	1	3	1	0	4	1	1	1	2.670000076	NA
398	1	1	0	0	3	1	0	5	1	1	0	4	2.650000095
399	3	2	1	0	2	1	0	3	3	1	1	4.329999924	3.529999971
