x	y	m
87	0.3416	-0.2377	0.0152
88	0.3584	-0.4263	0.0232
89	0.3612	-0.3153	0.0248
90	0.3638	-0.0293	0.0264
91	0.365	0.0213	0.0272
92	0.3665	0.1774	0.0282
93	0.3692	-0.307	0.03
94	0.3723	-0.5431	0.0323
95	0.3766	0.2959	0.0357
96	0.3795	0.0166	0.0381
97	0.383	-0.1809	0.0413
98	0.3915	0.0661	0.0499
99	0.3957	-0.5305	0.0546
100	0.3972	-0.4285	0.0565
101	0.3992	-0.226	0.059
102	0.4023	0.0885	0.063
103	0.4025	-0.0271	0.0633
104	0.4049	-0.1151	0.0665
105	0.4071	0.3168	0.0695
106	0.4128	0.0019	0.0782
107	0.4243	0.1485	0.0985
108	0.4251	0.0475	0.1
109	0.4284	-0.0515	0.1066
110	0.4287	-0.5021	0.1072
111	0.4407	0.0534	0.1344
112	0.4478	0.1841	0.1529
113	0.4567	0.5655	0.1789
114	0.4603	0.2932	0.1901
115	0.4652	-0.2128	0.2068
116	0.4696	0.2161	0.2221
117	0.4705	0.0376	0.2254
118	0.4834	0.5258	0.2767
119	0.4843	0.5784	0.2806
120	0.5027	-0.0205	0.3673
121	0.5036	0.367	0.372
122	0.5057	0.6783	0.3825
123	0.507	0.3655	0.3896
124	0.5116	0.1326	0.4144
125	0.515	0.7262	0.433
126	0.516	0.3674	0.4389
127	0.5227	0.3192	0.4774
128	0.5252	0.7247	0.4922
129	0.5301	0.2297	0.5221
130	0.5322	0.5274	0.5348
131	0.5338	-0.2529	0.5448
132	0.5378	0.944	0.5698
133	0.5412	0.571	0.5913
134	0.5439	0.6465	0.6085
135	0.5452	0.5793	0.6168
136	0.5505	0.8338	0.6506
137	0.5537	0.7305	0.671
138	0.5547	0.5652	0.6778
139	0.5577	0.6785	0.6972
140	0.5652	0.8591	0.7447
141	0.5668	0.5127	0.7542
142	0.57	0.8232	0.7744
143	0.5745	1.2506	0.8016
144	0.5753	0.5713	0.8062
145	0.5797	0.7855	0.8317
146	0.5834	0.961	0.8523
147	0.5848	1.7133	0.86
148	0.5884	0.9175	0.8794
149	0.5982	0.9851	0.9256
150	0.6045	0.8074	0.9509
151	0.6056	1.4615	0.9548
152	0.6069	0.4984	0.9592
153	0.6124	1.2337	0.9757
154	0.6142	1.3186	0.9803
155	0.6167	1.0639	0.9859
156	0.62	0.9206	0.992
157	0.6209	1.6082	0.9933
158	0.6215	0.7264	0.9942
159	0.626	0.779	0.9987
160	0.6311	0.9211	0.9999
161	0.6323	1.1145	0.9995
162	0.6403	0.9432	0.9908
163	0.6411	0.7899	0.9893
164	0.6421	0.6643	0.9872
165	0.6523	1.277	0.9558
166	0.6553	1.1115	0.9428
167	0.6595	1.2631	0.9219
168	0.6664	0.8753	0.8808
169	0.6684	0.786	0.8674
170	0.6762	0.625	0.8083
171	0.6823	0.9708	0.7564
172	0.685	0.5102	0.7313
173	0.6851	0.0842	0.7305
174	0.6899	1.4361	0.6844
175	0.6914	0.9661	0.6698
176	0.6934	0.1675	0.649
177	0.6954	1.2438	0.6288
178	0.7004	0.9209	0.5755
179	0.7084	0.7326	0.4896
180	0.715	0.4776	0.4182
181	0.7198	-0.0661	0.3674
182	0.7287	0.7912	0.2777
183	0.7289	0.8955	0.2751
184	0.7403	0.8212	0.1744
185	0.749	0.1022	0.1111
186	0.7505	0.541	0.1015
187	0.7512	0.1228	0.0975
188	0.762	-0.3312	0.0444
189	0.7716	-0.3869	0.0161
190	0.7744	0.0691	0.0109
191	0.7819	0.0787	0.0026
192	0.7821	-0.417	0.0025
193	0.7836	-0.4983	0.0017
194	0.7845	0.0727	0.0012
195	0.7886	0.089	0.0002
196	0.793	0.1323	0
197	0.7982	0.019	-0.0002
198	0.7987	0.102	-0.0002
199	0.8	-0.1637	-0.0004
200	0.8001	-0.2898	-0.0004
201	0.8041	-0.1298	-0.0019
202	0.8042	0.4487	-0.002
203	0.8103	0.0471	-0.0079
204	0.8253	-0.0894	-0.0552
205	0.8267	-0.0073	-0.0629
206	0.8312	0.2947	-0.0912
207	0.8342	0.1291	-0.1136
208	0.8351	0.6339	-0.1209
209	0.8412	-0.3838	-0.1788
210	0.8444	0.2032	-0.2138
211	0.85	-0.1415	-0.2834
212	0.8575	-0.1579	-0.3912
213	0.8591	-0.6792	-0.4159
214	0.862	-0.175	-0.4606
215	0.8775	-0.5776	-0.7114
216	0.8784	-0.7157	-0.7265
217	0.889	-0.7694	-0.8735
218	0.891	-1.1132	-0.8967
219	0.8911	-0.5133	-0.8975
220	0.8927	-0.7434	-0.9152
221	0.8938	-0.976	-0.9253
222	0.8945	-0.8991	-0.9321
223	0.8954	-0.8838	-0.9406
224	0.8984	-1.0315	-0.9638
225	0.9013	-0.7369	-0.9815
226	0.9053	-0.9453	-0.9962
227	0.9084	-1.1778	-1
228	0.9105	-0.9554	-0.9987
229	0.9121	-1.2653	-0.9954
230	0.9128	-1.3374	-0.9935
231	0.9257	-0.9017	-0.8943
232	0.9261	-0.4504	-0.8887
233	0.9268	-0.6453	-0.8804
234	0.928	-0.8747	-0.865
235	0.9309	-0.2596	-0.8237
236	0.9318	-0.4534	-0.8101
237	0.9373	-1.0851	-0.7186
238	0.939	-0.6156	-0.6869
239	0.9427	-0.3752	-0.6179
240	0.9506	-0.4731	-0.4643
241	0.9637	-0.8476	-0.2303
242	0.9674	-0.028	-0.1752
243	0.9756	-0.786	-0.0815
244	0.9773	-0.667	-0.0671
245	0.9787	-0.0264	-0.0559
246	0.9789	-0.1318	-0.0546
247	0.9808	0.0127	-0.0421
248	0.9822	-0.6911	-0.034
249	0.9825	0.2092	-0.0325
250	0.9833	0.0799	-0.0282
251	0.9857	0.7686	-0.018
252	0.9875	0.2406	-0.0122
253	0.988	-0.3567	-0.0108
254	0.9929	0.1759	-0.0023
255	0.9961	-0.0321	-0.0004
256	0.9972	0.0121	-0.0001
