wage	educ	exper	race	smsa	ne	mw	so	we	pt
16555	356.13	12	14	1	1	0	0	1	0	0
26982	759.73	14	11	0	1	0	0	0	1	0
19738	382.74	8	42	0	1	0	0	1	0	0
16707	53.7	9	22	1	1	0	0	1	0	1
6352	403.61	12	12	0	0	1	0	0	0	0
19667	664.77	12	15	0	1	0	0	1	0	0
17679	415.48	13	21	0	1	0	0	1	0	0
17796	949.67	16	21	0	1	0	0	1	0	0
27009	664.77	12	15	0	1	0	0	0	1	0
3901	308.64	10	51	0	0	1	0	0	0	0
27986	997.15	12	11	0	1	0	0	0	1	0
3303	2374.15	18	27	0	1	1	0	0	0	0
15785	259.73	12	1	0	0	0	0	1	0	0
119	641.03	13	27	0	0	1	0	0	0	0
11397	411.52	12	11	0	1	0	1	0	0	0
7461	379.87	12	23	1	1	0	1	0	0	0
6106	231.48	16	11	0	1	1	0	0	0	0
12956	142.45	12	4	0	0	0	1	0	0	0
7371	503.7	11	6	0	0	0	1	0	0	0
8854	94.59	14	4	0	1	0	1	0	0	1
5540	1234.57	18	3	0	1	1	0	0	0	0
21727	379.87	4	34	0	0	0	0	1	0	0
7385	391.74	12	15	0	1	0	1	0	0	0
612	411.7	12	19	0	0	1	0	0	0	0
21394	1068.38	14	31	0	1	0	0	1	0	0
9748	123.46	15	-1	0	1	0	1	0	0	0
10401	569.8	12	37	0	1	0	1	0	0	0
8748	94.97	13	32	0	0	0	1	0	0	1
7702	474.83	8	46	0	1	0	1	0	0	0
18839	379.87	12	12	0	1	0	0	1	0	0
16131	118.71	3	56	0	0	0	0	1	0	1
10609	90.22	12	1	0	0	0	1	0	0	0
3648	402.17	10	8	0	1	1	0	0	0	0
20327	1344.78	16	12	0	1	0	0	1	0	0
26747	474.83	16	27	0	1	0	0	0	1	0
24480	356.13	9	45	0	1	0	0	0	1	0
25209	197.53	12	2	0	1	0	0	0	1	0
4795	949.67	11	19	1	1	1	0	0	0	0
10301	531.81	18	11	0	0	0	1	0	0	1
22061	522.32	12	16	0	0	0	0	1	0	0
12857	356.13	18	32	0	1	0	1	0	0	0
24745	949.67	12	35	0	1	0	0	0	1	0
16118	902.18	18	14	0	1	0	0	1	0	0
27977	1697.72	18	12	0	0	0	0	0	1	0
25363	451.09	14	16	0	0	0	0	0	1	0
6986	830.96	16	37	0	1	0	1	0	0	0
24174	807.22	14	16	0	1	0	0	0	1	0
26144	617.28	6	23	0	1	0	0	0	1	0
9238	271.6	13	1	0	1	0	1	0	0	0
7572	462.99	12	10	0	0	0	1	0	0	0
22024	336.7	13	17	0	1	0	0	1	0	0
20215	593.54	16	4	0	1	0	0	1	0	0
26010	189.93	8	43	0	1	0	0	0	1	0
7945	119.66	14	3	0	0	0	1	0	0	0
18821	641.03	13	15	0	0	0	0	1	0	0
3395	76.43	13	-1	0	1	1	0	0	0	1
4310	493.83	14	0	0	1	1	0	0	0	0
22040	679.01	16	23	0	0	0	0	1	0	0
18395	308.64	10	10	0	1	0	0	1	0	0
26521	130.58	12	11	0	1	0	0	0	1	1
6305	56.79	14	0	0	0	1	0	0	0	1
2330	1899.34	14	30	0	1	1	0	0	0	0
27898	1316.87	12	15	0	0	0	0	0	1	0
2245	830.96	18	0	0	1	1	0	0	0	0
23041	784.69	14	15	0	0	0	0	0	1	0
6736	1139.6	16	5	0	1	0	1	0	0	0
27500	167.55	12	2	0	1	0	0	0	1	0
2224	712.25	12	42	0	1	1	0	0	0	0
6712	845.2	14	13	0	1	0	1	0	0	0
15738	315.82	12	18	0	1	0	0	1	0	0
25092	183.42	10	6	0	1	0	0	0	1	0
5494	337.08	9	43	0	1	1	0	0	0	0
13670	493.83	11	3	0	1	0	0	1	0	0
20453	854.7	18	25	0	0	0	0	1	0	0
14818	885.57	12	20	0	0	0	0	1	0	0
24711	1033.01	18	3	0	0	0	0	0	1	0
4526	403.61	13	5	0	1	1	0	0	0	0
7363	522.32	16	7	0	1	0	1	0	0	0
18966	197.53	12	19	1	1	0	0	1	0	0
10371	308.64	12	4	0	1	0	1	0	0	0
22716	521.94	12	42	0	0	0	0	0	1	0
3094	367.74	16	8	0	1	1	0	0	0	0
6244	236.42	12	13	0	1	1	0	0	0	0
85	569.8	8	36	0	1	1	0	0	0	0
10912	641.03	16	16	0	1	0	1	0	0	0
26199	783.48	16	10	0	1	0	0	0	1	0
1514	189.93	15	-1	0	1	1	0	0	0	0
13332	500.95	17	1	0	1	0	0	1	0	0
13016	593.54	12	12	0	1	0	1	0	0	0
8931	154.32	13	1	0	1	0	1	0	0	1
12447	721.45	8	47	0	1	0	1	0	0	0
6079	522.32	10	24	1	1	1	0	0	0	0
6635	1234.57	14	21	0	1	0	1	0	0	0
25763	123.46	16	9	0	1	0	0	0	1	1
18783	546.06	12	21	0	0	0	0	1	0	0
24442	1305.79	18	19	0	0	0	0	0	1	0
20029	522.32	18	12	0	1	0	0	1	0	0
16431	379.87	12	19	0	0	0	0	1	0	0
977	866.57	18	14	0	1	1	0	0	0	0
4269	689.53	11	38	0	1	1	0	0	0	0
19267	346.63	12	38	0	0	0	0	1	0	0
19620	379.87	13	5	0	0	0	0	1	0	0
15685	370.37	3	49	0	1	0	0	1	0	0
26	546.06	12	16	0	1	1	0	0	0	0
9511	1305.79	12	18	0	1	0	1	0	0	0
6369	498.58	12	17	0	0	1	0	0	0	0
3858	241.21	12	0	0	0	1	0	0	0	0
4020	195.46	12	5	1	1	1	0	0	0	0
17173	160.49	12	21	1	1	0	0	1	0	0
25293	470.09	12	25	0	1	0	0	0	1	0
19611	415.48	12	40	0	0	0	0	1	0	0
749	830.96	12	27	0	0	1	0	0	0	0
23472	668.47	14	21	0	1	0	0	0	1	0
4190	997.15	18	6	0	1	1	0	0	0	0
24273	1111.11	18	28	0	1	0	0	0	1	0
5642	384.62	12	31	0	1	1	0	0	0	0
1845	462.96	12	13	0	1	1	0	0	0	0
25642	189.93	1	49	0	1	0	0	0	1	0
1776	683.76	9	46	0	1	1	0	0	0	0
19914	61.73	12	17	1	1	0	0	1	0	1
11450	664.77	16	9	0	1	0	1	0	0	0
23203	679.01	16	7	0	1	0	0	0	1	0
26631	740.74	13	13	0	1	0	0	0	1	0
5814	617.28	12	25	0	1	1	0	0	0	0
18808	142.45	9	46	0	0	0	0	1	0	0
12836	1264.13	18	36	0	1	0	1	0	0	0
9363	830.96	12	25	0	1	0	1	0	0	0
15041	747.86	16	12	0	1	0	0	1	0	0
21760	284.9	12	9	0	1	0	0	1	0	0
27384	1049.38	12	9	0	1	0	0	0	1	0
19119	213.68	12	2	1	0	0	0	1	0	0
18296	854.7	13	38	0	0	0	0	1	0	0
7176	617.28	11	15	0	1	0	1	0	0	0
5405	284.9	5	54	0	1	1	0	0	0	0
19662	403.61	12	23	0	0	0	0	1	0	0
21531	498.58	12	46	0	0	0	0	1	0	0
22603	346.63	12	3	0	0	0	0	0	1	0
19901	403.61	14	12	1	1	0	0	1	0	0
12690	249.29	12	47	1	1	0	1	0	0	0
7329	664.77	12	34	0	0	0	1	0	0	0
7441	807.22	12	22	0	0	0	1	0	0	0
1860	1412.63	18	14	0	1	1	0	0	0	0
7539	807.22	10	27	0	0	0	1	0	0	0
20745	902.18	14	16	0	1	0	0	1	0	0
9449	98.77	13	-1	0	1	0	1	0	0	1
21575	474.83	10	12	0	0	0	0	1	0	0
2445	1020.89	13	42	0	1	1	0	0	0	0
23322	830.96	12	16	0	1	0	0	0	1	0
14657	830.96	18	29	0	0	0	0	1	0	0
24374	569.8	15	21	0	0	0	0	0	1	0
4022	1135.8	13	33	0	1	1	0	0	0	0
4371	379.87	16	17	0	1	1	0	0	0	0
19006	521.6	12	27	0	1	0	0	1	0	0
26989	345.68	16	8	0	1	0	0	0	1	0
24343	593.54	14	32	0	1	0	0	0	1	0
21663	284.9	8	29	0	1	0	0	1	0	0
6648	712.25	11	42	0	1	0	1	0	0	0
4625	593.54	16	5	0	1	1	0	0	0	0
7080	1103.4	12	40	0	1	0	1	0	0	0
22863	199.12	13	3	0	0	0	0	0	1	0
27419	142.45	12	0	0	1	0	0	0	1	0
3151	641.03	18	4	0	1	1	0	0	0	0
18806	261.16	13	7	0	0	0	0	1	0	0
17443	474.83	16	4	0	1	0	0	1	0	0
17341	641.03	14	20	0	1	0	0	1	0	0
437	607.05	7	41	0	0	1	0	0	0	0
14035	427.35	12	44	1	1	0	0	1	0	0
13930	1305.79	18	11	0	1	0	0	1	0	0
20996	261.16	12	4	0	1	0	0	1	0	0
27982	629.39	12	7	0	1	0	0	0	1	0
26901	546.06	15	39	0	1	0	0	0	1	0
8849	318.14	12	22	0	0	0	1	0	0	0
16676	1258.31	18	6	0	1	0	0	1	0	0
9533	664.77	12	19	0	1	0	1	0	0	0
27663	363.25	18	12	0	0	0	0	0	1	0
16411	322.89	13	10	0	0	0	0	1	0	0
25277	597.27	13	18	0	1	0	0	0	1	0
23436	323.34	16	8	0	1	0	0	0	1	0
12980	402.85	16	8	0	1	0	1	0	0	0
12567	522.32	12	14	0	1	0	1	0	0	0
5373	517.57	11	24	0	1	1	0	0	0	0
8028	664.77	8	43	0	1	0	1	0	0	0
11852	581.67	12	28	0	1	0	1	0	0	0
5797	493.83	16	18	0	1	1	0	0	0	0
26552	296.3	9	8	0	1	0	0	0	1	0
16842	92.59	11	1	1	0	0	0	1	0	1
14414	325.26	12	3	0	1	0	0	1	0	0
12109	320.51	15	1	0	1	0	1	0	0	0
10853	197.41	12	0	0	1	0	1	0	0	1
19360	226.76	10	12	1	0	0	0	1	0	0
1248	1471.98	18	27	0	1	1	0	0	0	0
8662	593.54	14	17	1	1	0	1	0	0	0
4606	849.5	8	18	0	1	1	0	0	0	0
9035	403.61	14	11	0	1	0	1	0	0	0
9600	690.77	12	17	0	1	0	1	0	0	0
4464	296.77	12	27	1	1	1	0	0	0	0
20562	783.48	15	18	0	1	0	0	1	0	0
20295	232.67	12	4	1	1	0	0	1	0	0
7684	415.48	12	11	0	0	0	1	0	0	0
7260	1210.83	12	30	0	0	0	1	0	0	0
2336	874.49	12	21	0	1	1	0	0	0	0
15120	830.96	9	30	0	1	0	0	1	0	0
15092	356.13	12	11	0	1	0	0	1	0	0
24227	546.06	18	11	0	1	0	0	0	1	0
6672	1020.89	12	34	0	1	0	1	0	0	0
12738	522.32	12	16	0	1	0	1	0	0	0
15601	522.32	9	15	0	0	0	0	1	0	0
21033	712.25	12	29	0	1	0	0	1	0	0
11576	283.95	16	0	0	1	0	1	0	0	0
21385	165.43	10	8	0	1	0	0	1	0	0
29	204.18	12	6	0	1	1	0	0	0	0
25909	4264.87	16	16	0	1	0	0	0	1	0
15411	422.36	12	42	1	1	0	0	1	0	0
12917	443.44	12	14	0	0	0	1	0	0	0
14404	997.15	12	31	0	1	0	0	1	0	0
11365	474.83	12	15	0	1	0	1	0	0	0
8296	717.77	16	13	0	1	0	1	0	0	0
28018	925.93	18	16	0	1	0	0	0	1	0
14754	1187.08	18	20	0	0	0	0	1	0	0
3850	474.83	15	33	0	0	1	0	0	0	0
4152	474.83	16	15	0	1	1	0	0	0	0
9332	1258.31	18	16	0	1	0	1	0	0	0
26049	237.42	12	4	0	1	0	0	0	1	0
8005	830.96	18	36	0	0	0	1	0	0	0
20100	466.39	14	34	0	0	0	0	1	0	0
18652	154.32	18	2	0	1	0	0	1	0	1
5279	498.58	12	44	0	1	1	0	0	0	0
5330	308.64	16	12	0	1	1	0	0	0	0
7104	375.31	12	4	0	1	0	1	0	0	0
3180	498.58	11	12	0	1	1	0	0	0	0
9092	123.46	12	4	0	0	0	1	0	0	0
779	432.1	12	6	0	0	1	0	0	0	0
3433	92.59	12	7	0	1	1	0	0	0	1
27388	474.83	12	5	0	1	0	0	0	1	0
14891	546.06	14	7	0	1	0	0	1	0	0
23821	246.91	12	11	0	1	0	0	0	1	0
25518	474.83	11	25	0	1	0	0	0	1	0
11203	427.35	13	12	0	0	0	1	0	0	0
11297	593.54	16	10	0	0	0	1	0	0	0
1598	949.67	16	28	0	1	1	0	0	0	0
1526	540.12	12	4	0	1	1	0	0	0	0
11462	391.74	16	3	0	0	0	1	0	0	0
2882	275.96	8	39	0	1	1	0	0	0	0
27774	347.22	14	0	0	1	0	0	0	1	0
23907	237.42	12	42	0	1	0	0	0	1	0
24169	144.75	10	6	0	1	0	0	0	1	0
14413	978.16	14	21	0	1	0	0	1	0	0
10163	444.44	13	14	0	0	0	1	0	0	0
12472	186.71	18	4	0	0	0	1	0	0	1
4195	918.38	9	16	0	1	1	0	0	0	0
16812	305.34	12	28	0	0	0	0	1	0	0
19068	1099.54	11	15	1	1	0	0	1	0	0
4182	205.76	14	1	0	1	1	0	0	0	0
17360	1006.5	18	27	0	1	0	0	1	0	0
14462	335.48	10	5	0	1	0	0	1	0	0
6216	949.67	12	23	0	1	1	0	0	0	0
2304	427.35	12	2	0	1	1	0	0	0	0
8453	1590.69	16	11	0	1	0	1	0	0	0
24281	356.13	16	5	0	1	0	0	0	1	0
26636	194.68	12	3	0	1	0	0	0	1	1
27901	1077.44	13	23	0	0	0	0	0	1	0
16165	332.38	12	4	0	1	0	0	1	0	0
17141	546.06	13	14	0	1	0	0	1	0	0
1647	522.32	12	38	0	0	1	0	0	0	0
24284	1039.89	13	34	0	1	0	0	0	1	0
3190	1780.63	14	33	0	1	1	0	0	0	0
12938	434.43	12	19	0	1	0	1	0	0	0
24346	760.78	16	20	0	1	0	0	0	1	0
235	1187.08	16	19	0	1	1	0	0	0	0
16899	819.09	11	13	0	1	0	0	1	0	0
15546	284.9	12	7	0	0	0	0	1	0	0
25398	498.58	13	9	0	1	0	0	0	1	0
23289	1187.08	11	35	0	1	0	0	0	1	0
15909	474.83	12	33	0	1	0	0	1	0	0
14036	451.09	12	32	1	1	0	0	1	0	0
6151	949.67	16	13	0	1	1	0	0	0	0
18163	1042.52	16	22	0	1	0	0	1	0	0
18669	92.59	8	11	0	1	0	0	1	0	0
8707	949.67	14	7	0	1	0	1	0	0	0
14308	474.83	16	9	0	1	0	0	1	0	0
27271	403.61	17	26	0	1	0	0	0	1	0
27392	569.8	14	7	0	1	0	0	0	1	0
22670	451.09	11	9	0	0	0	0	0	1	0
3113	830.96	14	12	0	1	1	0	0	0	0
16188	297.42	12	3	0	1	0	0	1	0	0
26129	118.71	11	6	0	1	0	0	0	1	1
2567	271.6	9	37	0	1	1	0	0	0	0
9537	878.44	16	1	0	1	0	1	0	0	0
21330	462.96	12	4	0	1	0	0	1	0	0
670	462.96	11	4	0	1	1	0	0	0	0
13060	534.19	8	48	0	0	0	1	0	0	0
4542	356.13	12	6	0	1	1	0	0	0	0
17364	155.27	12	7	0	1	0	0	1	0	0
15992	534.19	12	10	0	1	0	0	1	0	0
17619	854.7	14	19	0	1	0	0	1	0	0
8683	830.96	16	7	0	1	0	1	0	0	0
21652	949.67	18	5	0	1	0	0	1	0	0
5130	641.03	12	9	0	1	1	0	0	0	0
26158	835.45	10	41	0	1	0	0	0	1	0
10083	308.64	13	3	0	0	0	1	0	0	0
13333	712.25	13	11	0	1	0	0	1	0	0
28027	812.32	12	17	0	0	0	0	0	1	0
5320	555.56	12	5	1	1	1	0	0	0	0
19603	2374.15	12	5	1	0	0	0	1	0	0
19834	61.73	13	0	0	0	0	0	1	0	1
16099	664.77	12	19	0	0	0	0	1	0	0
19056	474.83	17	2	0	1	0	0	1	0	0
11956	668.85	10	48	0	0	0	1	0	0	1
20004	470.37	12	25	1	1	0	0	1	0	0
20846	189.93	16	0	0	1	0	0	1	0	1
17260	237.42	3	39	0	1	0	0	1	0	0
7710	830.96	12	27	0	1	0	1	0	0	0
6956	180.44	15	-1	0	1	0	1	0	0	0
23236	397.81	13	2	0	1	0	0	0	1	0
26071	617.28	16	45	0	1	0	0	0	1	1
4543	474.83	10	24	0	1	1	0	0	0	0
4591	1234.57	13	23	0	1	1	0	0	0	0
4759	1733.14	16	26	0	1	1	0	0	0	0
1549	593.54	12	9	0	1	1	0	0	0	0
22000	379.87	7	29	0	1	0	0	1	0	0
23393	498.58	12	13	0	1	0	0	0	1	0
171	653.59	16	36	0	0	1	0	0	0	0
17677	712.25	14	27	0	1	0	0	1	0	0
8175	344.25	6	15	0	1	0	1	0	0	0
5714	883.71	12	22	0	1	1	0	0	0	0
5838	356.13	16	9	0	1	1	0	0	0	0
2772	451.09	12	37	0	1	1	0	0	0	0
20542	506.49	12	11	0	1	0	0	1	0	0
20024	1092.12	18	3	0	1	0	0	1	0	0
10115	522.32	11	12	0	0	0	1	0	0	0
20508	474.83	18	18	0	1	0	0	1	0	0
13129	231.48	12	8	0	0	0	1	0	0	0
21674	470.09	16	9	0	0	0	0	1	0	0
8006	56.98	14	0	0	0	0	1	0	0	1
993	181.28	18	37	0	1	1	0	0	0	1
22765	1080.25	16	3	0	0	0	0	0	1	0
17040	474.83	12	10	0	1	0	0	1	0	0
1624	189.93	13	1	0	0	1	0	0	0	0
8468	514.4	12	42	0	1	0	1	0	0	0
24052	370.37	12	22	1	1	0	0	0	1	0
7686	496.11	12	13	0	0	0	1	0	0	0
23789	345.68	12	8	0	1	0	0	0	1	0
201	451.09	12	3	0	0	1	0	0	0	0
9268	878.44	16	16	1	1	0	1	0	0	0
11083	227.92	12	15	0	0	0	1	0	0	0
12213	188.46	16	28	0	0	0	1	0	0	0
7889	1020.89	13	21	0	0	0	1	0	0	0
21422	284.9	12	5	0	1	0	0	1	0	0
4243	391.74	12	43	0	1	1	0	0	0	0
2285	854.7	14	34	0	1	1	0	0	0	0
18466	688.51	12	20	0	0	0	0	1	0	0
5088	854.7	12	28	0	1	1	0	0	0	0
828	277.78	12	36	0	1	1	0	0	0	0
11936	593.54	12	17	0	0	0	1	0	0	0
9602	514.4	12	36	0	1	0	1	0	0	0
9655	1497.13	16	23	0	1	0	1	0	0	0
26927	902.18	18	7	0	1	0	0	0	1	0
23395	532.56	12	13	0	1	0	0	0	1	0
18750	252.53	9	15	0	0	0	0	1	0	0
13826	296.77	7	37	1	1	0	0	1	0	0
14532	408.36	11	16	1	1	0	0	1	0	0
4219	498.58	14	24	0	1	1	0	0	0	0
27787	892.59	13	0	0	0	0	0	0	1	0
4042	403.61	13	14	0	0	1	0	0	0	0
5758	408.73	12	4	0	1	1	0	0	0	0
23716	2374.15	17	23	0	0	0	0	0	1	0
25294	668.23	12	17	0	1	0	0	0	1	0
22710	354.94	12	16	0	0	0	0	0	1	0
4014	78.56	14	0	0	0	1	0	0	0	1
25636	493.83	12	10	0	1	0	0	0	1	0
24920	455.84	12	23	0	1	0	0	0	1	0
4078	389.36	12	6	0	0	1	0	0	0	0
2241	474.43	12	13	0	1	1	0	0	0	0
24463	474.83	12	13	0	0	0	0	0	1	0
392	522.32	12	5	0	1	1	0	0	0	0
24992	353.75	15	14	0	1	0	0	0	1	0
27585	308.64	16	0	0	1	0	0	0	1	0
22703	783.48	12	12	0	0	0	0	0	1	0
13041	254.04	13	12	0	1	0	1	0	0	0
6449	90.22	18	44	1	1	0	1	0	0	1
18076	121.91	12	7	1	0	0	0	1	0	0
21619	759.73	17	18	0	1	0	0	1	0	0
13842	1220.77	14	38	0	1	0	0	1	0	0
1547	246.91	4	36	0	1	1	0	0	0	0
22126	712.25	13	7	0	0	0	0	0	1	0
1983	987.65	17	4	0	1	1	0	0	0	1
25674	356.13	4	28	0	1	0	0	0	1	0
25309	664.77	14	33	0	0	0	0	0	1	0
355	451.09	12	7	0	0	1	0	0	0	0
9316	313.63	14	17	0	1	0	1	0	0	0
9675	386.99	12	18	0	1	0	1	0	0	0
1682	356.13	15	15	0	1	1	0	0	0	0
18010	149	13	1	0	1	0	0	1	0	0
8730	474.83	14	7	0	1	0	1	0	0	0
20754	617.28	16	3	0	1	0	0	1	0	0
12845	188.27	15	31	0	0	0	1	0	0	1
6952	664.77	14	26	0	1	0	1	0	0	0
937	735.99	12	18	0	1	1	0	0	0	0
1482	498.58	14	4	0	1	1	0	0	0	0
9096	557.12	12	12	0	0	0	1	0	0	0
2266	506.49	15	4	0	1	1	0	0	0	0
1182	308.64	12	3	0	1	1	0	0	0	0
24810	411.52	16	4	0	1	0	0	0	1	0
25028	688.51	12	25	0	0	0	0	0	1	0
10005	782.38	9	36	0	1	0	1	0	0	0
3788	439.22	10	24	0	0	1	0	0	0	0
11284	388.01	13	5	0	1	0	1	0	0	1
27779	664.77	14	9	0	1	0	0	0	1	0
22031	216.05	12	6	0	1	0	0	1	0	0
4379	1068.38	16	13	1	1	1	0	0	0	0
6393	759.73	10	48	0	1	1	0	0	0	0
21310	295.22	12	2	0	1	0	0	1	0	0
391	522.32	12	8	0	1	1	0	0	0	0
6733	949.67	16	40	0	1	0	1	0	0	0
24776	807.22	12	26	0	1	0	0	0	1	0
10469	830.96	12	14	0	1	0	1	0	0	0
21100	498.58	12	23	0	1	0	0	1	0	0
17462	604.69	18	24	0	1	0	0	1	0	0
25981	804.84	5	21	0	1	0	0	0	1	0
12633	121.08	13	-1	0	1	0	1	0	0	1
20805	142.45	6	11	0	1	0	0	1	0	0
17528	349.79	12	48	0	1	0	0	1	0	0
15354	335.1	12	0	0	1	0	0	1	0	0
7267	949.67	13	31	0	1	0	1	0	0	0
21730	427.35	14	23	0	1	0	0	1	0	0
4154	1424.5	17	26	0	1	1	0	0	0	0
16185	641.03	16	13	0	1	0	0	1	0	0
27997	1282.05	12	43	0	1	0	0	0	1	0
4503	522.32	12	3	0	1	1	0	0	0	0
22990	569.8	14	36	0	0	0	0	0	1	0
23230	664.77	13	30	0	1	0	0	0	1	0
23223	1246.44	12	28	0	1	0	0	0	1	0
27372	251.42	11	10	0	1	0	0	0	1	0
25070	630.03	18	16	0	0	0	0	0	1	0
24817	1140.74	16	13	0	1	0	0	0	1	0
6292	232.39	11	13	0	0	1	0	0	0	0
3511	351.38	12	14	0	1	1	0	0	0	0
26433	1092.12	13	15	0	1	0	0	0	1	0
10573	712.25	12	21	0	1	0	1	0	0	0
25431	1115.86	18	14	0	1	0	0	0	1	0
18221	617.28	12	39	0	1	0	0	1	0	0
3392	1187.08	16	35	0	1	1	0	0	0	0
4819	796.3	12	22	0	1	1	0	0	0	0
12238	902.18	13	20	0	1	0	1	0	0	0
1864	1519.47	18	16	0	1	1	0	0	0	0
13939	712.25	12	9	1	1	0	0	1	0	0
26985	795.35	16	10	0	1	0	0	0	1	0
24710	973.41	14	20	0	0	0	0	0	1	0
18275	664.77	8	38	0	0	0	0	1	0	0
6444	284.9	18	5	0	1	0	1	0	0	0
19086	712.25	12	35	0	0	0	0	1	0	0
10520	1068.38	12	30	0	0	0	1	0	0	0
12518	981.32	15	36	0	0	0	1	0	0	0
362	757.58	12	15	0	0	1	0	0	0	1
19537	949.67	13	10	0	1	0	0	1	0	0
9036	213.68	12	33	0	1	0	1	0	0	0
15206	284.9	14	4	0	1	0	0	1	0	0
5917	284.9	16	16	0	1	1	0	0	0	0
3979	830.96	12	16	0	1	1	0	0	0	0
11549	395.69	13	9	1	1	0	1	0	0	0
5686	185.19	10	11	0	1	1	0	0	0	0
12777	641.03	16	37	0	0	0	1	0	0	0
16041	2184.24	16	23	0	1	0	0	1	0	0
8536	807.22	12	46	0	1	0	1	0	0	0
27672	830.96	18	20	0	0	0	0	0	1	0
22134	617.28	12	32	0	0	0	0	0	1	0
8624	830.96	13	22	0	1	0	1	0	0	0
24088	290.93	4	32	0	0	0	0	0	1	0
6841	1044.63	18	7	0	1	0	1	0	0	0
9243	537.51	16	11	0	1	0	1	0	0	0
5580	165.43	13	5	0	1	1	0	0	0	0
23010	712.25	10	36	0	0	0	0	0	1	0
18633	687.83	13	36	0	1	0	0	1	0	0
15607	332.38	12	41	1	0	0	0	1	0	0
4561	522.32	16	3	0	1	1	0	0	0	0
6591	164.81	4	58	1	1	0	1	0	0	1
13600	498.58	13	6	0	1	0	0	1	0	0
18178	1025.64	12	20	0	1	0	0	1	0	0
22169	453.99	12	16	0	0	0	0	0	1	0
10302	255.34	16	8	0	1	0	1	0	0	0
5910	617.28	12	6	0	1	1	0	0	0	0
12072	320.99	16	8	0	1	0	1	0	0	0
25390	1068.38	17	31	0	1	0	0	0	1	0
20639	1234.57	16	18	0	1	0	0	1	0	0
2539	854.7	12	45	0	1	1	0	0	0	0
19276	489.16	16	39	1	0	0	0	1	0	0
16584	709.62	10	30	0	1	0	0	1	0	0
12807	854.7	12	33	0	0	0	1	0	0	0
11779	783.48	12	22	0	0	0	1	0	0	0
5377	288.07	14	48	0	1	1	0	0	0	0
17696	498.58	14	5	0	1	0	0	1	0	0
12283	2374.15	16	25	0	0	0	1	0	0	0
