sex	race	ses	paredu	math
197	Male	White	1.01	ma	69
198	Male	White	1.18	ma	68
199	Male	Hispanic	0.81	ba	69
200	Male	Black	-0.71	college	46
201	Female	Black	-0.54	lesshs	46
202	Male	White	0.01	college	44
203	Female	White	0.9	ma	65
204	Male	White	0.97	ma	52
205	Male	White	-0.14	college	40
206	Female	Black	-0.13	college	54
207	Male	White	-0.88	college	58
208	Female	White	1.55	phd	53
209	Female	White	0.86	phd	62
210	Male	Black	-0.55	hs	40
211	Female	Black	-0.02	college	34
212	Female	Black	-0.69	college	41
213	Male	Black	0.18	college	46
214	Male	White	-0.92	college	41
215	Male	Black	-2.04	lesshs	60
216	Female	Black	-0.99	hs	50
217	Female	Black	-1.96	lesshs	35
218	Female	White	1.05	ma	65
219	Female	Black	-0.35	college	42
220	Female	White	0.76	ba	48
221	Male	Black	-1.12	hs	45
222	Male	White	0.29	college	48
223	Female	Black	-0.99	hs	62
224	Male	Black	-0.49	ba	43
225	Female	White	-0.32	hs	56
226	Female	White	-0.29	hs	40
227	Male	Black	-1.42	hs	37
228	Female	Black	-2.04	lesshs	34
229	Male	Black	-1.1	lesshs	38
230	Male	White	1.25	ma	40
231	Female	White	-0.56	hs	37
232	Male	White	0.71	ba	56
233	Female	Black	-1.33	lesshs	41
234	Male	White	-0.12	college	71
235	Female	White	-0.69	lesshs	48
236	Male	White	-0.66	hs	42
237	Female	Black	-1.18	lesshs	41
238	Male	White	0.82	phd	60
239	Female	Black	-0.85	hs	42
240	Female	White	-0.39	hs	44
241	Female	White	-0.86	hs	68
242	Male	White	-0.41	college	50
243	Female	White	-0.44	hs	43
244	Female	White	-0.19	college	44
245	Male	White	-1.03	hs	37
246	Male	White	0.03	ba	67
247	Male	White	-0.72	college	37
248	Female	White	-1.28	lesshs	43
249	Female	White	-0.84	hs	36
250	Male	White	-0.49	hs	37
251	Male	White	-0.67	hs	62
252	Female	White	0.09	college	64
253	Male	White	-0.19	ba	64
254	Male	White	-0.16	college	37
255	Female	White	-0.56	college	46
256	Male	White	-0.23	college	43
257	Male	White	-1.11	lesshs	45
258	Male	White	-0.29	college	47
259	Male	White	-1.19	lesshs	34
260	Female	White	0.45	ba	53
