popul	TVnews	selfLR	ClinLR	DoleLR	PID	age	educ	income	vote
162	7300	3	sliCon	sliLib	Con	weakDem	19	Coll	$15K-$17K	Clinton
163	22	2	Mod	Lib	extCon	weakDem	32	CCdeg	$15K-$17K	Clinton
164	71	3	Mod	Lib	Con	weakRep	69	HS	$15K-$17K	Dole
165	900	4	sliCon	Lib	sliCon	weakRep	83	HS	$15K-$17K	Dole
166	35	7	Mod	extLib	sliCon	indRep	76	HSdrop	$15K-$17K	Dole
167	2	7	extCon	extLib	Lib	strDem	62	HSdrop	$15K-$17K	Clinton
168	83	2	sliLib	sliLib	Con	strDem	47	MAdeg	$15K-$17K	Clinton
169	370	5	Con	extCon	Mod	strDem	35	HS	$15K-$17K	Clinton
170	12	0	Mod	sliCon	sliLib	indRep	23	HS	$15K-$17K	Clinton
171	370	7	Mod	Mod	extLib	weakDem	79	Coll	$15K-$17K	Clinton
172	100	7	Con	Lib	Con	weakRep	64	CCdeg	$15K-$17K	Dole
173	470	7	Con	Lib	Mod	weakRep	70	Coll	$15K-$17K	Dole
174	22	7	Con	extLib	Con	strRep	87	CCdeg	$15K-$17K	Dole
175	2800	0	sliLib	Con	extLib	strDem	28	HSdrop	$17K-$20K	Clinton
176	47	5	sliLib	sliCon	extCon	weakDem	58	HS	$17K-$20K	Clinton
177	900	5	Mod	Mod	Con	weakDem	85	HSdrop	$17K-$20K	Clinton
178	330	7	sliLib	Con	Mod	strDem	62	HS	$17K-$20K	Clinton
179	84	0	sliLib	Lib	extCon	weakDem	26	BAdeg	$17K-$20K	Clinton
180	0	0	Con	Lib	sliCon	weakRep	28	HS	$17K-$20K	Dole
181	33	3	Con	extLib	extCon	strRep	88	HSdrop	$17K-$20K	Dole
182	53	7	Lib	sliLib	Con	strDem	57	BAdeg	$17K-$20K	Clinton
183	8	7	Lib	Lib	Con	strDem	78	HS	$17K-$20K	Clinton
184	2	7	Mod	Mod	Lib	strDem	56	HS	$17K-$20K	Clinton
185	0	0	Mod	Con	sliLib	indind	46	CCdeg	$17K-$20K	Clinton
186	0	2	Mod	Mod	sliLib	weakRep	20	HS	$17K-$20K	Dole
187	0	0	sliCon	Con	Mod	weakDem	24	Coll	$17K-$20K	Clinton
188	0	7	sliCon	Lib	Con	indDem	72	Coll	$17K-$20K	Clinton
189	15	7	Lib	Mod	extCon	weakDem	51	Coll	$17K-$20K	Clinton
190	900	0	Con	Lib	sliCon	strRep	34	BAdeg	$17K-$20K	Dole
191	30	2	Mod	Lib	Con	weakDem	21	Coll	$17K-$20K	Clinton
192	0	7	Mod	Mod	Con	indDem	74	MAdeg	$17K-$20K	Clinton
193	170	3	Mod	Mod	Con	weakDem	48	MS	$17K-$20K	Clinton
194	900	2	sliLib	sliLib	extCon	weakRep	28	HS	$17K-$20K	Clinton
195	0	6	extCon	extLib	extCon	weakRep	38	HSdrop	$17K-$20K	Dole
196	1600	7	Mod	Con	extLib	strDem	70	HS	$17K-$20K	Clinton
197	0	7	Mod	sliCon	Mod	strDem	72	HSdrop	$17K-$20K	Clinton
198	2800	0	Mod	sliCon	Con	strDem	41	HS	$17K-$20K	Clinton
199	110	5	sliLib	Mod	sliCon	weakDem	50	MAdeg	$17K-$20K	Clinton
200	1	7	Con	Lib	sliCon	weakRep	73	HS	$17K-$20K	Dole
201	3	5	sliCon	Lib	Mod	strDem	79	BAdeg	$17K-$20K	Clinton
202	0	4	sliCon	extLib	Mod	weakRep	76	HSdrop	$17K-$20K	Dole
203	22	0	sliCon	sliLib	sliCon	weakRep	62	CCdeg	$17K-$20K	Dole
204	63	3	Con	Lib	Con	strRep	30	BAdeg	$17K-$20K	Dole
205	290	0	Con	sliLib	Con	weakRep	35	Coll	$17K-$20K	Dole
206	2	7	extLib	Lib	extCon	weakDem	66	Coll	$17K-$20K	Clinton
207	40	0	Lib	Mod	Con	strDem	35	Coll	$17K-$20K	Clinton
208	67	0	Con	extLib	sliCon	strRep	57	BAdeg	$17K-$20K	Dole
209	0	5	Mod	sliCon	Mod	weakRep	37	CCdeg	$17K-$20K	Dole
210	470	7	sliCon	sliCon	Lib	weakDem	61	HS	$20K-$22K	Clinton
211	0	7	Con	Lib	Con	strRep	56	HS	$20K-$22K	Dole
212	4	6	sliLib	Mod	sliCon	weakDem	53	HS	$20K-$22K	Clinton
213	20	0	Mod	sliCon	sliLib	indDem	24	BAdeg	$20K-$22K	Dole
214	2800	7	Mod	extLib	Con	weakRep	74	HS	$20K-$22K	Dole
215	0	0	Mod	Mod	sliLib	weakDem	36	HS	$20K-$22K	Clinton
216	1	0	Con	Lib	Mod	weakRep	30	CCdeg	$20K-$22K	Dole
217	640	0	Mod	extCon	Mod	weakDem	55	HSdrop	$20K-$22K	Clinton
218	170	3	sliLib	Lib	extCon	indDem	35	BAdeg	$20K-$22K	Clinton
219	270	2	sliLib	Mod	Con	strDem	26	Coll	$20K-$22K	Clinton
220	390	0	sliLib	Mod	Con	indDem	25	Coll	$20K-$22K	Clinton
221	16	2	Con	extCon	Mod	indind	27	HS	$20K-$22K	Clinton
222	11	7	Mod	extLib	Con	weakRep	66	HS	$20K-$22K	Dole
223	0	1	sliCon	Lib	Con	indDem	39	HSdrop	$20K-$22K	Clinton
224	270	7	extLib	extLib	Lib	indDem	58	CCdeg	$20K-$22K	Clinton
225	170	2	Mod	Mod	Mod	strDem	53	HS	$20K-$22K	Dole
226	900	7	Con	extCon	Mod	strDem	76	HS	$20K-$22K	Clinton
227	270	7	sliCon	Lib	extCon	weakDem	51	HS	$20K-$22K	Clinton
228	0	7	Mod	Lib	extCon	strDem	70	HSdrop	$20K-$22K	Clinton
229	350	3	Con	sliLib	Con	strRep	68	Coll	$20K-$22K	Dole
230	0	0	sliCon	Mod	sliCon	indDem	32	HS	$20K-$22K	Dole
231	6	0	sliCon	Mod	sliCon	weakRep	55	HS	$20K-$22K	Clinton
232	290	7	Lib	Lib	Con	strDem	52	Coll	$20K-$22K	Clinton
233	630	7	Con	Mod	Con	indRep	73	HSdrop	$20K-$22K	Dole
234	900	0	sliCon	Mod	extCon	strDem	42	HSdrop	$20K-$22K	Clinton
235	31	2	Mod	Mod	sliLib	indRep	23	CCdeg	$20K-$22K	Dole
236	1600	5	Lib	sliLib	Con	strDem	30	MAdeg	$22K-$25K	Clinton
237	71	7	Lib	Lib	extCon	strDem	68	Coll	$22K-$25K	Clinton
238	200	7	sliCon	Lib	sliLib	indDem	68	HS	$22K-$25K	Clinton
239	0	0	Con	Mod	extCon	indind	68	BAdeg	$22K-$25K	Clinton
240	30	5	Lib	sliLib	Con	strDem	38	CCdeg	$22K-$25K	Clinton
241	10	1	Mod	sliLib	Con	indDem	74	HS	$22K-$25K	Clinton
242	0	7	sliCon	Con	sliLib	strDem	59	HSdrop	$22K-$25K	Clinton
243	900	2	sliCon	Lib	sliCon	indDem	73	HSdrop	$22K-$25K	Clinton
244	71	7	Lib	sliLib	Con	strDem	79	HS	$22K-$25K	Clinton
245	22	3	extCon	extLib	Con	weakRep	28	Coll	$22K-$25K	Dole
246	0	7	Con	Lib	Con	strRep	50	HS	$22K-$25K	Dole
247	0	4	Con	sliLib	extLib	weakDem	36	Coll	$22K-$25K	Clinton
248	0	3	Con	Lib	Con	strRep	50	HS	$22K-$25K	Dole
249	0	1	Con	Lib	Con	strRep	61	HS	$22K-$25K	Dole
250	7300	3	Lib	Lib	Con	strDem	37	Coll	$22K-$25K	Clinton
251	83	0	sliLib	Mod	extCon	strDem	29	BAdeg	$22K-$25K	Clinton
252	93	7	Lib	sliLib	extCon	strDem	39	Coll	$22K-$25K	Clinton
253	0	7	Mod	sliCon	Mod	indDem	83	BAdeg	$22K-$25K	Dole
254	51	7	Con	extLib	sliCon	indRep	68	BAdeg	$22K-$25K	Dole
255	31	2	Con	extLib	sliCon	strRep	25	Coll	$22K-$25K	Dole
256	93	2	extLib	sliLib	Con	weakDem	41	BAdeg	$22K-$25K	Clinton
257	0	7	sliLib	Lib	Con	weakDem	67	HS	$22K-$25K	Clinton
258	0	3	Mod	Lib	Con	indRep	36	BAdeg	$22K-$25K	Dole
259	31	4	Con	Lib	Con	indRep	66	Coll	$22K-$25K	Dole
260	900	1	sliLib	Lib	extCon	weakDem	55	Coll	$22K-$25K	Clinton
261	0	4	sliLib	Lib	Con	indDem	42	CCdeg	$22K-$25K	Clinton
262	2	7	Con	sliLib	sliCon	weakRep	42	HS	$22K-$25K	Dole
263	110	3	Mod	sliCon	extCon	weakDem	36	HS	$22K-$25K	Clinton
264	63	1	Con	Mod	Con	indRep	53	CCdeg	$22K-$25K	Dole
265	900	0	sliLib	Lib	sliCon	weakDem	36	CCdeg	$22K-$25K	Clinton
266	31	3	Mod	sliLib	Con	indDem	29	MAdeg	$22K-$25K	Clinton
267	510	1	Mod	Mod	Con	strDem	31	HS	$22K-$25K	Clinton
268	270	2	sliLib	Mod	Con	weakDem	43	BAdeg	$22K-$25K	Clinton
269	9	3	sliLib	Mod	extCon	weakDem	33	BAdeg	$22K-$25K	Clinton
270	3	1	Con	Con	Lib	strDem	63	HS	$22K-$25K	Clinton
271	29	1	sliCon	Lib	Mod	indDem	25	CCdeg	$22K-$25K	Clinton
272	45	2	sliLib	Lib	Con	strDem	72	Coll	$22K-$25K	Clinton
273	83	5	sliLib	sliLib	Con	weakDem	40	Coll	$22K-$25K	Clinton
274	22	7	Mod	Lib	Con	indDem	27	BAdeg	$22K-$25K	Clinton
275	15	3	sliCon	Mod	extCon	indDem	26	Coll	$25K-$30K	Clinton
276	110	7	sliCon	Lib	sliCon	strRep	67	HS	$25K-$30K	Dole
277	8	0	Mod	sliCon	sliCon	weakDem	21	HS	$25K-$30K	Clinton
278	11	5	Con	Lib	Con	strRep	27	MAdeg	$25K-$30K	Dole
279	56	4	Con	sliCon	sliLib	strDem	78	BAdeg	$25K-$30K	Dole
280	8	3	Mod	Mod	sliLib	weakDem	32	HS	$25K-$30K	Clinton
281	100	5	Mod	Lib	Con	weakDem	68	Coll	$25K-$30K	Clinton
282	900	7	Mod	Lib	Con	weakRep	76	Coll	$25K-$30K	Clinton
283	67	7	sliLib	sliLib	Con	strDem	33	CCdeg	$25K-$30K	Clinton
284	35	4	Con	Lib	sliCon	indRep	38	HSdrop	$25K-$30K	Dole
285	35	3	Mod	sliLib	sliCon	weakDem	49	MAdeg	$25K-$30K	Clinton
286	22	0	sliCon	Mod	Con	weakRep	61	Coll	$25K-$30K	Dole
287	110	7	extCon	extLib	sliCon	indRep	57	HS	$25K-$30K	Dole
288	12	0	Mod	Lib	sliCon	indDem	20	HS	$25K-$30K	Clinton
289	7300	7	Mod	Lib	Mod	indRep	63	BAdeg	$25K-$30K	Dole
290	0	0	Mod	extLib	sliCon	indRep	53	HS	$25K-$30K	Dole
291	19	5	Mod	Lib	Con	weakRep	35	Coll	$25K-$30K	Dole
292	470	3	Mod	Mod	extCon	strDem	39	HS	$25K-$30K	Clinton
293	4	3	sliLib	sliCon	sliLib	indRep	48	HS	$25K-$30K	Dole
294	640	4	Con	Lib	sliCon	indRep	62	HS	$25K-$30K	Dole
295	640	2	Mod	Lib	sliLib	weakDem	30	CCdeg	$25K-$30K	Clinton
296	200	7	extCon	extLib	Mod	strRep	26	BAdeg	$25K-$30K	Dole
297	0	7	sliLib	Lib	Mod	weakRep	74	BAdeg	$25K-$30K	Dole
298	29	4	sliLib	Mod	Con	indDem	37	CCdeg	$25K-$30K	Clinton
299	330	2	Mod	sliCon	sliCon	weakDem	43	CCdeg	$25K-$30K	Clinton
300	19	5	sliCon	extLib	Mod	strRep	68	HS	$25K-$30K	Dole
301	1	7	sliCon	sliLib	Mod	weakRep	73	CCdeg	$25K-$30K	Dole
302	110	5	Con	extLib	Con	strRep	60	MAdeg	$25K-$30K	Dole
303	0	7	sliCon	Mod	Con	weakDem	35	HS	$25K-$30K	Clinton
304	350	4	sliLib	Mod	Con	strDem	29	BAdeg	$25K-$30K	Clinton
305	2	5	sliLib	sliLib	sliCon	weakDem	25	BAdeg	$25K-$30K	Clinton
306	0	7	Lib	Lib	Con	strDem	25	MAdeg	$25K-$30K	Clinton
307	7	4	Lib	Mod	sliCon	strDem	70	BAdeg	$25K-$30K	Clinton
308	71	1	Con	Lib	sliCon	strRep	41	HS	$25K-$30K	Dole
309	53	0	Mod	Lib	Con	weakDem	37	BAdeg	$25K-$30K	Clinton
310	0	0	Con	extLib	Con	strRep	39	CCdeg	$25K-$30K	Dole
311	2	6	sliLib	Mod	Con	strDem	35	Coll	$25K-$30K	Clinton
312	190	4	Lib	sliLib	Con	strDem	62	MAdeg	$25K-$30K	Clinton
313	31	0	sliLib	Lib	Con	weakDem	30	MAdeg	$25K-$30K	Clinton
314	16	7	Mod	Lib	Con	strDem	74	Coll	$25K-$30K	Clinton
315	22	7	sliLib	sliLib	Mod	weakRep	47	HS	$25K-$30K	Clinton
316	3	4	Mod	sliCon	sliLib	weakDem	43	BAdeg	$25K-$30K	Clinton
317	0	6	sliCon	sliLib	Con	weakRep	64	HSdrop	$25K-$30K	Dole
318	0	7	Mod	sliLib	sliCon	indDem	75	Coll	$25K-$30K	Dole
319	67	3	Mod	Mod	extCon	weakDem	27	BAdeg	$25K-$30K	Clinton
320	40	7	Mod	Mod	Con	strDem	21	HS	$25K-$30K	Clinton
321	74	4	Lib	Lib	Con	weakDem	70	HSdrop	$25K-$30K	Clinton
322	3	6	sliCon	Lib	Con	weakRep	67	HS	$25K-$30K	Dole
323	140	7	Con	Mod	sliCon	strRep	82	CCdeg	$25K-$30K	Clinton
324	14	0	Lib	Lib	Con	strDem	40	BAdeg	$25K-$30K	Clinton
325	110	0	sliCon	sliLib	Con	weakRep	26	Coll	$25K-$30K	Dole
326	35	3	Mod	sliLib	sliCon	weakDem	29	BAdeg	$25K-$30K	Clinton
327	0	1	Mod	sliCon	Con	indDem	28	BAdeg	$25K-$30K	Clinton
328	310	7	Con	Mod	sliLib	weakRep	65	HS	$25K-$30K	Clinton
329	900	2	Con	sliCon	sliLib	weakDem	25	HS	$25K-$30K	Clinton
330	0	7	sliLib	Lib	extCon	weakDem	65	HSdrop	$25K-$30K	Clinton
331	11	4	Con	Lib	Con	weakRep	38	CCdeg	$25K-$30K	Dole
332	0	2	Mod	sliLib	sliCon	weakRep	72	MAdeg	$25K-$30K	Dole
333	270	7	sliLib	Lib	extCon	weakDem	67	HS	$25K-$30K	Clinton
