Movie,Run Time (minutes),Budget ($),Dramas,Stars,Rating,Genre,USGross ($)
Charlie and the Chocolate Factory,115,150000000,0,4,PG,Comedy,206459076
Wedding Crashers,113,40000000,0,3.5,R,Comedy,209218368
Bad News Bears,113,35000000,0,3.5,PG-13,Comedy,32868349
Hustle & Flow,115,2800000,1,3.5,R,Drama,22202809
The Island,136,120000000,0,2.5,PG-13,Action,35818913
Must Love Dogs,98,35000000,0,3,PG-13,Comedy,43894863
Sky High,102,60000000,0,3,PG,Adventure,63939454
Stealth,121,138000000,0,2.5,PG-13,Action,32116746
Deuce Bigalow: European Gigolo,83,22000000,0,1.5,R,Comedy,22400154
Four Brothers,109,30000000,1,2.5,R,Drama,74494381
The Skeleton Key,104,40000000,0,3,PG-13,Horror,47907715
The Great Raid,133,20000000,0,2.5,R,Action,10166502
The 40-Year-Old Virgin,111,26000000,0,4,R,Comedy,109449237
Valiant,76,35000000,0,2.5,G,Adventure,19471912
The Brothers Grimm,119,80000000,0,2.5,PG-13,Adventure,37899638
The Cave,97,30000000,0,2,PG-13,Horror,15007991
Undiscovered,97,27000000,0,2,PG-13,Comedy,74888996
The Constant Gardener,129,25500000,1,4,R,Drama,33579798
Transporter 2,87,32000000,0,3,PG-13,Action,43095856
The Exorcism of Emily Rose,114,18000000,0,3,PG-13,Horror,75072454
The Man,83,20000000,0,2,PG-13,Comedy,8330720
An Unfinished Life ‡,108,30000000,1,2.5,PG-13,Drama,8535575
Corpse Bride ‡,77,30000000,0,4,PG,Adventure,53359111
Cry Wolf,91,1000000,0,2.5,PG-13,Thriller,10047674
Just Like Heaven,95,58000000,0,2.5,PG-13,Comedy,48318130
Lord of War,121,42000000,0,3,R,Action,24149632
Flightplan,93,55000000,0,2.5,PG-13,Action,89706988
A History of Violence ‡,96,32000000,1,4,R,Drama,31493782
Roll Bounce,106,10000000,0,3,PG-13,Comedy,17380866
Capote ‡,114,7000000,1,4.5,R,Drama,28750530
Into the Blue,109,50000000,0,2,PG-13,Adventure,18782227
Serenity,119,39000000,0,4,PG-13,Action,25514517
Wallace & Gromit: The Curse of the Were-Rabbit,85,30000000,0,4,G,Adventure,56068547
Waiting...,93,1125000,0,2,R,Comedy,16124543
Domino,133,50000000,0,2,R,Action,10169202
Elizabethtown,133,54000000,1,2.5,PG-13,Drama,26850426
The Fog,101,18000000,0,2,PG-13,Horror,29511112
Doom,113,70000000,0,2,R,Horror,28212337
North Country,123,30000000,1,4,R,Drama,18324242
The Weather Man,101,20000000,1,3,R,Drama,12482775
Chicken Little,80,60000000,0,3,G,Adventure,135386665
Jarhead,115,72000000,1,3,R,Drama,62647540
"Good Night, and Good Luck ‡",93,7000000,1,4,PG,Drama,31501218
Get Rich or Die Tryin',116,40000000,1,2.5,R,Drama,30981850
Pride and Prejudice ‡,129,28000000,1,4,PG,Drama,38372662
Harry Potter and the Goblet of Fire,157,150000000,1,4,PG-13,Drama,290013036
Walk the Line,81,28000000,1,4,PG-13,Drama,119519402
Syriana ‡,126,50000000,1,4,R,Drama,50824620
"Yours, Mine and Ours",90,45000000,0,2.5,PG,Comedy,53359917
The Libertine ‡,130,22000000,1,3,R,Drama,4835065
Æon Flux,95,55000000,0,2.5,PG-13,Action,25857987
Transamerica ‡,104,1000000,1,3.5,R,Drama,9015303
Brokeback Mountain ‡,134,13900000,1,4.5,R,Drama,83043761
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",140,180000000,0,4,PG,Adventure,291710957
Memoirs of a Geisha ‡,145,85000000,1,2.5,PG-13,Drama,57010853
King Kong,187,23000000,1,4,PG-13,Drama,52614445
The Family Stone,103,18000000,0,3,PG-13,Comedy,60062868
Hoodwinked ‡,80,17500000,0,2.5,PG,Comedy,51224985
Munich ‡,164,75000000,1,4,R,Drama,47379090
The New World ‡,135,30000000,0,4,PG-13,Adventure,12712093
The Matador ‡,97,1100000,0,3.5,R,Thriller,16186348
Note:  The ‡ denotes a limited release that was then released on a large scale,,,0,,,,
