date           ge            vw            ew            sp
19600129      -0.137453     -0.066354     -0.039202     -0.071464
19600229       0.046784      0.014202      0.008478      0.009171
19600331       0.009777     -0.012847     -0.024876     -0.013899
19600429      -0.013908     -0.015330     -0.019730     -0.017528
19600531       0.008463      0.033982      0.025546      0.026853
19600630       0.037762      0.023039      0.021609      0.019524
19600729      -0.082656     -0.022708     -0.019598     -0.024772
19600831      -0.028065      0.032258      0.037948      0.026121
19600930      -0.101824     -0.058620     -0.059524     -0.060393
19601031      -0.005111     -0.004797     -0.023230     -0.002429
19601130       0.027397      0.048489      0.046495      0.040270
19601230       0.000000      0.048457      0.037495      0.046273
19610131      -0.048658      0.063879      0.082048      0.063156
19610228      -0.074074      0.036972      0.060130      0.026870
19610330      -0.001905      0.030583      0.049888      0.025536
19610428      -0.057692      0.005664      0.009487      0.003843
19610531       0.057143      0.025810      0.041572      0.019139
19610630      -0.011583     -0.028499     -0.042415     -0.028846
19610731       0.045276      0.029924      0.011517      0.032797
19610831       0.067797      0.026883      0.021358      0.019623
19610929       0.065256     -0.019992     -0.029686     -0.019686
19611031      -0.013333      0.027435      0.020988      0.028323
19611130       0.064189      0.045381      0.046461      0.039347
19611229      -0.038095      0.000746     -0.003757      0.003225
19620131      -0.003322     -0.036179     -0.007807     -0.037876
19620228      -0.005000      0.019502      0.015405      0.016270
19620330       0.036851     -0.004669     -0.006241     -0.005860
19620430      -0.108943     -0.063452     -0.068134     -0.061970
19620531      -0.040146     -0.084680     -0.098186     -0.085990
19620629      -0.087452     -0.082632     -0.085125     -0.081838
19620731       0.115546      0.065504      0.064000      0.063562
19620831       0.032015      0.023414      0.037061      0.015284
19620928      -0.060219     -0.050154     -0.063830     -0.048207
19621031       0.060665      0.002184     -0.039528      0.004443
19621130       0.103321      0.110137      0.121176      0.101557
19621231       0.033445      0.011865     -0.025561      0.013492
19630131       0.019544      0.051848      0.089140      0.049128
19630228      -0.070288     -0.021931     -0.014477     -0.028852
19630329       0.032646      0.032917      0.012027      0.035464
19630430       0.055276      0.047439      0.026890      0.048520
19630531       0.066667      0.020051      0.032306      0.014327
19630628      -0.053571     -0.018030     -0.010383     -0.020198
19630731      -0.011076     -0.001718     -0.006304     -0.003460
19630830       0.043200      0.052684      0.042305      0.048749
19630930      -0.019939     -0.011898     -0.010373     -0.011034
19631031       0.055118      0.027708      0.012208      0.032218
19631129      -0.014925     -0.005549     -0.016139     -0.010539
19631231       0.062727      0.021736     -0.004228      0.024444
19640131       0.008608      0.025790      0.032092      0.026926
19640228      -0.025605      0.017207      0.025173      0.009865
19640331       0.025401      0.017636      0.025510      0.015167
19640430      -0.055874      0.004608      0.001004      0.006077
19640528      -0.016692      0.017403      0.007507      0.011452
19640630      -0.008642      0.015080      0.010411      0.016424
19640731       0.045455      0.020118      0.030161      0.018240
19640831       0.007496     -0.011266     -0.006038     -0.016230
19640930       0.070536      0.030480      0.038248      0.028718
19641030      -0.020979      0.008869      0.018821      0.008078
19641130       0.058571      0.003089     -0.000516     -0.005185
19641231       0.012686      0.003690     -0.012365      0.003909
19650129       0.065684      0.038646      0.071403      0.033156
19650226       0.005031      0.006947      0.032325     -0.001485
19650331       0.001752     -0.009715      0.015393     -0.014526
19650430       0.047739      0.033652      0.041560      0.034239
19650528      -0.008393     -0.004350     -0.005845     -0.007743
19650630      -0.067231     -0.051868     -0.083718     -0.048632
19650730       0.046936      0.016759      0.028633      0.013433
19650831       0.042341      0.030883      0.041844      0.022522
19650930       0.124492      0.031952      0.027420      0.032006
19651029       0.010684      0.029271      0.058679      0.027345
19651130      -0.038055      0.003065      0.046544     -0.008764
19651231       0.043077      0.013545      0.042981      0.008951
19660131      -0.027542      0.012122      0.064170      0.004869
19660228      -0.050109     -0.008621      0.028865     -0.017873
19660331       0.010550     -0.020923     -0.008889     -0.021815
19660429       0.049087      0.024837      0.046619      0.020509
19660531      -0.093580     -0.052539     -0.086024     -0.054140
19660630       0.025450     -0.010317     -0.004988     -0.016138
19660729      -0.100118     -0.012870     -0.016316     -0.013453
19660831      -0.109948     -0.075388     -0.100714     -0.077751
19660930       0.007647     -0.006958     -0.018161     -0.007004
19661031       0.122059      0.042294     -0.014385      0.047544
19661130       0.027523      0.017516      0.040725      0.003117
19661230      -0.090306      0.006210      0.017306     -0.001492
19670131      -0.007062      0.085530      0.172104      0.078178
19670228      -0.018492      0.010945      0.042368      0.001963
19670331      -0.008406      0.043384      0.058244      0.039410
19670428       0.117820      0.041609      0.041928      0.042239
19670531      -0.093544     -0.039293     -0.008098     -0.052441
19670630       0.017733      0.026903      0.081958      0.017512
19670731       0.243165      0.049189      0.083251      0.045344
19670831       0.011574     -0.006282      0.006312     -0.011715
19670929       0.032265      0.034286      0.062963      0.032785
19671031      -0.054627     -0.027433     -0.020594     -0.029056
19671130      -0.017689      0.007902      0.000878      0.001065
19671229      -0.071789      0.033699      0.080465      0.026277
19680131      -0.084635     -0.036330      0.023902     -0.043848
19680229      -0.003983     -0.033624     -0.056118     -0.031223
19680329      -0.005755      0.005116     -0.011218      0.009400
19680430       0.109986      0.094148      0.143031      0.081929
19680531      -0.074055      0.027041      0.091309      0.011169
19680628      -0.021277      0.011527      0.016225      0.009120
19680730      -0.021739     -0.022024     -0.026210     -0.018478
19680830      -0.002963      0.018038      0.035918      0.011459
19680930       0.021100      0.044454      0.068808      0.038539
19681031       0.114370      0.009041      0.006913      0.007208
19681129       0.048684      0.058502      0.071994      0.047964
19681231      -0.051192     -0.033873      0.005896     -0.041617
19690131      -0.011984     -0.006711     -0.001688     -0.008184
19690228      -0.060377     -0.053640     -0.085728     -0.047374
19690328       0.066474      0.030506      0.020290      0.034444
19690430       0.059621      0.020526      0.003459      0.021476
19690529      -0.035806      0.005040      0.006262     -0.002218
19690630      -0.038196     -0.067387     -0.113404     -0.055577
19690731      -0.043056     -0.065172     -0.095823     -0.060178
19690829      -0.027576      0.051490      0.052175      0.040074
19690930       0.022687     -0.022590     -0.024618     -0.025024
19691031      -0.010294      0.055638      0.092413      0.044244
19691128      -0.047548     -0.032164     -0.055078     -0.035274
19691231      -0.024649     -0.019681     -0.066178     -0.018655
19700130      -0.066129     -0.073254     -0.038830     -0.076472
19700227      -0.025907      0.056706      0.040195      0.052693
19700331       0.055319     -0.004729     -0.023712      0.001453
19700430      -0.033898     -0.105318     -0.161963     -0.090483
19700529      -0.068421     -0.064346     -0.090524     -0.060967
19700630       0.026742     -0.051075     -0.073904     -0.050033
19700731       0.138889      0.074169      0.059258      0.073295
19700831       0.021138      0.050036      0.061617      0.044459
19700930       0.083121      0.047536      0.126098      0.032998
19701030       0.019259     -0.018208     -0.058604     -0.011400
19701130       0.027616      0.050448      0.003021      0.047447
19701231       0.069590      0.060723      0.081324      0.056766
19710129       0.057257      0.052030      0.136096      0.040477
19710226       0.089421      0.016913      0.047910      0.009074
19710331       0.041850      0.044778      0.056603      0.036796
19710430       0.097098      0.033332      0.027087      0.036288
19710528      -0.024415     -0.036409     -0.049435     -0.041558
19710630       0.019395      0.003119     -0.017240      0.000703
19710730      -0.121399     -0.040283     -0.053634     -0.041324
19710831       0.161592      0.042511      0.041159      0.036095
19710930      -0.002419     -0.005016     -0.004653     -0.006968
19711029      -0.052846     -0.040682     -0.057468     -0.041794
19711130       0.025751     -0.001262     -0.034150     -0.002547
19711231       0.053975      0.091257      0.117128      0.086179
19720131      -0.009980      0.028383      0.103892      0.018121
19720229      -0.022177      0.031349      0.041809      0.025303
19720330       0.071753      0.008722     -0.000951      0.005912
19720428       0.046422      0.005505      0.001231      0.004384
19720531       0.016636      0.016375     -0.018121      0.017275
19720630      -0.038545     -0.020896     -0.033775     -0.021821
19720731      -0.041825     -0.004254     -0.029488      0.002333
19720831       0.055556      0.035966      0.012252      0.034454
19720929       0.003383     -0.007671     -0.030725     -0.004861
19721031      -0.037665      0.008676     -0.013767      0.009317
19721130       0.068102      0.049764      0.051096      0.045617
19721229       0.073665      0.011243     -0.019873      0.011828
19730131      -0.039451     -0.027455     -0.026133     -0.017111
19730228      -0.039643     -0.044368     -0.072836     -0.037490
19730330      -0.035514     -0.007851     -0.028981     -0.001433
19730430      -0.081395     -0.051759     -0.070620     -0.040800
19730531       0.004219     -0.024503     -0.083582     -0.018884
19730629      -0.029832     -0.008647     -0.037745     -0.006575
19730731       0.093682      0.056954      0.105922      0.037982
19730831      -0.057769     -0.029648     -0.044417     -0.036685
19730928       0.072304      0.053937      0.072995      0.040096
19731031       0.037698     -0.000427      0.000303     -0.001291
19731130      -0.028298     -0.120703     -0.175252     -0.113861
19731231      -0.001980      0.011425     -0.041764      0.016569
19740131      -0.049603      0.004408      0.132374     -0.010046
19740228      -0.047599      0.002352      0.008623     -0.003624
19740329      -0.041943     -0.023365      0.008379     -0.023280
19740430      -0.059908     -0.045957     -0.055537     -0.039051
19740531      -0.053922     -0.041982     -0.072545     -0.033551
19740628       0.029016     -0.022942     -0.033483     -0.014665
19740731      -0.126904     -0.070879     -0.051915     -0.077791
19740830      -0.119186     -0.087756     -0.085788     -0.090279
19740930      -0.164356     -0.109718     -0.079025     -0.119335
19741031       0.224000      0.165585      0.088877      0.163047
19741129      -0.029412     -0.041047     -0.051395     -0.053180
19741231      -0.090236     -0.027005     -0.080744     -0.020151
19750131       0.157303      0.141600      0.299260      0.122812
19750228       0.152751      0.058411      0.053918      0.059886
19750331       0.042493      0.030191      0.081497      0.021694
19750430       0.000000      0.046497      0.031093      0.047265
19750530      -0.013587      0.055140      0.072876      0.044101
19750630       0.168595      0.051473      0.071792      0.044323
19750731      -0.102138     -0.060385     -0.008960     -0.067654
19750829      -0.021164     -0.023557     -0.048118     -0.021070
19750930      -0.040000     -0.038010     -0.038867     -0.034645
19751031       0.093750      0.055857      0.014720      0.061643
19751128       0.002597      0.031223      0.016796      0.024708
19751231      -0.035751     -0.010998     -0.000599     -0.011508
19760130       0.214092      0.126011      0.190037      0.118306
19760227      -0.046875      0.007314      0.106291     -0.011402
19760331      -0.008899      0.026799      0.018109      0.030689
19760430       0.023810     -0.010389     -0.003810     -0.010995
19760528      -0.053488     -0.009369     -0.019680     -0.014364
19760630       0.130713      0.044487      0.026510      0.040926
19760730      -0.045952     -0.006157      0.002236     -0.008055
19760831      -0.027523     -0.001435     -0.016673     -0.005124
19760930       0.029717      0.024484      0.016990      0.022641
19761029      -0.013857     -0.020373     -0.022586     -0.022235
19761130      -0.051522      0.005364      0.026686     -0.007775
19761231       0.107654      0.061591      0.102410      0.052498
19770131      -0.049438     -0.036337      0.036903     -0.050530
19770228      -0.044917     -0.015760      0.004400     -0.021660
19770331      -0.018317     -0.009246      0.010654     -0.014025
19770429       0.096692      0.004952      0.016931      0.000203
19770531       0.006961     -0.010785      0.002870     -0.023568
19770630       0.051613      0.051367      0.051503      0.045360
19770729      -0.037611     -0.012810      0.012362     -0.016222
19770831      -0.018391     -0.013352     -0.001233     -0.021042
19770930      -0.029508      0.001574      0.014968     -0.002480
19771031      -0.021951     -0.039280     -0.023190     -0.043406
19771130       0.010973      0.045432      0.070872      0.026966
19771230      -0.004988      0.008218      0.021081      0.002847
19780131      -0.082707     -0.055202     -0.011152     -0.061514
19780228      -0.021858     -0.009275      0.026008     -0.024762
19780331       0.054190      0.034013      0.067839      0.024931
19780428       0.120643      0.082841      0.079317      0.085416
19780531       0.011962      0.023238      0.067620      0.004234
19780630      -0.032624     -0.010751      0.010292     -0.017585
19780731       0.061881      0.056749      0.052394      0.053910
19780831       0.011655      0.042352      0.093545      0.025924
19780929      -0.013364     -0.006891      0.006200     -0.007261
19781031      -0.101655     -0.110997     -0.177280     -0.091574
19781130       0.005789      0.033792      0.038205      0.016640
19781229       0.000000      0.017710      0.014346      0.014889
19790131       0.023873      0.049489      0.093661      0.039746
19790228      -0.033161     -0.026766     -0.016269     -0.036526
19790330       0.043478      0.065618      0.084167      0.055152
19790430       0.023438      0.008522      0.028814      0.001673
19790531       0.014249     -0.013576     -0.006845     -0.026336
19790629       0.017812      0.046850      0.054663      0.038656
19790731       0.035000      0.014991      0.021366      0.008746
19790831       0.028986      0.064728      0.075616      0.053078
19790928      -0.033803      0.001428     -0.001172      0.000000
19791031      -0.046798     -0.072660     -0.097915     -0.068606
19791130      -0.032041      0.063603      0.065295      0.042624
19791231       0.097561      0.028212      0.067485      0.016767
19800131       0.086420      0.065607      0.105129      0.057625
19800229      -0.073636      0.001015     -0.006301     -0.004380
19800331      -0.042289     -0.120224     -0.165043     -0.101795
19800430      -0.012987      0.052288      0.053461      0.041140
19800530       0.057895      0.060090      0.071249      0.046571
19800630       0.040404      0.037714      0.046176      0.026969
19800731       0.092233      0.069438      0.089279      0.065039
19800829      -0.031111      0.023553      0.063984      0.005835
19800930      -0.020642      0.029498      0.052459      0.025168
19801031       0.028504      0.020093      0.047525      0.016021
19801128       0.143187      0.104951      0.069205      0.102377
19801231       0.002020     -0.034409     -0.032416     -0.033874
19810130       0.000000     -0.040085      0.005615     -0.045742
19810227       0.089796      0.015521      0.002150      0.013277
19810331       0.014981      0.046184      0.072674      0.036033
19810430      -0.020522     -0.011268      0.027885     -0.023456
19810529       0.001905      0.013551      0.027187     -0.001657
19810630      -0.046768     -0.010242     -0.013194     -0.010408
19810731      -0.014141     -0.003080     -0.019980     -0.002210
19810831      -0.084016     -0.056279     -0.071906     -0.062099
19810930      -0.003579     -0.063772     -0.090061     -0.053832
19811030      -0.011390      0.060162      0.069728      0.049148
19811130       0.112903      0.045849      0.021667      0.036590
19811231      -0.036439     -0.028096     -0.019694     -0.030075
19820129       0.089325     -0.026209     -0.017347     -0.017544
19820226       0.006000     -0.051126     -0.047987     -0.060548
19820331       0.020676     -0.010099     -0.012064     -0.010167
19820430       0.011834      0.043267      0.052242      0.040014
19820528      -0.035088     -0.028212     -0.022490     -0.039162
19820630       0.042020     -0.023912     -0.036699     -0.020290
19820730       0.033399     -0.020526     -0.014776     -0.022991
19820831       0.144487      0.119013      0.063285      0.115977
19820930       0.004651      0.016761      0.033164      0.007614
19821029       0.148829      0.118636      0.128447      0.110364
19821130       0.087045      0.051935      0.092037      0.036123
19821231       0.025676      0.014516      0.023447      0.015158
19830131       0.090909      0.041850      0.117062      0.033134
19830228       0.048309      0.030218      0.047266      0.018995
19830331      -0.024424      0.034673      0.050515      0.033095
19830429       0.065476      0.074188      0.080687      0.074922
19830531      -0.075978      0.013224      0.091740     -0.012346
19830630       0.073277      0.037837      0.046341      0.035224
19830729      -0.093182     -0.031567     -0.017556     -0.033014
19830831       0.025063      0.003464     -0.032920      0.011319
19830930       0.041076      0.016059      0.000051      0.010158
19831031      -0.018957     -0.028049     -0.059273     -0.015174
19831130       0.113527      0.029556      0.031713      0.017426
19831230       0.026258     -0.010464     -0.019672     -0.008834
19840131      -0.072495     -0.013023      0.005424     -0.009216
19840229      -0.043678     -0.039073     -0.050767     -0.038859
19840330       0.064904      0.013389      0.007449      0.013498
19840430       0.011390      0.002534     -0.020524      0.005466
19840531      -0.042793     -0.052342     -0.051570     -0.059356
19840629      -0.002353      0.023385      0.011996      0.017469
19840731       0.000000     -0.020621     -0.050303     -0.016451
19840831       0.078571      0.112689      0.088817      0.106332
19840928      -0.006623      0.000404     -0.000377     -0.003480
19841031       0.031390     -0.000074     -0.023756     -0.000060
19841130      -0.027391     -0.010685     -0.031506     -0.015112
19841231       0.022573      0.023656      0.002732      0.022374
19850131       0.128035      0.085718      0.121475      0.074085
19850228       0.004697      0.016896      0.046034      0.008685
19850329      -0.070727     -0.001747     -0.003581     -0.002925
19850430       0.000000     -0.002186     -0.009652     -0.004594
19850531       0.034672      0.055775      0.022221      0.054051
