date           axp           vw            ew            sp
20011113       0.001870      0.018556      0.013954      0.018563
20011114       0.039813      0.003487      0.007525      0.001861
20011115       0.028717      0.000042      0.000388      0.000903
20011116      -0.036639     -0.001695      0.006130     -0.003143
20011119       0.032297      0.011673      0.011591      0.010899
20011120      -0.016082     -0.008249     -0.004841     -0.007298
20011121      -0.004458     -0.004484      0.000342     -0.004927
20011123       0.025970      0.011706      0.010424      0.011706
20011126       0.021821      0.007420      0.005665      0.006155
20011127      -0.015376     -0.005082      0.001708     -0.006843
20011128      -0.026894     -0.017360     -0.009929     -0.018251
20011129      -0.009807      0.011217      0.009191      0.010350
20011130      -0.012305     -0.000941      0.001063     -0.000658
20011203      -0.023397     -0.008419     -0.007398     -0.008381
20011204       0.037648      0.014745      0.011957      0.013187
20011205       0.037781      0.023126      0.016936      0.022318
20011206       0.015891     -0.001088      0.006299     -0.002777
20011207      -0.013083     -0.007337      0.001813     -0.007531
20011210      -0.020173     -0.015036     -0.007343     -0.015868
20011211       0.007647     -0.001749      0.002873     -0.002781
20011212      -0.024518      0.000533      0.002107      0.000273
20011213      -0.024536     -0.015390     -0.008347     -0.015558
20011214      -0.010429      0.003488      0.002313      0.003314
20011217       0.027588      0.010374      0.005081      0.010035
20011218       0.006938      0.008045      0.007093      0.007546
20011219       0.036549      0.003686     -0.002734      0.005810
20011220      -0.030347     -0.009350     -0.008643     -0.008377
20011221       0.007452      0.006057      0.010187      0.004351
20011224       0.013609      0.000233      0.003546     -0.000210
20011226       0.012843      0.005234      0.007184      0.004124
20011227       0.008646      0.006922      0.008021      0.006752
20011228       0.030000      0.004373      0.009310      0.003362
20011231      -0.009986     -0.009728      0.006616     -0.011145
20020102       0.007565      0.003861      0.007912      0.005740
20020103       0.015886      0.009825      0.012917      0.009180
20020104       0.034842      0.006973      0.011262      0.006213
20020107      -0.003181     -0.006549     -0.000112     -0.006499
20020108      -0.014628     -0.002450      0.004921     -0.003588
20020109       0.002699     -0.004265      0.000727     -0.004799
20020110       0.016689      0.000596      0.000376      0.001221
20020111      -0.009267     -0.008778     -0.003945     -0.009468
20020114      -0.031267     -0.008137     -0.010397     -0.006276
20020115       0.041379      0.005728      0.001003      0.006834
20020116      -0.029404     -0.016277     -0.011005     -0.016245
20020117       0.014192      0.010150      0.006986      0.010030
20020118      -0.003767     -0.010135     -0.006146     -0.009922
20020122       0.005673     -0.007823     -0.008101     -0.007334
20020123      -0.020951      0.008839      0.007762      0.007925
20020124       0.008230      0.004045      0.005587      0.003519
20020125       0.006531      0.000956      0.000237      0.000998
20020128      -0.018924      0.000096      0.000445     -0.000194
20020129      -0.050978     -0.025347     -0.011386     -0.028613
20020130       0.024971      0.010250      0.003630      0.011748
20020131       0.015581      0.013193      0.009543      0.014934
20020201      -0.020921     -0.006438     -0.002154     -0.007078
20020204      -0.047863     -0.023837     -0.016156     -0.024737
20020205       0.032316     -0.004843     -0.007864     -0.004039
20020206      -0.046377     -0.007175     -0.009993     -0.005972
20020207       0.004559     -0.003575     -0.005935     -0.003083
20020208       0.024206      0.015816      0.011971      0.014859
20020211      -0.009749      0.013412      0.007842      0.014340
20020212      -0.015811     -0.003404     -0.000153     -0.003993
20020213       0.030918      0.009550      0.005813      0.009941
20020214       0.016760     -0.002469     -0.004788     -0.001815
20020215      -0.026027     -0.010288     -0.003774     -0.011017
20020219      -0.012767     -0.018887     -0.014655     -0.018874
20020220       0.017744      0.012911      0.004968      0.013514
20020221      -0.012411     -0.014497     -0.008789     -0.015510
20020222       0.006882      0.007244      0.003895      0.008224
20020225       0.041308      0.016479      0.005126      0.017975
20020226       0.005708      0.001060      0.003447     -0.000045
20020227       0.015040      0.001076      0.002708      0.000460
20020228       0.019010     -0.002921     -0.001050     -0.002847
20020301       0.023594      0.021882      0.012219      0.022634
20020304       0.055481      0.020404      0.015146      0.019491
20020305      -0.008380     -0.004813      0.002754     -0.006673
20020306       0.022279      0.013939      0.012605      0.014510
20020307      -0.010271     -0.003777      0.003764     -0.004498
20020308       0.024298      0.006938      0.008687      0.005849
20020311       0.026686      0.002798      0.004547      0.003393
20020312      -0.011071     -0.002864     -0.002666     -0.002294
20020313      -0.015089     -0.009098     -0.003446     -0.009858
20020314       0.003459     -0.000028      0.003730     -0.000910
20020315       0.037922      0.010227      0.004629      0.011379
20020318      -0.004745      0.001270      0.004768     -0.000523
20020319       0.013826      0.003376      0.002590      0.004067
20020320      -0.016224     -0.014431     -0.005623     -0.015757
20020321      -0.019598      0.003156      0.006352      0.001511
20020322       0.001950     -0.004250     -0.000429     -0.004239
20020325      -0.017518     -0.014355     -0.007031     -0.014651
20020326       0.005448      0.005794      0.004707      0.005849
20020327       0.014532      0.005503      0.005685      0.005349
20020328      -0.005584      0.003004      0.005548      0.002455
20020401      -0.018799     -0.001031     -0.001193     -0.000741
20020402      -0.008211     -0.008670     -0.004700     -0.008530
20020403      -0.006523     -0.009518     -0.005966     -0.009993
20020404       0.015941      0.000926      0.000767      0.000835
20020405       0.013699     -0.002546     -0.000043     -0.003205
20020408      -0.001474      0.002961      0.002514      0.002280
20020409       0.014518     -0.005548     -0.001593     -0.006656
20020410       0.004123      0.011457      0.008543      0.011335
20020411      -0.029710     -0.021333     -0.010047     -0.023689
20020412       0.006473      0.008234      0.011353      0.006632
20020415      -0.006678     -0.006006     -0.001132     -0.007615
20020416       0.029880      0.021980      0.016456      0.023418
20020417      -0.005077     -0.001978      0.001004     -0.002038
20020418       0.030134     -0.001515      0.003124     -0.001421
20020419       0.024534      0.000706      0.002048      0.000623
20020422      -0.019111     -0.014746     -0.008461     -0.015411
20020423       0.005634     -0.005248     -0.001445     -0.006201
20020424      -0.006536     -0.006102     -0.002370     -0.007103
20020425       0.001175     -0.001792     -0.002208     -0.001519
20020426      -0.013142     -0.013435     -0.009094     -0.013889
20020429      -0.024970     -0.008787     -0.006308     -0.010099
20020430       0.000244      0.012133      0.009809      0.010765
20020501       0.017801      0.007541      0.001008      0.008859
20020502       0.011500     -0.001712      0.000093     -0.001749
20020503      -0.009000     -0.008930     -0.001775     -0.010262
20020506      -0.017447     -0.018276     -0.011319     -0.019340
20020507      -0.010946     -0.003723     -0.005558     -0.003021
20020508       0.050172      0.034509      0.019042      0.037504
20020509      -0.011007     -0.013948     -0.008017     -0.014547
20020510      -0.017286     -0.015415     -0.008235     -0.016794
20020513       0.036145      0.017057      0.007366      0.018550
20020514       0.034651      0.020972      0.015261      0.021144
20020515       0.008541     -0.003359      0.000829     -0.005659
20020516      -0.008246      0.003521     -0.000967      0.006562
20020517      -0.006966      0.006993      0.003753      0.007612
20020520      -0.020140     -0.011941     -0.005644     -0.013293
20020521      -0.023326     -0.011173     -0.008594     -0.010990
20020522       0.002601      0.003711     -0.002238      0.005686
20020523       0.012028      0.010493      0.007425      0.010184
20020524      -0.008856     -0.011318     -0.004770     -0.012087
20020528      -0.019986     -0.006833     -0.001733     -0.008553
20020529       0.016315     -0.006582     -0.005691     -0.006412
20020530      -0.002597     -0.002334     -0.000976     -0.002810
20020531       0.006154      0.002109      0.003404      0.002329
20020603      -0.033404     -0.023899     -0.017752     -0.024795
20020604      -0.024337     -0.001435     -0.003785      0.000010
20020605       0.022948      0.007668      0.000200      0.008850
20020606      -0.015850     -0.018334     -0.014824     -0.019764
20020607      -0.029732     -0.000228      0.001636     -0.001574
20020610       0.012002      0.001734     -0.002960      0.003124
20020611      -0.022710     -0.015949     -0.008842     -0.016629
20020612      -0.041053      0.004640     -0.004264      0.006571
20020613      -0.032849     -0.010333     -0.006959     -0.010488
20020614       0.001114     -0.000920      0.000334     -0.002268
20020617       0.062291      0.026845      0.014616      0.028691
20020618       0.013089      0.000338     -0.000402      0.000936
20020619      -0.018605     -0.015507     -0.014483     -0.016536
20020620      -0.015008     -0.012605     -0.003521     -0.013432
20020621      -0.002940     -0.014396     -0.002232     -0.017043
20020624      -0.005362      0.001286     -0.005019      0.003619
20020625      -0.021024     -0.015442     -0.007741     -0.016702
20020626      -0.017897     -0.003259     -0.008433     -0.002674
20020627       0.039529      0.016340      0.011496      0.017575
20020628      -0.020496      0.002094      0.011970     -0.000838
20020701       0.021751     -0.021975     -0.018510     -0.021378
20020702      -0.005389     -0.022420     -0.022557     -0.021225
20020703      -0.017377      0.003620     -0.004777      0.006223
20020705       0.032053      0.034435      0.022114      0.036730
20020708      -0.009371     -0.011246     -0.007741     -0.012184
20020709      -0.022703     -0.021884     -0.006818     -0.024719
20020710      -0.036781     -0.029820     -0.016331     -0.033962
20020711       0.005742      0.005021     -0.004136      0.007496
20020712      -0.001427     -0.005820     -0.001544     -0.006448
20020715      -0.038308     -0.004881     -0.010128     -0.003755
20020716       0.007134     -0.014202     -0.000385     -0.018389
20020717       0.003837      0.005968      0.005131      0.005538
20020718      -0.014113     -0.025067     -0.013686     -0.027019
20020719      -0.056069     -0.032928     -0.019195     -0.038341
20020722      -0.084676     -0.032104     -0.021154     -0.032922
20020723      -0.010701     -0.029560     -0.031139     -0.027017
20020724       0.061759      0.052329      0.017954      0.057315
20020725      -0.005587     -0.005711     -0.003157     -0.005620
20020726      -0.002974      0.014900      0.007119      0.016884
20020729       0.110043      0.053158      0.034957      0.054078
20020730       0.012840      0.004749      0.005459      0.004249
20020731       0.039505      0.005625     -0.003660      0.009792
20020801      -0.025525     -0.025851     -0.008909     -0.029574
20020802      -0.038999     -0.022518     -0.017869     -0.023082
20020805      -0.080557     -0.032876     -0.021302     -0.034296
20020806       0.054018      0.030123      0.021542      0.029919
20020807       0.033437      0.016787      0.004274      0.020010
20020808       0.059873      0.029333      0.010702      0.032722
20020809       0.025678      0.003404      0.002449      0.003512
20020812      -0.013074     -0.003856      0.000035     -0.005327
20020813      -0.018320     -0.020233     -0.011727     -0.021675
20020814       0.044215      0.035455      0.016210      0.040047
20020815       0.029695      0.011742      0.004772      0.011559
20020816      -0.017357      0.000814      0.006803     -0.001591
20020819       0.022554      0.020990      0.011822      0.023633
20020820      -0.029498     -0.012103     -0.004417     -0.013979
20020821       0.013965      0.013572      0.016576      0.012726
20020822       0.031326      0.012744      0.011882      0.014052
20020823      -0.022257     -0.021593     -0.009216     -0.022686
20020826       0.019014      0.008397      0.010780      0.007536
20020827      -0.025230     -0.014292     -0.010767     -0.013851
20020828      -0.022917     -0.017662     -0.013288     -0.018132
20020829      -0.005795      0.001898      0.003511     -0.000076
20020830       0.000833     -0.002305      0.002642     -0.001885
20020903      -0.075430     -0.038205     -0.023480     -0.041536
20020904       0.034793      0.017211      0.011838      0.017517
20020905      -0.011304     -0.015446     -0.013083     -0.015950
20020906       0.017297      0.017536      0.014916      0.016800
20020909       0.004611      0.008654      0.000346      0.010113
20020910       0.004016      0.006445      0.002800      0.007331
20020911      -0.006000      0.000665      0.002429     -0.000143
20020912      -0.027307     -0.022887     -0.010854     -0.024784
20020913       0.010343      0.003234      0.002254      0.003270
20020916       0.019011     -0.000154     -0.006230      0.001450
20020917      -0.045637     -0.018422     -0.012222     -0.019728
20020918      -0.023759     -0.005133     -0.006676     -0.004648
20020919      -0.028035     -0.028746     -0.017938     -0.030065
20020920       0.007290      0.002184      0.000695      0.002455
20020923      -0.016048     -0.014826     -0.019453     -0.013828
20020924      -0.009914     -0.015074     -0.011324     -0.017284
20020925       0.023902      0.023955      0.015988      0.024863
20020926       0.037539      0.017222      0.007838      0.018210
20020927      -0.042870     -0.028401     -0.014741     -0.032259
20020930      -0.009530     -0.012032     -0.003513     -0.014600
20021001       0.049391      0.033730      0.008315      0.040010
20021002      -0.044010     -0.022599     -0.011971     -0.023587
20021003      -0.039744     -0.011205     -0.006104     -0.010822
20021004      -0.047730     -0.022214     -0.016284     -0.022431
20021007      -0.067648     -0.020359     -0.021464     -0.019111
20021008       0.067669      0.014051     -0.002010      0.016898
20021009      -0.037676     -0.027466     -0.024272     -0.027287
20021010       0.072082      0.033869      0.015295      0.034966
20021011       0.053584      0.036799      0.025612      0.039059
20021014       0.007451      0.006554      0.003361      0.007327
20021015       0.084244      0.045152      0.031362      0.047336
20021016      -0.045077     -0.023027     -0.011603     -0.024113
20021017       0.059006      0.023708      0.025593      0.022302
20021018      -0.008798      0.004823      0.002479      0.005903
20021021       0.018935      0.016405      0.010109      0.017334
20021022      -0.009001     -0.011258     -0.005768     -0.010626
20021023      -0.012599      0.007436      0.012537      0.006718
20021024      -0.033828     -0.013228      0.001435     -0.015221
20021025       0.017506      0.016323      0.013771      0.017167
20021028       0.033806     -0.007502      0.000284     -0.008266
20021029       0.019854     -0.009314     -0.004004     -0.009076
20021030       0.034354      0.010541      0.012305      0.009704
20021031       0.006643     -0.003733      0.005764     -0.005557
20021101      -0.003299      0.017048      0.017765      0.017160
20021104       0.035310      0.008633      0.014831      0.008191
20021105      -0.024780      0.006160      0.002024      0.007761
20021106       0.006284      0.009802      0.015740      0.009144
20021107      -0.036112     -0.021772     -0.010876     -0.022852
20021108       0.001408     -0.008825     -0.003371     -0.008763
20021111      -0.011252     -0.020447     -0.014164     -0.020732
20021112      -0.002560      0.008296      0.008828      0.007715
20021113       0.003993     -0.000286      0.000303     -0.000476
20021114       0.049716      0.024057      0.017255      0.024634
20021115       0.018945      0.006033      0.002716      0.006149
20021118      -0.024170     -0.009044     -0.001622     -0.010409
20021119       0.014153     -0.004533     -0.003086     -0.004021
20021120       0.034353      0.018459      0.015659      0.019415
20021121       0.022314      0.021225      0.018407      0.021452
20021122       0.002792     -0.001961      0.005707     -0.003438
20021125      -0.003290      0.003407      0.011775      0.002504
20021126      -0.037329     -0.019731     -0.005681     -0.020978
20021127       0.032445      0.027208      0.021848      0.027986
20021129      -0.005365     -0.002590      0.004977     -0.002727
20021202      -0.007963     -0.000059      0.003977     -0.001901
20021203      -0.015795     -0.014827     -0.009906     -0.014745
20021204      -0.006051     -0.003824     -0.004973     -0.003454
20021205      -0.011117     -0.010754     -0.005963     -0.012010
20021206       0.006424      0.005748      0.002654      0.006266
20021209      -0.026596     -0.021671     -0.018128     -0.022176
20021210       0.008470      0.014142      0.008876      0.013957
20021211      -0.006773      0.000958      0.001548      0.000564
20021212      -0.000273     -0.002190      0.001730     -0.003724
20021213      -0.019373     -0.013072     -0.009734     -0.013432
20021216       0.024485      0.021636      0.009171      0.023519
20021217      -0.000815     -0.007767     -0.005430     -0.008139
20021218      -0.020386     -0.013188     -0.012766     -0.013145
20021219      -0.004162     -0.006748     -0.004199     -0.007709
20021220       0.031485      0.011626      0.004411      0.013005
20021223      -0.002971      0.002615      0.001974      0.001820
20021224      -0.012192     -0.004798      0.001012     -0.005471
20021226      -0.000549     -0.001640      0.002201     -0.003149
20021227      -0.020856     -0.015066     -0.005237     -0.016029
20021230      -0.000561      0.003483     -0.003508      0.004558
20021231      -0.006450      0.001785      0.010114      0.000489
20030102       0.037341      0.030452      0.019650      0.033200
20030103       0.003545     -0.000338      0.002080     -0.000484
20030106       0.035054      0.020190      0.013205      0.022474
20030107      -0.013389     -0.006518     -0.001248     -0.006545
20030108      -0.007451     -0.013260     -0.006641     -0.014086
20030109       0.021180      0.018155      0.013169      0.019397
20030110       0.002363      0.000584      0.004003     -0.000011
20030113       0.009429     -0.001120      0.001845     -0.001412
20030114      -0.002854      0.005332      0.007405      0.005830
20030115      -0.019776     -0.012338     -0.002847     -0.014426
20030116      -0.007964     -0.002893      0.000278     -0.003942
20030117      -0.011774     -0.013853     -0.009388     -0.014017
20030121      -0.026537     -0.015314     -0.007848     -0.015702
20030122      -0.024200     -0.008939     -0.003619     -0.010432
20030123       0.005416      0.010001      0.006407      0.010224
20030124      -0.044514     -0.026121     -0.013736     -0.029233
20030127      -0.008309     -0.016344     -0.014203     -0.016160
20030128       0.047876      0.011880      0.007776      0.013050
20030129       0.003998      0.006300      0.002176      0.006779
20030130      -0.012514     -0.020069     -0.010819     -0.022849
20030131       0.023329      0.012656      0.007724      0.013130
20030203       0.004785      0.003553     -0.001581      0.005399
20030204      -0.028011     -0.012517     -0.005435     -0.014088
20030205      -0.001441     -0.004551     -0.001873     -0.005435
20030206      -0.025686     -0.006254     -0.004201     -0.006449
20030207      -0.000592     -0.010230     -0.008207     -0.010094
20030210      -0.005039      0.006078      0.002065      0.007569
20030211      -0.011915     -0.006161     -0.002401     -0.008098
20030212      -0.020199     -0.012211     -0.009056     -0.012687
20030213       0.001538     -0.001821     -0.005069     -0.001600
20030214       0.018433      0.018219      0.007774      0.021435
20030218       0.034691      0.019321      0.012795      0.019500
20030219      -0.001458     -0.006939     -0.004330     -0.007096
20030220      -0.016934     -0.007045      0.000068     -0.009501
20030221      -0.000594      0.012361      0.007663      0.013224
20030224      -0.019911     -0.016699     -0.009060     -0.018381
20030225       0.002426      0.006280      0.001183      0.007195
20030226      -0.009982     -0.011317     -0.005578     -0.013141
20030227       0.010694      0.011222      0.006534      0.011758
20030228       0.015115      0.004280      0.002400      0.004622
20030303      -0.012508     -0.006390     -0.002279     -0.007537
20030304      -0.012063     -0.013816     -0.007087     -0.015357
20030305       0.011600      0.007481     -0.000908      0.009562
20030306      -0.017803     -0.008136     -0.005656     -0.009339
20030307       0.015975      0.006951     -0.000818      0.008259
20030310      -0.035984     -0.022831     -0.013407     -0.025830
20030311      -0.009097     -0.007927     -0.003246     -0.008359
20030312      -0.003166      0.002232     -0.002819      0.004321
20030313       0.049222      0.032048      0.018382      0.034457
20030314       0.013317      0.001429      0.001858      0.001647
20030317       0.065114      0.032615      0.017443      0.035427
20030318       0.011217      0.004911      0.006423      0.004242
20030319       0.006656      0.006766      0.003193      0.008737
20030320       0.011019      0.003069      0.004272      0.001888
20030321       0.031608      0.021151      0.012870      0.022977
20030324      -0.039884     -0.032822     -0.018122     -0.035231
20030325      -0.029986      0.011788      0.009332      0.012161
20030326      -0.002269     -0.004861     -0.002183     -0.005476
20030327      -0.021319     -0.000740      0.002096     -0.001644
20030328      -0.006099     -0.004283      0.001637     -0.005780
20030331      -0.028930     -0.015744     -0.004040     -0.017742
20030401       0.011736      0.010747      0.005803      0.012144
20030402       0.035693      0.024909      0.015608      0.026116
20030403      -0.001727     -0.004769      0.001672     -0.005052
20030404       0.023068      0.001555      0.001335      0.002738
20030407       0.008174      0.002208      0.006788      0.001229
20030408      -0.015096     -0.001748     -0.002761     -0.001864
20030409      -0.023559     -0.011706     -0.002265     -0.014004
20030410       0.013663      0.005246      0.001808      0.006455
20030411      -0.007169     -0.002874     -0.000026     -0.003763
20030414       0.028596      0.017887      0.010061      0.019498
20030415       0.036226      0.006341      0.005279      0.006303
20030416      -0.014905     -0.010234     -0.001028     -0.012236
20030417       0.020083      0.015181      0.012428      0.015536
20030421      -0.016451     -0.000384      0.004999     -0.001757
20030422       0.038936      0.020175      0.012474      0.021704
20030423      -0.009765      0.008327      0.009150      0.008394
20030424      -0.012527     -0.008320     -0.001952     -0.008259
20030425      -0.009717     -0.012571     -0.003923     -0.013846
20030428       0.021804      0.016856      0.012453      0.017835
20030429       0.006402      0.003247      0.005032      0.003279
20030430       0.003446      0.000718      0.007256     -0.001002
20030501      -0.002905      0.000254      0.003821     -0.000676
20030502       0.018808      0.014884      0.016049      0.015039
20030505      -0.003900     -0.000874      0.008763     -0.003795
20030506       0.020621      0.008623      0.008582      0.008461
20030507      -0.002302     -0.004809      0.000447     -0.005105
20030508      -0.018969     -0.009288     -0.003033     -0.010058
20030509       0.039979      0.013521      0.012392      0.014278
20030512       0.015578      0.012281      0.011639      0.012535
20030513      -0.002969     -0.001892      0.003896     -0.002973
20030514       0.002730     -0.001458      0.005048     -0.003205
20030515       0.014353      0.006901      0.007443      0.007868
20030516      -0.009027     -0.002021     -0.001224     -0.002504
20030519      -0.022895     -0.022016     -0.010426     -0.024918
20030520      -0.000756     -0.000308     -0.000089     -0.001129
20030521       0.010842      0.003965      0.003873      0.004012
20030522      -0.003492      0.009071      0.008584      0.009151
20030523       0.001001      0.002716      0.007249      0.001449
20030527       0.018255      0.018617      0.015815      0.019567
20030528       0.022348      0.001870      0.006603      0.001829
20030529      -0.014413     -0.002382      0.006375     -0.003756
20030530       0.015355      0.014917      0.015390      0.014690
20030602       0.017283      0.004381      0.006590      0.003539
20030603      -0.000708      0.003598      0.003286      0.004716
20030604       0.026210      0.015281      0.016344      0.015110
20030605       0.000920      0.005794      0.010643      0.003954
20030606      -0.007356     -0.003343      0.000103     -0.002404
20030609      -0.009495     -0.012585     -0.007604     -0.011977
20030610       0.007716      0.009563      0.008610      0.009130
20030611       0.012761      0.013381      0.010952      0.012835
20030612      -0.000229      0.001634      0.004598      0.001033
20030613      -0.004812     -0.009964     -0.007079     -0.009915
20030616       0.026710      0.020521      0.011857      0.022385
20030617      -0.013007      0.001215      0.004297      0.000910
20030618      -0.002272     -0.001681      0.001248     -0.001552
20030619      -0.019813     -0.014225     -0.006852     -0.015236
20030620      -0.002556     -0.000031     -0.000009      0.000995
20030623      -0.018635     -0.014825     -0.014388     -0.014111
20030624       0.009494      0.001760      0.001420      0.001834
20030625      -0.001411     -0.005038      0.002592     -0.008267
20030626       0.002825      0.010581      0.007697      0.010776
20030627      -0.003992     -0.007565     -0.000192     -0.009738
20030630      -0.014380     -0.001249      0.000404     -0.001762
20030701       0.004784      0.006776      0.003256      0.008025
20030702       0.009067      0.012673      0.016164      0.011646
20030703      -0.000473     -0.006432     -0.001650     -0.008111
20030707       0.030755      0.017837      0.015419      0.018992
20030708       0.014919      0.004629      0.010532      0.003405
20030709      -0.009272     -0.003129      0.007287     -0.005586
20030710      -0.011869     -0.013121     -0.006726     -0.013480
20030711       0.015477      0.008939      0.008204      0.009548
20030714       0.032757      0.007308      0.009623      0.005731
20030715      -0.005727     -0.004230     -0.002720     -0.003427
20030716       0.008861     -0.006050     -0.002466     -0.006417
20030717      -0.015810     -0.014488     -0.017620     -0.012344
20030718       0.016064      0.010636      0.006940      0.011806
20030721      -0.023715     -0.013145     -0.007817     -0.014618
20030722       0.006973      0.009224      0.007835      0.009512
20030723      -0.002010      0.002131      0.003378      0.000506
20030724      -0.006267     -0.005792     -0.000209     -0.007091
20030725       0.027027      0.014814      0.006072      0.017400
20030728      -0.012939     -0.000092      0.005780     -0.002163
20030729      -0.003555     -0.005698      0.000195     -0.007265
20030730      -0.011148     -0.002028     -0.002190     -0.001809
20030731      -0.004059      0.002949      0.004928      0.002856
20030801      -0.016980     -0.009932     -0.008219     -0.010259
20030804       0.005758      0.000616     -0.002816      0.002724
20030805      -0.027937     -0.015914     -0.007774     -0.017663
20030806       0.025913      0.000031     -0.004450      0.001678
20030807       0.015844      0.005846     -0.000407      0.007280
20030808       0.003165      0.003424      0.001690      0.003562
20030811      -0.006760      0.004932      0.006635      0.003069
20030812       0.018603      0.010297      0.009272      0.009953
20030813      -0.002450     -0.004396      0.002129     -0.006382
20030814       0.016968      0.005482      0.005284      0.006585
20030815      -0.001098      0.001098      0.001892      0.000162
20030818       0.002198      0.009743      0.010435      0.009155
20030819       0.004167      0.004369      0.008200      0.002611
20030820      -0.006988     -0.001198      0.002386     -0.002045
20030821       0.010117      0.004298      0.009154      0.002969
20030822      -0.011104     -0.010070     -0.006403     -0.010177
20030825      -0.006385     -0.000854     -0.002039      0.000655
20030826      -0.012852      0.003081      0.002715      0.003039
20030827      -0.001796      0.002067      0.006870      0.000060
20030828       0.010794      0.007009      0.008639      0.006069
20030829       0.002225      0.005253      0.006835      0.005155
20030902       0.011765      0.013286      0.013013      0.013869
20030903       0.001755      0.004634      0.006407      0.004188
20030904      -0.003723      0.002506      0.006029      0.001656
20030905      -0.006375     -0.005386     -0.000213     -0.006401
20030908       0.011062      0.010332      0.010898      0.010035
20030909      -0.003063     -0.007522     -0.002093     -0.008210
20030910      -0.011194     -0.013316     -0.012455     -0.011973
20030911       0.008435      0.005893      0.007928      0.005441
20030912      -0.011666      0.002413      0.004029      0.002174
20030915      -0.005791     -0.003400      0.000571     -0.003750
20030916       0.013665      0.013476      0.010951      0.014298
20030917       0.002210     -0.002290      0.002349     -0.003255
20030918       0.038148      0.011917      0.008092      0.013266
20030919      -0.000637     -0.001437      0.003458     -0.003155
20030922      -0.009139     -0.012242     -0.005914     -0.013008
20030923       0.008365      0.006261      0.007727      0.006071
20030924      -0.023612     -0.017652     -0.009986     -0.019096
20030925      -0.006318     -0.008073     -0.013232     -0.006053
20030926      -0.016444     -0.008388     -0.013085     -0.006399
20030929       0.016050      0.009706      0.007159      0.009761
20030930      -0.011409     -0.009053     -0.003590     -0.010541
20031001       0.024412      0.020889      0.015301      0.022340
20031002       0.002388      0.003325      0.004592      0.001984
20031003       0.008880      0.009705      0.009749      0.009419
20031006      -0.000859      0.005168      0.007322      0.004370
20031007       0.005801      0.004996      0.006260      0.004737
20031008      -0.006195     -0.004393     -0.001340     -0.005263
20031009       0.012683      0.005324      0.005946      0.004788
20031010       0.008491      0.000138      0.001437     -0.000645
20031013       0.013681      0.007720      0.010423      0.007023
20031014       0.017649      0.004393      0.006228      0.003951
20031015      -0.014487     -0.003325     -0.002103     -0.002592
20031016       0.001656      0.003647      0.004563      0.003162
20031017      -0.011162     -0.010803     -0.007540     -0.010237
20031020       0.001672      0.003710      0.001809      0.005157
20031021       0.010017      0.002757      0.004343      0.001292
20031022      -0.028099     -0.014456     -0.011672     -0.014980
20031023       0.012543      0.001168     -0.003985      0.003310
20031024      -0.000210     -0.004248     -0.003693     -0.004701
20031027      -0.018270      0.004132      0.008859      0.002158
