date      dec1     dec2     dec5     dec9    dec10
19751231 -0.015052 0.000157 0.007269 -0.012313 -0.018419
19760130 0.110547 0.129526 0.169527 0.22557 0.273677
19760227 -0.017872 0.018792 0.053857 0.110527 0.163815
19760331 0.039322 0.005838 0.013931 0.007587 0.00289
19760430 -0.010542 -0.010469 -0.012536 -0.022683 -0.027655
19760528 -0.007063 -0.004697 -0.006338 -0.025822 -0.035147
19760630 0.041786 0.055836 0.061827 0.029171 0.024088
19760730 -0.008924 -0.009154 -0.002631 0.002512 -0.005917
19760831 0.003661 0.000953 -0.01628 -0.017056 -0.027198
19760930 0.026106 0.02376 0.024955 0.019653 0.018059
19761029 -0.01976 -0.027805 -0.02558 -0.030639 -0.022953
19761130 -0.007277 0.024965 0.04213 0.042815 0.016488
19761231 0.047675 0.071218 0.080283 0.106467 0.111061
19770131 -0.049291 -0.039702 -0.004844 0.035524 0.053905
19770228 -0.014298 -0.025348 -0.020813 -0.014093 -0.007405
19770331 -0.018091 -0.002212 0.00753 0.007848 0.006871
19770429 -0.003659 0.017994 0.02488 0.008339 0.01409
19770531 -0.015803 -0.006419 -0.010268 -0.009083 -0.00149
19770630 0.047698 0.050767 0.074823 0.074592 0.074829
19770729 -0.013255 -0.021676 -0.015669 -0.003122 0.005767
19770831 -0.011677 -0.022938 -0.005422 -0.016348 -0.02019
19770930 -0.001951 -0.000995 0.004098 0.014111 0.017767
19771031 -0.043407 -0.036093 -0.025475 -0.021759 -0.031608
19771130 0.031112 0.047278 0.0728 0.103846 0.089596
19771230 0.004479 0.006829 0.011408 0.013388 0.014722
19780131 -0.062186 -0.057471 -0.048303 -0.020631 0.00478
19780228 -0.016074 -0.01782 0.00597 0.027277 0.032579
19780331 0.019256 0.039867 0.071432 0.078042 0.092997
19780428 0.090255 0.075704 0.075307 0.087632 0.08516
19780531 0.006843 0.02675 0.039228 0.068662 0.081704
19780630 -0.018249 -0.015104 -0.001869 0.00163 0.001854
19780731 0.055644 0.049352 0.04901 0.05679 0.052701
19780831 0.02979 0.035443 0.079789 0.072012 0.121905
19780929 -0.005209 -0.006671 -0.021603 -0.011056 -0.002263
19781031 -0.076646 -0.125223 -0.167718 -0.241447 -0.239397
19781130 0.030149 0.034387 0.049843 0.069869 0.073003
19781229 0.020203 0.000248 0.011552 0.010811 -0.00079
19790131 0.035101 0.052476 0.080652 0.114372 0.12059
19790228 -0.027509 -0.031935 -0.030942 -0.025555 -0.02517
19790330 0.0493 0.073203 0.094027 0.105335 0.094505
19790430 0.003393 -0.00127 0.013453 0.018507 0.02909
19790531 -0.018502 -0.003652 -0.013396 -0.005546 -0.007959
19790629 0.03538 0.062144 0.051754 0.054039 0.04903
19790731 0.004935 0.027496 0.039476 0.021246 0.019436
19790831 0.056733 0.060304 0.065842 0.08945 0.08157
19790928 0.002751 0.000984 -0.005583 -0.01117 -0.014482
19791031 -0.055801 -0.079816 -0.085178 -0.119663 -0.108689
19791130 0.051129 0.066653 0.078359 0.094154 0.063935
19791231 0.01199 0.04052 0.035288 0.074767 0.073014
19800131 0.061682 0.066161 0.064476 0.10014 0.114047
19800229 0.016553 -0.025146 -0.025717 -0.027364 -0.027541
19800331 -0.096744 -0.116833 -0.152582 -0.18918 -0.192455
19800430 0.042414 0.057822 0.066272 0.065893 0.056609
19800530 0.047808 0.069866 0.078134 0.06655 0.071021
19800630 0.02848 0.04234 0.051288 0.039126 0.040632
19800731 0.054632 0.080625 0.099021 0.137272 0.108809
19800829 0.013449 0.025002 0.036217 0.072781 0.082943
19800930 0.024628 0.035898 0.030845 0.027316 0.028708
19801031 0.020754 0.014414 0.022143 0.04132 0.032605
19801128 0.129188 0.085953 0.064253 0.069025 0.027352
19801231 -0.039689 -0.017899 -0.027319 -0.033371 -0.031815
19810130 -0.057169 -0.033817 0.004821 0.01674 0.034188
19810227 0.01774 0.008944 0.020025 0.014133 0.00991
19810331 0.019261 0.077539 0.082778 0.095843 0.093096
19810430 -0.029966 -0.008781 0.014869 0.032499 0.038398
19810529 -0.001835 0.022585 0.018178 0.028022 0.034391
19810630 -0.000546 -0.014301 -0.006593 -0.009901 0.009558
19810731 0.008963 -0.010012 -0.023071 -0.037194 -0.025912
19810831 -0.052426 -0.058096 -0.065328 -0.080668 -0.080764
19810930 -0.051993 -0.051525 -0.055591 -0.078797 -0.086296
19811030 0.0505 0.072269 0.057032 0.090751 0.081734
19811130 0.051194 0.033292 0.033991 0.025897 0.020277
19811231 -0.032349 -0.02186 -0.023564 -0.003065 -0.028879
19820129 -0.01427 -0.03119 -0.020485 -0.021786 -0.006772
19820226 -0.054569 -0.050299 -0.029741 -0.044828 -0.041014
19820331 -0.008096 -0.009509 0.007547 -0.001101 -0.006003
19820430 0.036001 0.051338 0.044274 0.040044 0.038886
19820528 -0.021587 -0.038903 -0.026785 -0.027917 -0.019453
19820630 -0.015556 -0.02943 -0.009362 -0.029271 -0.031733
19820730 -0.018898 -0.035237 -0.023592 -0.023055 -0.01294
19820831 0.12792 0.123537 0.117993 0.083156 0.064037
19820930 0.008445 0.014075 0.022656 0.029422 0.027618
19821029 0.104797 0.12518 0.133246 0.147729 0.151446
19821130 0.039396 0.047456 0.074682 0.073883 0.099093
19821231 0.01213 0.014769 -0.002352 0.02517 0.007787
19830131 0.039064 0.028275 0.04872 0.076123 0.107242
19830228 0.025498 0.028056 0.032826 0.050677 0.051508
19830331 0.031406 0.027774 0.032043 0.041157 0.058068
19830429 0.078297 0.061569 0.06854 0.081621 0.071337
19830531 -0.020074 0.022277 0.044888 0.082803 0.123791
19830630 0.038691 0.025471 0.034526 0.027798 0.039943
19830729 -0.03524 -0.035805 -0.029033 -0.017412 -0.019394
19830831 0.020524 -0.001009 -0.020653 -0.024283 -0.03861
19830930 0.011382 0.020705 0.036339 0.00232 -0.004633
19831031 -0.009432 -0.02314 -0.040539 -0.063904 -0.070552
19831130 0.017569 0.019818 0.052854 0.05045 0.047765
19831230 -0.004081 -0.013227 -0.017695 -0.019377 -0.028683
19840131 0.004074 -0.014173 -0.03353 -0.006453 0.017792
19840229 -0.029145 -0.046821 -0.056121 -0.062253 -0.071658
19840330 0.011127 0.027848 0.003292 0.005315 -0.001133
19840430 0.015204 -0.006221 0.00104 -0.0175 -0.026666
19840531 -0.04987 -0.052277 -0.050449 -0.057042 -0.060429
19840629 0.020115 0.032594 0.025867 0.030853 0.012883
19840731 -0.006202 -0.016055 -0.033371 -0.053549 -0.064245
19840831 0.105876 0.111895 0.122919 0.120268 0.09716
19840928 -0.000292 0.004317 -0.00048 -0.011646 -0.0112
19841031 0.004338 0.011037 -0.011568 -0.021122 -0.035719
19841130 -0.011351 -0.000779 -0.006887 -0.024946 -0.054643
19841231 0.024541 0.032975 0.023851 0.017579 -0.005108
19850131 0.072697 0.071289 0.107388 0.148899 0.159419
19850228 0.014848 0.027263 0.017071 0.023666 0.035784
19850329 -0.003125 0.021047 -0.013859 -0.030419 -0.024184
19850430 -0.001253 -0.000191 -0.000643 -0.015519 -0.019622
19850531 0.060591 0.074883 0.051676 0.031929 0.01897
19850628 0.015477 0.023886 0.026579 0.015495 0.005653
19850731 -0.006686 -0.013512 0.015663 0.026792 0.028384
19850830 -0.004333 -0.005601 -0.007484 -0.006616 -0.006203
19850930 -0.027689 -0.043245 -0.045274 -0.051911 -0.0578
19851031 0.042414 0.067547 0.035284 0.032841 0.017304
19851129 0.070169 0.0707 0.061451 0.065499 0.053133
19851231 0.049037 0.038126 0.034816 0.044501 0.035963
19860131 0.000317 0.026745 0.0171 0.026765 0.04175
19860228 0.073298 0.08825 0.065662 0.066307 0.060271
19860331 0.056559 0.053018 0.062554 0.04823 0.039268
19860430 -0.012753 -0.018426 0.009538 0.019451 0.011076
19860530 0.053433 0.057979 0.053817 0.032916 0.0288
19860630 0.022077 0.009967 0.016937 0.010967 0.002731
19860731 -0.05001 -0.05444 -0.07604 -0.082761 -0.085838
19860829 0.07358 0.069058 0.06062 0.017323 0.006343
19860930 -0.089844 -0.084136 -0.060201 -0.068655 -0.060414
19861031 0.05298 0.060288 0.034618 0.030393 0.020801
19861128 0.02527 0.011929 -0.004975 -0.003783 -0.010562
19861231 -0.023371 -0.036105 -0.025509 -0.030159 -0.03942
19870130 0.1345 0.117466 0.118815 0.118122 0.112802
19870227 0.034946 0.049963 0.066726 0.074728 0.085552
19870331 0.027426 0.0116 0.011873 0.016799 0.019874
19870430 -0.006043 -0.029396 -0.028732 -0.03005 -0.025495
19870529 0.007951 0.002424 0.003402 -0.003272 -0.007786
19870630 0.048735 0.052185 0.034315 0.021523 0.014544
19870731 0.043458 0.046448 0.043894 0.025443 0.02071
19870831 0.046213 0.034475 0.028111 0.025602 0.012928
19870930 -0.022298 -0.024724 -0.022005 -0.025297 -0.010821
19871030 -0.199139 -0.226765 -0.269508 -0.294731 -0.284685
19871130 -0.090103 -0.067051 -0.041341 -0.05015 -0.058542
19871231 0.06548 0.084573 0.074883 0.054497 0.022103
19880129 0.039771 0.062669 0.040208 0.061795 0.091765
19880229 0.033432 0.060879 0.076696 0.076478 0.067733
19880331 -0.041943 -0.015535 0.011332 0.041196 0.044539
19880429 0.011475 0.007831 0.013011 0.01893 0.008841
19880531 0.011473 -0.004352 -0.004081 -0.024418 -0.027073
19880630 0.039201 0.062459 0.072606 0.063333 0.05127
19880729 -0.000411 -0.015994 -0.019938 -0.005433 -0.002028
19880831 -0.030948 -0.027703 -0.021755 -0.020139 -0.022144
19880930 0.04267 0.051955 0.021376 0.022913 0.013956
19881031 0.030945 0.013948 0.001569 -0.014927 -0.015075
19881130 -0.009133 -0.025257 -0.023885 -0.033412 -0.03816
19881230 0.017117 0.018028 0.034423 0.02889 0.027798
19890131 0.071918 0.071046 0.066367 0.045821 0.049505
19890228 -0.029033 -0.011095 0.007727 0.004494 0.008568
19890331 0.026084 0.020376 0.020181 0.023886 0.01877
19890428 0.053636 0.04239 0.049562 0.024004 0.027621
19890531 0.041332 0.042753 0.042468 0.033372 0.026537
19890630 -0.006287 0.003887 -0.01123 -0.011226 -0.010943
19890731 0.091464 0.080454 0.046632 0.033485 0.025981
19890831 0.012235 0.034412 0.033287 0.021617 0.017153
19890929 0.004051 -0.005745 -0.003266 0.003666 -0.00051
19891031 -0.014476 -0.038987 -0.05074 -0.063807 -0.066103
19891130 0.021663 0.014619 0.017873 -0.002324 -0.013956
19891229 0.022321 0.018017 0.005678 -0.007259 -0.023767
19900131 -0.066581 -0.074781 -0.087689 -0.074432 -0.051643
19900228 0.012336 0.021373 0.023885 0.024179 0.002601
19900330 0.024861 0.016261 0.020722 0.031943 0.011132
19900430 -0.01531 -0.040769 -0.038149 -0.029128 -0.032647
19900531 0.094656 0.096387 0.068746 0.053084 0.028272
19900629 -0.003601 -0.012135 0.000617 0.011627 0.002348
19900731 0.001721 -0.025819 -0.035919 -0.045485 -0.040334
19900831 -0.085012 -0.093924 -0.11534 -0.135053 -0.127085
19900928 -0.040832 -0.0643 -0.073037 -0.097051 -0.085836
19901031 0.006823 -0.027684 -0.040077 -0.06238 -0.076239
19901130 0.053019 0.096312 0.095732 0.052949 0.02299
19901231 0.022413 0.041288 0.053402 0.012574 -0.009403
19910131 0.039081 0.061341 0.088298 0.093931 0.112567
19910228 0.066841 0.07128 0.104931 0.140083 0.149625
19910328 0.024147 0.023955 0.038184 0.065622 0.0963
19910430 -0.002811 0.012237 0.012723 0.003898 0.028176
19910531 0.036385 0.052755 0.049231 0.028252 0.023484
19910628 -0.041841 -0.056687 -0.035626 -0.044887 -0.035897
19910731 0.047977 0.048847 0.051803 0.038178 0.023063
19910830 0.025809 0.029386 0.039155 0.037426 0.015702
19910930 -0.016373 -0.009126 -0.008695 0.017914 0.003264
19911031 0.014056 0.016478 0.017045 0.036365 0.008265
19911129 -0.03234 -0.048462 -0.051065 -0.039712 -0.027466
19911231 0.117798 0.111706 0.107222 0.053809 0.018158
19920131 -0.030235 0.006512 0.053546 0.120155 0.185113
19920228 0.005052 0.023389 0.039387 0.049727 0.062072
19920331 -0.018471 -0.0237 -0.023132 -0.026945 -0.008243
19920430 0.028233 0.024058 -0.009292 -0.052398 -0.040834
19920529 0.00587 0.008072 0.002582 0.006464 0.001505
19920630 -0.015218 -0.017322 -0.019013 -0.051647 -0.048663
19920731 0.040451 0.041907 0.048316 0.032647 0.034898
19920831 -0.018618 -0.023218 -0.023829 -0.027077 -0.028204
19920930 0.008332 0.029615 0.027433 0.014495 0.008424
19921030 0.00123 0.018379 0.037463 0.039135 0.014389
19921130 0.031418 0.048064 0.064438 0.103164 0.089159
19921231 0.011029 0.014712 0.042251 0.033461 0.048194
19930129 0.000328 0.024171 0.01642 0.048639 0.077157
19930226 0.011717 0.007707 -0.009703 -0.032947 -0.0168
19930331 0.018974 0.031613 0.039744 0.028928 0.031737
19930430 -0.028153 -0.029166 -0.027585 -0.036706 -0.020733
19930528 0.027201 0.024509 0.038017 0.037436 0.030489
19930630 0.004767 -0.000627 0.000979 0.001301 0.003906
19930730 -0.007145 0.00857 -3.6e-05 0.012296 0.01819
19930831 0.034928 0.042898 0.043966 0.045139 0.040327
19930930 -0.005768 -0.000403 0.02222 0.027397 0.035506
19931029 0.017741 0.009196 0.015548 0.04077 0.060938
19931130 -0.008795 -0.019592 -0.019186 -0.030032 -0.025355
19931231 0.006755 0.028091 0.040463 0.0175 0.000277
19940131 0.032081 0.027832 0.036512 0.042529 0.06185
19940228 -0.031713 -0.019965 -0.008573 -0.000993 -0.008603
19940331 -0.042758 -0.040804 -0.056036 -0.053017 -0.043027
19940429 0.016329 0.001855 -3.2e-05 -0.009231 -0.018599
19940531 0.020612 0.002153 -0.00887 -0.002114 0.000771
19940630 -0.025368 -0.032869 -0.030986 -0.033171 -0.017254
19940729 0.032307 0.035114 0.032621 0.002254 0.00955
19940831 0.037264 0.049146 0.053886 0.048029 0.034204
19940930 -0.023297 -0.025027 -0.006305 0.013615 0.017278
19941031 0.024455 0.019103 0.013237 0.008116 0.00389
19941130 -0.031149 -0.040866 -0.052267 -0.037813 -0.041899
19941230 0.013466 0.012004 0.016506 -0.0047 -0.023285
19950131 0.030619 0.019117 -0.005827 0.017512 0.045096
19950228 0.033707 0.054618 0.05493 0.035274 0.02917
19950331 0.026382 0.029436 0.020943 0.019433 0.015455
19950428 0.033405 0.011473 0.009844 0.029302 0.022728
19950531 0.040273 0.039629 0.018243 0.022552 0.021166
19950630 0.024989 0.02585 0.039806 0.064447 0.053178
19950731 0.032847 0.038494 0.061965 0.068192 0.05476
19950831 0.002866 0.019265 0.011777 0.039301 0.045219
19950929 0.050035 0.027397 0.018275 0.024054 0.024205
19951031 0.003612 -0.019205 -0.014852 -0.052494 -0.05109
19951130 0.040163 0.056874 0.053949 0.026194 0.004368
19951229 0.018984 0.005386 0.024159 0.015105 0.009246
19960131 0.036889 0.022652 -0.004395 0.008261 0.025798
19960229 0.010501 0.02396 0.028173 0.029244 0.032931
19960329 0.004519 0.018049 0.023892 0.03034 0.023871
19960430 0.009788 0.02737 0.051435 0.090983 0.075106
19960531 0.028797 0.016967 0.022541 0.069758 0.072739
19960628 0.008968 -0.011392 -0.029078 -0.065297 -0.050144
19960731 -0.040952 -0.063569 -0.08475 -0.087742 -0.082784
19960830 0.018382 0.03881 0.058305 0.056509 0.039189
19960930 0.059604 0.05495 0.050167 0.039265 0.027018
19961031 0.026342 0.010445 -0.026333 -0.0226 -0.018938
19961129 0.076851 0.069269 0.041708 0.029668 0.015284
19961231 -0.019159 -0.020698 0.005391 0.025419 0.010763
19970131 0.070279 0.034529 0.007958 0.047147 0.06405
19970228 0.005576 0.003747 -0.0316 -0.0197 -0.01314
19970331 -0.044095 -0.043445 -0.059962 -0.060714 -0.049875
19970430 0.06651 0.031018 0.004788 -0.040528 -0.041671
19970530 0.059059 0.078192 0.10197 0.123205 0.091754
19970630 0.047572 0.024477 0.045411 0.054404 0.046234
19970731 0.081395 0.090081 0.059165 0.060098 0.050122
19970829 -0.062237 -0.019342 0.015561 0.045472 0.044348
19970930 0.054214 0.055484 0.054116 0.091571 0.100175
19971031 -0.029512 -0.035435 -0.048356 -0.034247 -0.021383
19971128 0.050634 0.020393 -0.005177 -0.015843 -0.025167
19971231 0.016337 0.035165 0.015179 -0.00643 -0.026117
19980130 0.017736 -0.023612 -0.022933 -0.012069 0.009948
19980227 0.07086 0.081074 0.088449 0.070455 0.055418
19980331 0.054163 0.047296 0.047694 0.047644 0.055752
19980430 0.014 0.004297 0.008107 0.028415 0.026445
19980529 -0.01665 -0.030878 -0.062978 -0.059249 -0.044867
19980630 0.051494 0.023557 0.012168 -0.022024 -0.046652
