Stream,SUB,PH,TEMP,BCI,HARD,ALK,PHOS
FOX(LRDF),S,7,3,1508.42,85.5,51.3,0.09
ABIJAH178,S,7,2,1382.3,85.5,51.3,0.07
ABIJAHBULL,S,7,2,1491.86,68.4,51.3,0.05
ABIJAHNICHOL,S,7,3,1462.38,85.5,51.3,0.06
RAYST(R11),S,7,0,1510.32,102.6,51.3,0
S.SANDY(7x9),S,6.7,2,1343.74,102.6,51.3,0.06
EDICK,S,6.5,2,1356.9,136.8,51.3,0.11
FISH(LOWE),S,7.2,5,1431.82,102.6,51.3,0.08
FISH(WPARK),S,7.5,4,1504.65,136.8,85.5,0.06
LINDSAYS.BRA,S,7.5,1,1301.78,171,102.6,0.08
MILL,L,8,4,1237,239.4,205.2,0.09
KELSEY,L,7.5,3,834,239.4,188.1,0.09
COLD,L,7.9,8,1189,119.7,239.4,3.78
STAPLIN,L,8,4,1269,256.5,205.2,0.22
JACOBS,L,8,3,1241,256.5,188.1,0.08
CEMETERY,L,7.5,2,1193,222.3,205.2,0.09
STONY,L,7.5,4,1192,222.3,188.1,0.18
FELTS MILLS,L,8.2,4,1309,205.2,188.1,0.33
LITTLE SANDY,M,7,4,1335,85.5,68.4,0.12
SKINNER,M,7,3,1343,68.4,51.3,0.11
FISH,M,7.5,1,1382,102.6,85.5,0.04
GULF,M,7,5,1473,68.4,68.4,0.01
RAYSTONE(PPM),S,7,1,1395,68.4,68.4,0.34
FOX,S,7,1.5,1384,68.4,68.4,0.12
RAYSTONE(RED),S,7,2,1344,51.3,51.3,0.51
JOEL CAMP,S,7,1,1264,85.5,68.4,0.23
BIG BROOK,S,6.9,0,1318,51.3,51.3,0.33
ABIJAH,S,7,1,1366,51.3,51.3,0.2
DENING,S,7,2,1300,68.4,68.4,0.93
DEER,S,7,3,1291,34.2,68.4,0.15
LUTHER,S,7,3,1205,34.2,68.4,0.04
RAYSTONE(DIAM),S,6.7,8,1326,34.2,51.3,0.2
KELSEY,L,7.4,2,*,205.2,171,0.38
KELSEY,L,7.6,3,*,205.2,9,0.26
CHAUMO,L,6.4,2,*,85.5,51.3,0.49
CHAUMO,L,6.8,5,*,68.4,68.4,1.03
MILL,L,7.9,1,1149.57,188.1,153.9,0.24
MILL,L,7.7,1,1094.52,171,136.8,0.25
SANDY,M,7.7,3,1536.38,171,119.7,0.2
SANDY,L,7.3,4,1209.9,171,119.7,0.2
BIG B,S,7,1,1406.4,68.4,34.2,3.8
BIG B,S,7,1,1385.05,102.6,51.3,0.46
LITTLE S,S,7,3,1399.01,51.3,34.2,0.25
LITTLE S,M,7,3.5,1461.79,51.3,34.2,0.01
BEAR,S,7.2,0,1289.32,51.3,51.3,0.83
BEAR,M,7,1,1301.42,51.3,51.3,0.21
SKINNER,M,7,4,1397.65,119.7,34.2,0.02
SKINNER,M,7.5,2,1359.64,102.6,51.3,0.05
COLD,L,7.8,9,1142.44,239.4,205.2,0.11
COLD,L,7.7,5,1099.69,205.2,205.2,0.21
FELTS M,L,7.8,3,1100.31,188.1,171,0.05
FELTS M,L,7.7,4,984.38,171,171,0.1
STONY,L,7.7,4,1295.79,205.2,171,0.17
STONY,L,7.7,6,1097.81,171,171,0.08
SKINNER,M,7.2,2,1326,85.5,51.3,0.06
BEAR,S,7,2,1345.42,68.4,51.3,0.01
SKINNER,M,7,2.5,1332.8,85.5,51.3,0.1
SKINNER,S,6.8,2,1363.49,68.4,51.3,0.01
BEAR-MP,M,7.3,2,1330.54,68.4,51.3,0.01
SKINNER,M,7.1,2,1341.77,68.4,51.3,0.01
MILL,L,8,4,1192.5,205.2,171,0.05
STONY,L,8,4,1096.97,222.3,153.9,0.05
SANDY LIBERTY,L,7.5,4,1127.22,136.8,119.7,0.01
GREEN/STONY,L,7.75,4,1271.5,222.3,188.1,0.01
LITTLE STONY,L,7.75,4,1010.92,205.2,171,0.01
MILL CREEK,L,7.5,4,1208.93,222.3,188.1,0.06
STEBBINS,S,7,2,1146.92,68.4,51.3,0.01
SHINGLE GULF,S,6.5,2,1381.07,51.3,51.3,0.09
"TRIB SANDY, OSTRICH",S,7,2,1473.48,68.4,68.4,0.04
FISH CREEK BROWNS,S,7,2,1368.98,68.4,51.3,0.01
TRIB SANDY PAT RD,S,7.1,2,1218.48,102.6,68.4,0.25
OILY CREEK,L,7.5,2,963.14,190,153.9,0.38
PLEASANT,L,7.6,4,1126.54,171,136.8,0.18
LITTLE DEER LICK,L,7.6,3,1021.08,136.8,136.8,0.02
LITTLE SANDY,S,6.8,2,1294.55,51.3,34.2,0.01
TROUT BROOK,S,7.2,2,1380.32,68.4,68.4,0.01
FOX CREEK,S,6.8,2,1298.57,68.4,51.3,0.01
COTTEL CREEK,S,6.5,1,1370.31,68.4,51.3,0.01
