"1mon" "2mon" "3mon" "4mon" "5mon" "5.5mon" "6.5mon" "7.5mon" "8.5mon" "9.5mon" "NA"
5.9022 6.27496 6.52938 6.65997 6.75208 6.815 6.83854 6.84614 6.94995 7.07489 7.10916
5.94514 6.33013 6.63361 6.75666 6.8577 6.92343 6.94612 6.99239 7.06772 7.16131 7.18446
5.87866 6.33634 6.61979 6.76233 6.86093 6.9203 6.94047 6.99672 7.05979 7.18324 7.16167
5.89139 6.36729 6.65462 6.80151 6.8946 6.95896 6.98252 7.01656 7.0779 7.18345 7.21311
5.88102 6.43311 6.69866 6.84411 6.93202 6.9982 7.00691 7.06356 7.13037 7.20548 7.21334
5.87158 6.39777 6.65015 6.79029 6.85912 6.91425 6.93437 6.99315 7.0489 7.14924 7.16079
5.91868 6.35309 6.60209 6.73856 6.81484 6.86912 6.87759 6.90807 7.00617 7.12498 7.15747
5.90485 6.33893 6.60141 6.73427 6.81458 6.87454 6.89808 6.95245 7.03118 7.13279 7.1496
5.82063 6.29848 6.56307 6.69711 6.77286 6.83619 6.86385 6.92471 6.9935 7.10526 7.12546
5.89178 6.28704 6.54971 6.68048 6.77734 6.84414 6.85512 6.92819 7.00996 7.13064 7.13889
5.88135 6.29234 6.56939 6.70022 6.79154 6.8562 6.87771 6.95039 7.02373 7.12871 7.14836
5.88987 6.27608 6.5409 6.67833 6.76729 6.8335 6.85788 6.92501 7.00337 7.10073 7.13183
5.87769 6.25051 6.51772 6.65373 6.74277 6.80804 6.82988 6.89814 6.9854 7.07324 7.09992
5.81696 6.17977 6.4216 6.56748 6.66283 6.73719 6.76415 6.82011 6.94046 7.05916 7.08303
5.88139 6.15894 6.38256 6.52485 6.63191 6.71101 6.74599 6.84305 6.97093 7.06818 7.10956
5.83495 6.13494 6.34623 6.48214 6.61417 6.68853 6.71588 6.82163 6.93334 7.08938 7.10266
5.81091 6.17162 6.39467 6.5353 6.65165 6.72937 6.76607 6.86861 6.96763 7.06887 7.10343
5.78101 6.13348 6.34034 6.47988 6.60429 6.68222 6.70967 6.79081 6.90358 7.03321 7.0721
5.78665 6.13451 6.34714 6.48599 6.60738 6.67384 6.69683 6.80037 6.89426 7.02802 7.05943
5.83536 6.16256 6.36933 6.50995 6.61303 6.68161 6.70203 6.78926 6.88104 7.00743 7.04294
5.86482 6.16766 6.39064 6.5333 6.6298 6.69391 6.70932 6.81044 6.88849 6.99326 7.03318
5.85697 6.18634 6.40558 6.54961 6.64381 6.70502 6.72804 6.8013 6.89523 7.00417 7.04046
5.84274 6.22894 6.45477 6.60396 6.68691 6.74433 6.7597 6.83377 6.9219 7.02474 7.05823
5.85153 6.26394 6.49805 6.64786 6.73341 6.79204 6.80618 6.86377 6.94721 7.03708 7.07994
5.81823 6.26665 6.50747 6.66105 6.75205 6.80775 6.82146 6.86567 6.96371 7.05404 7.10386
5.78846 6.20992 6.44674 6.59006 6.69045 6.74309 6.76272 6.8247 6.9165 7.02399 7.06663
5.72934 6.10994 6.32845 6.48965 6.59123 6.64092 6.66396 6.73317 6.82926 6.94127 6.99015
5.77464 6.04074 6.25207 6.40345 6.49392 6.54589 6.5678 6.63778 6.73855 6.82309 6.88828
5.69412 5.93881 6.0667 6.20942 6.29441 6.33619 6.36284 6.45671 6.56448 6.6839 6.72838
5.75043 5.957 6.0834 6.22506 6.3033 6.34745 6.37461 6.4704 6.5707 6.67954 6.73211
5.79999 5.91093 5.98655 6.12585 6.20198 6.24993 6.27691 6.35685 6.47583 6.59078 6.64273
5.81246 5.91593 6.02977 6.17435 6.25948 6.30185 6.32908 6.41997 6.52739 6.64356 6.69958
5.76051 5.94026 6.11018 6.23685 6.31317 6.36558 6.39372 6.46701 6.56078 6.65704 6.74185
5.87505 5.98263 6.11376 6.24527 6.32496 6.37381 6.39691 6.44907 6.55451 6.66366 6.71767
5.85923 5.9452 6.06677 6.19509 6.28182 6.32304 6.3473 6.41464 6.50831 6.61231 6.65292
5.81587 5.91899 6.02871 6.15656 6.23573 6.2735 6.29208 6.35533 6.44185 6.54453 6.58902
5.82602 5.90385 6.02059 6.14527 6.22496 6.26161 6.27596 6.32605 6.41532 6.51067 6.56283
5.87399 5.97318 6.09145 6.21257 6.30416 6.34709 6.35995 6.4094 6.5013 6.58594 6.64552
5.87556 5.97548 6.09572 6.21582 6.29977 6.33885 6.35595 6.41627 6.507 6.58854 6.65026
5.88734 5.99738 6.11811 6.23827 6.3239 6.36728 6.38484 6.43773 6.51692 6.59673 6.66537
5.87997 5.94182 6.04844 6.16205 6.24537 6.28535 6.30327 6.36816 6.46592 6.54977 6.61094
5.86693 5.83306 5.90744 6.02696 6.11049 6.15108 6.17105 6.24146 6.34415 6.42965 6.48767
5.90734 5.84175 5.88745 5.9928 6.0639 6.1016 6.12275 6.19534 6.29937 6.3875 6.44353
5.88629 5.83034 5.87817 5.98334 6.06186 6.10277 6.12221 6.19239 6.303 6.39317 6.44525
5.84223 5.78075 5.80669 5.89802 5.96381 6.00463 6.02874 6.10128 6.20509 6.29546 6.35667
5.83177 5.77914 5.79196 5.88634 5.96175 6.00055 6.02093 6.09445 6.20718 6.30341 6.35936
5.74938 5.65886 5.62442 5.72648 5.82579 5.86442 5.88565 5.97303 6.10206 6.21793 6.26878
5.60109 5.47679 5.46017 5.5924 5.69775 5.74002 5.76654 5.85571 5.98175 6.12188 6.1641
5.65346 5.49878 5.46781 5.57921 5.68431 5.72988 5.75348 5.84887 5.98212 6.08679 6.15312
5.64656 5.52292 5.50555 5.61553 5.71798 5.76259 5.78673 5.8798 6.00052 6.09961 6.1723
5.73048 5.65957 5.67182 5.76821 5.85004 5.88343 5.89739 5.96585 6.08134 6.18326 6.25285
5.8163 5.75257 5.75762 5.84693 5.92992 5.95437 5.96457 6.02696 6.12981 6.2234 6.28651
5.77864 5.86831 5.9416 6.02473 6.10906 6.12365 6.12746 6.19342 6.30708 6.39896 6.46021
5.8259 5.85076 5.88432 5.97498 6.07041 6.08451 6.08859 6.16496 6.28573 6.38187 6.4368
5.64072 5.58394 5.58154 5.6778 5.78797 5.82175 5.83613 5.92827 6.07237 6.17754 6.2419
5.64898 5.59602 5.60355 5.69698 5.79356 5.81952 5.83687 5.93592 6.07355 6.17598 6.24466
5.67081 5.63858 5.66608 5.75965 5.83745 5.85592 5.87158 5.9684 6.10377 6.20683 6.2787
5.71715 5.67586 5.69643 5.78743 5.87789 5.89657 5.91201 6.00584 6.13205 6.22503 6.28848
5.6266 5.58513 5.5973 5.69696 5.78109 5.80506 5.82476 5.92066 6.05393 6.15564 6.21971
5.65623 5.62722 5.65318 5.74235 5.81778 5.85428 5.87836 5.97 6.08855 6.18219 6.24793
5.64564 5.61134 5.62628 5.71619 5.79392 5.82659 5.84927 5.9394 6.06156 6.15434 6.21174
5.604 5.54398 5.55104 5.633 5.70322 5.74236 5.76783 5.8509 5.95972 6.05568 6.12607
5.64885 5.56807 5.56959 5.65452 5.72956 5.76635 5.79125 5.87658 5.98727 6.07565 6.13899
5.62668 5.61104 5.64306 5.72267 5.79233 5.8282 5.85099 5.93196 6.04016 6.12628 6.18539
5.64414 5.63448 5.67627 5.76165 5.83393 5.86476 5.88408 5.96234 6.07107 6.15903 6.22031
5.61006 5.61542 5.64804 5.72469 5.80052 5.83066 5.84686 5.91722 6.02775 6.11933 6.17586
5.6482 5.73264 5.83229 5.90094 5.98485 6.00334 6.01374 6.08986 6.18473 6.27701 6.32537
5.58479 5.6822 5.7583 5.82713 5.89745 5.92284 5.93736 6.01866 6.14365 6.22603 6.2754
5.58619 5.67404 5.75546 5.81952 5.89118 5.92164 5.93707 6.01708 6.14142 6.23097 6.27052
5.57713 5.66119 5.73283 5.79857 5.87311 5.90542 5.92154 5.99903 6.11658 6.20203 6.24897
5.57874 5.47214 5.5268 5.60229 5.68972 5.7187 5.75664 5.85431 5.98653 6.09386 6.11687
5.55523 5.46013 5.49882 5.56536 5.66514 5.69726 5.72154 5.82398 5.96148 6.07009 6.11436
5.51504 5.48082 5.51996 5.59099 5.67052 5.70632 5.72426 5.81359 5.95044 6.05655 6.10948
5.53999 5.5196 5.56745 5.64456 5.7177 5.75563 5.77614 5.86732 5.99881 6.10108 6.16437
5.56108 5.51263 5.56134 5.64494 5.72711 5.76314 5.78298 5.8773 6.01063 6.11253 6.165
5.59697 5.51143 5.56353 5.6486 5.72965 5.76274 5.78562 5.87896 6.00345 6.1096 6.1592
5.57256 5.58734 5.65108 5.73848 5.80491 5.84141 5.86546 5.95418 6.06704 6.15731 6.22143
5.58315 5.6257 5.71204 5.80182 5.87824 5.91959 5.94444 6.03144 6.14219 6.22659 6.29257
5.5609 5.62819 5.72229 5.82288 5.91909 5.96332 5.98508 6.07115 6.18781 6.27757 6.34487
5.60643 5.70451 5.83815 5.94846 6.06031 6.10428 6.13532 6.25007 6.37133 6.44474 6.50151
5.61255 5.71268 5.85806 5.96006 6.07025 6.10705 6.13665 6.24697 6.36386 6.44818 6.50055
5.63961 5.74398 5.89679 6.05195 6.17711 6.18324 6.21584 6.35539 6.44939 6.55715 6.59433
5.60426 5.75108 5.91431 6.01597 6.11756 6.14977 6.17478 6.2869 6.394 6.47969 6.53097
5.58069 5.73596 5.89846 6.00836 6.10617 6.13975 6.16382 6.25571 6.35643 6.44843 6.49871
5.60723 5.7469 5.92271 6.04896 6.15948 6.20119 6.22652 6.31249 6.41859 6.50825 6.55961
5.57333 5.68041 5.84598 5.97319 6.09459 6.13108 6.16094 6.25951 6.36578 6.45872 6.50696
5.57357 5.68294 5.87588 6.03455 6.138 6.18017 6.20742 6.29924 6.40602 6.50601 6.5546
5.57321 5.66143 5.83097 5.9767 6.08404 6.13028 6.1588 6.24811 6.36213 6.46972 6.51547
5.59545 5.70501 5.8826 6.02663 6.13585 6.18065 6.20483 6.29936 6.40903 6.52194 6.56679
5.57707 5.65081 5.8093 5.9618 6.06671 6.10898 6.12884 6.23786 6.35232 6.45389 6.51602
5.57866 5.71126 5.88949 6.03634 6.15429 6.19785 6.21849 6.3214 6.43268 6.53838 6.59439
5.58094 5.68116 5.85672 6.00103 6.12102 6.15947 6.18644 6.29757 6.40553 6.50165 6.56661
5.55348 5.66901 5.83359 5.97458 6.08836 6.15 6.17699 6.2681 6.38631 6.47952 6.5517
5.56067 5.67872 5.83588 5.97202 6.08599 6.14764 6.17205 6.25497 6.37477 6.4705 6.54386
5.55717 5.68222 5.85977 5.99228 6.11106 6.16149 6.19072 6.2907 6.40897 6.50681 6.57274
5.55722 5.70318 5.88713 6.02713 6.1512 6.20771 6.23456 6.33097 6.44098 6.54187 6.60023
5.59034 5.78146 5.99592 6.13807 6.2703 6.31775 6.33427 6.42977 6.53099 6.62617 6.68243
5.54196 5.79764 5.99168 6.13347 6.25642 6.31652 6.33996 6.42618 6.53937 6.617 6.68099
5.57189 5.84042 6.02662 6.15316 6.2672 6.317 6.33535 6.40796 6.5148 6.5993 6.63627
5.57351 5.82202 5.99903 6.12587 6.23 6.28209 6.30352 6.37843 6.48489 6.56914 6.61593
5.57762 5.86314 6.05319 6.17651 6.27948 6.32752 6.34389 6.41064 6.51263 6.59268 6.63799
5.57337 5.85895 6.04542 6.16922 6.26927 6.32057 6.33989 6.40644 6.50917 6.59371 6.63757
5.57008 5.81217 5.98903 6.1154 6.21886 6.26892 6.28764 6.35908 6.47249 6.55967 6.60223
5.55108 5.83408 6.01755 6.155 6.26308 6.31115 6.32999 6.39639 6.50262 6.59724 6.6289
5.55415 5.84607 6.0351 6.16687 6.27945 6.32707 6.34788 6.41779 6.53112 6.62464 6.65329
5.51624 5.74559 5.92433 6.05482 6.16787 6.21938 6.24334 6.31512 6.43406 6.54069 6.5706
5.51257 5.67797 5.82017 5.94979 6.04515 6.09571 6.12263 6.19395 6.32402 6.42989 6.46734
5.56877 5.63372 5.76876 5.90689 6.00641 6.06321 6.09024 6.15466 6.27997 6.39397 6.42639
5.583 5.70563 5.83899 5.96535 6.05352 6.10629 6.12533 6.17989 6.29585 6.39765 6.4341
5.50066 5.6553 5.79791 5.91782 6.00669 6.05425 6.08256 6.14916 6.27001 6.37501 6.37704
5.47365 5.63272 5.77235 5.88724 5.97519 6.02285 6.04476 6.10413 6.22175 6.32027 6.35712
5.4816 5.58208 5.7042 5.82001 5.91004 5.95507 5.97509 6.03806 6.1582 6.25673 6.29475
5.49541 5.58772 5.69349 5.80194 5.88269 5.92078 5.94096 6.01326 6.11701 6.20155 6.25482
5.51803 5.5868 5.68079 5.78464 5.85834 5.89492 5.91797 5.99662 6.1071 6.19546 6.24644
5.55131 5.63007 5.72009 5.83244 5.90722 5.94502 5.96774 6.0399 6.1479 6.23536 6.27791
5.58745 5.65344 5.75009 5.86146 5.94174 5.97947 5.99767 6.0613 6.16217 6.24684 6.2946
5.5381 5.64858 5.7609 5.86867 5.9553 5.99566 6.01629 6.07535 6.17639 6.26466 6.30106
5.48806 5.59963 5.69662 5.79077 5.87971 5.91266 5.93517 5.99653 6.10511 6.20087 6.22933
5.52449 5.63186 5.7266 5.8293 5.91347 5.94762 5.96329 6.02344 6.12937 6.21932 6.26624
5.50387 5.52347 5.59916 5.70368 5.78491 5.82667 5.84583 5.91852 6.03313 6.12755 6.19161
5.56353 5.56255 5.64217 5.73898 5.82927 5.86928 5.88716 5.94763 6.06571 6.15983 6.19823
5.54027 5.60207 5.70459 5.81167 5.8963 5.92977 5.94412 6.00673 6.12722 6.21967 6.25963
5.47983 5.56589 5.6764 5.78009 5.86749 5.90522 5.92138 5.98403 6.10263 6.19178 6.2324
5.46583 5.56451 5.66026 5.75472 5.8422 5.87538 5.90276 5.95698 6.05854 6.1503 6.18562
5.51607 5.61292 5.73831 5.85082 5.9472 5.97952 6.00555 6.05287 6.16511 6.26 6.28649
5.4932 5.63137 5.78113 5.8832 5.97398 6.00559 6.03172 6.09232 6.20155 6.29183 6.32107
5.52271 5.67372 5.80023 5.90431 5.99499 6.02544 6.04709 6.09893 6.19878 6.28602 6.32619
5.55381 5.70334 5.82361 5.92194 6.01232 6.04427 6.06807 6.11887 6.21451 6.30253 6.33828
5.51358 5.72767 5.86368 5.96119 6.05497 6.09593 6.11125 6.14562 6.2545 6.35967 6.38399
5.54168 5.73571 5.86012 5.94812 6.02528 6.06313 6.07764 6.12728 6.22215 6.30415 6.36563
5.49356 5.69726 5.7895 5.8509 5.92642 5.97284 5.99341 6.01969 6.11208 6.20263 6.23711
5.52285 5.66778 5.76283 5.84041 5.91308 5.94789 5.96375 6.00549 6.0982 6.17929 6.21666
5.52986 5.65443 5.74192 5.81936 5.88355 5.91638 5.93257 5.97817 6.07346 6.15185 6.19341
5.54352 5.62098 5.69702 5.77315 5.8464 5.87329 5.88525 5.93848 6.04415 6.12749 6.1662
5.54506 5.60617 5.67366 5.74894 5.8162 5.8458 5.86113 5.91077 6.02143 6.10757 6.14029
5.52221 5.6051 5.6749 5.7473 5.81563 5.84033 5.85923 5.90808 6.01097 6.09553 6.11853
5.53336 5.608 5.67548 5.74239 5.82288 5.86031 5.87206 5.91302 6.00633 6.09242 6.12688
5.5617 5.62102 5.68523 5.76615 5.83429 5.86099 5.87872 5.92883 6.02307 6.10625 6.14319
5.54506 5.59988 5.66621 5.74459 5.80411 5.8334 5.84981 5.90654 5.99213 6.06852 6.12278
5.54318 5.57394 5.61558 5.67062 5.7182 5.75107 5.76719 5.81209 5.87886 5.95177 6.01528
5.56884 5.58457 5.61465 5.66793 5.7185 5.75184 5.76784 5.81602 5.89 5.96601 6.02689
5.54192 5.55898 5.59261 5.6527 5.70728 5.74039 5.75581 5.80208 5.87361 5.94756 6.00672
5.52736 5.5761 5.61537 5.67395 5.7393 5.77845 5.79063 5.82097 5.90561 5.98666 6.02387
5.56381 5.57769 5.61075 5.66899 5.72561 5.76334 5.7815 5.8328 5.90538 5.9764 6.03335
5.58341 5.60641 5.65431 5.72827 5.79495 5.83498 5.85147 5.8963 5.96038 6.02678 6.08305
5.57458 5.63166 5.68965 5.7607 5.8248 5.85778 5.8729 5.9228 6.00115 6.06807 6.10929
5.57814 5.60521 5.6433 5.70935 5.77621 5.80833 5.82006 5.86223 5.93759 6.01048 6.06021
5.56405 5.56819 5.6023 5.66624 5.72602 5.76236 5.78182 5.84052 5.92125 5.99287 6.04137
5.53001 5.52936 5.56668 5.65484 5.73349 5.76338 5.7812 5.86258 5.9881 6.06916 6.10049
5.53634 5.55067 5.59562 5.66988 5.74889 5.78465 5.80104 5.86454 5.962 6.03574 6.07188
5.5263 5.53488 5.57301 5.65451 5.72744 5.7644 5.78609 5.8587 5.9552 6.03236 6.07964
5.53091 5.54079 5.57978 5.66053 5.73409 5.7737 5.79315 5.8508 5.9323 6.00857 6.06387
5.52262 5.48519 5.48886 5.56299 5.64706 5.688 5.70991 5.78476 5.88867 5.96764 6.01215
5.50049 5.44539 5.44448 5.51785 5.59561 5.64013 5.66293 5.73111 5.82258 5.90093 5.95294
5.50236 5.44169 5.44631 5.52717 5.6057 5.65418 5.67868 5.74576 5.83316 5.91381 5.97563
5.49285 5.44749 5.47188 5.56146 5.63765 5.67506 5.69411 5.76266 5.86113 5.94306 5.99583
5.48634 5.46715 5.51084 5.59812 5.66601 5.70777 5.73025 5.79878 5.89023 5.9724 6.03136
5.48293 5.43795 5.45404 5.5254 5.5936 5.63732 5.66088 5.73022 5.82179 5.90331 5.96069
5.46814 5.42712 5.45781 5.54399 5.62464 5.67148 5.69618 5.77409 5.8773 5.96023 6.01042
5.53847 5.4738 5.49367 5.58451 5.66838 5.71453 5.73848 5.8114 5.90852 5.98963 6.04254
5.52304 5.45036 5.4638 5.54963 5.63101 5.6798 5.70539 5.78018 5.87913 5.96389 6.01889
5.52581 5.45026 5.45334 5.52969 5.61477 5.66288 5.68736 5.76683 5.87454 5.95933 6.00832
5.52022 5.45953 5.48478 5.57502 5.65726 5.69931 5.72357 5.80163 5.90616 5.98864 6.03466
5.46841 5.42823 5.44809 5.52002 5.58378 5.62873 5.65756 5.73754 5.83504 5.91869 5.97791
5.45612 5.41642 5.43618 5.51319 5.58227 5.61762 5.64046 5.71633 5.81962 5.90364 5.95388
5.50376 5.41178 5.41988 5.49985 5.57184 5.61057 5.63608 5.72156 5.83429 5.92283 5.97227
5.53278 5.43307 5.43936 5.52586 5.61448 5.65089 5.67551 5.74904 5.86593 5.95309 5.98911
5.50067 5.42583 5.44274 5.54349 5.62358 5.6576 5.68133 5.76358 5.87958 5.96279 5.99855
5.49491 5.41855 5.43019 5.52577 5.6153 5.65611 5.67774 5.74457 5.86069 5.93666 5.94917
5.49648 5.41121 5.41769 5.49775 5.57735 5.61391 5.63618 5.72051 5.83853 5.91139 5.92677
5.53051 5.41806 5.42328 5.50036 5.58157 5.62142 5.6412 5.71094 5.8295 5.90709 5.91593
5.50578 5.40414 5.40352 5.47464 5.54314 5.57785 5.60204 5.68777 5.80842 5.87892 5.89213
5.51019 5.35957 5.32808 5.38412 5.45169 5.49238 5.51691 5.59234 5.71046 5.78332 5.78932
5.47821 5.34145 5.28659 5.35175 5.42961 5.46067 5.47934 5.54341 5.65824 5.7377 5.75326
5.50855 5.29749 5.25732 5.29748 5.3534 5.38249 5.41558 5.4432 5.59174 5.66925 5.67595
5.57477 5.3097 5.26803 5.31024 5.38377 5.41655 5.44254 5.4823 5.60233 5.68263 5.70041
5.56055 5.30657 5.28738 5.33435 5.41562 5.44078 5.45235 5.49303 5.62291 5.70136 5.70575
5.48259 5.32826 5.30922 5.361 5.44962 5.48824 5.50294 5.55659 5.66368 5.74039 5.76348
5.45901 5.36288 5.3535 5.41692 5.48504 5.51161 5.53888 5.5873 5.67644 5.75379 5.76467
5.48453 5.35636 5.32786 5.37884 5.44931 5.47343 5.48917 5.55245 5.64807 5.71955 5.7455
5.57625 5.35299 5.34125 5.39439 5.47709 5.48639 5.50805 5.56473 5.66218 5.74251 5.7563
5.54091 5.36353 5.34915 5.40437 5.47783 5.49027 5.5093 5.57514 5.67728 5.75723 5.76735
5.5301 5.35201 5.33177 5.38611 5.46643 5.48861 5.5119 5.57059 5.68244 5.76871 5.77395
5.48046 5.32473 5.3091 5.37368 5.45739 5.48451 5.50839 5.57932 5.68992 5.77049 5.79079
5.48499 5.38327 5.38116 5.47184 5.56931 5.59123 5.62386 5.68442 5.78758 5.86884 5.8868
5.46517 5.3231 5.31061 5.39916 5.48182 5.49998 5.52651 5.621 5.73939 5.83334 5.83655
5.36975 5.27021 5.29761 5.36256 5.45024 5.49014 5.52265 5.5818 5.702 5.77448 5.79371
5.32304 5.28428 5.31079 5.37385 5.4634 5.50558 5.53309 5.59159 5.69971 5.77555 5.80013
5.21689 5.26092 5.28043 5.33504 5.41735 5.46256 5.50296 5.53773 5.64486 5.72016 5.73791
5.26111 5.23944 5.24548 5.30865 5.39926 5.45052 5.47784 5.5353 5.63387 5.70525 5.73208
5.22653 5.22754 5.21905 5.27103 5.36844 5.42339 5.46133 5.50305 5.60635 5.67793 5.69961
5.14362 5.18078 5.18417 5.23971 5.34005 5.4001 5.43513 5.47197 5.57115 5.6424 5.65795
5.10634 5.14853 5.14539 5.21078 5.29799 5.3567 5.38597 5.40665 5.52834 5.5952 5.61382
5.23171 5.17101 5.16565 5.2244 5.29691 5.3518 5.37895 5.44588 5.52966 5.59879 5.6447
5.2152 5.14728 5.13689 5.19028 5.26655 5.32491 5.35178 5.41496 5.51542 5.58501 5.60925
5.24475 5.15083 5.14664 5.21803 5.30152 5.35724 5.38462 5.46872 5.57983 5.64993 5.68338
5.24701 5.16927 5.17193 5.24351 5.32876 5.38437 5.41504 5.50926 5.62609 5.70074 5.73317
