Year,Month,%OT Arrival,%Late Arr,%Canceled,%Diverted,%OT Dept,#flights
1995,11,77.85,20.49,1.47,0.19,81.48,427091
2004,5,77.62,20.36,1.75,0.28,81.74,594457
2005,2,77.58,20.52,1.74,0.16,81.11,545332
1997,7,77.5,20.54,1.69,0.28,82.29,466771
1998,5,77.48,20.21,2.09,0.21,81.73,449293
2004,2,77.48,20.68,1.71,0.13,82,553876
1996,10,77.19,20.82,1.74,0.25,82.76,456577
1998,8,77.03,19.56,3.16,0.25,80.62,465910
2000,3,76.99,20.68,2.12,0.21,80.73,482944
2005,3,76.94,21.28,1.65,0.14,79.77,617540
2003,2,76.54,19.21,4,0.25,80.79,500205
1999,5,76.19,21,2.57,0.25,81.16,462054
2001,8,76.18,21.08,2.45,0.29,79.86,544351
1997,6,76.14,22.04,1.51,0.32,81.41,450737
1999,8,76.11,21.21,2.44,0.23,80.23,479549
2000,10,76.07,21.6,2.13,0.19,80.17,485761
2003,12,76.04,21.72,2.09,0.15,80.33,555495
2004,7,75.95,22.14,1.65,0.26,79.07,614166
1995,6,75.94,22.53,1.32,0.21,81.7,439423
1996,3,75.94,21.87,1.98,0.21,79.84,449569
1998,3,75.85,21.76,2.14,0.25,80.26,459703
1999,4,75.73,22.05,1.98,0.24,81.05,450620
2001,1,75.42,20.64,3.75,0.18,78.72,529940
1998,2,75.39,21.82,2.54,0.25,80.91,412832
2000,4,75.37,21.9,2.51,0.22,79.74,463263
1996,7,75.29,22.42,2.04,0.26,79.97,458376
2001,3,75.22,21.24,3.37,0.17,78.26,531119
1997,2,75.21,22.51,2.07,0.2,80.37,415656
2005,6,75.2,22.94,1.63,0.23,78.06,609195
2001,6,75.18,21.52,2.98,0.32,78.73,520230
2005,8,75.16,22.42,2.13,0.29,77.92,630904
1998,1,75.05,21.59,3.07,0.28,79.9,452001
2004,1,74.85,21.96,3.02,0.17,79.68,583987
2000,2,74.76,21.58,3.42,0.24,78.89,444499
1996,8,74.69,23.34,1.72,0.25,79.98,462294
1996,6,74.67,23.24,1.81,0.28,79.57,443311
2000,5,74.25,22.01,3.45,0.28,78.34,478909
1995,1,73.83,22.82,3.07,0.29,78.39,464933
2000,1,73.75,20.77,5.21,0.28,78.26,470477
1997,12,73.54,24.38,1.82,0.26,78.64,450904
1998,12,73.22,24.27,2.18,0.34,76.89,455099
2004,6,72.95,25.26,1.49,0.29,77.36,588792
2000,11,72.82,24.67,2.34,0.17,77.21,467251
2001,2,72.73,23.31,3.65,0.3,77.17,477824
1996,2,71.9,24.3,3.47,0.33,76.44,420265
2004,12,71.56,25.39,2.82,0.23,74.46,606731
2005,1,71.39,24.09,4.22,0.3,75.17,594924
1999,7,71.07,25.44,3.14,0.35,75.98,474047
2005,12,71.01,26.92,1.88,0.19,74.25,572343
2005,7,70.92,26.56,2.21,0.32,73.89,627961
1999,6,70.88,26.02,2.75,0.35,76.68,460467
1998,6,70.42,26.3,2.88,0.4,75.47,446427
2000,7,70.31,26.21,3.21,0.27,74.31,483342
2000,8,69.96,26.71,3.05,0.28,74.56,491366
1997,1,68.41,27.32,3.95,0.32,74.19,459123
1999,1,67.66,26.04,5.85,0.45,71.95,453814
1995,12,67.66,29.21,2.87,0.26,71.62,441688
2001,9,67.66,11.82,20.24,0.28,68.53,490698
1996,12,66.63,30.36,2.7,0.32,71.37,455997
2000,6,66.34,29.37,3.95,0.34,71.11,471100
2000,12,62.75,30.99,5.95,0.31,66.52,481038
1996,1,62.67,30.28,6.62,0.44,68.49,447224
