RMRF	SMB	HML	UMD	RF	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10
-5.54	-4.13	0.34	-3.16	0.35	-9.59	-10	-8.53	-8.99	-8.08	-7.92	-7.76	-7.27	-5.8	-3.98
1.37	0.85	2.21	4.08	0.31	2.64	3.43	3.45	3.53	3.18	3.52	2.72	3.69	2.29	1.1
2.76	2.87	-1.01	2.58	0.33	4.1	4.29	4.26	5.16	7.41	5.16	4.01	4.38	3.44	2.43
2.89	0.61	-0.11	3.29	0.31	3.03	2.09	2.71	4.85	3.52	3.34	2.94	3.13	2.92	3.23
2.62	2.45	1.65	3.43	0.31	8.04	6.48	5.64	5.95	5.79	4.84	3.75	4.1	3.34	2.18
-0.04	4.69	0.25	4.4	0.35	7.15	4.2	2.65	6.38	5.32	3.82	3.51	3.16	1.67	-1.23
1.02	2.03	1.99	0.12	0.33	5.15	3.63	4.45	5.51	2.17	3.19	3.01	1.63	1.76	0.66
0.83	3.85	3.59	5.38	0.38	8.49	6.78	6.41	4.95	4.22	4.29	2.49	3.54	2.77	-0.46
-1.21	4.46	0.4	4.53	0.35	5.45	3.71	3.62	2.33	2.58	2.11	1	0.27	-0.89	-1.9
-2.47	0.98	-2	1.37	0.38	0.45	-2	-3.44	-0.59	-2.73	-3.34	-2.94	-1.51	-0.64	-2.5
2.14	3.36	-0.41	6.14	0.34	6.94	4.95	8.17	4.62	3.65	3.73	3.32	2.98	2.22	1.87
-5.66	-4.55	-1.64	-4.7	0.41	-12.91	-9.11	-9.33	-10.12	-8.77	-7.6	-7.07	-6.19	-5.41	-4.01
-1.41	1.09	0.57	3.34	0.38	-0.15	0.98	0.49	0.29	-0.37	0.56	-0.94	1.08	-0.48	-1.78
-1.64	-0.32	0.88	-1.38	0.35	-1.97	-1.85	-1.21	-2.25	-0.73	-1.11	-1.45	-1.76	-0.83	-1.27
-7.95	-3.33	0.47	-2.1	0.41	-11.72	-9.54	-11.16	-10.08	-9.41	-8.74	-9.01	-8.05	-8.24	-6.71
-1.1	-1.1	0.5	-1.76	0.4	-2.24	-1.64	-1.95	-1.54	-1.15	-1.8	-0.96	-1.25	-1.46	-0.2
3.78	-6.61	2.79	-5.13	0.45	-5.36	-2.46	-0.34	-1.6	0.86	2.11	0.82	3.52	5.03	5.41
1.35	4.37	-4.53	5.68	0.4	4.08	5.47	3.32	4.72	5.61	3.23	5.57	2.68	1.89	0.91
0.22	1.81	-1.31	1.09	0.4	1.48	2.21	2.69	1.87	2.24	1.86	2.35	2.62	2.23	-0.5
8.12	8.35	1.96	-6.75	0.43	20.67	16.46	18.86	17.7	13.44	14.15	11	9	8.38	7.01
0.73	3.33	-2.25	3.55	0.36	6.52	4.99	3.04	3.06	1.98	1	1.69	0.43	0.93	0.81
3.95	1.75	0.14	1.41	0.39	6.9	6.5	6.86	6.9	5.71	5.57	5.44	5.09	4.38	3.83
3.84	0.52	-2.58	0.58	0.32	4.77	4.25	3.96	3.67	4.37	4.43	3.95	4.82	2.73	4.46
-4.26	2.05	0.82	0.64	0.33	-0.15	-0.33	-2.01	-1.33	-2.39	-0.82	-0.79	-2.21	-3.93	-5.01
2.42	5.96	0.88	6.08	0.27	12.99	11.15	7.08	8.56	5.77	5	4.62	3.61	2.15	1.43
4.6	3.07	2.6	-1.07	0.32	10.27	8.92	8.81	7.51	6.79	5.97	5.31	5.92	5.05	4.1
-0.94	0.46	1.46	-1.42	0.31	1.3	-0.27	0.65	-1.16	0.27	0.02	0.41	-0.49	-0.41	-0.87
3.11	3.03	-2.41	2.54	0.32	8.79	7.51	5.81	4.71	3.16	4.02	4.43	1.3	2.15	3.49
-3.13	1.47	-3.38	3.63	0.39	-1.07	-2.7	-3.16	-1.67	-3.58	-2.46	-3.84	-5.24	-4.9	-1.82
0.43	0.18	-1.72	1.29	0.36	-1.09	1.19	0.26	1.12	1.46	0.46	1.62	0.83	0.32	0.74
3.04	5.76	-0.45	3.22	0.33	11.56	9.8	9.51	8.29	7.06	6.16	3.73	2.7	3.11	2.32
-4.03	3.84	4.63	-4.65	0.4	5.64	0.93	0.55	-0.79	-0.86	-3.09	-2.73	-3.66	-2.64	-4.52
-3.75	-2.87	1.2	-3.4	0.39	-7.39	-5.96	-5.81	-6.04	-3.75	-4.71	-4.76	-4.16	-3.4	-2.34
0.13	-1.3	-0.54	3.17	0.38	-1.5	-0.71	-1.21	-1.19	-1.27	0.92	0.71	-0.47	-0.34	1.21
8.98	5.77	-1.18	5.12	0.43	16.99	17.12	14.73	14.77	12.34	12.95	10.5	10.52	8.97	7.87
2.25	6.35	0.85	3.76	0.45	14.65	8.58	9.51	7.03	5.6	6.05	5.01	3.78	2.64	0.96
0.72	-0.22	0.75	-1.89	0.43	1.56	-0.46	-0.03	0.76	2.31	-0.04	2.34	1.75	2.37	0.89
-2.68	-1.36	5.47	-0.9	0.48	-2.21	-3.77	-1.81	-5.08	-2.7	-4.83	-5.49	-2.43	-2.21	-1.53
1.38	2.32	1	1.88	0.42	4.7	4.24	3.84	2.72	3.99	2.74	1.3	2.52	1.57	1.38
4.02	2.79	0.18	-0.59	0.43	7.33	6.63	7.07	6.94	7.4	4.69	6.72	6.77	5.42	3.04
0.46	-0.48	2.86	-1.44	0.44	0.18	0.15	1.27	0.1	1.57	1.17	1.21	0.5	1.58	0.78
5.43	2.32	-0.88	1.73	0.42	7.06	7.24	8.31	8.43	8.19	7.98	7.83	7.25	6.39	4.89
-3.82	3.39	-0.01	0.28	0.43	3.36	1.52	-1.25	-1.39	-1.42	-2.48	-3.1	-3.47	-2.71	-4.52
-1.2	-0.8	1.58	-0.16	0.53	-0.59	-0.83	-0.49	-0.48	-1.21	-1.93	-1.94	0.35	0.02	-0.96
-5.82	-3.91	0.9	-2.42	0.46	-10.73	-9.54	-8.33	-8.45	-7.92	-7.53	-7.54	-6.89	-5.97	-3.49
2.59	-0.31	-0.47	4.03	0.46	3.02	3.27	2.36	2.03	2.42	1.82	1.75	2.32	0.9	4.1
1.52	-0.84	0.06	1.2	0.53	0.15	1.14	1.59	1.03	1.2	0.95	1.98	1.05	2	2.49
0.02	-0.32	0.73	1.66	0.48	1.24	0.73	0.56	-1.56	1.04	-0.16	-0.04	0.06	-0.64	0.63
-7.25	-5.31	-1.17	-2.33	0.51	-13.61	-13.17	-11.75	-11.01	-11.05	-10.44	-9.13	-7.43	-6.77	-4.74
-7.05	-3.3	1.33	1.7	0.53	-11.54	-11.21	-9.65	-8.91	-8.52	-8.3	-7.44	-6.64	-6.35	-5.64
4.65	0.83	-3.92	2.17	0.5	4.13	5.58	5.95	5	7.84	6.59	5.2	6.36	3.98	5.08
-2.88	1.11	-3.41	2.5	0.62	-3.27	-3.32	-0.96	-0.13	-1.11	-1.03	-1.59	-1.98	-0.9	-3.06
4.96	3.71	-3.31	-4.32	0.6	10.77	9.55	9.24	8.89	7.32	7.57	8.06	6.95	7	4.12
-3.74	-2.59	-1.17	3.64	0.52	-7.04	-7.05	-4.32	-3.89	-5.33	-4.36	-4	-3.6	-3.49	-2.66
-2.61	-3.66	-2.97	4.99	0.64	-8.67	-6.28	-6.97	-4.81	-2.99	-3.92	-1.76	-2.17	-2.58	-1.02
-7.93	2.91	2.98	0.41	0.6	-1.85	-5.83	-5.35	-4.99	-6.53	-7.03	-6.88	-8.11	-6.09	-8.07
5.05	-2.35	3.93	0.34	0.62	2.84	3.77	3.75	3.52	4.13	4.82	4.53	6.74	7.71	5.75
-1.04	-2.38	4.24	-0.23	0.57	-4.1	-3.4	-2.53	-2.9	-1.66	-0.81	-0.33	-0.41	-0.39	0.17
-11.03	-6.12	6.22	-0.69	0.5	-18.69	-16.85	-17.23	-16.9	-14.44	-14.49	-13.22	-11.38	-10.74	-8.45
-6.96	-4.48	3.44	-2.63	0.53	-9.61	-9.3	-9.24	-11.41	-10.09	-9.75	-9.32	-8.45	-7.04	-4.7
-5.69	-2.18	0.74	5.65	0.58	-8.01	-9.29	-7.44	-8.33	-5.1	-6.56	-5.53	-3.46	-4.76	-4.98
6.9	-0.53	0.97	-3.12	0.52	4.05	5.91	7.35	7.22	8.54	6.5	8.82	8.76	7.39	7.33
4.47	1.52	1.24	-6.46	0.53	5.96	6.44	8.23	6.85	5.8	7.17	5.29	6.06	5.46	4.48
4.21	8.69	-5.49	-8.91	0.54	16.68	13.79	14.67	12.12	9.24	9.82	7.15	6.67	4.33	2.84
-2.28	-4.15	0.19	9.55	0.46	-8.76	-6.79	-6.52	-3.96	-5.16	-4.44	-3.92	-3.67	-2.11	-0.51
4.58	-4.03	1.73	2.86	0.46	-2.78	-0.5	1.86	2.91	3.69	3.68	4.76	5.31	6.32	5.41
5.65	2.9	0.94	-2.21	0.42	9.13	9.37	7.88	9.03	7.95	8.35	8.88	8.04	6.43	5.21
4.82	7.46	1.43	-6.6	0.38	17.37	12.22	12.77	9.75	10.13	7.87	6.81	7.72	5.06	3.44
1.36	1.83	-1.37	0.78	0.33	6.78	4.84	1.92	3.85	2.2	2.58	2	2.79	1.18	1.27
4.18	2.55	-3.9	-1.33	0.3	6.17	5.43	5.44	5.85	7.21	5.76	4.86	5.06	3.39	3.99
3.05	-0.37	0.82	1.44	0.28	1.46	2.91	3.37	3.21	4.88	4.67	3.98	3.96	3.35	3.42
-3.93	-1.03	-1.21	0.91	0.29	-6.49	-5.18	-5.23	-4.02	-4.07	-3.52	-2.56	-4	-2.69	-3.83
-0.06	-1.39	-2.1	2.71	0.37	-2.97	-1.21	-2.23	1.38	-1.21	-0.97	0.1	0.71	0.76	0.43
-4.43	-1.68	0.31	-2.37	0.4	-6.71	-6.57	-5.57	-5.38	-3.63	-5.72	-3.93	-4.63	-3.8	-3.76
3.78	0.31	1.94	3.53	0.47	3.12	5.4	5.2	5.05	3.79	6.56	5.83	4.92	3.81	3.95
-0.87	0.36	-2.71	2.13	0.37	-0.18	-0.17	-1.24	-0.53	-0.74	0.04	-0.71	-0.29	-0.85	-0.43
-4.44	-1.76	-0.54	0.52	0.37	-6.97	-6.06	-5.55	-4.24	-5.82	-6.34	-4.21	-3.95	-5.58	-3.28
-0.5	-2.72	-1.96	1.43	0.37	-5.54	-3.8	-3.72	-1.22	-1.86	-2.04	-1.19	-1.47	-1	0.96
8.76	3.28	-0.16	-0.63	0.37	12.83	12.42	13.75	11.84	10.25	11.71	11.23	9.67	9.8	8.02
2.55	6.24	1.92	0.31	0.29	14.66	11.49	7.73	7.46	5.62	5.01	4.23	2.44	1.98	1.71
2.88	1.37	-2.91	2.53	0.25	4.64	3.58	3.55	3.97	2.38	4.38	3.49	1.69	3.34	3.03
0.6	-0.14	-1.99	2.9	0.27	-0.85	-0.43	0.49	0.28	0.76	1.28	1	1.33	-0.29	1.07
0.26	0.06	0.35	2.67	0.29	0.51	-0.15	1.56	0.52	0.38	0.25	0.62	-0.48	1.2	0.61
1.34	-2.86	-2.47	3.28	0.3	-2.83	-1.88	-3.29	-0.25	-1.1	0.05	2.06	-0.46	0.73	2.53
-2.38	0.07	-1.94	1.97	0.29	-4.17	-3.24	-2.16	-2.15	-3.47	-2.19	-2.83	-3.96	-3.12	-1.41
-0.74	-2.87	0.66	2.75	0.31	-3.68	-5.05	-3.48	-4.14	-2.09	-2.48	-2.72	-2.54	-2.1	0.93
3.31	-4.12	4.64	-5.35	0.29	-0.11	-0.33	0.57	1.25	2.86	2.4	2.56	3.8	5.07	3.73
-1.11	-2.72	0.5	1.77	0.34	-4.44	-4	-3.47	-2.86	-1.87	-2.49	-3.42	-1.38	-1.88	0.17
0.47	-2.67	1.31	0.73	0.4	-3.21	-2.21	-0.86	-0.27	-0.54	-0.28	-0.83	0.55	1.03	1.44
4.61	-1.12	4.74	-5.17	0.37	4.3	4.94	6.07	6	5.71	5.25	7.46	7.42	6.66	4.01
0.75	-1.9	-2.3	5.02	0.37	-2.85	-1.61	-2.47	-1.2	0.16	-0.67	-1.2	-0.93	-1.19	2.35
-3.2	-3.5	2.64	3.66	0.44	-2.82	-4.95	-4.92	-7.37	-5.96	-6.25	-6.2	-5.16	-6.73	-0.62
-4.86	-4	1.72	2.14	0.41	-8.03	-8.64	-8.38	-7.66	-8.14	-7.37	-5.89	-5.64	-3.88	-3.31
-1.25	-2.87	2.8	3.66	0.46	-2.38	-2.82	-2.39	-2.35	-2.95	-2.87	-2.33	-2.69	-1.36	0.29
-5.7	-4.02	5.59	6.33	0.52	-7.21	-7.35	-7.06	-7.84	-5.86	-6.19	-7.46	-5.73	-5.15	-3.75
-2.96	-6.1	0.16	7.09	0.51	-9.25	-8.85	-8.51	-8.3	-6.42	-6.14	-5.93	-4.43	-2.5	-0.72
-1.38	-2.94	1.42	4.35	0.51	-3.46	-3.71	-2.37	-3.65	-3.37	-2	-3.52	-2.9	-3.33	0.22
5.07	7.99	-5.44	-11.56	0.64	12.22	12.66	13.18	12.16	9.8	9.06	9.57	9.59	7.21	3.5
-3.67	-2.09	1.14	3.49	0.7	-5.93	-5.07	-4.88	-4.56	-3.27	-3.42	-1.51	-2.31	-1.38	-3.39
4.72	2.92	2.13	-7.24	0.68	7.38	9.51	9.83	9.47	9.79	10.08	10.67	9.86	8.77	2.85
-0.68	-0.26	1.76	6.8	0.65	-0.08	-1.18	-0.71	-0.4	-1.03	0.77	-0.2	-0.66	-1.49	0.27
-12.64	-7.73	4.03	8.69	0.56	-19.48	-18.47	-17.96	-17.67	-16.74	-17.04	-17.32	-15.29	-12.03	-10.01
0.5	-5.3	3.98	10.33	0.64	-4.89	-2.5	-1.7	-1.09	-0.82	1.07	1.02	3.71	1.69	1.37
-0.19	9.67	5.95	-8.89	0.63	13.72	10.85	9.23	7.91	6.46	6.34	3.57	2.31	1.53	-1.9
-0.35	0.03	2.48	0.13	0.58	0.07	-0.45	1.35	0.98	0.16	-0.29	-0.06	0.96	0.26	-0.01
-2.9	2.41	-0.06	-0.88	0.56	1.61	-0.57	-0.98	-0.8	-1.43	-1.94	-2.68	-3.33	-3.35	-2.14
-5.35	-0.76	0.99	2.12	0.75	-5.14	-5.76	-6.82	-5.29	-5.82	-5.73	-6.32	-6.26	-6.06	-3.56
-4.95	-2.87	-1.92	-0.39	0.75	-7.07	-7.3	-7.94	-7.07	-7.77	-8.24	-7.9	-6.46	-6.54	-1.88
-2.89	-0.19	0.83	2.33	0.6	-2.76	-2.99	-2.86	-2.77	-2.79	-4.39	-3.47	-3.56	-3.08	-1.54
-7.79	0.84	5.26	3.15	0.7	-5.62	-5.62	-4.93	-4.69	-4.41	-2.94	-5.32	-4.47	-5.98	-8.59
-9.37	-0.71	2.63	2.99	0.6	-7.96	-8.6	-8.43	-7.97	-8.84	-8.25	-9.62	-9.67	-10.17	-8.39
-11.78	0.31	5.52	4.12	0.81	-7.68	-8.41	-8.69	-8.1	-8.48	-7.85	-8.86	-8.31	-7.64	-12.58
16.05	-3.38	-9.79	-0.77	0.51	6.98	10.04	10.1	9.54	9.94	11.56	15.52	14.89	18.12	18
-4.64	-1.27	-0.14	2.19	0.54	-5.82	-5.06	-4.09	-4.51	-3.61	-3.76	-3.31	-1.77	-2	-4.64
-3.4	-4.81	0.14	2.95	0.7	-8.4	-6.4	-6.75	-5.47	-5.48	-4.41	-5.31	-3.1	-1.31	-2.04
13.57	10.93	7.94	-13.81	0.58	26.57	28.41	25.73	24.16	24.96	20.83	22.46	18.97	15.2	10.89
5.41	0.18	-4.47	-0.56	0.43	4.41	4.42	5.57	3.73	3.54	4.84	3.68	3.93	4.42	7.04
2.61	3.71	2.54	-1.99	0.41	8.26	7.68	5.8	6.18	5.8	5.14	6.26	4.9	2.88	1.92
4.21	-0.6	-1.18	1.38	0.44	3.09	4.2	3.58	3.39	4.58	4.79	4.84	4.62	4.15	4.86
5.07	3.69	-4.08	-0.56	0.44	7.89	8.11	7.73	7.54	5.65	5.48	7.48	5.34	5.02	5.42
4.74	0.76	1.39	0.07	0.41	7.4	6.19	7.27	6.29	5.99	5.53	6.01	7.95	6.92	4.2
-6.52	2.71	1.65	0.43	0.48	0.67	-2.1	-3.6	-2.88	-3.85	-4.32	-4.73	-6.77	-5.81	-6.9
-2.84	-3.24	-0.82	-0.13	0.48	-5.91	-5.9	-5.56	-4.47	-3.68	-3.97	-3.66	-3.28	-2.13	-1.64
-4.33	-0.08	0.43	0.39	0.53	-3.39	-3.47	-3.24	-4.01	-3.78	-4.16	-3.94	-4.06	-3.28	-3.73
5.03	-4.1	0.42	-0.08	0.56	0.77	2.32	2.68	2.67	1.79	3.69	5.14	6.35	5.25	6.69
2.71	-1.18	1.88	-0.47	0.41	1.69	2.22	2.98	2.02	1.94	3.59	3.63	4.36	2.53	3.12
-1.58	-0.77	1.69	-0.13	0.48	-1.24	-0.53	-1.49	-1.08	-0.21	0.22	-0.19	-0.99	-0.04	-1.54
12.13	4.79	8.37	4.43	0.47	19.61	18.93	18.65	17.22	16.91	16.25	15.52	14.47	12.98	11.02
0.39	7.03	5.66	0.31	0.34	12.56	9.29	8.36	7.98	5.87	5.78	4.03	2.39	1.55	-1.65
2.28	-1.33	0.05	0.18	0.4	1.72	1.86	0.56	1.31	1.62	1.12	2.12	1.6	0.98	3.66
-1.46	-0.07	-0.11	0.5	0.42	-0.98	-1.65	-0.89	-1.38	-0.27	-0.96	-1.28	-1.32	-0.75	-1.06
-1.31	-1.2	-1.39	-1.13	0.37	-2.93	-2.01	-1.65	-2.21	-0.92	-1.56	-1.28	-1.66	-0.28	-0.78
4.02	-1.32	0.69	-0.42	0.43	1.98	3.02	2.86	3.82	5.36	5.59	4.95	5.71	4.94	4.24
-1.09	0.27	1.71	-0.1	0.47	-0.01	0.44	0.3	0.78	0.23	-0.44	-0.24	-0.15	-0.68	-0.85
-0.56	-2	0.87	-0.86	0.42	-1.79	-0.97	-2.61	-1.62	-1.39	-1.9	-0.51	-0.86	-0.09	0.37
2.01	-0.02	-0.26	0.24	0.44	1.28	2.49	2.63	3.58	2.63	2.4	2.13	2.1	2.33	2.52
-2.45	0.16	-0.17	-0.45	0.41	-1.73	-1.65	-2.48	-1.81	-1.65	-1.84	-2.49	-1.29	-2.82	-1.91
0.14	2.34	1.46	2.96	0.4	2.22	4.24	4.13	3.49	3.72	4.17	3.19	2.99	2.21	-0.79
5.76	2.93	2.3	0.76	0.4	10.47	9.08	10.1	9.12	9.38	7.3	7.85	7.26	6.94	4.79
-3.99	4.76	4.22	3.94	0.36	5.3	3.2	2.05	1.11	0.42	-0.53	-2.07	-2.72	-3.93	-5.19
-1.93	1.06	0.5	0.37	0.35	0.45	-0.18	-1.13	-0.47	-1.07	-2.58	-1.6	-2.45	-2.37	-1.35
-1.3	1.01	1.08	0.52	0.38	1.08	0.58	0.05	0.06	0.37	0.45	0.14	0.01	0.03	-1.86
0.12	-0.07	3.42	4.22	0.38	2.13	1.6	2.14	1.76	1.12	2.16	1.63	1.59	2.16	-0.53
-1.45	1.25	0.87	2.09	0.37	0.69	-0.14	-0.2	0.02	0.12	-0.21	-0.61	-0.85	-0.1	-1.74
4.74	2.14	-0.67	1.77	0.4	5.94	6.15	5.92	7.2	6.8	6.04	4.92	5.75	4.17	4.89
-1.7	2.13	-0.62	0.36	0.42	1.78	0.63	0.23	-0.2	-0.34	-0.65	-1.31	-2.02	-2.1	-1.34
