RFOOD	RDUR	RCON	RMRF	RF	JANDUM
0.74	-0.03	-1.05	0.47	0.4	0
5.26	0.35	7.41	4.61	0.37	0
1.38	3.6	-1.14	0.75	0.37	0
-3.67	-6.34	-8.32	-3.2	0.44	1
-3.57	-1.79	-9.15	-4.86	0.41	0
-1.48	-2.14	-2.01	-1.25	0.46	0
-4.66	-7.46	-4.86	-5.7	0.52	0
-1.41	-0.36	-5.89	-2.96	0.51	0
-3.63	0.47	-2.41	-1.38	0.51	0
5.23	4.34	12.81	5.07	0.64	0
-2.7	-4.2	-2.47	-3.67	0.7	0
5.26	-0.55	7.48	4.72	0.68	0
-2.37	-1.32	-0.89	-0.68	0.65	0
-13.11	-13.77	-18.51	-12.64	0.56	0
-1.43	-1.81	-0.82	0.5	0.64	0
0.96	-2.38	5.42	-0.19	0.63	1
-0.47	-3.75	3.55	-0.35	0.58	0
-2.95	-1.04	-0.78	-2.9	0.56	0
-4.14	-6.29	-6	-5.35	0.75	0
-4.71	-0.59	-7.73	-4.95	0.75	0
-1.04	-2.41	-5.76	-2.89	0.6	0
-12.85	-14.38	-4.59	-7.79	0.7	0
-12.85	-11.18	-10.46	-9.37	0.6	0
-14.09	-18.97	-11.56	-11.78	0.81	0
18.34	12.68	13.91	16.05	0.51	0
-4.08	-7.77	-7.4	-4.64	0.54	0
-1.11	-8.2	-4.16	-3.4	0.7	0
19.56	19.74	24.67	13.57	0.58	1
5.03	12.62	3.49	5.41	0.43	0
5.12	4.59	7	2.61	0.41	0
0.57	8.07	2.67	4.21	0.44	0
5.98	0.26	4.5	5.07	0.44	0
4.44	3.56	4.86	4.74	0.41	0
-5.8	-8.25	-5.94	-6.52	0.48	0
-2.87	-4.16	-2.3	-2.84	0.48	0
-3.73	-4.47	-6.79	-4.33	0.53	0
11.19	8.19	2.69	5.03	0.56	0
2.81	2.85	3.54	2.71	0.41	0
-2.44	-2.7	0.01	-1.58	0.48	0
8.43	14.47	16.74	12.13	0.47	1
-3.34	-0.74	5.96	0.39	0.34	0
0.26	1.55	2.08	2.28	0.4	0
-1.72	-5.3	-0.06	-1.46	0.42	0
-1.38	-3.59	-4.15	-1.31	0.37	0
5.02	4.74	2.72	4.02	0.43	0
1.32	-3.65	-2.92	-1.09	0.47	0
-0.89	-1.54	-1.65	-0.56	0.42	0
-0.26	-1.1	1.52	2.01	0.44	0
-2.68	-3.29	-0.3	-2.45	0.41	0
-0.09	-1.79	2.14	0.14	0.4	0
4.24	4.34	8.64	5.76	0.4	0
-5.3	-8.39	-5.19	-3.99	0.36	1
-1	-2.88	-1.63	-1.93	0.35	0
-1.56	-4.23	-0.04	-1.3	0.38	0
-0.57	-1.3	1.59	0.12	0.38	0
-1.24	-4.1	-3.45	-1.45	0.37	0
3.67	4.6	4.04	4.74	0.4	0
1.47	-2.64	-3.67	-1.7	0.42	0
-0.49	0.88	-2.29	-1.78	0.44	0
0.15	-1.24	-1.12	-0.27	0.43	0
-4.96	-7.9	-3.18	-4.42	0.49	0
3.14	1.31	7.34	4.04	0.5	0
-0.75	-0.99	0.68	0.33	0.49	0
-5.26	-7.68	-6.8	-6.01	0.49	1
-0.38	-3.59	-0.89	-1.39	0.46	0
2.21	3.61	4.72	2.87	0.53	0
5.71	13.19	8.94	7.74	0.54	0
3.92	4.5	3.11	1.81	0.51	0
-0.1	-3.12	-2.14	-1.62	0.54	0
1.99	7.95	7.47	5.11	0.56	0
2.75	2.62	8.6	3.69	0.55	0
-1.24	-3.49	-2.57	-1.31	0.62	0
-11.34	-11.53	-16.75	-11.78	0.68	0
0.98	2.35	1.1	2.68	0.7	0
0.76	-0.47	0.62	0.99	0.78	0
2.64	3.79	7.36	4.18	0.77	1
-4.61	-5.21	-2.78	-3.41	0.73	0
2.06	5.57	8.34	5.75	0.81	0
-0.87	0.63	1.81	0.05	0.8	0
-2.55	-3.07	-1.64	-2.18	0.82	0
2.63	1.42	4.38	3.88	0.81	0
0.16	-0.15	1.06	0.73	0.77	0
6.55	4.77	11.01	5.7	0.77	0
-2.54	-4.36	2.4	-0.69	0.83	0
-9.25	-8.35	-11.55	-8.14	0.87	0
4.22	-0.12	6.75	5.37	0.99	0
1.46	3.1	3.98	1.87	0.95	0
3.14	3.81	8.78	5.76	0.8	1
-6.14	-6.13	3.43	-0.79	0.89	0
-10.29	-6.6	-19.17	-13.23	1.21	0
5.84	0.94	5.69	3.97	1.26	0
7.07	4.98	7.25	5.2	0.81	0
1.7	2.21	4.52	3.16	0.61	0
5.28	9.27	9.54	6.41	0.53	0
0.18	1.6	-1.15	1.71	0.64	0
-1.16	1.26	-0.33	2.2	0.75	0
-1.91	1.1	-0.66	1.05	0.95	0
-0.9	6.74	5.45	9.53	0.96	0
0.54	-3.59	-5.69	-4.75	1.31	0
1.6	-2.59	-2.2	-5.05	1.04	1
1.26	7.05	2.49	0.48	1.07	0
5.7	3.21	5.61	3.41	1.21	0
-1.16	-1.81	-2.91	-2.2	1.08	0
1.25	-0.66	0.61	0.2	1.15	0
-1.88	-4.21	-2.06	-2.37	1.35	0
-2.64	-4.13	-5.73	-1.55	1.24	0
-6.14	-8.24	-5.84	-6.91	1.28	0
-3.13	-4.56	-13.88	-7.61	1.24	0
7.38	-0.15	-0.24	4.81	1.21	0
0.97	4.95	6.52	3.51	1.07	0
-0.77	-1.61	-5.19	-3.68	0.87	0
-1.31	2.84	-9.12	-3.42	0.8	1
-1.65	-4.81	-8.84	-6.03	0.92	0
2.4	1.42	-4.12	-1.99	0.98	0
5.7	0.12	1.95	3.2	1.13	0
-3.47	-3.37	-5.1	-3.88	1.06	0
0.99	1.42	-5.29	-3.35	0.96	0
0.89	0.83	-3.61	-3.1	1.05	0
6.11	10.79	17.47	11.14	0.76	0
3.36	-0.24	-1.85	1.17	0.51	0
6.44	12.26	16.39	11.27	0.59	0
4.61	8.53	8.91	4.56	0.63	0
-0.05	-2.74	2.26	0.78	0.67	0
-0.85	4.38	0.62	3.46	0.69	1
1.04	6.17	3.22	2.43	0.62	0
5.32	-2.87	5.13	2.84	0.63	0
4.37	5.35	5.5	6.72	0.71	0
-1.63	-5.04	1.87	0.62	0.69	0
0.91	4.62	0.09	3.13	0.67	0
-3.08	-5.88	-3.91	-3.91	0.74	0
1.02	-1.98	-4.81	-0.4	0.76	0
4.61	1.98	2.4	0.87	0.76	0
1.47	-2.82	-6.22	-3.53	0.76	0
1.82	7.99	6.46	2.23	0.7	0
-1.27	0.45	-1.84	-1.77	0.73	0
-0.39	-7.2	-4.49	-2.05	0.76	1
-4.92	-6.38	-4.99	-4.63	0.71	0
0.45	1.2	2.71	0.62	0.73	0
-0.29	-0.62	-3.24	-0.54	0.81	0
-2.67	-4.07	-9.36	-6.02	0.78	0
5.77	0.99	-0.17	1.61	0.75	0
-1.84	-0.64	-4.78	-2.86	0.82	0
6.54	8.34	13.09	10.43	0.83	0
1.54	-3.8	0.31	-0.82	0.86	0
1.23	-0.36	-2.05	-0.99	1	0
-1.07	-2.2	-0.89	-1.79	0.73	0
1.74	2.05	0.49	1.74	0.64	0
1.25	9.19	12.17	7.92	0.65	1
4.73	-0.28	-0.98	1.12	0.58	0
5.51	-4.83	-4.1	-0.81	0.62	0
-2.08	-1.79	-1.24	-0.94	0.72	0
9.99	4	4.45	4.93	0.66	0
2.84	1.43	0.17	1.17	0.55	0
-2.88	1.9	2.06	-0.68	0.62	0
1.8	-3.37	-2.3	-1.03	0.55	0
2.4	-4.33	-4.88	-4.57	0.6	0
3.63	-0.12	2.31	3.81	0.65	0
8.05	12.08	7.34	6.32	0.61	0
3.19	6.6	3.99	3.67	0.65	0
0.59	-0.22	1.27	0.43	0.56	1
8.35	11.05	8.98	6.75	0.53	0
8.16	4.17	9.36	4.79	0.6	0
0.01	-1.94	-2.52	-1.32	0.52	0
7.3	3.88	4.64	4.6	0.49	0
5.63	-0.99	-1.36	0.91	0.52	0
-5.36	-9.25	-9.62	-6.49	0.52	0
1.35	5.58	6.83	6.18	0.46	0
-11.82	-9.18	-7.43	-8.37	0.45	0
9.38	6.91	6.26	4.48	0.46	0
-0.03	6.78	2.34	1.13	0.39	0
-3.12	-0.46	-3.36	-3.14	0.49	0
13.2	14.73	16.44	12.42	0.42	1
3.98	4.03	3.43	4.33	0.43	0
1.83	1.18	4.42	1.86	0.47	0
-4.94	-1.42	-4.5	-2.15	0.44	0
1.78	0.45	-2.26	0.14	0.38	0
5.63	3.68	5.85	3.9	0.48	0
3.11	5.86	5.1	3.95	0.46	0
2.36	5.72	1.68	3.25	0.47	0
-3.12	-1.54	-2.23	-2.52	0.45	0
-18.79	-25.74	-29.81	-23.09	0.6	0
-8.04	-11.43	-5.21	-7.64	0.35	0
7.35	8.14	7.95	6.65	0.39	0
2.74	-0.89	3.56	4.24	0.29	1
4.26	4.01	11.15	4.7	0.46	0
-0.72	-5.84	0.57	-2.15	0.44	0
-0.31	0.51	1.83	0.64	0.46	0
-0.63	1.32	-1.65	-0.42	0.51	0
1.68	6.19	8.47	4.65	0.49	0
-0.5	-1.23	-3.47	-1.23	0.51	0
0.27	-5.29	-5.11	-3.38	0.59	0
5.99	4	0.52	3.11	0.62	0
8.46	0.5	-1.53	1.16	0.61	0
-2.66	-2.19	-5.14	-2.21	0.57	0
1.86	1.93	3.48	1.47	0.63	0
3.96	5.56	4.93	6.05	0.55	1
-3.08	-2.65	0.19	-2.25	0.61	0
4.59	-2.01	0.22	1.49	0.67	0
5.89	7.19	4.04	4.18	0.67	0
5.32	5.16	3.28	3.16	0.79	0
-0.04	-2.74	-1.97	-1.2	0.71	0
12.66	9.19	7.28	7.01	0.7	0
-4.54	-0.28	1.84	1.46	0.74	0
-1	-2.07	-2.78	-0.81	0.65	0
-2.15	-4.96	-7.48	-3.62	0.68	0
2.85	5.25	1.96	1.1	0.69	0
2.14	1.26	-0.18	1.22	0.61	0
-10.41	-6.08	-6.03	-7.58	0.57	1
-0.9	0.19	2.9	0.93	0.57	0
4.84	3.46	5.15	1.77	0.64	0
-0.29	-3.04	-2.39	-3.51	0.69	0
10.91	8.29	9.3	8.21	0.68	0
1.25	-0.2	-2.72	-1.06	0.63	0
-1.03	-1.08	-2.06	-1.62	0.68	0
-7.57	-11.88	-13.15	-9.84	0.66	0
-4.85	-11.26	-9.63	-5.99	0.6	0
3.61	-5.71	-6.43	-1.92	0.68	0
5.28	6.14	8.79	6.03	0.57	0
2.47	3.38	5.65	2.35	0.6	0
2.13	9.3	8.78	4.39	0.52	1
8.65	7.59	8.74	7.09	0.48	0
6.25	2.8	1.88	2.44	0.44	0
-2.17	0.75	0.43	-0.19	0.53	0
3.23	6.77	9.41	3.59	0.47	0
-4.33	-4.82	-4.46	-4.84	0.42	0
5.99	1.4	2.81	4.19	0.49	0
4.77	3.15	4.06	2.23	0.46	0
-4.79	-4.84	-2.54	-1.57	0.46	0
-0.51	1.06	-1.06	1.35	0.42	0
1.25	-4.07	-3.86	-4.12	0.39	0
13.27	14.6	14.19	10.32	0.38	0
-4.92	1.54	4.26	-0.5	0.34	1
-0.21	1.35	0.74	1.05	0.28	0
-2.55	-4.03	-0.41	-2.71	0.34	0
-1.51	0.49	0.42	1.06	0.32	0
2.09	-0.81	1.73	0.37	0.28	0
-1.91	-1.57	-5.24	-2.24	0.32	0
3.64	2.58	4.46	3.68	0.31	0
0.84	-2.57	-1.53	-2.34	0.26	0
0.1	4.23	2.05	0.98	0.26	0
1.29	-0.98	3.62	0.86	0.23	0
2.11	7.31	5.07	3.79	0.23	0
0.48	1.09	4.08	1.48	0.28	0
-1.62	2.79	0.87	1.01	0.23	1
-0.49	0.3	3.1	0.33	0.22	0
-0.13	5.57	0.65	2.25	0.25	0
-8.34	-0.52	-4.44	-2.79	0.24	0
1.83	3.63	2.01	2.72	0.22	0
-0.24	2.03	-1.63	0.26	0.25	0
-2.93	2.25	0.14	-0.32	0.24	0
4.25	3.18	3.68	3.68	0.25	0
-2.06	-0.5	-0.7	-0.19	0.26	0
4.26	3.37	2.85	1.59	0.22	0
-0.51	-1.75	2.52	-1.98	0.25	0
1.52	2.97	1.96	1.71	0.23	0
-2.29	2.7	3.25	2.89	0.25	1
0.1	-1.49	-0.49	-2.62	0.21	0
-3.75	-3.47	-3.83	-4.84	0.27	0
-0.26	-5.12	0.86	0.72	0.27	0
-0.35	3.46	0.03	0.63	0.32	0
-2.62	-4.85	-3.9	-3.05	0.31	0
2.37	7.13	1.76	2.76	0.28	0
5.39	1.34	5.31	3.91	0.37	0
0.35	-1.79	-3.71	-2.24	0.37	0
2.52	1.62	0.65	1.11	0.38	0
-1.36	-5.11	-5.3	-4.08	0.37	0
1.42	5.26	0.96	0.83	0.44	0
1.99	0.36	0.05	1.64	0.42	1
2.31	3.48	2.66	3.57	0.4	0
1.62	-0.31	0.91	2.24	0.46	0
2.88	2.51	-1.37	2.05	0.44	0
3.93	3.01	1.47	2.87	0.54	0
0.85	0.49	3.39	2.61	0.47	0
0.95	4.46	4.15	3.62	0.45	0
-1.36	-0.85	-2.31	0.47	0.47	0
6.65	4.23	0.58	3.21	0.43	0
1.36	-4.35	-2.39	-1.58	0.47	0
3.86	3.45	6.77	3.87	0.42	0
0.59	1.57	0.88	1.05	0.49	0
2.85	3.31	-0.18	2.38	0.43	1
2.2	-0.55	-1.83	1.22	0.39	0
0.15	1.31	3.31	0.73	0.39	0
-1.72	3.42	1.92	2.05	0.46	0
6.14	5.56	3.57	2.25	0.42	0
3.18	0.88	0.13	-1.17	0.4	0
-4.67	-6.27	-4.56	-5.78	0.45	0
0.57	0.8	3.45	2.81	0.41	0
4.22	5.53	6.3	4.86	0.44	0
0.89	0.97	-0.72	0.97	0.42	0
4	7.6	2.71	6.16	0.41	0
-1.12	-1.61	-1.72	-1.59	0.46	0
6.57	5.25	2.54	4.85	0.45	1
2.31	-1.99	0.02	-0.48	0.39	0
-4.35	-4.13	-4.52	-4.87	0.43	0
7.05	6.66	6.98	3.82	0.43	0
4.38	8.57	6.52	6.64	0.49	0
2.69	6.79	3.67	4.05	0.37	0
3.33	5.25	7.2	7.2	0.43	0
-8.86	-8.31	-6.54	-4.05	0.41	0
6.81	7.66	4.64	5.36	0.44	0
-3.76	-5.74	-2.43	-3.83	0.42	0
7.13	8.89	1.8	2.72	0.39	0
3.07	-1	2.99	1.32	0.48	0
-3.05	5.1	-0.86	0.01	0.43	1
4.09	3.05	8.15	6.89	0.39	0
7.82	8.97	7.59	4.75	0.39	0
-3.7	1.17	1.04	0.66	0.43	0
1.54	-3.22	-0.09	-2.94	0.4	0
3.49	5.56	-0.43	2.86	0.41	0
-6.4	-0.56	-6.02	-2.71	0.4	0
-15.34	-12.09	-15.98	-16.12	0.43	0
-0.68	0.19	0.08	5.95	0.46	0
12.47	9.56	10.26	7.12	0.32	0
4.76	3.87	7.02	5.87	0.31	0
-0.96	10.42	8.6	5.95	0.38	0
-2.56	3.4	3.95	3.48	0.35	1
-3.03	-4.99	-3.69	-4.14	0.35	0
-2.53	8.65	2.66	3.37	0.43	0
2.43	-1.78	1.91	4.51	0.37	0
0.6	-4.19	-3.43	-2.42	0.34	0
-1.92	8.79	1.79	4.69	0.4	0
-1.41	-4.5	-1.6	-3.44	0.38	0
-3.22	0.93	-3.39	-1.4	0.39	0
-9.98	2.46	-2.15	-2.68	0.39	0
11.9	8.67	4.68	5.83	0.39	0
0.92	-4.19	1.36	3.24	0.36	0
-7.38	15.39	15.1	7.85	0.44	0
-5.83	-13.09	-14.42	-4.45	0.41	1
-10.11	-1.44	-2.34	2.44	0.43	0
3.63	15.46	10.57	5.17	0.47	0
0.1	0.67	-6.03	-6.33	0.46	0
12.57	-0.12	-10.15	-4.3	0.5	0
3.28	-0.73	-2.41	4.68	0.4	0
0.69	-8.6	-1.05	-2.23	0.48	0
-3.96	12.8	-1.3	7.1	0.5	0
4.2	-11.37	2.14	-5.64	0.51	0
8.99	-11.17	-6.15	-2.92	0.56	0
3.88	-16.75	-4.77	-10.64	0.51	0
3.71	2.09	12.93	1.45	0.5	0
-4.72	11.58	2.86	3.3	0.54	1
0.07	-4.5	-4.79	-10.17	0.39	0
-4.96	-11.69	-1.02	-7.33	0.44	0
-0.24	13.44	5.66	7.94	0.39	0
3.11	5.01	3.94	0.77	0.32	0
-2.6	0.63	-2.92	-2.01	0.28	0
2.29	-0.95	4.23	-2.08	0.3	0
3.97	-6.39	-4.13	-6.21	0.31	0
-2.09	-21.15	-14.83	-9.35	0.28	0
0.92	3.7	3.63	2.5	0.22	0
0.41	12.15	16.22	7.65	0.17	0
1.96	2.58	6.67	1.61	0.15	0
-0.52	-3.82	-0.2	-1.76	0.14	1
3.62	3.09	1.52	-2.26	0.13	0
4.03	3.58	-0.47	4.27	0.13	0
2.86	-0.91	-0.85	-5.06	0.15	0
0.5	-1.26	-3.46	-1.21	0.14	0
-2.1	-7.85	-5.77	-7.14	0.13	0
-8.32	-12.97	-12.69	-8.26	0.15	0
0.53	1.87	1.85	0.64	0.14	0
-5.12	-11.07	-12.58	-10.1	0.14	0
4.73	4.58	5	7.3	0.14	0
-1.31	15.63	0.99	5.96	0.12	0
-1.02	-4.89	-5.13	-5.42	0.11	0
