FIRM,YEAR,I,F,C 
3,1941,113,1834.1000000,220.9000000 
3,1942,91.9000000,1588,287.8000000 
3,1943,61.3000000,1749.4000000,319.9000000 
3,1944,56.8000000,1687.2000000,321.3000000 
3,1945,93.6000000,2007.7000000,319.6000000 
3,1946,159.9000000,2208.3000000,346 
3,1947,147.2000000,1656.7000000,456.4000000 
3,1948,146.3000000,1604.4000000,543.4000000 
3,1949,98.3000000,1431.8000000,618.3000000 
3,1950,93.5000000,1610.5000000,647.4000000 
3,1951,135.2000000,1819.4000000,671.3000000 
3,1952,157.3000000,2079.7000000,726.1000000 
3,1953,179.5000000,2371.6000000,800.3000000 
3,1954,189.6000000,2759.9000000,888.9000000 
4,1935,40.2900000,417.5000000,10.5000000 
4,1936,72.7600000,837.8000000,10.2000000 
4,1937,66.2600000,883.9000000,34.7000000 
4,1938,51.6000000,437.9000000,51.8000000 
4,1939,52.4100000,679.7000000,64.3000000 
4,1940,69.4100000,727.8000000,67.1000000 
4,1941,68.3500000,643.6000000,75.2000000 
4,1942,46.8000000,410.9000000,71.4000000 
4,1943,47.4000000,588.4000000,67.1000000 
4,1944,59.5700000,698.4000000,60.5000000 
4,1945,88.7800000,846.4000000,54.6000000 
4,1946,74.1200000,893.8000000,84.8000000 
4,1947,62.6800000,579,96.8000000 
4,1948,89.3600000,694.6000000,110.2000000 
4,1949,78.9800000,590.3000000,147.4000000 
4,1950,100.6600000,693.5000000,163.2000000 
4,1951,160.6200000,809,203.5000000 
4,1952,145,727,290.6000000 
4,1953,174.9300000,1001.5000000,346.1000000 
4,1954,172.4900000,703.2000000,414.9000000 
5,1935,39.6800000,157.7000000,183.2000000 
5,1936,50.7300000,167.9000000,204 
5,1937,74.2400000,192.9000000,236 
5,1938,53.5100000,156.7000000,291.7000000 
5,1939,42.6500000,191.4000000,323.1000000 
5,1940,46.4800000,185.5000000,344 
5,1941,61.4000000,199.6000000,367.7000000 
5,1942,39.6700000,189.5000000,407.2000000 
5,1943,62.2400000,151.2000000,426.6000000 
5,1944,52.3200000,187.7000000,470 
5,1945,63.2100000,214.7000000,499.2000000 
5,1946,59.3700000,232.9000000,534.6000000 
5,1947,58.0200000,249,566.6000000 
5,1948,70.3400000,224.5000000,595.3000000 
5,1949,67.4200000,237.3000000,631.4000000 
5,1950,55.7400000,240.1000000,662.3000000 
5,1951,80.3000000,327.3000000,683.9000000 
5,1952,85.4000000,359.4000000,729.3000000 
5,1953,91.9000000,398.4000000,774.3000000 
5,1954,81.4300000,365.7000000,804.9000000 
6,1935,20.3600000,197,6.5000000 
6,1936,25.9800000,210.3000000,15.8000000 
6,1937,25.9400000,223.1000000,27.7000000 
6,1938,27.5300000,216.7000000,39.2000000 
6,1939,24.6000000,286.4000000,48.6000000 
6,1940,28.5400000,298,52.5000000 
6,1941,43.4100000,276.9000000,61.5000000 
6,1942,42.8100000,272.6000000,80.5000000 
6,1943,27.8400000,287.4000000,94.4000000 
6,1944,32.6000000,330.3000000,92.6000000 
6,1945,39.0300000,324.4000000,92.3000000 
6,1946,50.1700000,401.9000000,94.2000000 
6,1947,51.8500000,407.4000000,111.4000000 
6,1948,64.0300000,409.2000000,127.4000000 
6,1949,68.1600000,482.2000000,149.3000000 
6,1950,77.3400000,673.8000000,164.4000000 
6,1951,95.3000000,676.9000000,177.2000000 
6,1952,99.4900000,702,200 
6,1953,127.5200000,793.5000000,211.5000000 
6,1954,135.7200000,927.3000000,238.7000000 
7,1935,24.4300000,138,100.2000000 
7,1936,23.2100000,200.1000000,125 
7,1937,32.7800000,210.1000000,142.4000000 
7,1938,32.5400000,161.2000000,165.1000000 
7,1939,26.6500000,161.7000000,194.8000000 
7,1940,33.7100000,145.1000000,222.9000000 
7,1941,43.5000000,110.6000000,252.1000000 
7,1942,34.4600000,98.1000000,276.3000000 
7,1943,44.2800000,108.8000000,300.3000000 
7,1944,70.8000000,118.2000000,318.2000000 
7,1945,44.1200000,126.5000000,336.2000000 
7,1946,48.9800000,156.7000000,351.2000000 
7,1947,48.5100000,119.4000000,373.6000000 
7,1948,50,129.1000000,389.4000000 
7,1949,50.5900000,134.8000000,406.7000000 
7,1950,42.5300000,140.8000000,429.5000000 
7,1951,64.7700000,179,450.6000000 
7,1952,72.6800000,178.1000000,466.9000000 
7,1953,73.8600000,186.8000000,486.2000000 
7,1954,89.5100000,192.7000000,511.3000000 
8,1935,12.9300000,191.5000000,1.8000000 
8,1936,25.9000000,516,.8000000 
8,1937,35.0500000,729,7.4000000 
8,1938,22.8900000,560.4000000,18.1000000 
8,1939,18.8400000,519.9000000,23.5000000 
8,1940,28.5700000,628.5000000,26.5000000 
8,1941,48.5100000,537.1000000,36.2000000 
8,1942,43.3400000,561.2000000,60.8000000 
8,1943,37.0200000,617.2000000,84.4000000 
8,1944,37.8100000,626.7000000,91.2000000 
8,1945,39.2700000,737.2000000,92.4000000 
8,1946,53.4600000,760.5000000,86 
8,1947,55.5600000,581.4000000,111.1000000 
8,1948,49.5600000,662.3000000,130.6000000 
8,1949,32.0400000,583.8000000,141.8000000 
8,1950,32.2400000,635.2000000,136.7000000 
8,1951,54.3800000,723.8000000,129.7000000 
8,1952,71.7800000,864.1000000,145.5000000 
8,1953,90.0800000,1193.5000000,174.8000000 
8,1954,68.6000000,1188.9000000,213.5000000 
9,1935,26.6300000,290.6000000,162 
9,1936,23.3900000,291.1000000,174 
9,1937,30.6500000,335,183 
9,1938,20.8900000,246,198 
9,1939,28.7800000,356.2000000,208 
9,1940,26.9300000,289.8000000,223 
9,1941,32.0800000,268.2000000,234 
9,1942,32.2100000,213.3000000,248 
9,1943,35.6900000,348.2000000,274 
9,1944,62.4700000,374.2000000,282 
9,1945,52.3200000,387.2000000,316 
9,1946,56.9500000,347.4000000,302 
9,1947,54.3200000,291.9000000,333 
9,1948,40.5300000,297.2000000,359 
9,1949,32.5400000,276.9000000,370 
9,1950,43.4800000,274.6000000,376 
9,1951,56.4900000,339.9000000,391 
9,1952,65.9800000,474.8000000,414 
9,1953,66.1100000,496,443 
9,1954,49.3400000,474.5000000,468 
10,1935,2.5400000,70.9100000,4.5000000 
10,1936,2,87.9400000,4.7100000 
10,1937,2.1900000,82.2000000,4.5700000 
10,1938,1.9900000,58.7200000,4.5600000 
10,1939,2.0300000,80.5400000,4.3800000 
10,1940,1.8100000,86.4700000,4.2100000 
10,1941,2.1400000,77.6800000,4.1200000 
10,1942,1.8600000,62.1600000,3.8300000 
10,1943,.9300000,62.2400000,3.5800000 
10,1944,1.1800000,61.8200000,3.4100000 
10,1945,1.3600000,65.8500000,3.3100000 
10,1946,2.2400000,69.5400000,3.2300000 
10,1947,3.8100000,64.9700000,3.9000000 
10,1948,5.6600000,68,5.3800000 
10,1949,4.2100000,71.2400000,7.3900000 
10,1950,3.4200000,69.0500000,8.7400000 
10,1951,4.6700000,83.0400000,9.0700000 
10,1952,6,74.4200000,9.9300000 
10,1953,6.5300000,63.5100000,11.6800000 
10,1954,5.1200000,58.1200000,14.3300000 
