FIRM,YEAR,COST,OUTPUT,LPRICE,LSHARE,KPRICE,KSHARE,FPRICE,FSHARE 
34,1955,3.2980000,234,2.2000000,.1554000,164,.4595000,36.2000000,.3851000 
35,1955,2.4410000,235,2.1100000,.1905000,170,.3797000,24.4000000,.4298000 
36,1955,2.0310000,253,1.9200000,.1608000,158,.1879000,22.5000000,.6513000 
37,1955,4.6660000,279,2.0500000,.1689000,177,.4548000,35.1000000,.3763000 
38,1955,1.8340000,290,1.6600000,.1640000,195,.4250000,33.4000000,.4110000 
39,1955,2.0720000,290,1.8000000,.1156000,176,.4768000,20.2000000,.4076000 
40,1955,2.0390000,295,1.7700000,.1405000,188,.3951000,21.3000000,.4644000 
41,1955,3.3980000,299,1.7000000,.0896000,187,.5786000,26.9000000,.3318000 
42,1955,3.0830000,324,2.0200000,.1509000,152,.0904000,35.1000000,.7587000 
43,1955,2.3440000,333,2.1900000,.1161000,157,.3626000,29.1000000,.5213000 
44,1955,2.3820000,338,1.8500000,.0616000,163,.4799000,24.6000000,.4585000 
45,1955,2.6570000,353,2.1900000,.0809000,143,.2829000,29.1000000,.6361000 
46,1955,1.7050000,353,2.1300000,.0880000,167,.6341000,10.7000000,.2780000 
47,1955,3.2300000,416,1.5400000,.0839000,217,.3623000,26.2000000,.5538000 
48,1955,5.0490000,420,1.5200000,.1601000,144,.3465000,27.5000000,.4934000 
49,1955,3.8140000,456,2.0900000,.0883000,178,.3349000,30,.5768000 
50,1955,4.5800000,484,1.7500000,.1009000,176,.2828000,42.8000000,.6163000 
51,1955,4.3580000,516,2.3000000,.1515000,167,.3981000,23.6000000,.4504000 
52,1955,4.7140000,550,2.0500000,.0806000,158,.2920000,35.1000000,.6275000 
53,1955,4.3570000,563,2.3200000,.0703000,162,.4024000,31.9000000,.5273000 
54,1955,3.9190000,566,2.3100000,.0650000,198,.3776000,33.5000000,.5574000 
55,1955,3.4420000,592,1.9200000,.0915000,164,.4564000,22.5000000,.4521000 
56,1955,4.8980000,671,2.0500000,.1479000,164,.3432000,35.1000000,.5089000 
57,1955,3.5840000,696,1.7600000,.0702000,161,.3709000,10.3000000,.5589000 
58,1955,5.5350000,719,1.7000000,.0703000,174,.4946000,26.9000000,.4351000 
59,1955,4.4060000,742,2.0400000,.1516000,157,.4633000,20.7000000,.3851000 
60,1955,4.2890000,795,2.2400000,.0483000,185,.3569000,26.5000000,.5949000 
61,1955,6.7310000,800,1.7000000,.1170000,157,.3396000,26.9000000,.5434000 
62,1955,6.8950000,808,1.6800000,.0859000,203,.4060000,39.7000000,.5081000 
63,1955,5.1120000,811,2.2900000,.0847000,178,.2884000,28.5000000,.6269000 
64,1955,5.1410000,855,2,.1457000,183,.4317000,34.3000000,.4226000 
65,1955,5.7200000,860,2.3100000,.0597000,168,.4528000,33.5000000,.4875000 
66,1955,4.6910000,909,1.4500000,.0921000,196,.4435000,17.6000000,.4644000 
67,1955,6.8320000,913,1.7000000,.1250000,166,.4028000,26.9000000,.4721000 
68,1955,4.8130000,924,1.7600000,.1163000,172,.5402000,10.3000000,.3436000 
69,1955,6.7540000,984,1.7000000,.1083000,158,.2435000,26.9000000,.6482000 
70,1955,5.1270000,991,2.0900000,.0861000,174,.4965000,30,.4174000 
71,1955,6.3880000,1000,1.5500000,.0408000,225,.3881000,28.2000000,.6667000 
72,1955,4.5090000,1098,2.1100000,.0781000,168,.4481000,24.4000000,.4738000 
73,1955,7.1850000,1109,2.0500000,.0752000,177,.2527000,35.1000000,.6721000 
74,1955,6.8000000,1118,2.3000000,.1299000,161,.3511000,23.6000000,.5311000 
75,1955,7.7430000,1122,2.1900000,.0977000,162,.3743000,29.1000000,.5279000 
76,1955,7.9680000,1137,2.0400000,.0655000,158,.4552000,20.7000000,.4793000 
77,1955,8.8580000,1156,2.3100000,.1052000,176,.3154000,33.5000000,.5794000 
78,1955,8.5880000,1166,1.7000000,.1224000,183,.4339000,26.9000000,.4436000 
79,1955,6.4490000,1170,2.0500000,.0935000,166,.2549000,35.1000000,.6516000 
80,1955,8.4880000,1215,2.1900000,.0695000,164,.4390000,29.1000000,.4915000 
81,1955,8.8770000,1279,2,.0635000,207,.3330000,34.3000000,.6034000 
82,1955,10.2740000,1291,2.3200000,.0559000,175,.8048000,31.9000000,.1393000 
83,1955,6.0240000,1290,1.5500000,.0432000,225,.3511000,28.2000000,.6057000 
84,1955,8.2580000,1331,2.1300000,.0462000,178,.4353000,30,.5185000 
85,1955,13.3760000,1373,2.2000000,.1324000,157,.3233000,36.2000000,.5443000 
86,1955,10.6900000,1420,2.2000000,.0902000,138,.3139000,36.2000000,.5959000 
87,1955,8.3080000,1474,1.8500000,.0755000,163,.4425000,24.6000000,.4819000 
88,1955,6.0820000,1497,1.7600000,.0767000,168,.5871000,10.3000000,.3362000 
89,1955,9.2840000,1545,1.8000000,.0836000,158,.4498000,20.2000000,.4665000 
90,1955,10.8790000,1649,2.3200000,.0975000,177,.3991000,31.9000000,.5035000 
91,1955,8.4770000,1668,1.8000000,.0833000,170,.4524000,20.2000000,.4643000 
92,1955,6.8770000,1782,2.1300000,.0618000,183,.6377000,10.7000000,.3005000 
93,1955,15.1060000,1831,1.9800000,.1337000,162,.3361000,35.5000000,.5302000 
94,1955,8.0310000,1833,1.7600000,.0915000,177,.6501000,10.3000000,.2584000 
95,1955,8.0820000,1838,1.4500000,.0671000,196,.4810000,17.6000000,.4519000 
96,1955,10.8660000,1787,2.2400000,.1050000,164,.4125000,26.5000000,.4824000 
97,1955,8.5960000,1918,1.6900000,.0803000,158,.5513000,12.9000000,.3684000 
98,1955,8.6730000,1930,1.8100000,.0733000,157,.3436000,22.6000000,.5831000 
99,1955,15.4370000,2028,2.1100000,.0808000,163,.3989000,24.4000000,.5204000 
100,1955,8.2110000,2057,1.7600000,.1239000,161,.6164000,10.3000000,.2597000 
101,1955,11.9820000,2084,1.7700000,.0905000,156,.4103000,21.3000000,.4992000 
102,1955,16.6740000,2226,2,.0779000,217,.3430000,34.3000000,.5791000 
103,1955,12.6200000,2304,2.3000000,.0775000,161,.4865000,23.6000000,.4360000 
104,1955,12.9050000,2341,2.0400000,.0945000,183,.4076000,20.7000000,.4980000 
105,1955,11.6150000,2353,1.6900000,.1006000,167,.5561000,12.9000000,.3433000 
106,1955,9.3210000,2367,1.7600000,.0990000,161,.5751000,10.3000000,.3259000 
107,1955,12.9620000,2451,2.0400000,.0951000,163,.3183000,20.7000000,.5866000 
108,1955,16.9320000,2457,2.2000000,.0614000,170,.3234000,36.2000000,.6152000 
109,1955,9.6480000,2507,1.7600000,.0964000,174,.5755000,10.3000000,.3281000 
110,1955,18.3500000,2530,2.3100000,.0735000,197,.4460000,33.5000000,.4805000 
111,1955,17.3330000,2576,1.9200000,.1398000,162,.4275000,22.5000000,.4327000 
112,1955,12.0150000,2607,1.7600000,.1116000,155,.5320000,10.3000000,.3564000 
113,1955,11.3200000,2870,1.7600000,.1333000,167,.5822000,10.3000000,.2845000 
114,1955,22.3370000,2993,2.3100000,.0581000,176,.4385000,33.5000000,.5034000 
115,1955,19.0350000,3202,2.3000000,.0983000,170,.4974000,23.6000000,.5034000 
116,1955,12.2050000,3286,1.6100000,.0681000,183,.4779000,17.8000000,.4540000 
117,1955,17.0780000,3312,1.6800000,.0393000,190,.3314000,28.8000000,.6294000 
118,1955,25.5280000,3498,2.0900000,.1141000,170,.3714000,30,.5145000 
119,1955,24.0210000,3538,2.0900000,.0840000,176,.3761000,30,.5399000 
120,1955,32.1970000,3794,2.0500000,.0976000,159,.4118000,35.1000000,.4906000 
121,1955,26.6520000,3841,2.2900000,.1059000,157,.3679000,28.5000000,.5262000 
122,1955,20.1640000,4014,2.1100000,.0809000,161,.5348000,24.4000000,.3843000 
123,1955,14.1320000,4217,1.5300000,.0470000,172,.5252000,18.1000000,.4278000 
124,1955,21.4100000,4305,2.1100000,.0848000,203,.8448000,24.4000000,.0703000 
125,1955,23.2440000,4494,2.0400000,.0624000,167,.5105000,20.7000000,.4271000 
126,1955,29.8450000,4764,2.1900000,.1328000,195,.3530000,29.1000000,.5143000 
127,1955,32.3180000,5277,1.9200000,.0719000,161,.3582000,29.1000000,.5699000 
128,1955,21.9880000,5283,2.0400000,.0630000,159,.4491000,20.7000000,.4879000 
129,1955,35.2290000,5668,2.1100000,.0977000,177,.5088000,24.4000000,.3936000 
130,1955,17.4670000,5681,1.7600000,.0802000,157,.5323000,10.3000000,.3875000 
131,1955,22.8280000,5819,1.7900000,.0854000,196,.3921000,18.5000000,.5226000 
132,1955,33.1540000,6000,2.1100000,.1043000,183,.4186000,24.4000000,.4771000 
133,1955,32.2280000,6119,1.5400000,.0797000,189,.3503000,26.2000000,.5700000 
134,1955,34.1680000,6136,1.9200000,.0653000,160,.6791000,22.5000000,.2556000 
135,1955,40.5940000,7193,2.1200000,.0729000,162,.3550000,28.6000000,.5721000 
136,1955,33.3540000,7886,1.6100000,.0587000,178,.5835000,17.8000000,.3578000 
137,1955,64.5420000,8419,2.3200000,.1108000,199,.3910000,31.9000000,.4982000 
138,1955,41.2380000,8642,2.2400000,.0517000,182,.3259000,26.5000000,.6224000 
139,1955,47.9930000,8787,2.3100000,.0841000,190,.3407000,33.5000000,.5753000 
140,1955,69.8780000,9484,2.1100000,.0759000,165,.4044000,24.4000000,.5198000 
141,1955,44.8940000,9956,1.6800000,.0688000,203,.2942000,28.8000000,.6370000 
142,1955,67.1200000,11477,2.2400000,.0670000,151,.3458000,26.5000000,.5872000 
143,1955,73.0500000,11796,2.1200000,.1033000,148,.3914000,28.6000000,.5054000 
144,1955,139.4220000,14359,2.3100000,.1050000,212,.4102000,33.5000000,.4848000 
145,1955,119.9390000,16719,2.3000000,.0906000,162,.4340000,23.6000000,.4754000 
166,1955,23.2200000,3018,2.0100000,.1292000,163,.3282000,35.1000000,.5425000 
167,1955,7.7970000,874,2.0500000,.1084000,155,.2123000,35.1000000,.6793000 
168,1955,1.6100000,14,1.9900000,.1764000,199,.6352000,35.4000000,.1884000 
169,1955,28.9960000,4174,2.2800000,.1067000,157,.3675000,28.5500000,.5258000 
170,1955,37.7670000,6356,1.9200000,.0713000,160.2000000,.6656000,22.5000000,.2631000 
171,1955,37.4960000,8291,1.9100000,.0764000,171,.5175000,22.4300000,.4060000 
172,1955,64.8880000,13702,1.6600000,.0877000,192,.3692000,22.9000000,.5431000 
174,1955,52.0830000,8545,2.1700000,.0850000,186,.5933000,26.4000000,.3217000 
175,1955,132.9010000,19170,2.3000000,.0910000,162,.4511000,23.6000000,.3217000 
176,1955,31.9800000,4548,2.1800000,.0862000,159,.3119000,36,.6020000 
177,1955,12.4830000,2106,1.7700000,.0945000,156,.3940000,21.3000000,.5115000 
178,1955,5.8170000,895,2.2700000,.0924000,174.3600000,.2975000,28.5600000,.6101000 
179,1955,12.0720000,1787,2.1100000,.0595000,178,.4036000,30,.5369000 
181,1955,9.3910000,2050,1.8000000,.0803000,157.9800000,.3377000,22.5000000,.5820000 
