id,YEAR,COST,Q,PL,SL,PK,SK,PF,SF 
58,1970,13.6270000,2437,7846.0600000,.1210000,65.5650000,.2578000,30.6712000,.6212000 
59,1970,7.4395000,1293,6821.0900000,.2031000,78.2250000,.3297000,21.4305000,.4672000 
61,1970,9.7843000,1627,8355.7500000,.1494000,76.1400000,.2360000,31.3374000,.6146000 
62,1970,20.8671000,3965,8403.5900000,.1162000,74.4800000,.2151000,33.1992000,.6687000 
65,1970,19.7092000,2682,9484.8500000,.1087000,81.7500000,.1958000,50.4516000,.6955000 
67,1970,14.0431000,2001,8611.5300000,.0714000,74.0250000,.1618000,30.6446000,.7668000 
68,1970,10.1902000,2764,6338,.1659000,66.2320000,.2312000,21.1970000,.6028000 
69,1970,16.1764000,2487,8088.4500000,.1371000,66.6220000,.1973000,32.6186000,.6656000 
71,1970,42.2514000,7320,5879.5100000,.0864000,92.0630000,.2064000,39.2104000,.7072000 
75,1970,22.5612000,3571,7297.7100000,.1142000,78.2550000,.1833000,41.5951000,.7025000 
76,1970,33.0175000,6837,7310.1500000,.1187000,69.7950000,.2515000,28.4405000,.6298000 
77,1970,18.8963000,2020,10806.2000000,.1797000,79.5700000,.1594000,46.9000000,.6609000 
78,1970,13.2679000,2445,8764.7500000,.1317000,76.1400000,.2411000,28.3648000,.6271000 
80,1970,21.5454000,3981,8186.0500000,.1052000,75.0820000,.2299000,35.2049000,.6650000 
81,1970,35.5303000,6770,7798.2600000,.1108000,67.5700000,.2814000,29.8250000,.6078000 
82,1970,29.8011000,4187,7996.4400000,.1052000,74.1200000,.1824000,47.4257000,.7125000 
85,1970,30.8773000,5643,10182.4900000,.1722000,61.0400000,.2204000,27.8498000,.6074000 
87,1970,24.3565000,6793,6336.8800000,.1266000,70.2950000,.3253000,18.5909000,.5481000 
89,1970,17.4802000,4148,7536.8900000,.1176000,74.0250000,.2035000,24.5837000,.6789000 
91,1970,19.9008000,5785,7969.5500000,.1093000,71.9100000,.2180000,22.2448000,.6727000 
92,1970,28.7861000,9660,6686.7300000,.0697000,79.5420000,.2391000,20.2630000,.6913000 
94,1970,27.0832000,7896,7119.9600000,.1196000,74.5130000,.2484000,20.1100000,.6320000 
95,1970,22.4421000,5648,8954.1200000,.0834000,78.4400000,.2111000,25.9160000,.7055000 
96,1970,30.2067000,5286,7084.1000000,.0884000,73.3250000,.1969000,38.3384000,.7147000 
97,1970,30.1678000,9602,7054.1800000,.0928000,59.9770000,.2164000,20.2010000,.6908000 
100,1970,32.5840000,7930,7119.0100000,.1209000,48.9970000,.2772000,22.8380000,.6018000 
102,1970,47.3864000,9530,7624.5700000,.1266000,83.8800000,.2106000,31.5825000,.6628000 
103,1970,24.2903000,5316,9759.8300000,.1894000,74.0250000,.1740000,27.8380000,.6366000 
104,1970,31.2922000,7484,8063.7300000,.1713000,67.6800000,.2535000,23.5267000,.5752000 
105,1970,31.9884000,10149,6437.9200000,.1169000,73.1400000,.2367000,18.5343000,.6464000 
106,1970,41.9016000,12954,6460.6400000,.0865000,62.3300000,.2194000,21.7550000,.6941000 
109,1970,58.1154000,17875,6288.4100000,.0658000,73.3950000,.2781000,20.6191000,.6561000 
110,1970,40.5281000,6891,6769.5500000,.0895000,74.1200000,.2393000,35.9651000,.6711000 
111,1970,37.0666000,6754,10177.8900000,.2070000,77.1970000,.2363000,25.6208000,.5566000 
112,1970,25.1686000,6779,7826.9300000,.1427000,74.2000000,.2662000,20.2790000,.3909000 
113,1970,45.1827000,12936,8320.0600000,.1027000,65.7600000,.1992000,22.0330000,.6981000 
114,1970,55.1764000,10855,8061.9600000,.1192000,71.4900000,.2362000,31.7601000,.6445000 
115,1970,41.1798000,9275,8657.5300000,.1047000,76.1400000,.3287000,24.5804000,.5666000 
117,1970,80.3593000,16311,7282.6100000,.0527000,81.5500000,.1337000,40.9692000,.8136000 
118,1970,68.4800000,12542,8142.8400000,.1336000,80.3850000,.1688000,35.7882000,.6976000 
119,1970,97.3859000,13846,7786.3700000,.1003000,88.5400000,.2066000,44.1571000,.6931000 
120,1970,52.7634000,9145,10373.5000000,.2027000,81.7500000,.1997000,35.8083000,.5976000 
123,1970,38.8472000,10057,6035.9500000,.0844000,81.5780000,.2178000,25.8240000,.6978000 
125,1970,48.1125000,11114,8413.8600000,.1301000,69.9750000,.2969000,22.5536000,.5730000 
126,1970,79.0705000,12706,9282.5100000,.1108000,70.8530000,.2011000,37.2477000,.6880000 
127,1970,111.8863000,23217,6873.7300000,.0849000,83.8800000,.2007000,33.3944000,.7144000 
129,1970,77.8849000,13702,7113.7900000,.1212000,70.8500000,.2121000,34.9616000,.6667000 
130,1970,87.1015000,27708,6378.2300000,.1060000,63.6000000,.2257000,20.3000000,.6683000 
132,1970,57.7267000,10004,6472.8600000,.1806000,76.3000000,.2362000,28.0959000,.5832000 
135,1970,90.7168000,17280,9191.4700000,.0918000,72.9670000,.1795000,36.8816000,.7287000 
137,1970,183.2315000,27118,9914.3600000,.1280000,78.4800000,.2265000,41.7578000,.6455000 
138,1970,169.2354000,38343,9117.1600000,.0663000,65.9920000,.2192000,31.5897000,.7144000 
139,1970,76.2528000,11667,10436.3200000,.1120000,80.6600000,.1708000,46.0701000,.7172000 
140,1970,134.2283000,19445,9829.3200000,.1756000,67.5800000,.1834000,38.8027000,.6410000 
141,1970,168.3777000,34212,5683.8300000,.0651000,80.3850000,.1361000,40.5286000,.7988000 
142,1970,125.3356000,24001,8047.3500000,.0998000,74.3720000,.2457000,33.0932000,.6544000 
143,1970,191.5625000,30958,9810.1000000,.1636000,69.5410000,.1524000,36.3076000,.6840000 
144,1970,240.5137000,29613,9312.9300000,.1561000,81.7500000,.2017000,41.8872000,.6422000 
146,1970,.1304000,4,6009.7000000,.2001000,92.6500000,.1273000,33.1990000,.6725000 
147,1970,.7293000,60,7972.7100000,.1478000,75.4640000,.2967000,33.7070000,.5555000 
148,1970,1.7705000,153,10963.9000000,.2555000,57.6120000,.1918000,46.1600000,.5527000 
149,1970,2.2367000,198,7046.5000000,.2169000,64.9450000,.1969000,38,.5861000 
150,1970,2.5593000,243,7000.8100000,.1727000,81.7500000,.1948000,33.4360000,.6325000 
151,1970,2.0358000,617,9547.7200000,.1194000,81.7500000,.3000000,18.4900000,.5807000 
152,1970,7.6236000,1340,6438.4200000,.0930000,79.2200000,.1877000,38.1483000,.7193000 
153,1970,11.1091000,1961,6964.8100000,.1317000,82.4850000,.3176000,28.2634000,.5507000 
154,1970,9.4674000,2233,6717.1800000,.0959000,59.9570000,.3030000,22.6933000,.6011000 
155,1970,13.8262000,2582,8334.8900000,.1022000,77.5310000,.2266000,34.1811000,.6712000 
156,1970,17.2895000,2763,8058.9100000,.0960000,80.6600000,.2023000,45.6636000,.7018000 
157,1970,16.1704000,2863,7509.3700000,.1783000,81.5500000,.1992000,30.2374000,.6225000 
158,1970,24.3975000,3490,8477.2300000,.1915000,75.4200000,.2320000,38,.5765000 
159,1970,27.2443000,4568,9619.7600000,.1692000,76.1400000,.2316000,35.6645000,.5992000 
160,1970,29.4870000,5292,8176.3300000,.2233000,76.1400000,.2532000,22.8374000,.5236000 
161,1970,35.1091000,5699,7988.4800000,.1269000,80.3700000,.2140000,42.6351000,.6590000 
162,1970,25.4814000,5702,6947.1100000,.1833000,78.2250000,.2503000,24.2596000,.5664000 
163,1970,42.4117000,8650,7146.6700000,.1462000,72.9670000,.2371000,27.8693000,.6167000 
164,1970,72.0355000,12724,8037.8400000,.1259000,74.0250000,.1970000,37.5174000,.6771000 
165,1970,146.9890000,25147,9900.7600000,.0857000,75.7250000,.3334000,33.4742000,.5809000 
166,1970,51.7415000,10361,9578.6300000,.1913000,68.0160000,.2407000,28.1423000,.5680000 
167,1970,21.5587000,3886,9538.6800000,.1252000,63.5690000,.2033000,30.8894000,.6715000 
168,1970,14.2710000,1901,9822.6400000,.2144000,69.4110000,.1596000,36,.6260000 
169,1970,66.1032000,11837,8709.4300000,.1627000,75.3790000,.2103000,31.3321000,.6269000 
170,1970,113.2555000,22522,9500.7800000,.1961000,76.7320000,.2604000,25.0289000,.5435000 
171,1970,90.3718000,21956,7954.4700000,.1169000,83.3380000,.2984000,22.9115000,.5847000 
172,1970,240.4858000,53918,6068.8700000,.0966000,78.3800000,.1846000,31.1954000,.7188000 
173,1970,277.2965000,72247,7419.9200000,.1081000,56.3010000,.2607000,25.0914000,.6312000 
174,1970,107.9776000,18455,6690.2300000,.1513000,76.3000000,.2101000,32.9654000,.6386000 
175,1970,269.7728000,46870,9761.3800000,.1594000,69.5410000,.2194000,33.1999000,.6212000 
176,1970,79.6207000,16508,9404.9700000,.1501000,78.0440000,.1556000,42.2086000,.6943000 
177,1970,33.8814000,7382,7512.7200000,.1393000,72.3620000,.2468000,25.9001000,.6140000 
178,1970,14.9529000,2325,8568.2300000,.1466000,53.8900000,.1269000,38.9161000,.7265000 
179,1970,33.9733000,5708,10024.2000000,.0986000,78.1020000,.1826000,42.1660000,.7188000 
180,1970,78.7028000,17132,8160.8000000,.1604000,78.8990000,.2552000,25.5378000,.5844000 
181,1970,19.4391000,4560,8558.3700000,.1531000,76.4640000,.2577000,23.7777000,.5893000 
182,1970,282.2479000,48240,9673.3800000,.1405000,70.7700000,.1612000,36.5100000,.6983000 
183,1970,282.9401000,53760,9619.9000000,.1667000,73.4600000,.1977000,34.6400000,.6356000 
184,1970,469.1852000,66490,9138.0300000,.1353000,78.9800000,.2017000,41.0100000,.6630000 
185,1970,737.4088000,115500,8438.8000000,.1347000,76.6200000,.2027000,38.8500000,.6626000 
186,1970,20.8836000,6259,6697.0200000,.0966000,69.7640000,.2164000,21.2920000,.6870000 
187,1970,21.7792000,6746,9419.2700000,.1263000,49.7780000,.2418000,20.1000000,.6319000 
188,1970,22.8436000,3789,6429.5400000,.1088000,76.3000000,.2241000,34.2590000,.6671000 
189,1970,31.6368000,4617,6488.3900000,.1761000,70.8060000,.1633000,41.9890000,.6606000 
190,1970,48.1678000,9326,7131.9200000,.1565000,81.7940000,.2450000,26.8920000,.5985000 
191,1970,5.9281000,723,6432.5400000,.2068000,62.0860000,.1218000,43.8840000,.6714000 
192,1970,25.6094000,6604,7714.3400000,.1261000,90.8700000,.2842000,21.2690000,.5896000 
193,1970,17.4630000,3972,6446.0500000,.1212000,88.5400000,.3361000,23.4690000,.5426000 
194,1970,1.3643000,154,8290.9900000,.2740000,87.4650000,.1638000,35.7800000,.5622000 
195,1970,46.7988000,11226,8885.3900000,.1171000,83.8860000,.1254000,23.6260000,.5875000 
196,1970,50.2093000,13030,6735,.1223000,55.9200000,.2386000,26.1640000,.6392000 
197,1970,40.8940000,9553,7287.1700000,.1269000,61.3350000,.2552000,26.8470000,.6179000 
198,1970,24.7234000,5331,7861.4100000,.0459000,43.4180000,.3870000,28.4780000,.5670000 
199,1970,30.2240000,6904,11145.2200000,.0932000,31.7250000,.3597000,25.1800000,.5471000 
200,1970,31.2161000,9057,10599.8600000,.1092000,31.7250000,.2989000,21.5800000,.5919000 
201,1970,106.2729000,28372,7502.9300000,.1204000,66.5800000,.2339000,24.4430000,.6457000 
202,1970,55.3624000,13073,7024.3600000,.1733000,76.3200000,.1735000,26.2810000,.6533000 
203,1970,23.4787000,4906,6738.3000000,.0832000,82.6680000,.2564000,28.7160000,.6604000 
204,1970,22.2623000,5601,7581.6900000,.0992000,68.8580000,.2074000,26.6150000,.6934000 
205,1970,30.4707000,8060,7000,.0576000,37.0580000,.1754000,30.7700000,.7669000 
206,1970,113.5910000,22277,5571.0500000,.1022000,82.6680000,.1725000,36.0370000,.7254000 
207,1970,88.0991000,26521,6890.2600000,.1069000,68.6440000,.2296000,20.5168000,.6635000 
208,1970,111.9243000,31908,6971.5400000,.0848000,75.2180000,.2286000,23.0916000,.6866000 
209,1970,119.3736000,33820,7263.5200000,.0992000,70.8080000,.2286000,22.1481000,.6722000 
210,1970,12.3243000,2816,13044,.0893000,58.8600000,.2946000,30.5900000,.6161000 
211,1970,.3158000,16.3000000,7727.7700000,.1700000,38.1060000,.1767000,33.4600000,.6533000 
212,1970,10.5287000,1823,10029.4700000,.0761000,69.7600000,.1724000,36,.7515000 
213,1970,22.1998000,4800,12742.4700000,.1239000,33.8400000,.1678000,32.2500000,.7083000 
214,1970,6.8293000,946.6000000,10642.1600000,.0883000,43.6000000,.1914000,51.4630000,.7203000 
215,1970,3.7605000,377,7432.2400000,.2117000,74.1200000,.2274000,33.4360000,.5609000 
216,1970,3.9822000,391,5826.0400000,.1926000,78.2880000,.0924000,44.6330000,.7151000 
217,1970,30.1880000,5317,9586.6300000,.0845000,78.0080000,.2009000,41.8400000,.7147000 
218,1970,67.8562000,15220,6986.0900000,.1451000,74.0250000,.2596000,25.6620000,.5945000 
