     ID X1 X2 Z1  Z2    Z3   Z4 Z5 Z6   X3  Z7 Z8  Y  X4  X5 
    647  0 1.  1 42.0 15.000  1  4 18. 12.5  6  5  0.  0.  1.                   
    648  0 1.  0 27.0  1.500  0  2 16.  7.5  6  5  0.  0.  1.                   
    651  0 1.  1 27.0  4.000  0  2 18. 12.5  6  3  0.  0.  1.                   
    655  0 1.  0 32.0 10.000  1  3 14.  7.5  5  3  0.  0.  1.                   
    667  0 1.  0 32.0 15.000  1  3 18. 20.0  5  4  0.  0.  1.                   
    670  0 1.  0 22.0  0.750  0  2 18.  4.0  6  5  0.  0.  1.                   
    671  0 1.  0 37.0 15.000  1  2 16.  7.5  1  4  0.  0.  1.                   
    673  0 1.  1 27.0  4.000  1  4 20. 12.5  5  5  0.  0.  1.                   
    701  0 1.  1 27.0  4.000  0  1 20. 20.0  5  4  0.  0.  1.                   
    705  0 1.  0 27.0 10.000  1  2 12.  7.5  1  4  0.  0.  1.                   
    706  0 1.  0 32.0 15.000  1  5 18. 20.0  6  4  0.  0.  1.                   
    709  0 1.  1 27.0  7.000  1  5 12.  7.5  5  3  0.  0.  1.                   
    717  0 1.  1 52.0 15.000  1  2 18. 12.5  5  4  0.  0.  1.                   
    719  0 1.  1 27.0  4.000  0  3 20. 12.5  6  3  0.  0.  1.                   
    723  0 1.  1 37.0  4.000  1  1 18. 20.0  5  4  0.  0.  1.                   
    724  0 1.  1 27.0  4.000  1  4 14.  7.5  5  4  0.  0.  1.                   
    726  0 1.  0 52.0 15.000  1  5 12. 12.5  1  3  0.  0.  1.                   
    734  0 1.  0 57.0 15.000  1  4 16. 20.0  6  4  0.  0.  1.                   
    735  0 1.  1 27.0  7.000  1  1 16. 20.0  5  4  0.  0.  1.                   
    736  0 1.  1 37.0  7.000  1  4 20. 20.0  6  3  0.  0.  1.                   
    737  0 1.  1 22.0  0.750  0  2 14. 12.5  4  3  0.  0.  1.                   
    739  0 1.  1 32.0  4.000  1  2 18.  7.5  5  3  0.  0.  1.                   
    743  0 1.  1 37.0 15.000  1  4 20.  7.5  6  3  0.  0.  1.                   
    745  0 1.  1 22.0  0.750  1  2 14.  7.5  4  3  0.  0.  1.                   
    747  0 1.  1 42.0 15.000  1  4 20. 20.0  6  3  0.  0.  1.                   
    751  0 1.  0 52.0 15.000  1  5 17. 12.5  1  1  0.  0.  1.                   
    752  0 1.  0 37.0 15.000  1  4 14. 40.0  1  2  0.  0.  1.                   
    754  0 1.  1 27.0  7.000  1  4 14. 12.5  5  3  0.  0.  1.                   
    760  0 1.  1 32.0  4.000  1  2 16.  7.5  5  5  0.  0.  1.                   
    763  0 1.  0 27.0  4.000  1  2 18. 12.5  6  5  0.  0.  1.                   
    774  0 1.  0 27.0  4.000  1  2 18.  7.5  5  5  0.  0.  1.                   
    776  0 1.  1 37.0 15.000  1  5 18.  7.5  6  5  0.  0.  1.                   
    779  0 1.  0 47.0 15.000  1  5 12. 12.5  5  4  0.  0.  1.                   
    784  0 1.  0 32.0 10.000  1  3 17. 12.5  1  4  0.  0.  1.                   
    788  0 1.  0 27.0  1.500  1  4 17.  7.5  1  2  0.  0.  1.                   
    794  0 1.  0 57.0 15.000  1  2 18. 20.0  5  2  0.  0.  1.                   
    795  0 1.  0 22.0  1.500  0  4 14.  7.5  5  4  0.  0.  1.                   
    798  0 1.  1 42.0 15.000  1  3 14. 12.5  3  4  0.  0.  1.                   
    800  0 1.  1 57.0 15.000  1  4  9.  7.5  2  2  0.  0.  1.                   
    803  0 1.  1 57.0 15.000  1  4 20. 40.0  6  5  0.  0.  1.                   
    807  0 1.  0 22.0  0.125  0  4 14. 12.5  4  5  0.  0.  1.                   
    812  0 1.  0 32.0 10.000  1  4 14. 20.0  1  5  0.  0.  1.                   
    820  0 1.  0 42.0 15.000  1  3 18. 20.0  5  4  0.  0.  1.                   
    823  0 1.  0 27.0  1.500  0  2 18. 20.0  6  5  0.  0.  1.                   
    830  0 1.  1 32.0  0.125  1  2 18. 12.5  5  2  0.  0.  1.                   
    843  0 1.  0 27.0  4.000  0  3 16. 20.0  5  4  0.  0.  1.                   
    848  0 1.  0 27.0 10.000  1  2 16. 12.5  1  4  0.  0.  1.                   
    851  0 1.  0 32.0  7.000  1  4 16. 40.0  1  3  0.  0.  1.                   
    854  0 1.  0 37.0 15.000  1  4 14. 40.0  5  4  0.  0.  1.                   
    856  0 1.  0 42.0 15.000  1  5 17. 12.5  6  2  0.  0.  1.                   
    857  0 1.  1 32.0  1.500  1  4 14. 12.5  6  5  0.  0.  1.                   
    859  0 1.  0 32.0  4.000  1  3 17. 12.5  5  3  0.  0.  1.                   
    863  0 1.  0 37.0  7.000  0  4 18. 12.5  5  5  0.  0.  1.                   
    865  0 1.  0 22.0  0.417  1  3 14.  7.5  3  5  0.  0.  1.                   
    867  0 1.  0 27.0  7.000  1  4 14. 12.5  1  5  0.  0.  1.                   
    870  0 1.  1 27.0  0.750  0  3 16. 12.5  5  5  0.  0.  1.                   
    873  0 1.  1 27.0  4.000  1  2 20. 40.0  5  5  0.  0.  1.                   
    875  0 1.  1 32.0 10.000  1  4 16.  7.5  4  5  0.  0.  1.                   
    876  0 1.  1 32.0 15.000  1  1 14. 12.5  5  5  0.  0.  1.                   
    877  0 1.  1 22.0  0.750  0  3 17.  7.5  4  5  0.  0.  1.                   
    880  0 1.  0 27.0  7.000  1  4 17. 20.0  1  4  0.  0.  1.                   
    903  0 1.  1 27.0  0.417  1  4 20. 12.5  5  4  0.  0.  1.                   
    904  0 1.  1 37.0 15.000  1  4 20. 40.0  5  4  0.  0.  1.                   
    905  0 1.  0 37.0 15.000  1  2 14. 12.5  1  3  0.  0.  1.                   
    908  0 1.  1 22.0  4.000  1  1 18.  7.5  5  4  0.  0.  1.                   
    909  0 1.  1 37.0 15.000  1  4 17. 20.0  5  3  0.  0.  1.                   
    910  0 1.  0 22.0  1.500  0  2 14. 12.5  4  5  0.  0.  1.                   
    912  0 1.  1 52.0 15.000  1  4 14. 20.0  6  2  0.  0.  1.                   
    914  0 1.  0 22.0  1.500  0  4 17. 12.5  5  5  0.  0.  1.                   
    915  0 1.  1 32.0  4.000  1  5 14. 20.0  3  5  0.  0.  1.                   
    916  0 1.  1 32.0  4.000  1  2 14. 20.0  3  5  0.  0.  1.                   
    920  0 1.  0 22.0  1.500  0  3 16. 12.5  6  5  0.  0.  1.                   
    921  0 1.  1 27.0  0.750  0  2 18. 12.5  3  3  0.  0.  1.                   
    925  0 1.  0 22.0  7.000  1  2 14.  7.5  5  2  0.  0.  1.                   
    926  0 1.  0 27.0  0.750  0  2 17.  7.5  5  3  0.  0.  1.                   
    929  0 1.  0 37.0 15.000  1  4 12. 20.0  1  2  0.  0.  1.                   
    931  0 1.  0 22.0  1.500  0  1 14.  4.0  1  5  0.  0.  1.                   
    945  0 1.  0 37.0 10.000  0  2 12. 12.5  4  4  0.  0.  1.                   
    947  0 1.  0 37.0 15.000  1  4 18. 20.0  5  3  0.  0.  1.                   
    949  0 1.  0 42.0 15.000  1  3 12. 20.0  3  3  0.  0.  1.                   
    950  0 1.  1 22.0  4.000  0  2 18.  7.5  5  5  0.  0.  1.                   
    961  0 1.  1 52.0  7.000  1  2 20. 20.0  6  2  0.  0.  1.                   
    965  0 1.  1 27.0  0.750  0  2 17. 12.5  5  5  0.  0.  1.                   
    966  0 1.  0 27.0  4.000  0  2 17. 12.5  4  5  0.  0.  1.                   
    967  0 1.  1 42.0  1.500  0  5 20. 12.5  6  5  0.  0.  1.                   
    987  0 1.  1 22.0  1.500  0  4 17. 12.5  6  5  0.  0.  1.                   
    990  0 1.  1 22.0  4.000  0  4 17. 12.5  5  3  0.  0.  1.                   
    992  0 1.  0 22.0  4.000  1  1 14.  7.5  5  4  0.  0.  1.                   
    995  0 1.  1 37.0 15.000  1  5 20. 12.5  4  5  0.  0.  1.                   
   1009  0 1.  0 37.0 10.000  1  3 16. 20.0  6  3  0.  0.  1.                   
   1021  0 1.  1 42.0 15.000  1  4 17. 20.0  6  5  0.  0.  1.                   
   1026  0 1.  0 47.0 15.000  1  4 17. 20.0  5  5  0.  0.  1.                   
   1027  0 1.  1 22.0  1.500  0  4 16.  7.5  5  4  0.  0.  1.                   
   1030  0 1.  0 32.0 10.000  1  3 12. 12.5  1  4  0.  0.  1.                   
   1031  0 1.  0 22.0  7.000  1  1 14.  7.5  3  5  0.  0.  1.                   
   1034  0 1.  0 32.0 10.000  1  4 17. 12.5  5  4  0.  0.  1.                   
   1037  0 1.  1 27.0  1.500  1  2 16.  7.5  2  4  0.  0.  1.                   
   1038  0 1.  1 37.0 15.000  1  4 14. 12.5  5  5  0.  0.  1.                   
   1039  0 1.  1 42.0  4.000  1  3 14. 12.5  4  5  0.  0.  1.                   
   1045  0 1.  0 37.0 15.000  1  5 14. 20.0  5  4  0.  0.  1.                   
   1046  0 1.  0 32.0  7.000  1  4 17. 12.5  5  5  0.  0.  1.                   
   1054  0 1.  0 42.0 15.000  1  4 18. 40.0  6  5  0.  0.  1.                   
   1059  0 1.  1 27.0  4.000  0  4 18. 20.0  6  4  0.  0.  1.                   
   1063  0 1.  1 22.0  0.750  0  4 18. 12.5  6  5  0.  0.  1.                   
   1068  0 1.  1 27.0  4.000  1  4 14.  7.5  5  3  0.  0.  1.                   
   1070  0 1.  0 22.0  0.750  0  5 18.  4.0  1  5  0.  0.  1.                   
   1072  0 1.  0 52.0 15.000  1  5  9. 12.5  5  5  0.  0.  1.                   
   1073  0 1.  1 32.0 10.000  1  3 14. 12.5  5  5  0.  0.  1.                   
   1077  0 1.  0 37.0 15.000  1  4 16.  7.5  4  4  0.  0.  1.                   
   1081  0 1.  1 32.0  7.000  1  2 20. 20.0  5  4  0.  0.  1.                   
   1083  0 1.  0 42.0 15.000  1  3 18. 20.0  1  4  0.  0.  1.                   
   1084  0 1.  1 32.0 15.000  1  1 16. 12.5  5  5  0.  0.  1.                   
   1086  0 1.  1 27.0  4.000  1  3 18.  7.5  5  5  0.  0.  1.                   
   1087  0 1.  0 32.0 15.000  1  4 12.  7.5  3  4  0.  0.  1.                   
   1089  0 1.  1 22.0  0.750  1  3 14.  7.5  2  4  0.  0.  1.                   
   1096  0 1.  0 22.0  1.500  0  3 16.  7.5  5  3  0.  0.  1.                   
   1102  0 1.  0 42.0 15.000  1  4 14. 12.5  3  5  0.  0.  1.                   
   1103  0 1.  0 52.0 15.000  1  3 16. 20.0  5  4  0.  0.  1.                   
   1107  0 1.  1 37.0 15.000  1  5 20. 20.0  6  4  0.  0.  1.                   
   1109  0 1.  0 47.0 15.000  1  4 12. 12.5  2  3  0.  0.  1.                   
   1115  0 1.  1 57.0 15.000  1  2 20. 40.0  6  4  0.  0.  1.                   
   1119  0 1.  1 32.0  7.000  1  4 17. 20.0  5  5  0.  0.  1.                   
   1124  0 1.  0 27.0  7.000  1  4 17. 12.5  1  4  0.  0.  1.                   
   1126  0 1.  1 22.0  1.500  0  1 18.  7.5  6  5  0.  0.  1.                   
   1128  0 1.  0 22.0  4.000  1  3  9.  7.5  1  4  0.  0.  1.                   
   1129  0 1.  0 22.0  1.500  0  2 14.  7.5  1  5  0.  0.  1.                   
   1130  0 1.  1 42.0 15.000  1  2 20. 20.0  6  4  0.  0.  1.                   
   1133  0 1.  1 57.0 15.000  1  4  9. 12.5  2  4  0.  0.  1.                   
   1140  0 1.  0 27.0  7.000  1  2 18. 20.0  1  5  0.  0.  1.                   
   1143  0 1.  0 22.0  4.000  1  3 14.  7.5  1  5  0.  0.  1.                   
   1146  0 1.  1 37.0 15.000  1  4 14. 20.0  5  3  0.  0.  1.                   
   1153  0 1.  1 32.0  7.000  1  1 18.  4.0  6  4  0.  0.  1.                   
   1156  0 1.  0 22.0  1.500  0  2 14.  4.0  5  5  0.  0.  1.                   
   1157  0 1.  0 22.0  1.500  1  3 12.  4.0  1  3  0.  0.  1.                   
   1158  0 1.  1 52.0 15.000  1  2 14. 40.0  5  5  0.  0.  1.                   
   1160  0 1.  0 37.0 15.000  1  2 14. 20.0  1  1  0.  0.  1.                   
   1161  0 1.  0 32.0 10.000  1  2 14. 12.5  5  5  0.  0.  1.                   
   1166  0 1.  1 42.0 15.000  1  4 20. 12.5  4  5  0.  0.  1.                   
   1177  0 1.  0 27.0  4.000  1  3 18. 12.5  4  5  0.  0.  1.                   
   1178  0 1.  1 37.0 15.000  1  4 20. 40.0  6  5  0.  0.  1.                   
   1180  0 1.  1 27.0  1.500  0  3 18. 12.5  5  5  0.  0.  1.                   
   1187  0 1.  0 22.0  0.125  0  2 16.  7.5  6  3  0.  0.  1.                   
   1191  0 1.  1 32.0 10.000  1  2 20. 12.5  6  3  0.  0.  1.                   
   1195  0 1.  0 27.0  4.000  0  4 18. 20.0  5  4  0.  0.  1.                   
   1207  0 1.  0 27.0  7.000  1  2 12. 12.5  5  1  0.  0.  1.                   
   1208  0 1.  1 32.0  4.000  1  5 18.  7.5  6  3  0.  0.  1.                   
   1209  0 1.  0 37.0 15.000  1  2 17. 12.5  5  5  0.  0.  1.                   
   1211  0 1.  1 47.0 15.000  0  4 20. 20.0  6  4  0.  0.  1.                   
   1215  0 1.  1 27.0  1.500  0  1 18. 12.5  5  5  0.  0.  1.                   
   1221  0 1.  1 37.0 15.000  1  4 20. 20.0  6  4  0.  0.  1.                   
   1226  0 1.  0 32.0 15.000  1  4 18. 12.5  1  4  0.  0.  1.                   
   1229  0 1.  0 32.0  7.000  1  4 17. 40.0  5  4  0.  0.  1.                   
   1231  0 1.  0 42.0 15.000  1  3 14.  7.5  1  3  0.  0.  1.                   
   1234  0 1.  0 27.0  7.000  1  3 16. 12.5  1  4  0.  0.  1.                   
   1235  0 1.  1 27.0  1.500  0  3 16.  7.5  4  2  0.  0.  1.                   
   1242  0 1.  1 22.0  1.500  0  3 16.  7.5  3  5  0.  0.  1.                   
   1245  0 1.  1 27.0  4.000  1  3 16. 12.5  4  2  0.  0.  1.                   
   1260  0 1.  0 27.0  7.000  1  3 12. 12.5  1  2  0.  0.  1.                   
   1266  0 1.  0 37.0 15.000  1  2 18. 40.0  5  4  0.  0.  1.                   
   1271  0 1.  0 37.0  7.000  1  3 14. 20.0  4  4  0.  0.  1.                   
   1273  0 1.  1 22.0  1.500  0  2 16.  7.5  5  5  0.  0.  1.                   
   1276  0 1.  1 37.0 15.000  1  5 20. 40.0  5  4  0.  0.  1.                   
   1280  0 1.  0 22.0  1.500  0  4 16.  7.5  5  3  0.  0.  1.                   
   1282  0 1.  0 32.0 10.000  1  4 16. 20.0  1  5  0.  0.  1.                   
   1285  0 1.  1 27.0  4.000  0  2 17. 12.5  5  3  0.  0.  1.                   
   1295  0 1.  0 22.0  0.417  0  4 14. 12.5  5  5  0.  0.  1.                   
   1298  0 1.  0 27.0  4.000  0  2 18. 12.5  5  5  0.  0.  1.                   
   1299  0 1.  1 37.0 15.000  1  4 18.  7.5  5  3  0.  0.  1.                   
   1304  0 1.  1 37.0 10.000  1  5 20. 12.5  7  4  0.  0.  1.                   
   1305  0 1.  0 27.0  7.000  1  2 14. 12.5  4  2  0.  0.  1.                   
   1311  0 1.  1 32.0  4.000  1  2 16. 20.0  5  5  0.  0.  1.                   
   1314  0 1.  1 32.0  4.000  1  2 16. 12.5  6  4  0.  0.  1.                   
   1319  0 1.  1 22.0  1.500  0  3 18. 12.5  4  5  0.  0.  1.                   
   1322  0 1.  0 22.0  4.000  1  4 14. 12.5  3  4  0.  0.  1.                   
   1324  0 1.  0 17.5  0.750  0  2 18. 12.5  5  4  0.  0.  1.                   
   1327  0 1.  1 32.0 10.000  1  4 20.  7.5  4  5  0.  0.  1.                   
   1328  0 1.  0 32.0  0.750  0  5 14. 20.0  3  3  0.  0.  1.                   
   1330  0 1.  1 37.0 15.000  1  4 17.  7.5  5  3  0.  0.  1.                   
   1332  0 1.  1 32.0  4.000  0  3 14. 12.5  4  5  0.  0.  1.                   
   1333  0 1.  0 27.0  1.500  0  2 17. 20.0  3  2  0.  0.  1.                   
   1336  0 1.  0 22.0  7.000  1  4 14.  7.5  1  5  0.  0.  1.                   
   1341  0 1.  1 47.0 15.000  1  5 14. 20.0  6  5  0.  0.  1.                   
