QTR,Y,M1,P 
1965.1000000,668.8000000,162.9000000,73.7700000 
1965.2000000,681.7000000,163.9000000,74.1300000 
1965.3000000,696.4000000,166.0500000,74.5600000 
1965.4000000,717.2000000,169.1000000,74.9600000 
1966.1000000,738.5000000,171.9500000,75.7100000 
1966.2000000,750,172.9800000,76.5800000 
1966.3000000,760.6000000,172.8000000,76.9900000 
1966.4000000,774.9000000,173.3300000,77.7500000 
1967.1000000,780.7000000,175.2500000,78.2700000 
1967.2000000,788.6000000,178.1000000,78.5300000 
1967.3000000,805.7000000,181.9300000,79.2800000 
1967.4000000,823.3000000,184.7300000,80.1300000 
1968.1000000,841.2000000,187.1500000,81.1500000 
1968.2000000,867.2000000,190.6300000,82.1400000 
1968.3000000,884.9000000,194.3000000,82.8400000 
1968.4000000,900.3000000,198.5500000,83.9900000 
1969.1000000,921.2000000,201.7300000,84.9700000 
1969.2000000,937.4000000,203.1800000,86.1000000 
1969.3000000,955.3000000,204.1800000,87.4900000 
1969.4000000,962,206.1000000,88.6200000 
1970.1000000,972,207.9000000,89.8900000 
1970.2000000,986.3000000,209.7800000,91.0700000 
1970.3000000,1003.6000000,212.7800000,91.7900000 
1970.4000000,1009,216.0800000,93.0300000 
1971.1000000,1049.3000000,220.2800000,94.4000000 
1971.2000000,1068.9000000,225.2500000,95.7000000 
1971.3000000,1086.6000000,228.4500000,96.5200000 
1971.4000000,1105.8000000,230.7000000,97.3900000 
1972.1000000,1142.4000000,235.6000000,98.7200000 
1972.2000000,1171.7000000,239.3800000,99.4200000 
1972.3000000,1196.1000000,244.5500000,100.2500000 
1972.4000000,1233.5000000,250.7000000,101.5400000 
1973.1000000,1283.5000000,254.8000000,102.9500000 
1973.2000000,1307.6000000,258.4000000,104.7500000 
1973.3000000,1337.7000000,261.0300000,106.5300000 
1973.4000000,1376.7000000,264.6800000,108.7400000 
1974.1000000,1387.7000000,268.7700000,110.7200000 
1974.2000000,1423.8000000,271.2300000,113.4800000 
1974.3000000,1451.6000000,273.7300000,116.4200000 
1974.4000000,1473.8000000,276.7300000,119.7900000 
1975.1000000,1479.8000000,278.7500000,122.8800000 
1975.2000000,1516.7000000,283.8000000,124.4400000 
1975.3000000,1578.5000000,288.1300000,126.6800000 
1975.4000000,1621.8000000,290.8800000,128.9900000 
1976.1000000,1672,295.1800000,130.1200000 
1976.2000000,1698.6000000,299.5300000,131.3000000 
1976.3000000,1729,303.3500000,132.8900000 
1976.4000000,1772.5000000,309.3500000,134.9900000 
1977.1000000,1834.8000000,316.5500000,136.8000000 
1977.2000000,1895.1000000,321.8000000,139.0100000 
1977.3000000,1954.4000000,327.6000000,141.0300000 
1977.4000000,1988.9000000,334.8000000,143.2400000 
1978.1000000,2031.7000000,341.1300000,145.1200000 
1978.2000000,2139.5000000,348.7000000,148.8900000 
1978.3000000,2202.5000000,335.4500000,152.0200000 
1978.4000000,2281.6000000,361.3800000,155.3800000 
1979.1000000,2335.5000000,367.0800000,158.6000000 
1979.2000000,2377.9000000,376.1000000,161.8500000 
1979.3000000,2454.8000000,384.5800000,165.1200000 
1979.4000000,2502.9000000,388.3800000,168.0500000 
1980.1000000,2572.9000000,394.3000000,171.9400000 
1980.2000000,2578.8000000,390,176.4600000 
1980.3000000,2639.1000000,405.5000000,180.2400000 
1980.4000000,2736,416.1000000,185.1300000 
1981.1000000,2875.8000000,420.9000000,190.0100000 
1981.2000000,2918,429.3000000,193.0300000 
1981.3000000,3009.3000000,432.6000000,197.7000000 
1981.4000000,3027.9000000,437.5000000,201.6900000 
1982.1000000,3026,448.8000000,203.9800000 
1982.2000000,3061.2000000,451.3000000,206.7700000 
1982.3000000,3080.1000000,458.2000000,208.5300000 
1982.4000000,3109.6000000,475.7000000,210.2700000 
1983.1000000,3173.8000000,490.9000000,212.8700000 
1983.2000000,3267,505.2000000,214.2500000 
1983.3000000,3346.6000000,517.2000000,215.8900000 
1983.4000000,3431.7000000,523.4000000,218.2100000 
