hours,kidslt6,kidsge6,age,educ,exper,nwifeinc ,expersq 
782,0,1,37,12,2,10.87702,4
1388,0,1,36,12,14,25.61206,196
1450,1,2,47,12,9,20.98899,81
1720,0,1,48,16,11,70.74993,121
800,0,2,42,12,9,17.05,81
360,0,3,33,13,6,21,36
2000,0,0,46,11,19,8.12,361
1176,0,3,47,12,26,20.88599,676
2058,0,1,44,12,19,17.66892,361
900,0,4,36,12,3,25.20003,9
215,2,0,31,17,7,14.24501,49
2000,0,0,55,14,28,14.3,784
757,0,1,45,16,13,23.70001,169
1264,0,0,47,17,9,46,81
2064,0,3,46,12,15,42.9999,225
1280,0,0,49,11,20,14.749,400
1715,0,0,49,12,29,16.15005,841
2000,0,2,45,12,9,17.774,81
12,1,3,38,17,1,91,1
1528,0,0,47,10,8,22.29993,64
561,0,3,54,13,19,34.60001,361
2058,0,0,41,11,23,9.620002,529
1823,0,2,43,12,3,10.89995,9
1680,1,1,31,16,13,14.49994,169
1440,0,0,47,17,8,22.00002,64
4950,0,2,35,12,17,17.90008,289
1176,0,3,45,16,4,23.67506,16
1100,1,0,33,12,15,11.79996,225
1516,0,1,54,16,11,16.14195,121
900,0,4,35,8,7,18.39997,49
1080,1,2,31,12,0,15.49995,0
480,0,0,55,12,0,17.324,0
288,0,2,34,12,10,19.205,100
1875,0,1,38,13,8,21.30006,64
630,0,1,45,11,2,23.56,4
234,0,1,47,12,4,20.85,16
1600,0,2,39,12,6,26.15,36
960,1,0,36,14,18,17,324
120,1,2,33,12,3,20.72,9
2025,0,0,50,12,22,17.00009,484
1809,0,0,58,12,33,16,1089
3087,0,0,49,17,28,19.50005,784
910,0,2,41,14,23,12,529
1840,0,1,51,12,27,13.73191,729
784,0,0,53,9,11,27.19999,121
400,1,2,36,12,6,5.315,36
1000,0,2,46,12,11,16,121
1904,0,2,36,12,14,27.87198,196
1771,0,1,53,14,17,40.00001,289
1486,0,3,40,16,17,15.90003,289
740,0,2,42,17,14,27.49997,196
1820,1,1,33,15,11,17.02005,121
1275,0,3,43,12,7,22.39494,49
450,1,0,31,16,8,11.1,64
1221,0,0,47,17,6,32.70001,36
1550,0,0,54,17,8,27.79996,64
180,1,3,33,12,4,2.199994,16
2090,0,0,43,16,25,19.72095,625
1960,0,1,46,13,24,9.999988,576
1440,0,3,35,12,11,13.19997,121
794,0,3,37,11,19,12.70897,361
993,0,2,37,16,9,27.30005,81
160,0,3,34,14,19,21.2,361
105,1,0,43,16,14,14.4,196
1200,0,0,46,12,22,20.57596,484
450,0,3,35,9,6,12.49999,36
996,0,0,46,17,23,17.50022,529
1052,0,0,46,14,15,44.00004,225
1128,0,2,43,12,6,13.11895,36
1840,0,0,30,12,11,14.00006,121
1910,0,2,41,11,2,9.645086,4
980,0,1,54,12,22,17.39705,484
2317,0,1,31,12,10,7.799889,100
1089,0,0,44,10,14,13.13398,196
800,0,1,32,12,12,25.6,144
1230,0,0,47,5,9,13.90003,81
1158,0,1,46,17,13,19.29794,169
2272,0,0,37,11,18,9.200016,324
528,0,2,51,12,8,37.99999,64
1000,0,1,49,12,11,44,121
520,0,4,36,14,9,21.37202,81
760,0,1,39,11,9,23.66802,81
1920,0,2,48,12,14,9,196
1220,0,2,38,14,9,25.19995,81
200,0,2,40,12,2,21.22,4
2480,1,5,39,10,12,33.96991,144
2750,0,0,37,16,15,17.07,225
2014,0,1,49,13,11,6.016024,121
1355,0,3,33,12,7,17.10001,49
80,0,0,30,12,9,8.237,81
1670,0,0,54,12,19,13.30008,361
520,0,4,39,11,11,16.00002,121
288,0,3,43,12,8,12.53999,64
2014,0,3,31,9,13,18.00004,169
800,0,3,33,13,4,31.2,16
1984,0,3,40,12,7,20.74991,49
1823,0,1,36,12,19,11.09992,361
1500,0,0,51,12,14,20.68,196
2261,0,1,44,13,14,18.00001,196
1728,0,3,42,16,3,32.43007,9
1960,0,1,40,12,9,32.90003,81
1578,1,1,34,16,7,24.10001,49
1316,0,0,30,17,7,17.80039,49
1530,0,0,54,12,14,20.50002,196
2220,0,0,51,12,29,10.4999,841
1336,0,2,44,9,19,10.43703,361
1008,0,1,43,12,14,18.19499,196
1944,0,1,34,12,16,12.84508,256
2000,0,0,45,13,10,13.8,100
258,0,0,39,12,12,22.2,144
1785,0,0,50,12,24,6.699941,576
480,0,0,52,12,6,6.250016,36
772,0,2,41,12,9,15.60001,81
900,0,0,59,10,14,3.30001,196
1428,0,0,52,12,26,3.670978,676
210,0,0,46,16,7,7.789997,49
239,1,5,41,12,4,18.27199,16
1878,0,2,33,11,15,10.95398,225
215,0,0,45,12,23,13.49999,529
2340,1,2,36,10,1,11.20001,1
1960,0,1,48,12,29,20.99991,841
532,0,1,47,12,9,25.7,81
394,0,0,45,12,6,8.932994,36
675,0,2,37,12,11,19.15998,121
1515,0,4,46,16,17,26.58999,289
1030,0,3,43,17,6,22.40001,36
1250,0,2,42,12,7,20.633,49
1158,1,2,34,17,2,28.20001,4
112,0,0,52,12,24,28.8,576
336,0,3,37,12,4,8.999997,16
1984,0,1,37,12,11,11.39994,121
716,0,0,52,8,25,10.40001,625
1410,1,0,30,12,11,19.08006,121
1300,0,1,31,13,2,9.46604,4
1640,0,1,38,12,19,6.50006,361
1202,0,3,43,12,7,29.11701,49
489,0,1,49,8,2,19.10302,4
2076,0,0,55,12,20,16.34997,400
526,0,2,38,17,10,32.02502,100
1721,0,0,52,17,19,16.70006,361
1327,0,0,48,12,17,4.811038,289
584,0,2,32,13,12,24.62601,144
1376,0,1,32,12,11,17.40001,121
1040,0,2,38,12,6,13.02504,36
548,0,3,46,12,10,19.00698,100
15,0,3,40,12,4,14.03,16
1980,0,4,31,9,2,14.89991,4
1520,0,1,43,10,13,25.00006,169
1880,0,0,51,12,21,10.70007,441
1260,1,0,30,16,9,24.25,81
1092,0,0,52,13,4,39.13997,16
1587,1,5,30,8,2,7.199973,4
156,0,0,51,16,19,31.811,361
1939,0,2,31,13,4,10.00005,16
1250,0,4,34,12,9,20.66,81
610,0,0,49,11,14,13.49998,196
270,1,3,35,13,6,25.38,36
660,1,0,53,12,24,18.27498,576
1000,0,3,32,12,1,39.213,1
1920,0,3,38,10,13,10.49994,169
200,0,0,54,12,3,34.857,9
1500,0,1,47,17,10,28.502,100
868,0,1,45,15,16,12.99996,256
2318,0,1,47,16,9,41.39991,81
2000,0,0,59,10,19,14.78,361
60,0,1,32,11,4,15.05,16
1715,0,1,45,12,10,29.69998,100
550,0,4,40,12,5,16.16502,25
1960,0,2,47,14,7,25.20516,49
44,1,2,36,16,3,14.2,9
1920,0,0,56,14,38,18.15897,1444
2540,0,1,41,8,16,28.98106,256
156,0,3,48,7,13,13.392,169
780,1,2,36,12,1,9.17502,1
3120,0,0,41,12,7,27.03985,49
2040,0,0,41,14,15,13.14995,225
1610,0,3,36,12,10,16.40007,100
215,0,3,37,12,2,21.29999,4
1120,0,0,38,12,19,17.20102,361
846,0,2,43,14,25,8.560026,625
3225,0,0,54,16,25,6.49084,625
1376,0,1,38,12,7,12.49997,49
980,1,0,30,12,15,27.00002,225
1838,0,0,49,12,11,53.50005,121
1494,0,1,45,13,25,52.49995,625
450,0,0,51,13,19,38.39998,361
1976,0,0,34,10,4,13.89194,16
2012,0,2,34,12,14,3.899993,196
561,0,1,41,12,19,34.2,361
1715,0,1,49,12,18,19.70008,324
1912,0,0,32,12,14,18.49995,196
3686,0,0,32,14,11,10.99998,121
1080,0,2,32,17,4,43.30001,16
1799,0,0,47,10,29,18.76001,841
1984,0,1,39,9,21,4.800096,441
1839,0,0,49,12,24,21.5,576
1579,0,3,37,12,19,28.03994,361
96,0,0,59,16,31,26,961
1920,0,0,50,12,28,27,784
1688,0,1,32,17,15,17.79969,225
1589,0,0,46,12,27,17.40195,729
345,0,2,43,17,13,19.30999,169
1521,0,3,37,11,4,9.99998,16
1490,0,2,32,16,10,11.17998,100
989,0,1,39,11,8,18.85696,64
600,0,2,34,13,4,12.30002,16
2646,0,1,39,11,18,13.67712,324
2149,0,3,45,8,3,9.559997,9
320,0,0,50,11,11,24.49998,121
1600,0,1,40,12,8,23.15,64
2419,0,1,30,10,10,15.59088,100
2005,0,0,57,17,33,14.42092,1089
1960,0,1,39,12,19,17.45491,361
2147,0,0,53,12,35,9.800019,1225
1207,0,1,48,17,21,17.57446,441
2000,0,1,46,14,7,16.555,49
1260,0,0,47,12,18,13.29497,324
90,0,1,43,12,4,11.844,16
1800,0,0,47,12,12,46.64506,144
573,0,1,47,12,16,14.69999,256
1825,0,0,47,12,14,26.09008,196
75,0,0,46,12,3,9.9,9
1348,0,4,34,9,1,9.048026,1
1880,0,0,48,10,27,30.75006,729
1240,0,1,30,12,12,8.49994,144
848,0,1,51,12,6,22.24999,36
150,0,5,52,12,9,42.91,81
2000,0,2,37,12,2,33.3,4
1952,0,2,32,12,6,13.8199,36
1456,0,2,36,17,9,23.60001,81
1740,0,2,35,12,16,13.00007,256
1400,0,0,45,17,22,20.74994,484
2000,0,0,56,12,26,6.3,676
1750,0,2,40,10,11,7.788925,121
1101,1,2,45,12,11,10.47004,121
2000,0,2,32,12,15,12,225
1877,0,0,45,12,13,16.97992,169
160,0,2,40,12,6,17.9,36
1886,0,1,38,12,20,15.53994,400
1446,0,4,49,12,17,9.883986,289
1500,0,1,47,16,8,28.59995,64
860,0,0,52,13,13,17.66001,169
1848,0,1,34,13,15,25.99992,225
1678,0,2,44,12,14,13.60201,196
160,0,3,36,16,14,15.8,196
108,0,0,50,17,6,41.09999,36
1738,0,0,45,12,24,10.77504,576
1170,0,2,44,14,10,9.000047,100
15,0,2,57,12,2,24.39899,4
2088,0,0,35,17,9,37.30009,81
2490,0,0,46,12,23,27.99995,529
135,2,1,30,14,12,13.7,144
1944,0,3,42,12,8,17.20994,64
690,0,1,34,12,16,14.00001,256
608,0,2,45,17,10,35.75502,100
63,1,2,35,16,7,23.5,49
154,0,0,40,16,19,31.99993,361
420,0,1,32,12,2,17.15,4
651,0,0,54,9,9,20.25002,81
675,0,3,38,12,14,5.485985,196
1663,0,3,43,12,9,25.07504,81
1680,0,0,54,16,16,18.21995,256
180,0,3,39,14,7,26,49
1581,0,1,37,12,6,34.50007,36
1200,0,2,46,12,22,12.4,484
450,0,0,56,11,9,10.78685,81
547,0,3,41,12,9,16.32301,81
300,0,1,45,16,14,30.5,196
975,0,1,44,17,17,51.29963,289
1621,0,1,50,17,12,33.04997,144
300,0,5,37,14,13,34.75001,169
1868,0,1,44,12,8,16.40004,64
1803,0,2,32,14,10,19.70007,100
2143,1,1,34,12,16,6.600003,256
1080,0,2,32,10,1,9.020008,1
1352,0,3,37,12,6,10.40001,36
537,0,1,44,13,4,14.51999,16
352,0,2,34,16,8,17.2,64
200,1,3,33,12,4,43,16
2045,0,3,43,7,15,13.87196,225
1253,0,2,35,16,7,-0.0290575,49
1960,0,1,43,14,14,16.76994,196
2000,0,0,34,12,16,7.8,256
1960,0,3,36,10,15,14.50006,225
2000,0,2,41,12,23,7.9,529
1568,0,0,41,16,19,79.80001,361
1225,0,3,35,10,4,7.17597,16
780,1,3,32,12,12,17.50698,144
480,0,0,30,14,12,20.6,144
1923,0,0,43,12,25,18.55992,625
2000,0,0,54,6,14,9.3,196
2110,0,2,35,15,14,5.120008,196
1664,0,0,50,12,11,14.50004,121
48,1,1,34,17,7,19.8,49
1791,0,0,52,14,18,18.29995,324
1404,0,3,35,13,4,33.99994,16
1920,0,0,55,6,37,11.62794,1369
2141,0,0,35,16,13,11.80005,169
1720,0,1,49,14,14,39.09998,196
3533,2,2,38,15,17,18.43007,289
2000,0,2,42,14,5,21,25
800,0,1,48,8,2,59,4
3000,0,0,51,14,0,25.3,0
293,0,2,43,12,3,23.24899,9
1872,0,1,43,12,21,24.92809,441
2058,0,1,38,12,20,14.78199,400
1832,0,1,44,12,19,18.90003,361
120,1,3,36,12,4,21,16
1632,0,0,38,12,19,10.00001,361
778,0,0,47,8,11,29.30997,121
1984,0,2,34,12,14,13.14003,196
225,1,2,40,17,8,25.08999,64
1960,0,1,31,12,13,14.59993,169
444,0,0,46,12,24,1.200001,576
384,0,3,36,14,1,32,1
1170,1,2,39,13,1,16.11997,1
1330,0,2,36,17,3,26.50002,9
1350,0,4,37,8,4,12.75006,16
480,0,4,39,12,21,12.9,441
1984,1,3,36,11,10,10.69998,100
1944,0,2,49,12,13,14.43403,169
50,1,1,45,12,9,23.709,81
460,2,0,32,17,14,15.1,196
680,0,5,36,10,2,18.19998,4
2450,0,1,40,12,21,22.64106,441
2144,0,2,43,13,22,21.64008,484
1760,0,1,33,12,14,23.99998,196
490,0,1,30,12,7,16.00002,49
0,0,1,49,12,2,21.025,4
0,2,0,30,16,5,23.6,25
0,1,0,30,12,12,22.8,144
0,0,4,41,12,1,35.91,1
0,0,1,45,12,12,21.7,144
0,0,5,43,12,4,21.823,16
0,0,1,42,13,9,31,81
0,0,0,60,12,9,15.3,81
0,0,0,57,12,6,12.925,36
0,0,2,38,10,5,15.83,25
0,0,0,56,12,5,30.2,25
0,0,3,32,12,8,16.6,64
0,0,1,49,7,2,11,4
0,0,0,55,12,6,15,36
0,1,1,36,9,0,20.528,0
0,0,3,44,12,3,13.126,9
0,0,1,44,10,7,15.55,49
0,1,2,35,14,3,18.01,9
0,2,3,44,14,10,18.874,100
0,0,1,45,12,3,24.8,9
0,1,0,34,12,2,17.5,4
0,2,0,30,17,12,16.15,144
0,0,1,39,8,15,15.189,225
0,0,2,36,12,5,6,25
0,0,2,38,17,4,37.25,16
0,0,0,53,12,10,27.76,100
0,0,2,36,12,1,9.09,1
0,1,1,32,12,8,14.5,64
0,0,3,51,9,20,19.7,400
0,0,0,38,11,4,16.788,16
0,2,0,33,12,7,18.52,49
0,0,0,54,12,10,20.95,100
0,0,3,38,9,3,7.574,9
0,2,2,30,11,5,10.027,25
0,2,3,34,12,10,5,100
0,0,1,34,9,0,7.04,0
0,0,2,50,12,3,40.8,9
0,2,0,30,17,10,16.05,100
0,0,2,38,12,2,33.1,4
0,0,0,54,14,10,33.856,100
0,1,2,30,12,4,20.5,16
0,0,0,55,12,0,28.6,0
0,0,1,51,10,10,18.75,100
0,0,1,44,12,5,20.3,25
0,0,0,53,12,0,13.42,0
0,0,2,42,10,0,18.4,0
0,0,2,38,12,19,16.682,361
0,1,3,38,13,2,32.685,4
0,1,4,41,12,12,7.05,144
0,0,3,35,8,5,10.867,25
0,1,2,33,12,5,18.22,25
0,0,0,48,13,5,26.613,25
0,0,0,47,12,10,25,100
0,0,5,34,12,0,15.7,0
0,2,1,33,13,4,40.25,16
0,3,1,31,13,3,73.6,9
0,0,0,58,8,2,10.592,4
0,0,0,49,12,1,8,1
0,0,1,55,8,0,13.4,0
0,0,0,44,14,1,23.7,1
0,0,0,44,9,1,18.9,1
0,0,3,36,16,6,48.3,36
0,0,3,38,12,12,24.47,144
0,0,3,37,16,6,28.63,36
0,0,0,47,12,9,25.32,81
0,0,3,47,12,14,13.53,196
0,1,1,32,12,13,14.8,169
0,1,2,43,12,8,17.4,64
0,1,4,42,11,0,15.98,0
0,0,0,56,12,1,16.576,1
0,0,5,38,13,3,21.85,9
0,0,2,52,12,13,14.6,169
0,0,0,50,12,3,21.6,9
0,0,0,33,16,8,24,64
0,0,2,44,16,8,20.883,64
0,0,1,41,12,18,19.5,324
0,0,1,45,12,2,42.8,4
0,0,0,53,14,3,41.5,9
0,0,0,53,14,5,18.965,25
0,0,1,42,12,2,16.1,4
0,2,0,32,13,10,14.7,100
0,0,0,56,12,30,18.8,900
0,1,3,37,11,1,14.75,1
0,1,2,40,12,5,21,25
0,0,3,54,15,8,35.4,64
0,0,0,53,7,0,10.7,0
0,0,1,48,12,4,24.5,16
0,1,2,36,12,2,17.045,4
0,0,0,57,12,30,18.8,900
0,0,0,51,12,25,14,625
0,0,4,33,13,3,18.214,9
0,0,0,52,12,20,20.177,400
0,0,0,56,10,20,8.3,400
0,1,2,36,12,0,14.2,0
0,1,0,36,14,15,21.768,225
0,0,1,46,12,10,29.553,100
0,0,3,31,10,4,4.35,16
0,0,0,52,11,3,24,9
0,0,2,46,12,10,18.3,100
0,2,0,35,12,9,17.2,81
0,0,0,59,12,7,16.476,49
0,0,1,36,8,12,13.4,144
0,1,3,51,7,0,44.988,0
0,1,0,31,16,16,18.2,256
0,0,2,31,14,4,28,16
0,1,1,32,12,7,11.55,49
0,1,2,35,16,7,28.45,49
0,0,3,40,12,14,15.096,196
0,1,2,33,10,2,8.009,4
0,0,0,54,7,20,10.04,400
0,1,1,36,12,5,16.7,25
0,0,1,50,10,10,8.4,100
0,0,0,54,8,20,13,400
0,0,1,48,11,10,17.97,100
0,0,4,41,15,8,18.45,64
0,0,4,50,12,11,31,121
0,0,2,46,12,3,24.135,9
0,0,1,42,13,6,31.7,36
0,1,2,31,9,4,10.19,16
0,0,0,53,12,4,21.574,16
0,0,1,51,12,9,26.68,81
0,0,1,47,12,10,17.7,100
0,0,1,50,12,3,29.4,9
0,0,1,37,6,2,22.159,4
0,2,2,30,12,2,35,4
0,0,0,49,12,0,8.63,0
0,0,2,52,12,8,17.08,64
0,0,2,47,12,6,32.5,36
0,0,0,49,12,15,16,225
0,0,4,44,12,15,18.85,225
0,0,0,53,8,9,17.5,81
0,1,0,30,12,8,19.392,64
0,0,2,54,12,18,14.45,324
0,1,1,47,7,3,21.8,9
0,0,0,56,15,10,7.7,100
0,0,1,49,12,6,31.8,36
0,0,0,48,6,20,17.258,400
0,0,1,49,12,8,13.399,64
0,0,1,56,12,3,16.073,9
0,0,0,46,12,4,23.26,16
0,0,2,45,12,13,37.3,169
0,0,2,32,12,4,11,16
0,1,1,43,12,17,13.075,289
0,1,1,34,12,4,13.7,16
0,1,1,30,12,0,25.1,0
0,2,0,38,17,15,18.6,225
0,1,1,33,16,11,29,121
0,0,0,52,12,23,19.237,529
0,0,3,43,11,1,19.855,1
0,1,1,33,12,5,9.45,25
0,0,0,45,10,1,30,1
0,2,1,36,10,5,15,25
0,1,1,34,12,3,24.701,9
0,0,2,37,14,3,15.9,9
0,0,1,46,10,19,16.24,361
0,0,0,47,12,20,21.1,400
0,2,1,31,16,5,23,25
0,0,0,57,5,0,6.34,0
0,1,1,30,12,3,42.25,9
0,0,0,30,12,3,14.694,9
0,0,3,44,12,7,21.417,49
0,0,0,53,13,7,20.2,49
0,0,0,51,8,1,12.09,1
0,1,3,39,12,13,24.76,169
0,0,0,52,8,0,23,0
0,0,4,46,8,0,19.365,0
0,0,5,47,12,12,5.55,144
0,0,2,52,8,0,68.035,0
0,0,2,45,12,5,29.3,25
0,0,0,60,11,45,18.5,2025
0,0,2,41,13,10,22.582,100
0,0,3,39,8,2,21.5,4
0,0,1,49,12,3,28.07,9
0,1,1,32,15,1,50.3,1
0,1,3,33,12,5,23.5,25
0,0,4,36,10,10,15.5,100
0,3,3,37,13,4,13.44,16
0,1,2,30,12,7,8.1,49
0,1,1,44,11,9,9.8,81
0,0,1,48,12,5,20.3,25
0,0,4,40,11,4,15,16
0,0,0,47,13,11,56.1,121
0,0,2,36,12,9,22.846,81
0,0,2,40,11,4,22.225,16
0,0,1,46,12,2,17.635,4
0,0,0,52,12,23,18.5,529
0,0,1,44,12,3,13.39,9
0,0,1,45,10,15,15.15,225
0,2,1,30,7,8,16.2,64
0,1,3,40,12,3,33.92,9
0,0,1,43,12,25,14,625
0,0,2,49,12,2,16.736,4
0,1,4,46,12,0,30.65,0
0,0,0,52,11,19,12.4,361
0,1,1,31,12,3,19.022,9
0,1,1,42,10,7,11.203,49
0,0,3,33,11,1,19.876,1
0,0,0,57,16,9,57,81
0,0,0,49,10,3,18.29,9
0,0,1,45,14,8,20.22,64
0,0,0,56,11,0,22.15,0
0,1,3,41,12,5,30.623,25
0,0,0,56,5,20,9.38,400
0,0,1,48,10,3,22,9
0,0,2,52,16,12,23.675,144
0,0,0,51,12,5,33.671,25
0,0,3,35,11,1,12.367,1
0,0,0,45,12,0,21.95,0
0,0,0,54,12,7,32,49
0,0,2,54,12,13,22.61,169
0,1,0,31,12,3,12.092,9
0,0,3,53,6,0,3.777,0
0,2,2,35,14,2,36,4
0,1,3,36,12,0,26.9,0
0,0,0,59,12,2,32.242,4
0,0,0,54,16,1,35.02,1
0,1,1,37,12,10,37.6,100
0,0,0,44,12,10,1.5,100
0,1,2,34,17,1,96,1
0,0,0,49,12,3,18.15,9
0,0,0,49,12,32,15.5,1024
0,0,0,60,9,0,14,0
0,0,0,51,12,7,14.756,49
0,1,1,30,12,5,22,25
0,0,2,47,12,2,24.466,4
0,0,4,36,12,5,24.4,25
0,1,3,35,12,3,24,9
0,0,0,58,12,25,15.5,625
0,1,3,41,14,0,30.8,0
0,0,1,51,10,3,10.66,9
0,0,0,47,12,10,13.35,100
0,1,2,45,9,10,10.09,100
0,0,0,60,14,7,55.6,49
0,1,1,30,16,5,25.7,25
0,0,0,55,11,15,29,225
0,1,2,32,12,1,7.286,1
0,0,2,36,12,5,37.752,25
0,0,0,55,12,9,13.072,81
0,0,0,47,12,18,7.044,324
0,0,1,47,12,1,18.2,1
0,0,1,37,11,0,27,0
0,0,2,50,12,6,30.3,36
0,0,3,30,12,1,12,1
0,0,1,48,17,2,31.5,4
0,0,2,43,10,15,27.092,225
0,1,0,48,11,25,20.968,625
0,1,2,41,14,1,27,1
0,0,0,50,12,0,11.225,0
0,0,0,58,8,0,37.7,0
0,0,5,38,13,0,28.2,0
0,0,1,37,12,8,34,64
0,0,0,50,16,22,63.2,484
0,0,4,42,8,5,7.5,25
0,1,3,37,9,10,17.41,100
0,0,2,41,16,1,51,1
0,0,2,31,12,1,12.916,1
0,0,0,51,12,6,21.9,36
0,1,2,36,12,4,17.64,16
0,0,0,54,15,6,20,36
0,0,0,49,12,0,15,0
0,1,1,48,9,1,14.06,1
0,0,2,42,9,3,15.825,9
0,1,2,41,12,15,16.51,225
0,0,0,55,16,33,13,1089
0,0,0,42,9,2,10,4
0,0,1,32,15,1,22,1
0,0,2,43,12,10,29.8,100
0,1,3,33,12,0,15,0
0,0,1,48,15,14,22.3,196
0,0,2,43,12,15,14.55,225
0,1,3,47,17,15,19.73,225
0,0,0,54,12,10,35,100
0,0,1,51,12,6,21.014,36
0,0,1,51,10,18,10.876,324
0,1,1,43,13,15,27.85,225
0,0,0,53,12,30,9.56,900
0,1,1,34,11,15,30.3,225
0,1,1,31,8,10,7.72,100
0,0,0,56,12,0,10.55,0
0,0,1,42,16,0,24.106,0
0,0,2,32,12,4,22.995,16
0,1,3,35,12,0,6,0
0,1,1,30,12,3,24.35,9
0,0,0,51,10,20,7.608,400
0,0,3,47,12,3,28.2,9
0,0,1,54,12,1,16.15,1
0,3,0,31,15,5,51.2,25
0,0,0,47,10,7,12.646,49
0,0,3,47,14,6,19,36
0,0,3,40,12,2,19,4
0,0,0,48,8,0,14.4,0
0,0,7,34,8,10,7.232,100
0,0,3,38,12,6,21.943,36
0,1,3,32,12,4,47.5,16
0,0,1,48,16,8,28.9,64
0,0,2,41,12,18,12.4,324
0,0,2,49,5,7,6.531,49
0,0,0,59,8,15,22.422,225
0,0,0,58,13,7,22.2,49
0,0,3,41,12,8,77,64
0,0,2,45,12,8,88,64
0,1,1,30,14,3,26.04,9
0,0,1,41,12,10,63.5,100
0,2,0,30,12,9,12.1,81
0,0,1,53,12,24,17.505,576
0,0,0,31,12,12,18,144
0,0,2,43,14,2,28.069,4
0,1,1,31,12,6,14,36
0,0,0,51,12,18,8.117,324
0,0,0,43,9,17,11.895,289
0,1,2,31,14,7,45.25,49
0,0,0,48,11,6,31.106,36
0,1,1,31,12,10,4,100
0,0,1,44,12,5,40.5,25
0,0,1,48,11,7,21.62,49
0,0,1,53,12,11,23.426,121
0,0,3,42,10,14,26,196
0,2,6,39,12,5,7.84,25
0,1,2,32,10,2,6.8,4
0,0,2,36,12,4,5.33,16
