Location,Year Built,Inspected,Status,Condition
79 ST BOAT BASIN,1935,6/4/2007,FO,4.645
79 ST BOAT BASIN,1935,5/18/2007,FO,4.221
3 MI NE ROUTE 9A+79 ST,1939,2/15/2008,FO,4.592
3 MI NE ROUTE 9A+79 ST,1939,2/29/2008,FO,4.859
4 MI NE ROUTE 9A+79 ST,1939,11/4/2008,FO,3.875
4.7 MI NE ROUTE 9A+79 ST,1939,2/20/2008,FO,5
4.6 MI NE ROUTE 9A+79 ST,1958,11/24/2008,FO,4.264
6.4 MI NE JCT SH9A&79THST,1939,2/5/2008,N,4.764
IN HARLEM,1940,2/22/2008,FO,4.02
0.35MI E OF 95I & US 9,1959,7/6/2007,FO,4.292
1.1 MI E FDR DR+BKLYN BR,1955,2/24/2008,SD,3.625
0.25MI E OF 95I & US 9,1959,7/6/2007,FO,4.819
3.7 MI NE FDR DR&BKLYN BR,1997,2/8/2008,N,5.809
US 9 OVER 95I,1960,7/18/2007,SD,4.083
BROOKLYN BR OVER EAST RVR,1883,10/25/2008,SD,2.944
IN WEST MANHATTAN,1961,11/5/2007,FO,5.306
IN WEST MANHATTAN,1961,11/8/2007,FO,4.797
IN WEST MANHATTAN,1961,11/9/2007,FO,5.078
IN WEST MANHATTAN,1950,10/23/2007,FO,4.926
IN WEST MANHATTAN,1961,11/9/2007,FO,5.019
BT RAMP W99 AT LINCOLN TU,1950,10/22/2007,FO,4.224
"BT RAMP R97,R98,E96",1950,10/22/2007,FO,4.042
IN WEST MANHATTAN,1961,10/22/2007,FO,4.417
95I OVER HUDSON RIVER,1962,8/29/2007,FO,4.762
IN S END OF CENTRAL PARK,1920,1/30/2008,N,5.133
IN CENTRAL PARK,1920,3/5/2008,SD,4.467
AT FORT TRYON PARK,1900,1/25/2008,FO,5
WILLIAMSBURG BR EAST RVR,1903,10/31/2008,N,4.653
IN WEST MANHATTAN,1956,11/9/2007,FO,4.895
IN WEST MANHATTAN,1954,10/19/2007,FO,5.133
NORTH OF QUEENSBORO BR,1941,5/2/2008,SD,4.746
OVER HARLEM RV NR HIGH BR,1895,11/30/2007,N,3.972
MIDTOWN MANHATTAN,1919,11/19/2008,SD,4.117
IN MANHATTAN,1873,12/31/2008,FO,4.647
95I OVER HUDSON RIVER,1962,5/29/2007,FO,4.516
CENTER OF CENTRAL PARK,1900,2/15/2008,FO,5.056
SE END OF CENTRAL PARK,1900,2/6/2008,FO,4.5
N END OF CENTRAL PARK,1900,2/11/2008,N,4.5
E END OF CENTRAL PARK,1900,2/28/2008,SD,4.3
SE END OF CENTRAL PARK,1905,3/5/2008,FO,4.667
IN CENTRAL PARK,1920,3/7/2008,FO,4.6
IN CENTRAL PARK,1920,3/23/2008,FO,3.967
4.4 MI NE FDR DR+ROUTE 25,1963,3/16/2008,FO,4.458
EAST RIVER SHORE,1985,11/30/2007,FO,4.075
IN FORT TRYON PARK,1920,3/3/2008,FO,4.333
MANHATTAN,1936,9/30/2008,FO,3.576
MANHATTAN,1956,6/13/2008,SD,3.736
0.2 MI EAST JCT 95I & 9,1931,7/6/2007,FO,5.154
IN WEST MANHATTAN,1951,12/13/2007,FO,4.608
IN WEST MANHATTAN,1942,12/13/2007,FO,5.016
79 ST BOAT BASIN,1935,7/13/2007,FO,4.565
0.2 MI W OF 95I & RTE 9,1962,6/15/2007,FO,4.887
1.6MI NE FDR DR&BKLYN BR,1953,3/9/2008,SD,3.455
SE JCT 95I & RTE 9A,1960,7/25/2007,FO,4.594
800 FT SO OF GWB,1960,5/30/2007,FO,4.097
95I OVER HUDSON RIVER,1962,8/8/2007,FO,4.972
SOUTH BOUND RAMP FROM ,1960,,FO,4.125
800 FT S OF GEO WASHTN BR,1960,7/25/2007,FO,4.258
NORTHERN MANHATTAN,1962,7/17/2007,FO,4.264
800 FT S OF GEO WASHTN BR,1960,8/30/2007,FO,4.177
I95 OVER HUDSON RIVER,1960,7/19/2007,FO,4.21
HENRY HUDSON PARKWAY,1931,9/18/2007,FO,3.597
500 FT S OF GEO WASHTN BR,1960,5/30/2007,FO,4.653
HENRY HUDSON PARKWAY,1931,9/21/2007,FO,3.681
IN WEST MANHATTAN,1956,12/14/2007,FO,4.695
I95 OVER HUDSON RIVER,1962,9/21/2007,FO,4.136
IN ISHAM PARK,1935,7/7/2008,N,6.261
OVER HARLEM RV IN HARLEM,1907,10/30/2008,FO,4.833
AT RANDALLS ISLAND,1967,10/15/2008,FO,2.815
278I MANHATTAN TO BRONX,2002,8/29/2008,N,5.815
2 M SOUTH OF G W BRIDGE,1989,4/3/2008,FO,4.962
AT JCT US 9 & I95,1962,6/12/2007,N,4.778
ON & OFF RAMP TO BKLYN BT,1946,12/17/2007,FO,5.033
MIDTOWN MANHATTAN,1917,11/8/2008,FO,4.597
IN MIDTOWN MANHATTAN,1920,8/23/2008,FO,4.865
IN MIDTOWN MANHATTAN,1920,8/23/2008,FO,4.514
BROOKLYN BR OVER EAST RVR,1956,4/9/2008,FO,4.167
AT BROOKLYN BR.OVER E.RVR,1964,3/17/2008,SD,3.814
BROOKLYN BR OVER EAST RVR,1955,3/4/2008,FO,5.338
AT RANDALLS ISLAND,1967,6/30/2008,FO,3.672
95I OVER HUDSON RIVER,1931,8/27/2007,FO,3.681
95I OVER HUDSON RIVER,1931,8/28/2007,FO,4.015
500 FT S OF GEO WASH BR,1960,6/12/2007,FO,4.408
4.4 MI NE FDR DR+ROUTE 25,1963,5/22/2007,FO,4.986
JCT I87+I95,1961,12/15/2008,SD,4.734
JCT I87+I95,1961,11/9/2007,FO,4.569
JCT I87+I95,1961,12/23/2008,FO,4.722
JCT OF FDR DRIVE + 91 ST,1941,4/3/2008,FO,4.132
JCT I87+I95,1961,11/18/2008,SD,3.78
JCT I87+I95,1961,12/23/2008,FO,4.422
RAMP HRD TO TMX,1939,12/30/2008,SD,3.417
JCT I87+I95,1961,12/22/2008,FO,4.284
AT RANDALLS ISLAND,1967,6/16/2008,SD,3.791
N RIVERSIDE DR & 145TH ST,1930,6/29/2007,N,5
OVER ST CLAIR PL-TO 134ST,1897,8/6/2007,FO,4.5
WEST MANHATTAN,1920,2/8/2008,FO,4.767
RIVERSIDE DRIVE,1908,6/29/2007,FO,4.64
IN NW MANHATTAN,1908,11/16/2007,FO,3.75
IN WEST MANHATTAN,1920,7/19/2007,FO,5.559
RIVERSIDE DR BET 69&72 ST,2000,7/2/2007,N,6.153
2.5 M SOUTH OF G.W.BRIDGE,1989,4/3/2008,FO,5.657
.9 MI NE JCT FDR &BATTERY,1954,2/20/2008,FO,4.701
AT JCT US 9 & 95I,1962,6/12/2007,N,4.981
0.15MI E OF 95I & US 9,1959,7/6/2007,FO,4.75
MADISON AVE AT HARLEM RVR,1960,4/18/2008,FO,5.225
OVER HARLEM RV IN HARLEM,2005,10/9/2008,N,6.746
MANHATTAN,1936,9/25/2008,SD,3.288
BROOKLYN BR OVER EAST RVR,1955,5/17/2007,FO,4.906
S OF GEORGE WASHINGTON BR,1930,4/11/2008,FO,5.048
BROOKLYN BR OVER EAST RVR,1970,5/18/2007,FO,4.549
BROOKLYN BR OVER EAST RVR,1968,5/4/2007,FO,5.141
NE END OF CENTRAL PARK,1900,2/8/2008,FO,4.182
ON RANDALLS ISLAND,1936,10/24/2008,SD,2.667
IN MANHATTAN,1950,2/14/2008,FO,5.133
0.6MI SW JCT EAST R &495I,1939,6/7/2007,FO,5.261
IN MIDTOWN MANHATTAN,1950,7/13/2008,FO,5.078
IN WEST MANHATTAN,1935,10/19/2007,FO,4.781
IN WEST MANHATTAN,1935,10/19/2007,FO,4.906
IN SW END OF CENTRAL PK,1950,2/5/2008,FO,4.9
0.10MI E OF 95I & US 9,1959,7/6/2007,FO,4.319
OVER 134TH ST- RIV DR VIA,1935,11/30/2007,N,4.87
AT HARLEM,1935,2/22/2008,SD,4.37
WEST 158TH STREET,1996,11/28/2007,FO,6.319
AT WASHINGTON HEIGHTS,1940,2/17/2008,FO,4.5
OVER HARLEM RV NR FORDHAM,1904,9/22/2008,FO,5.333
IN WEST MANHATTAN,1910,12/29/2008,SD,3.619
IN WEST MANHATTAN,1956,10/19/2007,FO,4.711
IN WEST MANHATTAN,1939,3/21/2008,FO,4.611
IN WEST MANHATTAN,1939,7/3/2007,FO,4.75
IN WEST MANHATTAN,1956,10/19/2007,FO,4.958
W34TH ST-30TH ST O/AMTRAK,1934,7/3/2007,FO,4.597
IN WEST MANHATTAN,1956,10/19/2007,FO,5.278
W 35TH & AMTRAK 30TH ST B,1934,12/5/2008,SD,4.141
W 36TH - 30TH ST BRCH CSX,1934,12/15/2008,FO,4.015
IN WEST MANHATTAN,1956,10/19/2007,FO,4.792
IN MANHATTAN,1934,12/17/2007,FO,6.27
IN WEST MANHATTAN,1956,10/19/2007,FO,5.172
IN WEST MANHATTAN,1934,4/2/2008,SD,4.154
IN WEST MANHATTAN,1934,12/5/2008,SD,4.196
IN WEST MANHATTAN,1936,11/8/2007,FO,4.594
IN WEST MANHATTAN,1935,12/5/2008,SD,4.014
IN MANHATTAN,1935,12/29/2008,FO,4.388
IN MANHATTAN,1934,12/22/2008,FO,4.619
IN W MANHATTAN,1934,3/18/2008,FO,4.662
IN W MANHATTAN,1934,3/18/2008,FO,4.662
IN SW MANHATTAN,1934,3/19/2008,FO,5.662
IN MANHATTAN,1934,3/19/2008,FO,4.412
IN MANHATTAN,1934,3/21/2008,FO,4.721
IN MANHATTAN,1934,3/24/2008,FO,4.618
IN MANHATTAN,1934,4/2/2008,FO,4.426
IN WEST MANHATTAN,1934,4/4/2008,FO,4.574
IN MANHATTAN,1934,4/11/2008,FO,4.868
IN MANHATTAN,1934,4/7/2008,FO,5.015
IN MANHATTAN,1936,4/7/2008,FO,5.029
IN MANHATTAN,1935,4/8/2008,FO,5.476
IN MANHATTAN,1935,4/10/2008,FO,5.382
AT WEST MANHATTAN,1935,4/10/2008,FO,5.618
IN MANHATTAN,1934,4/11/2008,FO,4.765
IN MANHATTAN,1934,4/11/2008,FO,4.706
W68ST E PF ROVERSODE DRVE,2000,11/27/2007,N,6.78
W70 ST E OF RIVERSIDE DRS,2000,12/13/2007,N,6.528
95I OVER HUDSON RIVER,1962,5/30/2007,FO,4.677
SW END OF CENTRAL PARK,1900,1/22/2008,N,4.667
IN CENTRAL PARK,1920,2/7/2008,FO,5
SW END OF CENTRAL PARK,1900,1/28/2008,N,5.4
CENTER OF CENTRAL PARK,1900,2/6/2008,FO,5.636
IN CENTRAL PARK,1920,4/25/2008,FO,4.383
SW END OF CENTRAL PARK,1900,3/3/2008,FO,4.967
IN CENTRAL PARK,1920,3/7/2008,SD,4.167
IN CENTRAL PARK,1920,2/28/2008,FO,4.8
IN CENTRAL PARK,1920,3/23/2008,FO,4.3
OVER HARLEM RVR IN HARLEM,1901,12/5/2008,SD,3.292
