year,ProdWage,UnskillWage,GDPpc,RelWage,Urbanization,Age20_29,RelDebt,Distrust,elite,epsilon,PSI
1983,11.22,7913.85,15083.66,1.4877025867727063,74.33037158,18.39605684856292,39.91122050585639,63.8092579,,,
1984,11.78,8201.54,16628.6,1.4168360535462998,74.53291845,18.329591313484084,42.30496832786385,63.34287801,,,
1985,12.5,8484.52,17682.99,1.4137880528123354,74.75154912,18.150518578762767,46.13969451096621,62.9291804,,,
1986,12.9,8647.23,18531.01,1.392260864356557,74.96983033,17.851750766375115,47.65145662653304,63.38081856,,,
1987,13.05,8838.23,19503.96,1.3381897829979144,75.17143166,17.44904099068443,49.62158793598513,63.88671181,,,
1988,13.58,9175.44,20812.78,1.3049674286664252,75.34466691,17.02474013148908,51.022227903693825,64.41195726000001,,,
1989,14.0,9484.36,22160.02,1.2635367657610417,75.48453525,16.62951799024812,52.122926615712956,64.91602424,,,
1990,14.41,9878.16,23185.21,1.2430338133663659,75.59189104,16.281404721622586,55.741978312214464,65.36452581,,,
1991,14.93,10255.46,23634.68,1.2633976850966462,75.83266523,15.960272403006728,61.16892828891373,66.62089117,,,
1992,15.63,10531.36,24685.7,1.266320177268621,76.1439864,15.533678342564611,64.08748649543541,68.02991127,,,
1993,16.12,10811.98,25616.06,1.2585854342939546,76.52590431,15.080267014067015,66.16505508894022,69.49476726,,,
1994,16.56,11099.67,26893.4,1.23152892531253,76.96532268,14.639942100779948,66.2331325862361,70.9024168,,,
1995,16.66,11446.31,27813.33,1.197986720755839,77.43509805,14.305732350598015,67.08272621953687,72.15642826,,,
1996,16.84,11842.48,29062.27,1.1588908918677034,77.8994922,14.05113456969664,66.65574968425082,71.78780229,,,
1997,18.12,12255.15,30526.31,1.187172638946535,78.32434907,13.906362627979096,64.9650282151601,71.37408418,,,
1998,18.18,12681.97,31842.74,1.1418615357849229,78.68636083,13.803326963916607,62.84406674248024,70.94363231,,,
1999,18.75,13097.0,33485.72,1.1198803549692227,78.97660132,13.714562867504048,60.4722392901053,70.52966455,,,
2000,19.36,13597.0,35236.78,1.0988518247127008,79.19814789,13.603949383632512,57.01833894387781,70.16060984,,,
2001,19.36,14428.0,36049.56,1.0740769096765677,79.44693785,13.60473999960079,56.45875055900138,70.29869182,,,
2002,21.02,14655.0,36935.37,1.138204382411764,79.75613283,13.541403137800131,58.52343948206685,70.45382526,,,
2003,21.54,15146.0,38309.75,1.1245179099315448,80.11743286,13.528956282645309,60.87927769451001,70.61541399000001,,,
2004,23.07,15146.0,40385.76,1.1424819045128778,80.51042815,13.546968137274568,62.1770673587354,70.7709887,,,
2005,23.92,15448.0,42612.3,1.1226805405950864,80.90594433,13.622209459945418,62.766726800860866,70.90982854,,,
2006,24.37,15826.0,44732.02,1.0895997989806856,81.27406526,13.674681689538245,63.490062617080504,71.52844947,,,
2007,25.07,16166.0,46448.8,1.0794681455710373,81.59258332,13.757548608538961,63.98569358413366,72.22518923999999,,,
2008,25.87,17110.0,46883.36,1.1035898450964265,81.85124473,13.81022079381261,69.41640007201518,72.95287139999999,,,
2009,26.15,17148.0,45332.59,1.1536953877993736,82.05069205,13.86570939069608,83.54061011622932,73.65535833999999,,,
2010,26.44,16770.0,46843.66,1.128861408352806,82.19842346,13.9056224678998,93.53537164888371,74.28385012,,,
2011,26.88,17034.0,48372.0,1.111386752666832,82.30567773,13.924227298898376,98.10715257002991,74.2519346,,,
2012,27.15,17790.0,,,82.41604955,13.912631493092066,102.43191497500766,74.21574588,,,
2013,,,,,82.51604954999999,13.862754075527217,,,,,
2014,,,,,82.61604954999999,13.816745032414177,,,,,
2015,,,,,82.71604954999998,13.74393434363277,,,,,
2016,,,,,82.81604954999997,13.653187932703561,,,,,
2017,,,,,82.91604954999997,13.54522729402355,,,,,
2018,,,,,83.01604954999996,13.415348452641886,,,,,
2019,,,,,83.11604954999996,13.274121519625062,,,,,
2020,,,,,83.21604954999995,13.107775606876737,,,,,
