losingstate	loseccode	gainingstate	gainccode	year	homelandclaim	midat	midpost	cincrat	cowwar	dyaddem	priormid	tcprior45	cwprior	access	oil_gas	coethnicity	coethnic_1	alliance	allydummy	nondemdyad	dyaddem6	decade	borderorigin	violenttransfer	region	dyadid4	regionfe_region_decade	reciprocal_claim_zero	five_year_region	arab_homeland_yes	loseentry_alt	material_value	homeland_not_instrumental	fe_region_decade_alt_region	no_united_germany	no_divided_germany	no_germany	palestine_homeland	potato_dominant	potato_dominant_group	potato_dominant_source	colony2	capital_distance_log	highost45	huth_conflict	origin_treaty	origin_prior_admin	origin_prior_col	origin_prior	origin_icj	origin_war	origin_decol	colony3	homelandclaim_stateonly	high_dfbeta_midpost	high_dfbeta_violentmid	high_dfbeta_war
"Russia/USSR"	365	"Japan"	740	1945	0.0	1.0	1.0	0.6909336	0.0	0.0	1.0	1.0	1.0		0	0		2	1.0	1.0	0.0	40.0	5.0	1.0	6.0	740365.0	7.0	0.0	12.0	0.0	0.0	0.0	0.0	25.0				0.0				0.0	8.815964	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"Japan"	740	"USSR/Russia after 1991"	365	1945	1.0	1.0	1.0	0.3090664	0.0	0.0	1.0	1.0	1.0		0	0	0.0	2	1.0	1.0	0.0	40.0	5.0	1.0	6.0	740365.0	31.0	0.0	56.0	1.0	0.0	0.0	1.0	25.0				1.0				0.0	6.859615	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0			
"Italy"	325	"Greece"	350	1947	0.0	0.0	0.0	0.84614885	0.0	1.0	1.0	0.0	1.0		0	0	0.0	4	0.0	0.0	1.0	40.0	5.0	1.0	2.0	350325.0	7.0	0.0	12.0	0.0	0.0	0.0	0.0	7.0				0.0	0.0		"L'Europe: Ethnique et Linguistique, 1917"	0.0	6.505784	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"Greece"	350	"Italy"	325	1947	0.0	0.0	0.0	0.15385117	0.0	1.0	1.0	0.0	1.0		0	0		4	0.0	0.0	1.0	40.0	5.0	1.0	2.0	350325.0	7.0	0.0	12.0	0.0	0.0	0.0	0.0	7.0				0.0	0.0	"Greeks"	"L'Europe: Ethnique et Linguistique, 1917"	0.0	6.2245584	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"Italy"	325	"Yugoslavia (Slovenia/Croatia)"	345	1947	1.0	0.0	1.0	0.7555773	0.0	0.0	1.0	1.0	1.0	3.5	0	1		4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	345325.0	7.0	1.0	12.0	1.0	0.0	0.0	1.0	7.0				1.0	1.0	"Italians"	"L'Europe: Ethnique et Linguistique, 1917"	0.0	5.7170277	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0			
"Yugoslavia (Slovenia and Croatia after 1992)"	345	"Italy"	325	1947	1.0	0.0	1.0	0.24442267	0.0	0.0	1.0	1.0	0.0	3.5	0	0	0.0	4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	345325.0	7.0	1.0	12.0	1.0	0.0	0.0	1.0	7.0				1.0	1.0	"Slovenes"	"Atlas of Central Europe"	0.0	6.2709885	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0			
"Italy"	325	"Somalia"	520	1960	0.0	0.0	0.0	0.9862704	0.0	1.0	0.0	0.0	1.0		1	0	0.0	4	1.0	0.0	1.0	60.0	6.0	0.0	6.0	520325.0	33.0	0.0	59.0	0.0	0.0	1.0	0.0	33.0				0.0				1.0	8.413831	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Somalia"	520	"Italy"	325	1960	0.0	0.0	0.0	0.013729579	0.0	1.0	0.0	0.0	0.0		1	0		4	1.0	0.0	1.0	60.0	6.0	0.0	6.0	520325.0	33.0	0.0	59.0	0.0	1.0	1.0	0.0	33.0				0.0				1.0	8.5105715			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Romania"	360	"USSR(Ukraine after 1991)"	365	1947	1.0	0.0	1.0	0.03245292	0.0	0.0	1.0	1.0	1.0	4.0	1	0	0.0	4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	365360.0	7.0	0.0	12.0	1.0	0.0	1.0	0.0	31.0				1.0	1.0	"Romanians"	"Atlas of Central Europe"	0.0	5.3082676	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0			
"USSR(Ukraine after 1991)"	365	"Romania"	360	1947	0.0	0.0	1.0	0.96754706	0.0	0.0	1.0	1.0	1.0	4.0	1	0	0.0	4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	365360.0	7.0	0.0	12.0	0.0	0.0	1.0	0.0	31.0				0.0	1.0	"Russians, Ukrainians, Ruthenians"	"Atlas of Central Europe"	0.0	7.004882	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"USSR (Russia after 1991)"	365	"Finland"	375	1947	0.0	0.0	1.0	0.9880906	0.0	0.0	1.0	1.0	1.0	4.0	0	1		4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	375365.0	7.0	0.0	12.0	0.0	0.0	0.0	0.0	31.0				0.0	0.0		"L'Europe: Ethnique et Linguistique, 1917"	0.0	6.6618547	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"Finland"	375	"USSR (Russia after 1991)"	365	1947	1.0	0.0	1.0	0.01190942	0.0	0.0	1.0	1.0	1.0	4.0	0	1	0.0	4	0.0	1.0	0.0	40.0	5.0	1.0	2.0	375365.0	7.0	0.0	12.0	1.0	0.0	1.0	0.0	31.0				1.0	1.0	"Western Finns"	"L'Europe: Ethnique et Linguistique, 1917"	0.0	5.0875964	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"United Kingdom"	200	"Kiribati"	946	1979	0.0	0.0	0.0	0.999893	0.0		0.0	0.0	1.0		0	0	0.0	4	1.0			70.0	6.0	0.0	6.0	946200.0	34.0	0.0	62.0	0.0	0.0	0.0	0.0	34.0				0.0				1.0	9.532279	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Kiribati"	946	"United Kingdom"	200	1979	0.0	0.0	0.0	1.06977E-4	0.0		0.0	0.0	0.0		0	0		4	1.0			70.0	6.0	0.0	6.0	946200.0	34.0	0.0	62.0	0.0	0.0	0.0	0.0	34.0				0.0				1.0	9.497022			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Egypt"	651	"Israel"	666	1949	0.0	1.0	1.0	0.8139585	1.0	0.0	1.0	0.0	1.0	2.5	1	0		4	0.0	1.0	0.0	40.0	5.0	1.0	3.0	666651.0	13.0	0.0	23.0	1.0	0.0	1.0	0.0	13.0				1.0	1.0	"Arab Muslims"		0.0	5.7589016	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"Israel"	666	"Egypt"	651	1949	1.0	1.0	1.0	0.18604147	1.0	0.0	1.0	0.0	0.0	2.5	1	0	0.0	4	0.0	1.0	0.0	40.0	5.0	1.0	3.0	666651.0	13.0	0.0	23.0	1.0	1.0	1.0	1.0	13.0				1.0	1.0	"Jews"		0.0	4.1743875	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0			
"Egypt"	651	"Israel"	666	1979	0.0	1.0	1.0	0.71114767	0.0	0.0	1.0	0.0	1.0	2.5	1	0		4	0.0	1.0	0.0	70.0	1.0	1.0	3.0	666651.0	16.0	0.0	29.0	1.0	0.0	1.0	0.0	16.0				1.0	1.0	"Arabs"	"ANM"	0.0	5.7430034	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
"Israel"	666	"Egypt"	651	1979	1.0	1.0	1.0	0.28885233	0.0	0.0	1.0	0.0	0.0	2.5	1	0	0.0	4	0.0	1.0	0.0	70.0	1.0	1.0	3.0	666651.0	16.0	0.0	29.0	1.0	0.0	1.0	1.0	16.0				1.0	1.0	"Jews"		0.0	4.6728287	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			
"India"	750	"Pakistan"	770	1949	1.0	1.0	1.0	0.8190294	1.0	0.0	1.0	0.0	0.0	4.0	0	0	0.0	4	0.0	1.0	0.0	40.0	3.0	1.0	5.0	770750.0	25.0	1.0	45.0	1.0	0.0	0.0	1.0	25.0				1.0				0.0	5.8833222	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0			
"Pakistan"	770	"India"	750	1949	1.0	1.0	1.0	0.18097064	1.0	0.0	1.0	0.0	0.0	4.0	0	0	0.0	4	0.0	1.0	0.0	40.0	3.0	1.0	5.0	770750.0	25.0	1.0	45.0	1.0	0.0	1.0	1.0	25.0				1.0				0.0	5.5012584	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0			
"India"	750	"Sri Lanka"	780	1948	0.0	0.0	1.0	0.9835563	0.0	1.0	0.0	0.0	0.0		0	1	0.0	4	0.0	0.0	1.0	40.0	3.0	0.0	5.0	780750.0	25.0	0.0	45.0	0.0	0.0	0.0	0.0	25.0				0.0				0.0	7.650645	1.0		0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0			
"Sri Lanka"	780	"India"	750	1948	0.0	0.0	1.0	0.016443703	0.0	1.0	0.0	0.0	0.0		0	1	0.0	4	0.0	0.0	1.0	40.0	3.0	0.0	5.0	780750.0	25.0	0.0	45.0	0.0	1.0	1.0	0.0	25.0				0.0				0.0	5.5373344	1.0		0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0			
"Poland"	290	"USSR(Ukraine after 1991)"	365	1951	0.0	0.0	1.0	0.07608166	0.0	0.0	1.0	1.0	1.0	4.0	1	0	0.0	1	1.0	1.0	0.0	50.0	5.0	1.0	2.0	365290.0	8.0	0.0	13.0	0.0	0.0	1.0	0.0	32.0				0.0	1.0	"Poles"	"Atlas of Central Europe"	0.0	5.2574954	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"USSR(Ukraine after 1991)"	365	"Poland"	290	1951	0.0	0.0	1.0	0.92391837	0.0	0.0	1.0	1.0	1.0	4.0	1	0	0.0	1	1.0	1.0	0.0	50.0	5.0	1.0	2.0	365290.0	8.0	0.0	13.0	0.0	0.0	1.0	0.0	32.0				0.0	1.0	"Russians, Ukrainians, Ruthenians"	"Atlas of Central Europe"	0.0	6.8243737	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"France"	220	"Congo (B)"	484	1960	0.0	0.0	1.0	0.9981677	0.0	0.0	0.0	0.0	1.0		1	0	0.0	1	1.0	1.0	0.0	60.0	6.0	0.0	6.0	484220.0	33.0	0.0	59.0	0.0	0.0	1.0	0.0	33.0				0.0				1.0	8.538759	1.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Congo (B)"	484	"France"	220	1960	0.0	0.0	1.0	0.001832292	0.0	0.0	0.0	0.0	0.0		1	0		1	1.0	1.0	0.0	60.0	6.0	0.0	6.0	484220.0	33.0	0.0	59.0	0.0	1.0	1.0	0.0	33.0				0.0				1.0	8.579416			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"France"	220	"Comoros"	581	1975	0.0	0.0	1.0	0.99943596	0.0	0.0	0.0	0.0	1.0		0	0	0.0	4	1.0	1.0	0.0	70.0	6.0	0.0	6.0	581220.0	34.0	0.0	62.0	0.0	0.0	0.0	0.0	34.0				0.0				0.0	8.959954	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
