Name	Manufacturer	Mfr	Hot/Cold	Calories	Protein	Fat	Sodium	Fiber	Complex Carbos	Tot Carbo	Sugars	Calories fr Fat	Potassium	Enriched	Wt/serving	cups/serv	Fiber Gr
Puffed Wheat	Quaker Oats	Q	C	50	2	0	0	1	10	11	0	0	15	0	12	1.25	 Low
Quaker Oat Bran	Quaker Oats	Q	C	210	7	3	210	6	28	43	9	25	250	25	57	1.25	High
Quaker Oat Squares 	Quaker Oats	Q	C	220	7	2.5	260	4	30	43	9	25	230	25	56	1	 Medium
Quaker Oatmeal	Quaker Oats	Q	H	150	5	3	0	4	22	27	1	25	0	0	40	0.5	 Medium
Quaker Oatmeal Squares	Quaker Oats	Q	C	220	7	2.5	260	4	30	43	9	25	230	25	56	1	 Medium
Raisin Bran Two Scoops	Kelloggs	K	C	200	6	1.5	390	6	23	47	18	15	350	25	61	1	High
Raisin Nut Bran	General Mills	G	C	200	4	4	250	5	20	41	16	35	230	25	55	0.75	 Medium
Rice Chex	General Mills	G	C	120	2	0	290	0	25	27	2	0	35	25	31	1.25	 Low
Rice Krispies	Kelloggs	K	C	120	2	0	350	0	26	29	3	0	40	25	33	1.25	 Low
Shredded Wheat 'n'Bran	Nabisco	N	C	200	7	1	0	8	38	47	1	5	250	20	59	1.25	High
Shredded Wheat (2 bsquit)	Nabisco	N	C	160	5	0.5	0	5	33	38	0	5	200	15	46	1	 Medium
Shredded Wheat spoon size	Nabisco	N	C	170	5	0.5	0	5	36	41	0	5	200	15	49	1	 Medium
Smacks	Kelloggs	K	C	100	2	0.5	50	1	8	24	15	5	40	25	27	0.75	 Low
Smart Start	Kelloggs	K	C	180	3	0.5	310	2	26	43	15	5	100	100	50	1	 Medium
Special K	Kelloggs	K	C	110	6	0	220	1	18	23	4	0	60	35	31	1	 Low
Toasted Oatmeal	Quaker Oats	Q	C	190	5	2.5	220	3	25	39	11	25	180	25	49	1	 Medium
Total Corn Flakes	General Mills	G	C	110	2	0	200	0	23	26	3	0	30	100	30	1.33	 Low
Total Whole Grain	General Mills	G	C	110	3	1	200	3	16	24	5	10	100	100	30	0.75	 Medium
Trix	General Mills	G	C	120	1	1.5	200	1	12	26	13	15	20	25	30	1	 Low
Waffle Crisp	Post	P	C	130	2	3	120	0	13	24	11	25	30	25	30	1	 Low
Wheat Chex	General Mills	G	C	180	5	1	420	5	31	41	5	10	200	25	50	1	 Medium
Wheaties	General Mills	G	C	110	3	1	420	5	31	41	5	10	110	25	30	1	 Medium
