Y,x1,x2,x3,x4,x5,x6
-1.6647,-0.47775,-0.032452,0.11717,-0.18512,-0.55909,1.2035
-1.6626,-1.2605,0.10586,-0.80265,-0.3185,0.64087,1.7193
-1.4911,0.39695,-0.20011,-0.13367,0.38195,0.93863,-1.1988
-1.4623,0.58255,-1.0792,-0.092777,0.051755,0.9489,-0.23907
-1.4336,0.9829,-0.75173,1.8552,-0.65758,-1.4331,0.1357
-1.4048,0.49367,-0.56693,-0.74993,-0.34969,-0.33374,1.7335
-1.3761,0.2036,-0.43509,-0.87636,0.60025,-0.41259,1.1517
-1.3473,0.56863,-0.45115,1.0206,-1.0718,-0.45199,0.53949
-1.3186,-0.31462,1.745,-1.4786,-0.97499,-0.079024,1.3835
-1.2898,-0.37659,1.102,1.425,-0.024649,-1.0194,-0.95037
-1.2898,-0.98168,-0.25057,-0.57074,0.28006,1.2951,0.41019
-1.5111,-1.6753,2.0917,-0.42122,-0.92319,1.6087,-0.4761
-1.2595,-0.030734,-1.6365,0.67274,0.38658,0.81629,-0.078697
-1.5311,1.2497,0.71402,0.62163,-1.1026,0.28163,-1.568
-1.2292,1.2571,0.51492,0.75997,0.60822,-0.23103,-2.7157
-1.5311,-0.87825,-3.1326,-1.2532,-0.97765,0.97871,5.449
-1.2155,-0.44296,-0.23771,1.2614,-0.29436,-1.0725,0.9532
-1.5174,-1.5566,0.044645,0.92167,-2.8752,1.1541,2.4543
-1.3848,-1.5619,-0.41503,0.49128,-0.36095,0.49303,1.5229
-1.2018,0.12975,-0.18613,0.12954,0.80838,0.47949,-1.1467
-1.5037,-1.2771,-0.70984,-0.36657,0.12095,1.4519,0.97892
-1.3694,1.8205,-0.56185,-2.4567,1.324,0.57028,-0.3474
-1.1881,-1.5817,0.92085,-1.8217,0.78167,0.53827,1.4725
-1.49,-0.16468,1.0442,-1.4889,-0.64171,0.23067,1.3397
-1.1881,0.67825,1.5269,1.9589,-1.7203,-0.57797,-1.6688
-1.4597,-1.4111,1.1713,-0.94059,-0.77752,0.76588,1.4719
-1.2081,0.30689,0.99266,0.37159,-0.60154,-0.87628,0.069809
-1.4294,-0.45604,0.68322,0.65567,0.81016,-0.0073883,-1.4572
-1.3917,-0.093055,0.63033,0.1164,0.36524,-0.45105,-0.30545
-1.354,0.62476,-1.5915,0.19044,0.55271,-0.33566,0.79128
-1.2785,-1.0601,0.82485,-2.0511,0.054112,0.93094,1.6309
-1.2533,2.0486,0.41635,-0.80353,0.32407,0.3211,-1.9934
-1.2282,-0.38713,-0.43673,2.0603,0.046703,-1.0112,-0.1062
-1.3585,-0.37338,2.3577,-0.38074,-1.2477,-1.106,1.1885
-1.3565,-0.87629,-0.1695,1.0139,0.39588,0.82591,-0.88437
-1.3544,-1.0992,-1.2435,-0.88858,-0.019107,1.5584,2.0542
-1.0791,0.2232,0.11331,-0.80524,-0.51506,-0.47185,2.1535
-1.0791,1.5984,0.96882,-0.14665,0.66603,1.062,-3.4742
-1.0517,-0.50179,-0.95606,0.35423,-0.66007,0.084494,2.2934
-1.0242,-0.16415,0.14743,0.18949,-1.9325,-0.98093,3.3993
-0.99676,0.01715,1.2559,0.37557,0.81726,-1.3014,-0.4927
-0.96932,0.62466,-1.9583,1.167,0.39703,-0.063875,0.41117
-0.94187,-0.6116,1.4264,-2.0966,-0.47854,-2.8356,5.3954
-0.91442,-0.50117,-0.59439,0.18025,-0.64818,1.6868,0.48062
-0.88698,1.7721,-1.3195,1.4276,0.87763,-0.94225,-1.2141
-0.85953,0.67573,0.81847,-0.7805,1.413,0.45181,-1.8809
-0.83208,-0.44788,-0.44822,0.72076,1.0101,0.8952,-1.1368
-0.80463,-0.21312,-0.6104,1.2263,-0.91996,0.064335,1.0377
-0.77719,1.1385,1.6644,-1.7107,1.2535,-0.66422,-0.90839
-1.0489,0.84337,0.1445,-0.90781,2.3726,-1.8797,0.15819
-1.0186,2.1609,-0.80265,-1.2456,-2.6085,2.1825,1.0076
-0.98836,-0.69275,-1.0592,0.32728,0.41681,-1.7565,3.4104
-0.95811,-0.1359,0.4032,-1.0436,-1.5397,1.4939,1.5138
-0.92786,-0.41026,0.55445,-0.5136,1.0909,0.80011,-0.8432
-0.89761,-0.7796,1.1051,1.5637,1.0205,-1.0791,-1.2093
-0.86736,-0.207,0.1827,0.36539,-0.69008,-0.27074,1.2788
-0.83711,-1.0132,1.9709,-0.5607,0.89137,1.4458,-2.0402
-0.80686,-0.16814,0.0084027,-1.3631,-0.67451,0.18517,2.744
-0.77662,1.1015,-0.58116,0.3665,-0.084073,-0.27624,0.14399
-0.74637,0.22885,-0.066004,1.268,0.44652,0.421,-1.6776
-0.74637,-0.57466,-0.4144,0.33686,0.77361,1.0795,-0.56362
-0.77101,-0.60697,-0.39496,0.888,0.61659,-0.85416,0.99558
-0.79566,0.36257,0.60655,-1.1452,1.0508,-0.56567,0.44909
-0.8203,0.96351,-1.1752,0.049855,0.13418,0.22047,0.48476
-0.84495,-0.66342,0.75248,0.46559,1.4837,0.1656,-1.5319
-0.86959,-0.48451,0.63932,1.4197,1.1935,-0.77862,-1.3421
-0.89424,0.48621,0.27717,0.75743,-0.029532,-1.0123,0.2104
-0.91888,-0.89764,-2.5613,-1.0964,-1.5346,0.14476,6.6444
-0.94353,-0.037293,0.51496,0.76964,0.066384,0.56516,-1.2101
-0.96817,-0.20455,0.39331,0.11998,0.39782,-1.2913,1.308
-0.99282,0.54879,0.083972,0.67932,0.022906,1.6566,-2.329
-1.0175,0.0014238,0.28703,1.2978,1.4418,0.16661,-2.539
-1.0175,0.41996,-0.042108,1.3511,1.3021,-0.55012,-1.8172
-0.99002,0.39107,1.5777,-0.24152,1.4186,-0.7288,-1.6566
-0.96257,-1.0951,-1.5503,0.35863,-0.96224,-0.58542,4.5039
-0.93512,-0.70997,-1.4184,1.0166,2.0134,0.78401,-1.0611
-0.90768,-0.23176,-1.3064,-0.3301,-1.2644,0.051135,3.786
-0.88023,1.2877,-0.91893,0.19479,0.16266,-0.66354,0.65134
-0.85278,0.76088,0.71869,-0.51872,-1.2307,0.21353,0.80874
-0.82533,1.1373,-0.0016987,0.56019,0.45863,-0.71304,-0.73082
-0.79789,0.17981,0.79434,-0.79848,-0.16104,0.12723,0.61767
-0.77044,-1.1571,-0.19749,1.4292,-0.50413,0.042654,1.0193
-0.74299,0.52094,0.31478,-0.3351,-1.9909,-0.20254,2.4349
-0.71555,1.1568,2.2391,-0.37601,-0.62084,0.14195,-1.7667
-0.92501,-0.71241,1.9213,1.483,-0.2101,-0.036459,-1.6853
-0.89756,0.5323,-0.75073,0.89413,0.25285,-0.26623,0.10066
-0.87011,-0.74946,-0.33856,-1.0531,1.7505,0.050727,1.1742
-0.84266,-0.079765,-1.4483,-0.7062,-0.040626,0.79971,2.2757
-0.81522,-0.64808,-0.43332,-0.10612,-1.0705,-1.4836,4.5586
-0.78777,0.973,-1.3892,0.20655,0.43152,0.92512,-0.37579
-0.77405,-0.29955,-0.23926,0.91463,1.5153,0.5934,-1.7379
-0.76032,0.14798,-0.15973,0.30682,-0.34607,0.89541,-0.067585
-0.73287,1.7785,-0.013105,0.04438,0.96932,0.30583,-2.2679
-0.70543,-1.566,0.21523,-1.3429,-0.13343,-2.0459,5.7511
-0.67798,-0.46431,-1.7759,-0.64744,-0.079175,0.62928,3.1286
-0.65053,0.61738,-0.58881,2.3531,0.88846,1.2118,-3.8019
-0.62309,-1.9416,-1.1998,-0.4442,-0.79984,-0.10745,5.2779
-0.62309,0.70498,0.88706,-1.537,-1.8831,-0.50452,3.2346
-0.91268,2.9447,-0.14262,0.47162,-1.192,0.4831,-1.7437
-0.61076,0.29847,0.7227,-0.70104,-1.4492,1.1861,0.78813
-0.76035,-0.50777,0.90137,0.59949,1.3452,-0.83519,-0.69319
-0.90035,0.53853,-1.5527,-0.62605,0.63877,2.299,-0.493
-0.59843,0.16265,1.2139,1.1482,0.67198,1.0776,-3.4926
-0.74665,0.85164,-1.501,0.42411,0.48944,0.86206,-0.33969
-0.88802,-0.039684,0.96087,-0.17134,-0.7236,0.24609,0.58683
-0.5861,-0.32706,-0.59536,1.4459,-1.0768,-0.54451,1.8708
-0.73295,-0.8725,0.48753,-0.27142,-0.37048,0.97972,0.88703
-0.87569,0.25061,-1.0869,-2.52,-0.81389,1.1676,3.9365
-0.57377,-1.7481,0.82941,0.24345,0.08312,0.88381,0.52974
-0.86337,-0.81185,0.91086,1.0239,-0.8278,-0.49762,1.0348
-0.56145,1.1535,2.3002,0.8958,-0.39829,1.4475,-4.5458
-0.7709,0.25268,-0.29597,-1.1367,-0.47369,0.43422,2.2189
-0.74346,-0.55484,-0.89589,0.26347,0.0029662,1.669,0.41626
-0.71601,0.55022,-0.37535,0.59284,-0.17481,0.27614,0.058579
-0.68856,-1.0489,0.27813,-1.0547,-0.20211,-0.91118,3.9477
-0.66112,-1.0625,-0.66141,0.27413,-0.78594,1.1277,2.0147
-0.63367,-0.029858,1.3343,1.2424,1.25,0.96333,-3.8532
-0.60622,1.6186,-0.96572,1.6451,0.42398,-1.1519,-0.66507
-0.57877,0.26735,2.1161,-1.3845,-1.2952,-0.074429,1.4258
-0.55133,1.6191,-3.1876,-1.4438,1.2125,0.42643,2.3573
-0.52388,1.13,-1.2191,1.2848,-0.53785,-1.1442,1.3984
-0.49643,-0.93062,-0.13764,-0.33712,0.39045,0.10925,1.8627
-0.46899,0.55477,-1.6678,-0.071892,0.57949,1.0088,0.52272
-0.75858,-0.14697,-0.56004,-0.16037,0.25407,-0.077652,1.658
-0.74625,1.0931,1.5451,0.3517,-0.57679,0.66556,-2.086
-0.73392,-0.28167,0.57815,1.2546,-0.53996,-0.19996,0.13608
-0.72159,-0.59419,1.8743,-0.37929,0.83217,0.59245,-1.2907
-0.70926,1.5435,0.56493,-0.83106,0.63645,-1.6489,0.83993
-0.6168,-0.489,1.7567,-0.56671,-0.15004,-0.25302,0.86174
-0.58936,-0.12047,-0.64439,-1.1228,0.73647,0.81556,1.4714
-0.56191,0.571,-0.57571,0.50371,0.10029,1.8119,-1.352
-0.53446,-0.21711,-1.5323,-1.8869,0.30324,-0.44024,4.947
-0.50702,0.27678,-0.52587,-0.90818,0.48523,0.50671,1.3028
-0.47957,2.4434,2.0743,0.81081,-0.1413,0.70133,-4.7648
-0.45212,0.66455,0.85513,1.4018,-0.46285,2.3501,-3.7738
-0.42467,-0.82617,-0.64618,0.45454,0.3114,-1.3074,3.1033
-0.39723,1.4228,-1.5364,-1.9111,1.6088,-0.16067,1.765
-0.36978,-2.3186,-0.52716,-1.2958,2.5057,1.2646,1.4832
-0.34233,0.47848,0.42306,0.29768,1.6855,1.4605,-3.2591
-0.31488,1.5339,0.2934,-1.1611,1.0166,2.9104,-3.4532
-0.60448,0.58111,-0.042716,-1.93,0.4646,-0.70537,2.8557
-0.59215,0.49191,0.42429,-0.75002,-1.4028,-0.5479,2.9733
-0.57982,1.2512,-2.0077,0.3767,-0.84914,1.5375,0.78385
-0.56749,-0.75881,-0.27585,-0.21794,0.55988,-1.0528,2.9161
-0.55516,1.0323,0.18413,-1.9701,-0.040012,0.16501,1.899
-0.41238,1.5926,0.91598,-0.65311,-0.30704,-0.15341,-0.068407
-0.26142,0.72154,0.23815,0.26835,-0.91527,1.3914,-0.46053
-0.23626,-1.0716,0.37624,-0.054437,0.9828,-1.9444,2.9978
-0.2111,0.14161,-1.4922,-0.93728,0.56697,0.059837,2.9432
-0.43241,-1.0619,-0.91931,1.4616,-0.94371,-1.4845,4.1479
-0.28145,0.69989,-0.90682,1.5864,-0.064472,-0.94457,0.83617
-0.18081,-1.2234,0.79781,-0.86752,-1.2415,-0.51084,4.3582
-0.45243,-0.10481,0.18158,0.20281,0.85394,-2.3574,2.5236
-0.30147,0.21045,-0.23118,0.69746,0.64743,-1.8553,1.7992
-0.15051,0.156,0.57624,-0.28804,-0.40177,0.39169,0.85697
-0.45243,0.17256,-0.28726,-0.087359,0.45641,-1.2886,2.3275
-0.15051,0.29175,0.93201,0.3371,-0.17986,-0.33075,0.23064
-0.28777,0.40345,0.16905,-0.98566,1.2351,0.46905,0.038693
-0.43873,0.8536,-2.1418,-2.3951,1.3252,-0.19002,3.9198
-0.13681,1.1391,-0.45749,1.8796,0.5186,-0.56164,-1.3
-0.27408,0.47703,-0.82756,-1.1629,0.58331,-0.39946,2.6797
-0.42503,-0.39887,0.036366,0.07716,0.10405,0.6916,0.77254
-0.12312,1.7102,0.21619,-0.29189,0.059195,-0.76933,0.42325
-0.26038,-1.5565,0.000092492,-0.66238,0.021374,-0.076954,3.6007
-0.41134,0.79934,-0.45147,-0.8319,-0.64794,1.4716,0.9926
-0.26038,-1.2606,0.18664,-1.5049,-0.47115,-0.53165,4.9584
-0.10942,-1.1809,1.1528,0.23398,-0.34588,1.037,0.39571
-0.38104,-0.27298,0.35163,-0.90303,-0.80554,0.82894,2.1506
-0.2804,0.27125,1.3694,0.12141,0.60165,-0.73042,-0.28543
-0.12944,-0.26907,1.9722,2.9251,-0.19641,0.90296,-4.1307
-0.35074,0.1701,-0.25471,0.53394,-0.7285,-1.0937,2.6883
-0.32558,2.2116,1.0747,0.87864,2.1574,-0.28762,-4.7048
-0.30042,-1.7082,-0.81223,1.4454,0.62388,-0.11274,1.7936
-0.14946,0.3176,-0.44307,1.7657,0.48487,-0.5414,-0.33259
-2.4345,0.44215,0.65447,0.23729,0.4652,-1.743,-1.6718
-2.4058,0.2443,-0.86737,0.17913,-0.059801,0.38637,-1.5518
-2.377,2.0195,-0.22608,-2.825,-0.67427,0.002295,0.20301
-2.3483,-0.55671,0.16763,-0.98812,0.96438,-0.96108,-0.21858
-2.3195,-1.0269,-0.71224,0.51279,-0.83642,0.71539,-0.35306
-2.2908,1.0084,-0.15991,0.27173,-1.2997,0.73111,-2.2093
-2.262,-0.62938,-1.3363,1.2009,-0.36507,1.2405,-1.8542
-2.2333,1.9362,-1.1167,0.28412,-0.085239,0.34759,-3.0234
-2.2333,0.82108,-0.63018,-0.68504,-0.37274,1.1815,-1.9469
-2.4546,0.25727,-0.60723,-1.3284,-1.4871,-0.34927,1.9331
-2.203,-0.60736,-0.44849,-0.28002,-0.063234,-0.48411,0.24858
-2.4746,-0.59979,1.2279,-1.1292,0.076562,-0.12878,-1.0187
-2.1727,-0.54694,0.38425,-0.6294,0.67297,-0.86878,-0.60791
-2.4746,-0.54075,-0.86457,0.18618,-2.0134,-0.26628,1.8415
-2.159,0.5949,-0.586,-0.23909,0.31594,-2.425,0.76146
-2.4609,0.25704,0.40333,-0.93398,0.76831,0.69867,-2.7756
-2.1453,0.34291,-0.77688,-0.55793,1.2235,0.69495,-2.5288
-2.4472,0.45334,-0.77919,1.6866,0.69809,0.83976,-4.6002
-2.3683,1.1645,-1.3818,0.041406,1.2392,0.6242,-3.3113
-2.3866,0.5025,-1.4844,-0.62801,0.37656,-2.4694,2.1518
-2.1316,-1.589,0.56274,0.31344,0.13879,-1.1333,0.10576
-2.4335,-0.98967,0.54703,0.66258,0.25337,0.27676,-2.381
-2.1316,0.59685,-1.7132,-1.4346,0.55775,-0.44662,0.89575
-2.4049,0.49327,-1.2811,0.63372,-1.5359,-0.55562,0.62238
-2.4032,-1.4123,-0.50371,1.6134,1.6317,-0.23069,-2.7806
-2.1516,-0.43945,0.36361,-0.80262,-0.0070812,0.65488,-1.3324
-2.4232,0.15715,0.64175,-0.36368,-1.4998,1.0762,-1.5828
-2.3729,0.48486,0.74521,1.1557,2.2318,0.26232,-6.5036
-2.3729,-0.2275,0.63172,1.6757,-1.8018,-0.63568,-1.2829
-2.3441,-1.2208,0.70617,1.2171,1.6173,-2.3162,-1.6122
-2.3154,-0.2593,0.78029,-1.8493,-0.49007,-0.42002,0.75102
-2.2866,-0.81918,-2.189,0.36939,-0.82845,1.578,0.22385
-2.2579,0.79824,-0.29518,0.31034,0.15901,-0.51469,-2.0434
-2.2291,-2.0079,1.2094,-1.1284,0.89056,-1.1302,0.64293
-2.2004,0.060402,0.24868,0.75478,0.75556,0.38618,-3.8248
-2.1716,-1.0926,-0.061832,0.97883,-0.098268,-0.59381,-0.76436
-2.2804,-1.1852,0.089483,0.15234,0.92464,-2.3643,0.90555
-2.2525,-0.58114,-0.84947,0.29909,1.4067,-0.67244,-1.119
-2.2245,0.15628,-2.4005,0.34295,1.2105,3.0694,-3.9662
-2.1966,-0.51924,-0.050627,0.012609,-3.6795,-1.0021,3.7568
-2.1686,0.010062,-1.0316,-0.64383,-1.8966,-1.4107,3.5154
-2.1407,0.34814,0.85458,1.1927,-0.19279,-1.4083,-2.3015
-2.1127,-0.26227,-1.1325,-1.4767,1.9441,0.59632,-1.1266
-2.0847,-1.3352,1.477,1.7068,-0.19566,0.27134,-3.4888
-2.0568,0.96106,0.30285,-0.32783,0.26905,0.18185,-2.852
-2.0288,-1.1966,0.59091,0.55324,0.18789,-0.27521,-1.3779
-2.3005,0.71032,0.41611,0.035942,-0.13743,-1.5378,-0.93882
-2.3205,0.99149,-1.1015,-1.0653,-1.6129,-0.958,2.3211
-2.3205,1.3093,-0.40375,0.14697,-0.61082,0.77208,-2.7041
-2.3068,-0.38978,-0.39374,-0.054982,0.72576,0.068579,-1.434
-2.2931,-0.79963,-0.89102,0.64792,1.4138,1.5486,-3.4496
-2.2794,0.64681,1.0886,-0.11888,-0.80401,-0.3151,-1.9043
-2.2491,0.50172,-0.41539,-0.38652,-1.6434,-0.23324,0.76186
-2.2188,2.1091,-0.792,-0.65935,-0.96457,-0.29114,-0.78662
-2.2188,-0.9315,0.5529,0.991,0.021722,-0.49303,-1.6111
-2.1908,-0.055092,-0.75519,-0.27375,-0.45968,0.94047,-0.84121
-2.1629,-0.38513,1.9617,-0.55888,-0.22698,-0.11358,-2.0565
-2.1349,-1.2073,0.60423,-0.65215,-0.52054,-0.32552,0.69924
-2.107,-0.70191,-1.115,1.6432,1.1167,0.49397,-2.9735
-2.079,-0.63237,-0.68431,-0.42078,0.062579,-0.52783,0.78017
-2.0511,-1.9117,0.63038,0.45846,-1.4738,-1.5235,2.3797
-2.0231,0.48522,-0.062217,0.38462,-0.3801,-0.22374,-1.6436
-1.9951,0.25714,-0.28309,-0.71212,-1.5308,-1.2088,2.0956
-1.9672,1.1514,0.41764,0.24518,1.1693,1.2232,-5.6478
-2.1263,0.61231,0.60318,0.14871,-0.8526,-2.3571,0.551
-2.0976,1.7666,1.1348,-0.44466,-0.34588,0.45937,-3.8587
-2.0688,-0.38697,-0.22666,-1.0533,-2.1132,0.90303,1.5648
-2.0401,1.9276,-0.2739,-1.5758,0.7778,-0.94977,-1.1443
-2.0113,-0.05458,-0.53882,-0.83843,-0.13229,1.8183,-1.5918
-1.9826,0.018309,-0.65532,-1.7345,0.52445,0.44969,0.11788
-1.9538,2.4528,-0.76347,0.94672,-0.059297,-0.11593,-3.8232
-1.9251,-0.81813,-0.57706,-0.32057,-1.3919,-0.56312,2.3368
-1.9251,2.0021,0.76869,-1.2918,0.91904,0.15916,-3.8078
-2.1464,0.54397,-1.0489,-0.071667,0.13871,-0.98509,0.09672
-1.8948,-1.0706,-0.096771,-0.65256,-0.9499,0.66192,0.77978
-2.1664,-0.38892,0.82025,1.45,-0.62998,1.4506,-4.1077
-1.8645,-0.75604,2.342,0.045079,0.22447,0.53692,-3.7049
-2.1664,-0.71463,-0.28831,-1.1785,-1.903,-0.44876,3.2515
-1.8508,-0.43654,0.92721,-1.6959,0.15214,0.40075,-0.58544
-2.1527,0.34596,0.23492,-2.3629,-0.4461,0.80421,0.20872
-1.8371,-0.28984,-0.53154,-0.1246,-1.4425,0.96766,0.10013
-2.139,-1.7077,1.6225,1.1898,-1.735,0.47866,-1.2033
-1.8234,0.66633,0.37119,2.0362,0.45821,-0.45569,-4.4345
-2.1253,-0.31231,0.25021,-0.069007,-0.9797,1.5992,-1.796
-1.8234,-1.4728,-0.37844,1.8199,-0.061094,-0.0026925,-1.2959
-2.095,-0.11344,-0.66009,1.7195,-0.79853,-0.16743,-1.3471
-1.8434,-1.7623,0.10297,-0.81652,-0.86297,1.8064,0.2407
-2.0647,-0.26684,-2.2918,-0.63271,-1.2964,0.59528,2.5969
-2.0647,-1.3008,0.5094,0.48158,0.66178,-0.34715,-1.3069
-2.0359,-0.87012,0.45894,-0.42729,1.4514,1.2609,-3.1557
-2.0072,1.0498,-0.24489,-0.55144,0.9198,-0.26383,-2.1516
-1.9784,1.2034,-1.1423,-0.71982,0.5301,0.049082,-1.1713
-1.9497,-1.1157,-0.25217,-1.6047,1.6261,-0.90032,1.0346
-1.9209,0.14014,-0.50077,0.067627,-1.3789,-0.17445,0.5631
-1.8922,0.56404,-0.84642,1.4368,0.080237,-0.59485,-1.9788
-1.8634,0.88052,0.52121,0.74582,-0.49828,-1.4682,-1.4521
-1.7206,0.46737,0.83927,-0.87789,-1.7613,0.34133,-0.14182
-1.7083,0.70826,-1.0117,1.4418,-0.04214,0.76391,-3.1158
-1.696,0.9844,-1.6201,-0.47331,-1.6088,-1.9545,3.5483
-1.9917,-0.82618,1.2241,0.23499,1.1675,0.17711,-3.138
-1.9643,0.0018176,-1.1808,-0.48921,0.15361,-0.12972,0.49426
-1.9368,-1.0475,0.56075,0.31165,-1.3168,-0.70117,1.0314
-1.9094,0.50338,0.15836,1.7136,-0.76302,-0.25367,-2.5772
-1.8819,-0.92886,-1.7252,-0.45502,-0.26594,-2.0341,4.2668
-1.8545,1.5695,0.11372,-0.03984,0.97172,1.0494,-4.8144
-1.827,0.87754,1.0468,-0.22725,-0.34243,-0.54584,-1.9201
-1.7996,0.90371,-0.37518,-1.1027,-1.2156,0.26802,0.41663
-1.7722,0.6775,-0.39405,-0.8108,-1.0315,0.54596,-0.11219
-1.7447,-1.1647,0.31903,0.28254,0.99447,1.1121,-2.7371
-1.7173,-1.429,2.2313,0.3547,0.89324,0.85822,-4.0757
-1.6898,1.1209,-0.47812,-0.61745,0.78629,0.53243,-2.475
-1.6836,-0.3877,-0.22615,1.732,-1.2841,0.059235,-1.1268
-1.6713,1.6839,1.1167,0.10705,1.2927,0.077652,-5.3857
-1.659,0.37466,-2.501,0.30743,0.059296,-1.5337,2.1438
-1.8685,0.68159,-0.25906,-1.7663,0.020177,0.88532,-0.52596
-1.5665,0.52532,-0.67475,-0.93192,-0.62212,-0.7032,1.4213
-1.8561,-0.39977,1.863,0.64794,0.96151,-0.66557,-3.424
-1.5542,-1.6984,-0.73673,-0.15283,-0.32307,-2.3314,4.2318
-1.8438,-1.2717,-0.55891,-0.4732,-0.072354,-0.62212,1.9965
-1.5419,-0.33278,-1.4641,-1.1005,-0.70263,-1.4155,4.0507
-1.8376,-0.16269,-0.17972,-1.2605,0.8229,-0.085721,-0.085195
-1.8102,1.0977,-1.7681,-1.2754,1.44,-0.37976,-0.070318
-1.7827,-0.39284,-1.2227,-0.47789,-1.2446,0.27909,2.0514
-1.7553,2.8465,0.16739,0.75487,0.70295,1.6821,-7.1792
-1.7278,-0.26261,-0.21159,-0.94208,1.4256,1.0111,-2.0035
-1.7004,1.1905,-0.24166,-0.97503,-0.65968,0.35975,-0.62798
-1.6729,-0.24472,-0.24179,0.38962,-0.69062,-1.4428,1.2258
-1.6455,0.45024,-0.55035,1.1282,-0.98592,0.76854,-1.8764
-1.6181,0.72219,-0.099365,0.058198,1.0706,-1.4949,-1.2339
-1.5906,-0.37851,-0.17337,0.10416,-0.16702,-0.045926,-0.35258
-1.5632,1.4697,0.24695,0.22521,1.9856,1.8518,-6.7996
-1.5357,-0.85271,0.86058,-1.4875,1.5405,-0.4414,-0.54812
-1.8315,-0.39668,0.6103,-0.93909,2.4355,-0.42353,-2.2326
-1.5295,0.070209,2.2077,-1.166,0.81089,0.89731,-3.7447
-1.8191,0.61172,1.0779,0.058981,-0.31273,-0.24781,-2.1475
-1.5172,1.0805,-1.0927,-0.42177,0.073653,-0.37988,-0.22377
-1.8068,0.50905,1.6896,-0.56445,1.4297,1.5546,-5.5579
-1.5049,-0.94099,-0.60687,1.4808,-1.912,0.84145,0.069655
-1.7144,-1.1422,-2.2275,0.63271,-0.56229,1.0045,1.3258
-1.6869,1.4395,2.0438,1.3463,1.0621,-0.84922,-5.9227
-1.6595,0.84656,0.19401,2.3573,-0.095141,0.72836,-5.0127
-1.632,1.1787,-1.2752,0.12852,-0.13745,-0.73036,-0.044724
-1.6046,-1.6691,0.23619,-0.63845,1.8694,-1.3854,0.73862
-1.5771,-0.57254,-0.73112,-0.21753,0.0061505,0.31684,0.30548
-1.5497,0.18568,0.6206,-0.44203,-0.22576,-1.0233,0.050986
-1.5222,-1.0722,0.64814,0.4616,0.1266,-1.0081,-0.044365
-1.4948,-0.88102,1.791,-1.0515,-0.14835,-1.2257,0.71685
-1.4673,0.78849,-1.2236,0.3191,-2.589,-0.74819,2.5628
-1.4399,-1.1939,0.53867,-1.6042,-1.0819,-0.066824,2.5949
-1.4124,-0.079569,-0.76413,-1.239,1.0153,0.0232,0.20524
-1.4124,0.75541,-1.1078,-1.4532,-0.35366,0.1892,1.1436
-1.4325,0.89559,-1.1642,0.62886,0.35549,-1.3843,-0.22133
-1.4525,0.95966,-0.35708,1.7066,0.1088,0.19581,-3.556
-1.4725,-0.78744,-0.79636,-0.73841,-1.5764,1.1447,1.8851
-1.4925,-0.10764,0.10494,-2.4042,0.92883,0.55797,0.15787
