http://www.esapubs.org/archive/ecol/E085/050/suppl-1.htm#anchorFilelist

Response variable: log-transformed zooplankton biomasses of two size classes (original units: mg/m3 ash-free dry mass).
Spatial variable: coordinate (km) of the sampling site along the transect.
Environmental variables: dissolved oxygen (mg/L), salinity (psu), wind speed (m/s), phytoplankton biomass (log-transformed, original units: µg/L), turbidity (NTU), swell height (m) and 14 binary variables coding for habitat classes.



	Y (km)	Ln(Zoo 190-600)	Ln (Zoo>600)	Diss_Oxygen	Salinity	Wind speed	Phytoplankton biomass	Turbidity	Swell height	Bare mud (shallow bottom)	Bare mud (deep bottom)	Sea-grass beds on mud (76-100% coverage)	Sea-grass beds on muddy sand (76-100% coverage)	Sea-grass beds on sand (51-75% coverage)	Sea-grass beds on sand (26-50% coverage)	Sea-grass beds on muddy sand (0-25% coverage)	Cay-Corals	Cay-Sea grasses	Cay-Mixed sea grasses and corals	Bare sand	Inner reef flat	Reef front	Outer slope of barrier reef
Site_11	1.12	1.12396	0.1587	7.13	36.86	6.7	0.6463	0.9	0.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Site_12	1.15	2.02828	0.3485	7.33	37.03	7.0	0.7035	1.1	0.3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Site_13	1.33	0.93177	-0.1210	7.59	36.93	6.7	0.2881	1.3	0.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Site_14	1.39	2.09679	0.3995	6.93	36.78	6.7	0.2110	1.2	0.3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Site_15	1.69	1.29856	0.0658	6.91	37.08	8.0	0.5857	1.3	0.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Site_16	2.33	0.48243	0.3784	6.10	37.10	10.7	0.2110	1.5	0.6	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Site_17	2.88	1.85661	1.8402	6.25	37.12	11.0	0.2011	1.5	0.8	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Site_18	3.15	0.52414	0.3660	6.27	37.14	10.0	0.2980	1.5	0.7	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Site_19	3.69	1.86795	1.0872	6.02	37.15	10.7	-0.1075	1.3	0.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Site_20	3.76	1.46695	1.2664	6.09	37.15	10.7	0.2011	1.3	0.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Site_21	3.91	1.87916	1.6190	7.00	37.18	10.7	0.2110	1.0	0.4	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Site_22	4.12	1.26807	0.6513	6.30	37.18	10.7	0.0103	0.9	0.4	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Site_23	4.24	0.47686	-0.0715	6.59	37.15	10.7	0.2881	1.2	0.6	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Site_24	4.85	0.01784	-0.3595	5.95	37.35	10.7	0.2110	1.4	0.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Site_25	5.15	1.47431	0.6886	6.15	37.37	10.7	0.1157	1.4	0.5	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Site_26	5.36	0.97456	-0.1532	6.42	37.37	6.7	0.0103	1.9	0.4	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Site_27	5.79	0.66217	0.1956	6.54	37.36	6.7	0.0103	1.3	0.4	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Site_28	5.79	0.35277	1.0939	5.75	37.22	10.7	-0.1075	1.5	0.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Site_29	5.97	1.30155	1.1957	4.79	37.19	7.9	-0.1075	1.5	0.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Site_30	6.15	0.25542	-0.3285	6.66	37.36	10.7	0.0103	1.3	0.5	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Site_31	6.15	0.60322	1.9312	5.06	37.22	10.7	-0.1075	1.4	0.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Site_32	6.27	0.45426	-0.1924	4.56	37.22	5.5	-0.1075	1.2	0.5	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Site_33	6.55	0.99473	-0.0192	6.84	37.20	1.5	-0.1075	1.3	0.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Site_34	6.70	0.87171	-0.2257	7.00	37.20	1.5	-0.1075	1.2	0.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Site_35	7.27	0.33504	-0.8440	6.84	37.15	1.5	-0.3951	1.5	0.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Site_36	7.27	-0.09761	-0.7052	6.87	37.17	1.5	-0.3951	1.5	0.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Site_37	7.45	0.44469	-0.3653	6.76	37.14	1.5	-0.1075	1.4	0.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Site_38	7.45	0.23111	-0.3147	6.90	37.13	1.5	-0.2409	1.6	0.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Site_39	7.58	0.53415	0.0411	7.20	37.04	3.5	-0.3951	1.7	0.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Site_40	7.58	0.30601	-0.4186	7.25	37.10	3.3	-0.8106	1.6	0.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Site_41	7.70	0.26159	-0.2917	6.78	37.07	3.3	-0.3951	1.7	0.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Site_42	7.70	0.53122	1.0664	7.04	37.09	1.5	-0.3951	1.6	0.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Site_43	7.85	0.15186	0.0421	6.62	37.07	1.5	-0.5775	1.8	0.3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Site_44	7.85	0.27308	0.5687	6.47	37.08	1.5	-0.5775	1.6	0.3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Site_45	7.85	0.30895	0.0119	6.85	37.09	1.5	-0.5873	1.8	0.3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Site_46	8.06	0.14756	-0.2144	6.39	37.08	1.5	-0.5775	2.0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Site_47	8.06	0.52945	0.2461	6.37	37.07	1.5	-0.5775	1.9	0.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Site_48	8.24	0.12133	0.2207	6.62	37.02	3.3	-0.5775	1.9	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Site_49	8.24	0.03343	-0.7744	6.77	37.05	3.3	-0.2409	1.8	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Site_50	8.40	0.69863	-0.0315	5.69	37.04	3.3	-0.3951	1.7	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Site_51	8.40	0.23111	0.1476	6.05	37.07	3.3	-0.5775	1.8	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	1
																							
																							
																							
																							
																							
