AGE	CEOTEN	COLLEGE	COMTEN	GRAD	MKTVAL	PROFITS	PROFMARG	SALARY	SALES
52	5	1	18	0	1600	55	14.17525768	1080	388
54	12	0	34	0	15400	842	7.869159	1738	10700
54	19	1	19	0	403	23	5.637255	581	408
54	9	1	9	0	2400	239	9.192307	912	2600
69	13	1	37	0	817	40	15.32567	650	261
52	8	1	8	1	6300	475	8.482142	2199	5600
53	15	1	15	1	498	34	5.996473	609	567
73	21	1	25	0	8000	484	6.205128	1946	7800
52	1	1	30	0	3500	308	11	552	2800
59	4	1	26	1	667	90	14.7299509	481	611
45	7	1	8	0	2000	106	4.416666508	526	2400
60	2	1	3	0	425	7	4.375	471	160
56	1	1	29	0	420	-55	-3.235294	630	1700
57	4	1	35	0	1200	143	5.72	622	2500
52	17	1	28	0	398	21	13.20754719	999	159
60	10	1	36	1	449	33	1.941176414	585	1700
57	6	1	17	0	1100	149	6.772727489	1107	2200
59	10	1	34	0	1800	182	2.116279	1099	8600
86	13	1	13	1	644	11	30.55555534	425	36
40	11	1	11	0	888	35	6.554307	2792	534
54	4	1	31	0	812	46	4.6	350	1000
58	6	1	36	1	880	80	11.15760136	363	717
63	6	1	35	1	18800	1700	9.444445	2265	18000
45	5	1	7	0	1200	57	23.94958	377	238
63	9	1	21	1	4900	212	12.47058868	879	1700
49	12	1	12	0	1400	23	3.422619	720	672
63	14	1	27	0	1500	6	0.230769232	950	2600
67	3	0	23	0	918	56	3.111111	1143	1800
58	3	1	27	0	2600	195	5.571429	1064	3500
60	5	1	36	1	3700	142	5.461538	1253	2600
58	0	1	23	1	769	50	3.571428537	462	1400
69	13	1	13	0	390	6	20.6896553	174	29
63	4	1	41	0	2600	175	7.954545498	474	2200
48	7	1	21	1	7300	423	12.08571434	1248	3500
62	3	1	32	1	1200	96	10.06289291	1101	954
43	10	1	12	1	1400	79	13.48122883	348	586
55	5	1	28	1	817	-438	-7.68421	650	5700
58	10	1	32	1	2200	308	5.811321	875	5300
61	1	1	4	0	9400	877	7.130081	1600	12300
55	4	1	30	1	4800	665	8.417722	1500	7900
39	3	1	15	1	517	63	9.89011	323	637
59	3	1	33	0	1400	40	5.095541477	459	785
56	12	1	26	1	2200	67	2.030303	925	3300
46	4	1	4	1	501	20	3.338898	375	599
53	1	1	4	0	527	16	11.1888113	447	143
55	10	1	13	0	2900	131	9.357142	1340	1400
57	11	1	26	1	10000	40	0.493827164	1749	8100
43	2	1	21	1	521	54	9.625669	491	561
64	13	1	42	0	1500	119	4.958333492	5299	2400
58	3	1	33	1	550	36	4.417177677	431	815
50	3	1	15	1	2600	182	9.1	729	2000
54	3	1	32	1	19600	1300	10.5691061	1284	12300
57	8	1	36	0	23600	1600	11.1888113	1373	14300
40	5	1	18	0	582	30	6.833713	989	439
52	1	1	27	1	889	51	4.636363506	515	1100
50	15	1	19	1	1600	130	7.222222	1301	1800
58	1	1	35	0	890	63	1.431818128	834	4400
46	24	1	24	1	473	36	6.69145	849	538
61	26	1	26	1	10100	394	14.59259224	100	2700
62	6	1	40	0	1400	-463	-9.448979	679	4900
56	10	1	31	0	1700	65	10.88777256	567	597
54	2	1	22	0	686	13	0.619047642	559	2100
52	6	1	6	1	903	8	16	704	50
45	14	1	14	1	1900	39	18.5714283	308	210
48	6	1	6	1	1100	51	1.0625	1392	4800
55	4	1	29	0	420	38	7.949791	389	478
69	37	1	45	0	3200	140	11.66666698	790	1200
80	28	1	58	0	963	53	10.33138371	396	513
54	4	1	4	0	1800	69	10.90047359	398	633
46	1	1	6	1	1200	26	20	707	130
60	4	1	7	0	1700	135	9	984	1500
55	20	1	36	0	590	34	6.786427	410	501
60	5	1	33	1	17100	1400	5.072464	1095	27600
61	19	1	35	1	1000	75	1.785714269	694	4200
61	0	1	32	1	5300	364	4.789473534	834	7600
39	8	1	8	1	822	27	11.8942728	1630	227
55	1	1	4	1	834	80	6.153846	493	1300
57	9	0	36	0	979	87	6.214286	625	1400
52	14	1	18	1	548	35	3.5	483	1000
60	8	1	8	0	778	18	5.18732	733	347
67	20	1	41	1	45400	1700	16.5048542	2102	10300
58	34	1	34	0	411	33	4.034229755	853	818
54	0	1	33	1	781	56	5.633803	345	994
57	9	1	12	1	479	32	1.777777791	800	1800
55	16	1	31	1	2100	145	13.18181801	764	1100
59	3	1	3	1	3900	257	8.566667	806	3000
40	1	1	18	0	1300	60	2.5	310	2400
61	9	1	34	0	1200	71	2.84	1119	2500
59	3	1	4	1	2700	222	4.723404408	1287	4700
57	3	1	9	1	5600	208	10.94736862	1170	1900
62	12	1	36	0	4000	229	4.320754528	880	5300
33	9	1	9	0	1300	36	19.88950348	1091	181
65	6	1	18	0	544	-271	-48.13499	1100	563
53	4	1	5	1	557	40	2.699055433	650	1482
38	3	1	7	1	599	38	16.45021629	607	231
63	9	1	9	0	686	37	4.252873421	1133	870
58	6	1	36	1	956	40	14.03508759	393	285
53	4	1	16	0	505	30	7.109005	605	422
59	2	1	2	1	10700	401	6.463572	1444	6204
62	1	1	30	1	7300	478	8.851851	1033	5400
50	3	1	11	1	2200	166	6.384615421	1142	2600
46	20	1	20	1	669	17	1.416666627	537	1200
42	12	1	17	0	3000	206	14.71428585	693	1400
57	12	1	26	1	3800	280	10.76923084	439	2600
64	11	1	43	0	423	45	7.70548	358	584
64	17	1	41	0	1300	52	8.188976	1276	635
41	2	1	2	1	567	21	14.09396	873	149
57	1	1	35	1	4800	210	1.842105269	537	11400
57	2	1	12	1	1300	55	3.4375	713	1600
68	5	1	5	1	2100	92	2.787878752	1350	3300
47	4	1	20	0	2500	47	4.272727489	1268	1100
64	3	1	31	1	2400	326	13.58333302	465	2400
46	3	1	7	1	533	44	2	693	2200
49	1	1	4	1	1200	-132	-203.0769196	369	65
54	2	1	30	0	4500	386	14.29629612	381	2700
49	0	1	13	1	534	49	9.551657	467	513
57	16	1	34	1	653	56	9.256198	559	605
57	5	1	33	1	421	41	8.134921	218	504
63	3	1	42	0	480	43	12.87425137	264	334
58	1	1	39	0	560	49	6.396867	185	766
71	13	1	32	1	477	28	6.481481552	387	432
63	18	1	18	1	540	-80	-28.880867	2220	277
69	0	1	23	0	828	31	12.4498	445	249
