OBS	AGE	BLACK	BRTHORD	EDUC	EXPER	FEDUC	HOURS	IQ	KWW	MARRIED	MEDUC	SIBS	SOUTH	TENURE	URBAN	WAGE
93	37	1	3	12	16	8	40	94	18	1	8	7	0	3	1	750
94	33	0	1	17	8	14	30	91	41	1	12	1	0	9	1	1186
95	31	0	4	16	9	14	48	96	37	1	12	4	0	7	1	833
96	30	1	4	12	14	9	40	69	37	1	10	3	0	11	1	650
97	38	0	1	12	5	12	46	110	37	1		1	0	16	0	1250
98	31	0	1	15	12	12	48	111	44	1	9	3	0	9	1	1122
99	31	0	1	16	1	12	40	110	35	1	9	3	0	11	1	865
100	29	0	3	16	10	12	40	97	37	1	9	3	0	7	1	808
101	35	0	2	18	6	8	60	125	44	0	8	1	0	12	1	1299
102	36	0	4	12	6	10	40	91	39	1	9	5	0	12	1	903
103	37	0	3	12	17	10	40	86	28	1	8	5	0	15	1	900
104	35	0	1	12	18	8	40	110	32	1	9	4	0	0	1	625
105	36	0	4	14	16		40	92	47	1	12	4	1	1	1	1586
106	38	0	2	10	15	12	40	85	41	1	9	1	0	16	1	962
107	34	0	1	17	7	8	45	120	36	1	8	1	0	8	1	1539
108	33	0	2	12	11	12	52	106	42	1	12	5	0	6	0	1110
109	31	0	2	16	6	12	45	112	41	0	12	2	1	6	1	1282
110	38	0	2	12	13	8	48	91	39	1	10	1	0	2	1	770
111	38	0	3	12	16	12	45	90	42	1	10	6	0	0	1	1000
112	38	1		9	17	12	40	86	39	1		2	0	16	0	895
113	32	1	5	10	13		40	86	32	1	8	5	0	0	1	1205
114	29	0		12	11	12	40	113	27	1	12	1	0	10	0	750
115	38	0	3	13	5	9	50	111	51	1	12	3	0	16	1	654
116	33	0	1	12	15	12	48	111	30	1	12	0	0	3	1	601
117	28	0		13	10	7	40	106	32	1	8	6	0	11	1	600
118	30	0	1	12	11	11	40	98	28	0	12	1	0	10	1	433
119	30	0	1	12	11	10	40	105	28	1	12	3	0	7	1	1188
120	33	0	2	12	15		40	105	29	1	10	2	0	15	0	635
121	32	0	1	13	9	9	40	118	44	1	12	0	0	14	1	1225
122	36	0	1	12	19	8	45	90	38	1	12	1	0	19	1	1151
123	32	0	1	12	15	8	40	95	34	0	9	3	0	11	1	865
124	29	0	2	14	9	12	40	112	24	1	12	4	0	5	1	1031
125	32	0	2	12	9	10	55	120	39	1	12	3	0	11	1	1049
126	29	0	3	12	12	10	45	123	41	1	12	3	0	1	1	1000
127	30	0	1	13	10	15	40	103	32	1	16	1	0	11	1	1105
128	35	0	1	18	11	18	50	121	40	1	16	3	0	7	1	1924
129	38	0	1	16	9	12	40	90	44	1	12	1	0	16	1	1346
130	29	0	1	12	11	12	65	125	32	1	12	0	0	10	1	809
131	32	0	1	18	10	8	45	109	34	1	9	3	0	3	1	1495
132	33	0	1	16	10	9	50	128	46	0	10	3	0	1	0	1346
133	31	0	1	12	10	12	40	97	35	1	12	3	0	4	1	1200
134	33	0	4	12	6	12	40	96	35	1	12	4	1	0	1	500
135	28	0	2	12	12	8	45	97	44	1	12	1	0	5	1	1325
136	33	1	1	12	16	6	40	78	21	1	7	4	0	5	1	900
137	34	0	4	12	15		40	112	39	1	7	6	0	3	1	800
138	38	0	2	12	16	5	40	88	32	1	2	3	0	7	1	800
139	36	0	10	12	15	11	40	97	39	1	14	14	0	16	1	1034
140	36	0		12	4	9	40	101	41	1	6	1	0	12	1	980
141	34	0	1	10	19	10	40	106	42	1	7	2	0	12	1	884
142	34	0	1	10	11	6	40	59	28	0	8	0	0	5	1	480
143	34	0	1	18	7	12	40	105	54	1	12	1	0	14	1	923
144	31	0	1	17	8	8	45	119	30	0	12	1	0	5	1	513
145	37	0	2	11	17	8	40	93	36	0	8	2	0	16	1	1105
146	36	0	1	12	19		50	82	38	1	12	0	1	10	1	1193
147	34	0	3	18	6	16	50	134	45	1	16	4	0	7	1	2771
148	30	0	1	12	9	12	40	84	29	1	8	0	0	6	1	779
149	31	0	1	11	13	12	60	98	36	1	12	2	0	6	1	950
150	30	0	1	16	11	12	40	118	41	1	13	2	0	8	0	1394
151	33	0	3	17	13	8	45	113	50	1	12	3	0	9	1	1495
152	28	0	2	12	4	11	40	100	18	1	9	6	0	3	1	650
153	29	0		13	9	12	40	93	27	1	12	2	0	5	1	670
154	32	0	1	16	5	10	40	119	30	1	12	1	0	8	1	1126
155	33	1	1	12	11	4	64	67	19	0	11	6	0	1	1	450
156	37	1	4	12	19		40	111	28	1	12	3	1	12	1	1028
157	32	0	1	15	8	12	50	106	38	1	12	2	0	0	1	2404
158	36	0	1	18	9		40	127	49	0	10	0	0	14	1	1899
159	33	0	1	16	10	12	40	113	35	1	12	2	0	9	1	757
160	29	0	2	14	9	12	40	115	36	1	12	2	0	1	1	1250
161	31	0	2	16	8		48	102	40	1	12	3	0	11	1	1162
162	29	1	1	15	9	12	40	85	29	1	14	6	0	13	1	1025
163	32	0	1	16	11	10	50	117	51	1	12	0	0	12	0	1100
164	28	0	1	16	7	10	35	125	34	1	10	4	0	5	1	714
165	37	0	1	16	16	12	35	118	47	1	8	1	0	17	0	1318
166	38	0	2	18	14	16	45	121	40	1	12	3	0	3	1	1411
167	38	0	1	17	4	12	40	115	51	1	12	1	0	4	1	2162
168	36	0	1	14	11		55	120	44	1	12	1	0	16	0	1273
169	35	0	2	12	16	6	48	109	43	1	11	2	0	15	1	1140
170	30	0		13	7	11	40	109	28	0	12	1	0	4	1	578
171	38	0	5	12	7		40	85	36	1		4	0	10	1	942
172	38	0	1	12	17		40	85	50	1	12	4	0	8	0	1058
173	29	0	2	14	9	10	40	106	32	1	11	1	0	9	1	750
174	30	0	1	12	11	10	60	101	30	1	10	3	0	6	1	1000
175	30	0	5	12	9	9	60	116	40	1	12	4	0	7	1	951
176	31	0	2	12	13	7	47	91	24	1	7	2	0	2	1	635
177	34	0	1	12	13	5	40	91	28	1	11	3	0	1	1	1250
178	34	0	1	12	6		40	110	34	1	7	2	0	15	1	675
179	32	0		12	11	12	40	75	33	1	7	4	0	6	1	400
180	29	0		12	9	8	50	94	17	1	12	2	0	8	1	577
181	29	0	2	13	10	12	40	109	27	1	12	2	0	7	0	590
182	31	0	2	16	10	8	50	122	38	1	8	1	0	10	0	923
183	32	0	2	12	6	8	50	102	26	0	11	4	0	2	1	1250
184	33	0	3	14	11	10	40	122	38	1	8	2	0	8	1	1100
185	37	0	2	12	18	10	50	105	38	1	10	4	0	2	1	1130
186	36	0	2	12	14	9	50	113	37	0	9	1	0	4	1	652
187	30	0	2	12	6	12	42	104	34	1	8	3	0	2	1	618
188	34	0	2	16	7	11	50	124	43	1	9	2	0	14	1	962
189	32	0	1	13	14	8	40	110	31	1	12	1	0	11	0	529
190	33	0	1	12	16	12	40	95	37	1	12	2	0	14	0	817
191	32	0	1	16	8		40	120	39	1	18	0	0	9	0	962
192	38	0	1	12	19	8	40	105	39	1	12	3	0	15	0	840
193	28	0		16	7	12	40	121	30	1	12	1	0	4	0	866
194	36	0	5	14	1	10	50	96	42	1	8	5	0	1	1	2404
195	32	0	1	12	16	12	40	110	26	1	9	6	0	2	1	1126
196	31	0	1	12	8	11	40	92	32	1	12	4	0	8	0	1160
197	38	0	1	12	15		40	98	34	1	9	1	0	5	1	723
198	36	0	1	16	14	12	40	109	43	1	11	0	0	13	1	1778
199	36	0	1	18	13	11	48	118	44	1	11	0	0	5	0	1903
200	34	0	5	18	7		40	97	42	1	14	4	0	14	1	1010
201	37	0	2	17	5	8	40	95	42	1	16	1	0	11	1	971
202	34	0	1	12	9	8	40	99	40	1	10	2	0	2	1	525
203	30	0	1	12	12	12	40	106	31	1	10	1	0	13	0	525
204	30	0	2	12	10		45	117	33	1	12	5	0	3	0	670
205	37	0	1	12	19	6	45	90	47	1	12	0	0	4	0	500
206	34	0	3	14	14		45	98	45	1		2	0	15	0	1058
207	35	0	1	12	18	11	46	95	44	1	12	1	0	15	1	550
208	32	0	2	12	14	11	45	115	43	1	12	1	0	1	1	500
209	31	0		15	10	12	55	106	40	0	12	1	0	5	1	727
210	30	0	3	12	6	8	40	114	26	1	8	2	0	8	0	865
211	30	0	4	13	8	10	40	92	34	1	12	3	1	2	1	1081
212	31	0	1	17	9	12	45	119	36	1	13	1	0	9	0	1304
213	30	0	2	13	6	12	40	85	32	1	13	1	0	1	0	575
214	30	0	1	16	7	12	45	98	34	1	12	3	0	1	0	623
215	28	0	2	13	8	12	45	114	30	1	12	3	0	10	0	515
216	37	0	1	18	14	12	55	84	42	1	8	1	0	4	1	1273
217	33	0	1	13	13	16	40	108	42	1	16	4	0	9	0	990
218	33	0	6	12	16	4	40	107	32	1	8	5	0	6	0	600
219	38	0	2	12	17	12	40	84	35	1	16	4	0	2	0	1160
220	29	0	5	12	11	12	55	86	22	1	10	5	0	9	0	500
221	35	0	2	12	17	12	45	88	27	1	10	2	0	18	0	795
222	37	0	1	11	20		50	97	34	1		2	0	3	0	500
223	38	0	1	10	23	9	50	84	31	1		5	0	13	0	740
224	33	0	1	16	10	14	40	117	45	1	12	1	0	7	1	1250
225	30	0	2	16	13	14	55	110	42	0	12	1	0	9	1	1014
226	33	0	3	13	13		32	104	32	1	9	3	0	3	1	1250
227	29	0	4	14	4		40	110	26	1	9	3	0	13	1	913
228	30	0		16	9	12	40	99	33	1	11	2	0	8	1	1346
229	38	0	5	10	19		40	80	31	1		5	0	0	0	445
230	37	0	2	12	18		40	101	43	1		1	0	2	1	265
231	28	0	2	14	7	12	40	117	31	1	12	1	0	1	1	1250
232	36	0	1	13	7		56	108	41	1		2	0	9	1	1607
233	38	1	6	16	12	10	35	69	33	1	10	7	0	15	1	1452
234	32	1	2	12	14	9	50	109	38	1	11	1	1	8	1	1391
235	32	0	6	16	8	8	45	85	39	1	8	5	0	2	1	821
236	29	0	2	16	9	9	40	114	36	1	11	1	0	7	1	794
237	38	0	3	13	10		30	90	46	1		4	0	1	0	500
238	29	0	1	18	6	14	50	107	30	1	12	10	0	3	0	520
239	37	0	2	18	12	8	50	117	41	1	12	1	0	12	1	1730
240	38	0	1	18	9	18	50	112	47	1	16	6	0	10	1	1924
241	37	0	3	18	10	18	60	106	46	1	14	3	0	2	1	1155
242	31	0	1	15	9	17	40	116	38	1	12	2	0	4	1	2162
243	31	0	2	14	8		50	123	44	1	8	1	0	7	1	923
244	33	0	1	16	12		40	118	40	1	8	1	0	13	1	1115
245	30	0		12	7		36	91	20	0		1	0	2	1	449
246	34	0	3	12	10	7	40	103	29	1	12	2	0	11	1	1500
247	37	0	4	14	20	6	40	114	40	1	8	4	0	3	1	826
248	35	0	2	12	16	6	40	102	36	1	12	3	0	8	1	937
249	36	0	6	12	19		48	104	36	1	6	5	0	15	1	978
250	33	0	6	14	14	12	40	112	43	0	14	6	0	12	1	1031
251	30	0	3	12	10	12	40	107	39	1	12	4	0	1	1	1272
252	34	0	3	14	16	12	50	117	36	1	12	2	1	12	1	1136
253	36	0	8	12	19		45	110	36	1		7	0	12	1	800
254	33	0	1	12	8	11	38	96	42	1	12	0	0	9	1	1339
255	32	1	2	12	14	12	40	90	38	1	8	2	0	12	1	1063
256	29	0	2	12	10	7	44	97	27	1	8	2	0	6	1	935
257	38	1	1	12	18	8	40	99	40	1	9	0	0	13	1	808
258	30	0	2	10	12	5	40	99	29	1	8	3	1	2	0	375
259	31	1	1	12	14		40	97	32	0	11	2	0	8	1	537
260	29	1	2	12	11		55	95	40	1	11	2	0	4	1	1082
261	31	0		14	10		40	126	44	0	8	3	0	1	1	930
262	38	0	3	17	13	8	40	109	49	1	12	3	0	4	0	1155
263	33	1	2	11	7		40	86	22	1	11	5	0	0	1	548
264	33	0	1	16	12	12	45	119	48	1	12	0	0	1	1	622
265	29	0	1	16	10	12	40	102	38	1	12	3	0	1	1	841
266	38	0	3	18	7	5	55	105	45	0	9	2	0	15	1	769
267	29	0	3	17	8		38	117	40	1	12	3	0	5	0	587
268	38	0	1	16	17	12	45	112	40	1	12	1	0	18	1	1924
269	29	0		12	7	6	40	89	28	1	8	2	0	3	1	1058
270	28	0	2	12	7	6	48	131	39	0	12	1	0	1	1	417
271	28	0	3	16	6	16	48	114	28	1	16	3	0	6	1	1202
272	37	0		14	18	14	40	98	35	1	10	1	0	2	1	1154
273	32	0	1	13	4		40	124	41	1		0	0	9	1	1070
274	29	0	3	14	10	12	40	125	30	1	12	2	0	11	1	1202
275	36	0		18	13	16	45	100	38	1	10	1	0	3	1	711
276	31	1	1	14	6	9	40	84	21	1	11	2	0	5	1	1202
277	28	0	2	12	7	12	43	113	26	1	8	1	0	3	1	850
278	35	0	2	16	13	12	40	102	46	1	10	6	0	11	1	1000
279	31	0		18	7	9	49	82	33	0	12	2	0	8	1	490
280	35	0	1	14	15	10	40	112	47	1	12	4	0	4	1	1000
281	31	0	5	16	11	5	40	111	38	1	8	4	1	4	1	865
282	30	0	1	13	3	8	40	96	24	1	11	3	0	3	1	1375
283	37	0	4	16	16	16	40	127	48	1	16	4	0	12	1	1586
284	37	0	1	15	14		65	97	47	1	8	1	0	14	1	1602
285	36	0	2	14	12		65	120	50	1	12	1	1	13	1	3078
286	35	0	4	16	7	14	40	101	41	0	16	3	0	9	1	898
287	37	0	1	14	16	12	40	120	40	1	12	5	0	2	1	906
288	31	1	1	13	10	10	40	99	34	1	8	1	0	10	1	952
289	29	1	5	13	10	9	40	78	33	0	8	5	0	1	1	571
290	32	0	2	12	15	11	45	110	23	0	5	2	0	13	1	445
291	30	0	3	12	9	11	40	94	35	1	5	2	0	0	1	289
292	37	0	2	16	12	13	40	120	50	1	17	1	0	15	1	1444
293	36	0	1	12	19	8	55	108	45	1	8	3	0	21	1	962
294	33	0	3	12	17	11	40	103	31	1	11	13	0	10	1	1075
295	35	0	3	11	17		55	97	39	1		7	0	5	1	909
296	35	0	1	12	14	13	40	106	36	1	11	4	0	19	1	1250
297	29	1	5	11	10		40	99	22	1		11	0	5	1	620
298	37	1	9	10	14		40	72	18	1	11	8	0	15	1	1016
299	37	1	1	10	21	8	40	88	29	1	11	8	0	14	1	800
300	37	0	2	16	7	13	40	119	37	0	12	2	0	18	1	1050
301	36	0	5	12	18		50	87	33	1	8	5	0	9	1	1079
302	34	0	2	17	12	12	50	121	49	1	11	1	0	13	1	654
303	30	0	2	12	8	8	50	112	33	1	12	2	0	10	1	781
304	36	0	1	15	8	15	48	103	36	1	12	2	1	2	0	1038
305	37	0	1	16	16	18	50	99	48	1	16	0	0	14	1	1924
306	37	0	2	15	15	12	40	101	40	1	12	3	0	17	1	1202
307	32	0	1	15	8		70	117	34	1		0	0	2	1	666
308	36	0	4	14	11	8	45	109	41	1	8	3	0	14	1	905
309	31	0	1	12	6	12	70	73	46	1	12	3	0	8	1	890
310	31	0	2	16	10	16	40	116	27	1	16	1	1	7	0	817
311	29	0	2	12	10	12	40	98	42	0	12	3	0	2	1	812
312	30	0	3	14	6	12	60	104	43	1	14	2	1	2	1	577
313	31	0	2	14	9	12	40	78	29	1	12	2	0	2	1	756
314	37	0	1	12	20		40	104	43	1		0	1	7	1	1011
315	34	0	1	12	14	12	45	85	39	1	12	2	0	1	1	1155
316	29	0	4	12	12	10	40	104	25	1	12	3	0	7	1	1025
317	35	0	3	12	17		40	107	37	1		2	0	12	0	1350
318	37	0	1	12	20	10	40	109	48	1	8	1	0	22	1	1001
319	37	1	1	13	16		48	119	31	1	11	7	0	15	1	796
320	30	0	2	13	11	11	50	96	33	1	10	3	0	12	1	1230
321	30	0		12	13		40	93	31	1		5	0	1	1	754
322	37	0	3	12	17	12	40	90	32	1	12	5	0	1	0	714
323	32	0	4	15	8		45	103	29	1	12	3	0	3	1	1000
324	33	0	1	16	12	12	40	106	41	1	14	2	1	13	1	2067
325	30	0	2	16	11	12	40	96	32	1	14	2	0	5	1	912
326	30	0	3	12	8	8	40	114	39	1	8	6	1	5	1	600
327	31	0	4	11	13		40	86	33	1	9	3	0	1	1	951
328	32	0	2	16	8	12	45	110	38	1	13	3	1	5	1	711
329	38	0	1	12	18	12	48	87	41	1	12	2	0	9	1	1151
330	28	0	3	12	9	12	40	89	31	1	13	2	0	5	1	1000
331	31	0	6	12	15		44	106	40	1	8	5	0	10	1	841
332	32	0	2	12	12	8	70	100	43	1	5	3	0	3	1	400
333	34	0	1	12	17	4	45	111	38	1	16	0	0	14	1	1175
334	37	0	1	12	18	12	40	100	40	1	12	0	0	2	1	1202
335	33	0	3	12	16	10	40	114	38	1	12	2	0	17	1	1442
336	34	0	2	18	5		55	98	45	1	13	2	0	1	1	538
337	30	0	1	11	13	8	40	89	24	1	9	3	0	10	1	781
338	30	0	2	10	13	9	60	74	23	1	11	4	0	9	1	750
339	37	1	1	18	13	12	48	110	37	0	12	1	0	1	1	841
340	38	0	2	13	14	14	50	130	29	1	11	1	0	1	1	700
341	36	0	2	16	9	10	50	108	51	1	12	1	0	4	1	1346
342	33	0	4	12	16	8	45	98	31	1	10	3	0	12	0	800
343	30	0	1	16	9		40	125	27	1	16	3	0	10	1	1250
344	29	0	1	16	5	12	40	104	29	1	12	3	0	8	1	1105
345	30	0	1	14	12	10	52	98	33	0	8	6	0	1	1	475
346	33	0	1	15	6	12	58	104	37	1	11	2	0	4	0	762
347	36	0		12	18	8	40	120	33	1	8	3	0	19	1	962
348	30	0	3	13	9	8	40	134	38	0	8	3	1	9	1	721
349	34	0	1	9	18	8	50	92	28	1	8	0	0	13	1	800
350	30	0	1	16	11	16	40	129	34	1	13	2	0	9	1	658
351	36	0	1	14	4	12	40	118	42	1	12	2	0	16	1	1270
352	28	0		12	11		40	107	37	1	12	1	0	7	0	1313
353	38	0	1	12	19	11	42	92	37	1	12	1	0	15	1	824
354	29	0	1	16	6	12	40	118	33	1	16	2	0	7	1	1442
355	31	0	1	17	7	14	42	108	38	1	12	2	0	3	1	1400
356	36	0	3	12	20	8	50	119	42	1	12	3	0	5	0	1038
357	29	0	3	12	11	7	43	109	29	1	8	2	0	12	0	668
358	36	0	3	12	18	8	40	91	41	1	8	2	0	10	0	1100
359	30	0	1	14	9	10	45	118	38	1	12	3	0	7	1	1000
360	30	0	1	13	9		43	119	37	1	14	4	0	2	0	523
361	31	0	3	14	13	12	40	103	33	1	14	6	0	13	0	1111
362	28	0	3	16	6	8	40	120	25	1	12	4	0	4	0	962
363	34	0	3	18	6	6	47	122	40	1	8	3	0	13	1	729
364	28	0	2	12	9		40	119	35	1	8	1	0	5	1	690
365	38	0	1	11	15	6	50	104	37	1	9	6	0	7	0	1010
366	29	0	3	11	7	8	40	96	22	1	8	4	1	2	1	600
367	34	0	3	12	16	8	40	83	36	1	8	3	0	17	0	596
368	29	0	2	12	11		44	115	37	1		3	0	1	1	850
369	29	0	3	12	9	8	40	88	27	1	10	7	0	2	1	670
370	36	0	5	12	17	8	40	96	43	1	8	4	0	18	0	793
371	38	0	3	17	14	6	40	123	42	1	12	2	1	7	0	1442
372	34	0	1	12	14	7	50	108	43	1	11	5	1	8	1	670
373	29	0	1	16	10	12	45	116	35	1	12	2	0	8	1	876
374	36	0	4	18	13	12	40	109	45	1	16	3	0	2	0	841
375	31	0	1	13	8	12	40	97	39	1	12	3	0	0	1	975
376	28	0	1	12	7	10	40	107	34	1	12	1	0	3	0	1223
377	35	0	3	12	16	14	30	95	27	1	12	2	1	5	1	910
378	30	0	2	15	8	12	45	109	31	1	15	2	0	2	1	533
379	33	0	1	12	15	12	40	104	36	1	12	0	0	11	0	750
380	38	0	1	12	16	12	40	110	37	1	12	1	0	4	1	1206
381	36	0	3	13	17	8	40	94	40	0	13	2	0	1	0	745
382	37	0	3	12	15	6	40	103	38	1	8	3	1	1	0	900
383	32	0	4	14	9	12	47	123	45	1	8	3	0	14	1	1170
384	31	0	4	12	12	12	50	113	33	1	6	5	0	3	0	540
385	38	0	1	16	15		40	110	35	1		2	0	1	0	550
386	30	0	3	14	9	12	40	100	31	1	12	3	0	4	0	615
387	31	0	1	13	6	12	40	95	39	1	12	2	0	2	1	909
388	36	0	2	12	18	8	40	100	34	1	8	1	0	12	0	769
389	37	0	1	13	17	8	40	108	39	1	15	4	0	18	1	984
390	37	0	2	12	15		60	101	47	1	12	5	0	12	1	833
391	35	0	2	12	17	16	70	90	43	0	12	1	0	10	1	879
392	35	0	3	12	16	5	45	115	41	1	8	4	0	7	1	1027
393	33	0	1	16	10		55	114	41	1		0	1	1	0	1000
394	29	0	3	13	10	11	43	84	33	1	11	3	0	1	1	465
395	38	1	6	13	21		40	92	37	1	12	6	0	12	1	1100
396	37	0	1	14	9	11	45	125	44	1	12	1	0	0	1	641
397	38	0	2	12	21	8	48	107	42	1	11	1	0	14	1	1035
398	32	0	7	14	9	9	40	129	33	0	8	6	0	3	1	1212
399	30	0	4	12	11	12	40	98	40	1	12	3	0	6	1	950
400	38	0	1	12	19		44	108	41	1	8	0	0	20	1	938
401	30	0	3	16	8	8	40	114	37	1	2	5	0	8	1	1250
402	34	0	1	18	6	11	60	111	37	1	12	3	0	10	0	586
403	28	0	2	12	7	12	53	101	29	1	12	1	0	6	0	693
404	34	0	1	12	18	12	40	99	25	0	12	1	0	12	0	562
405	30	0	1	12	12	8	60	75	24	0	12	4	0	5	0	375
406	38	0	1	12	7		40	91	29	1	6	0	0	11	0	673
407	33	0	1	17	1	10	50	113	38	1	12	1	0	13	0	654
408	35	0	4	12	17		50	120	34	1	8	3	0	7	0	692
409	29	0	1	14	10	15	40	98	32	1	12	3	0	1	1	1111
