"OBS"	"AIRCO"	"BATHRMS"	"BEDROOMS"	"DRIVEWAY"	"FULLBASE"	"GARAGEPL"	"GASHW"	"LOTSIZE"	"PREFAREA"	"PRICE"	"RECROOM"	"STORIES"
"84"	0	1	3	1	0	2	0	3240	0	43000	0	2
"85"	0	1	2	1	1	0	0	3780	0	55500	1	2
"86"	1	1	3	0	0	1	0	6480	0	57000	0	2
"87"	0	1	2	1	1	2	0	5850	0	60000	1	1
"88"	1	2	3	1	1	0	0	3150	0	78000	1	1
"89"	0	1	2	1	0	1	0	3000	0	35000	0	1
"90"	0	1	2	1	1	0	0	3090	0	44000	1	1
"91"	0	1	3	1	1	0	0	6060	0	47000	1	1
"92"	0	2	4	0	1	1	0	5900	0	58000	0	2
"93"	1	1	4	1	1	2	0	7420	0	163000	1	2
"94"	1	2	3	1	0	2	0	8500	0	128000	0	4
"95"	1	1	3	1	1	1	0	8050	0	123500	1	1
"96"	0	1	2	1	0	0	0	6800	0	39000	0	1
"97"	0	1	3	1	0	2	0	8250	0	53900	0	1
"98"	0	1	3	1	1	3	0	8250	0	59900	0	1
"99"	0	1	2	1	0	0	0	3500	0	35000	1	1
"100"	0	1	2	1	0	0	0	2835	0	43000	0	1
"101"	1	2	3	0	1	0	0	4500	0	57000	0	2
"102"	0	3	3	1	1	0	0	3300	0	79000	0	2
"103"	0	1	3	1	1	2	1	4320	0	125000	0	2
"104"	0	2	4	1	0	2	1	3500	0	132000	0	2
"105"	0	2	3	1	0	2	0	4992	0	58000	0	2
"106"	0	1	2	1	0	0	0	4600	0	43000	0	1
"107"	1	1	2	0	0	0	0	3720	0	48000	0	1
"108"	0	2	3	1	0	0	0	3680	0	58500	0	2
"109"	0	2	3	1	1	0	0	3000	0	73000	1	2
"110"	0	1	2	1	1	0	0	3750	0	63500	1	1
"111"	0	1	3	0	0	0	0	5076	0	43000	0	1
"112"	0	1	2	0	0	0	0	4500	0	46500	0	1
"113"	1	1	3	1	0	0	0	5000	0	92000	0	2
"114"	1	1	4	1	1	0	0	4260	0	75000	0	2
"115"	1	2	4	0	0	0	0	6540	0	75000	0	2
"116"	1	1	4	1	0	0	0	3700	0	85000	1	2
"117"	0	1	3	1	0	2	1	3760	0	93000	0	2
"118"	1	2	3	1	1	1	0	4000	0	94500	0	2
"119"	0	2	3	1	1	1	0	4300	0	106500	0	2
"120"	1	1	5	1	1	1	0	6840	0	116000	1	2
"121"	0	1	2	1	0	1	0	4400	0	61500	0	1
"122"	0	2	4	1	0	1	0	10500	0	80000	0	2
"123"	0	1	2	1	0	0	0	4400	0	37000	0	1
"124"	0	1	3	1	0	1	0	4840	0	59500	0	2
"125"	0	1	2	1	1	1	0	4120	0	70000	0	1
"126"	0	2	4	1	0	0	1	4260	0	95000	0	2
"127"	0	3	3	1	1	1	0	5960	0	117000	1	2
"128"	1	2	3	1	0	2	0	8800	0	122500	0	2
"129"	1	2	3	1	1	1	0	4560	0	123500	1	2
"130"	1	2	3	1	0	2	0	4600	0	127000	1	2
"131"	0	1	2	1	0	0	0	4840	0	35000	0	2
"132"	0	1	3	1	0	0	0	3850	0	44500	0	2
"133"	0	1	3	0	0	0	0	4900	0	49900	0	2
"134"	0	1	3	1	0	2	0	3850	0	50500	0	1
"135"	0	1	3	1	0	2	0	3760	0	65000	0	1
"136"	0	2	4	1	0	1	0	6000	0	90000	0	4
"137"	0	1	3	1	0	0	0	4370	0	46000	0	2
"138"	0	1	2	1	0	0	0	7700	0	35000	0	1
"139"	0	1	2	0	0	1	0	2990	0	26500	0	1
"140"	0	1	3	1	0	0	0	3750	0	43000	0	2
"141"	0	1	3	1	0	0	0	3000	0	56000	0	2
"142"	0	1	3	1	1	1	0	2650	0	40000	0	2
"143"	0	2	4	1	1	2	0	4500	0	51000	0	2
"144"	0	1	2	0	0	0	0	4500	0	51000	0	1
"145"	1	1	3	0	1	0	0	4500	0	57250	0	2
"146"	0	1	2	1	0	1	1	4500	0	44000	0	2
"147"	1	1	3	0	1	0	0	2175	0	61000	1	2
"148"	0	2	3	1	0	1	1	4500	0	62000	0	3
"149"	0	2	5	0	1	0	1	4800	0	80000	0	3
"150"	0	1	4	1	0	0	0	4600	0	50000	0	2
"151"	0	1	3	1	0	1	0	3450	0	59900	0	2
"152"	0	1	3	0	0	0	0	3000	0	35500	0	2
"153"	0	2	2	1	1	1	0	3600	0	37000	0	2
"154"	0	1	3	0	0	1	0	3600	0	42000	0	2
"155"	0	1	3	1	0	0	0	3750	0	48000	0	1
"156"	0	3	4	0	0	0	0	2610	0	60000	0	2
"157"	1	1	3	1	1	0	0	2953	0	60000	0	2
"158"	0	2	4	0	0	0	0	2747	0	60000	0	2
"159"	0	1	5	0	1	0	0	1905	0	62000	0	2
"160"	0	1	3	0	0	0	0	3968	0	63000	0	2
"161"	1	1	3	1	0	1	0	3162	0	63900	0	2
"162"	0	1	4	1	1	2	0	6000	0	130000	0	2
"163"	0	1	3	0	0	0	0	2910	0	25000	0	1
"164"	0	2	3	0	0	0	0	2135	0	50000	0	2
"165"	0	1	3	0	1	0	1	3120	0	52900	0	2
"166"	0	1	3	1	1	2	0	4075	0	62000	1	1
"167"	1	1	3	0	0	0	0	3410	0	73500	0	2
"168"	0	1	3	1	0	0	0	2800	0	38000	0	1
"169"	1	1	2	1	0	1	0	2684	0	46000	0	1
"170"	0	1	3	0	1	0	0	3100	0	48000	0	2
"171"	0	1	2	1	1	0	0	3630	0	52500	0	1
"172"	0	1	3	0	0	0	1	1950	0	32000	0	1
"173"	0	1	3	0	0	0	0	2430	0	38000	0	1
"174"	0	1	3	0	0	1	0	4320	0	46000	0	1
"175"	0	1	3	1	1	0	0	3036	0	50000	0	2
"176"	0	2	3	1	0	2	1	3630	0	57500	0	2
"177"	0	1	4	1	0	0	0	5400	0	70000	0	2
"178"	1	2	4	1	1	2	0	3420	0	69900	0	2
"179"	0	2	3	1	0	2	0	3180	0	74500	0	2
"180"	0	1	4	0	0	0	0	3660	0	42000	0	2
"181"	0	1	2	0	0	1	0	4410	0	60000	0	1
"182"	0	1	3	1	0	0	0	3990	0	50000	0	2
"183"	0	1	3	1	0	0	0	4340	0	58000	0	1
"184"	0	1	3	1	0	0	0	3510	0	63900	0	2
"185"	0	1	5	0	0	0	0	3420	0	28000	0	2
"186"	0	1	2	1	0	1	1	3420	0	54000	0	2
"187"	0	1	3	1	1	0	0	5495	0	44700	0	1
"188"	0	1	4	0	0	1	0	3480	0	47000	0	2
"189"	0	1	3	0	0	0	0	7424	0	50000	0	1
"190"	1	1	4	1	0	0	0	3460	0	57250	0	2
"191"	0	1	3	1	0	2	0	3630	0	67000	0	2
"192"	1	1	2	1	0	0	0	3630	0	52500	0	1
"193"	0	1	3	0	0	1	0	3480	0	42000	0	2
"194"	1	2	3	1	1	1	0	3460	0	57500	0	1
"195"	0	1	2	1	0	0	0	3180	0	33000	0	1
"196"	0	1	2	0	0	0	0	3635	0	34400	0	1
"197"	0	1	3	1	0	0	0	3960	0	40000	0	1
"198"	0	1	3	0	0	1	1	4350	0	40500	0	2
"199"	0	1	2	0	0	0	0	3930	0	46500	0	1
"200"	0	1	3	1	1	0	0	3570	0	52000	0	2
"201"	0	1	3	1	0	1	0	3600	0	53000	0	1
"202"	1	2	5	0	1	1	0	2520	0	53900	0	1
"203"	1	1	3	0	0	0	0	3480	0	50000	0	1
"204"	0	2	4	1	0	0	0	3180	0	55500	0	2
"205"	0	1	2	1	0	1	1	3290	0	56000	0	1
"206"	0	2	4	0	0	0	0	4000	0	60000	0	2
"207"	0	1	3	0	0	0	0	2325	0	60000	0	2
"208"	0	1	2	1	1	0	0	4350	0	69500	0	1
"209"	0	1	2	0	1	0	0	3540	0	72000	1	1
"210"	0	1	3	1	1	2	0	3960	0	92500	0	1
"211"	0	1	2	0	0	1	0	2640	0	40500	0	1
"212"	0	1	2	0	0	0	0	2700	0	42000	0	1
"213"	0	1	3	0	0	0	0	2700	0	47900	0	1
"214"	0	1	3	0	1	0	0	3180	0	52000	0	2
"215"	0	1	4	1	0	2	0	3500	0	62000	0	2
"216"	0	1	2	1	0	0	0	3630	0	41000	0	1
"217"	0	3	4	1	1	2	1	6000	0	138300	1	2
"218"	0	1	3	0	0	0	0	3150	0	42000	0	2
"219"	0	1	4	1	0	0	0	3792	0	47000	0	2
"220"	0	1	3	1	0	0	0	3510	0	64500	0	3
"221"	0	1	3	0	0	0	0	3120	0	46000	0	2
"222"	1	1	4	1	1	2	0	3000	0	58000	0	3
"223"	0	1	3	1	0	1	0	4200	0	70100	0	2
"224"	0	2	4	0	1	1	0	2817	0	78500	1	2
"225"	0	1	4	1	0	1	0	3240	0	87250	0	3
"226"	1	2	3	0	1	1	0	2800	0	70800	0	2
"227"	1	1	2	1	1	2	0	3816	0	56000	0	1
"228"	0	1	2	1	1	2	0	3185	0	48000	0	1
"229"	1	1	3	1	1	1	0	6321	0	68000	0	2
"230"	0	2	3	1	0	2	0	3650	0	79000	0	2
"231"	1	1	4	1	1	1	0	4700	0	80000	1	2
"232"	0	2	4	1	0	1	1	6615	0	87000	1	2
"233"	0	1	3	1	0	0	0	3850	0	25000	0	2
"234"	0	1	1	0	0	0	0	3970	0	32500	0	1
"235"	0	1	2	1	0	0	0	3000	0	36000	0	2
"236"	0	1	4	0	0	1	0	4352	0	42500	0	2
"237"	0	1	4	1	0	3	0	3630	0	43000	0	2
"238"	0	1	6	1	0	1	0	3600	0	50000	0	2
"239"	0	1	2	1	1	2	0	3000	0	26000	0	1
"240"	0	1	4	1	0	0	0	3000	0	30000	0	2
"241"	0	2	4	1	0	0	0	2787	0	34000	0	2
"242"	1	1	2	1	0	0	0	3000	0	52000	0	2
"243"	0	1	3	1	1	0	0	4770	0	70000	1	1
"244"	0	1	2	1	0	0	0	3649	0	27000	0	1
"245"	0	1	3	1	1	0	0	3970	0	32500	0	2
"246"	0	1	2	0	0	0	0	2910	0	37200	0	1
"247"	0	1	2	1	0	1	0	3480	0	38000	0	1
"248"	0	1	3	1	0	0	0	6615	0	42000	0	2
"249"	0	1	2	1	0	0	0	3500	0	44500	0	1
"250"	0	1	3	1	1	0	0	3450	0	45000	0	2
"251"	0	1	3	1	1	2	0	3450	0	48500	0	1
"252"	0	2	2	1	1	0	0	3520	0	52000	0	1
"253"	0	1	4	0	0	1	0	6930	0	53900	0	2
"254"	1	2	3	1	0	1	0	4600	0	60000	0	2
"255"	0	1	4	1	0	0	0	4360	0	61000	0	2
"256"	0	1	3	1	1	1	0	3450	0	64500	0	2
"257"	0	3	4	1	1	2	0	4410	0	71000	0	2
"258"	1	2	2	1	0	2	0	4600	0	75500	0	1
"259"	0	1	2	1	0	0	0	3640	0	33500	0	1
"260"	0	1	2	1	0	0	0	6000	0	41000	0	1
"261"	0	1	4	1	0	0	0	5400	0	41000	0	2
"262"	0	1	4	1	1	0	0	3640	0	46200	0	2
"263"	0	1	2	1	0	0	0	3640	0	48500	0	1
"264"	0	1	2	1	0	0	0	4040	0	48900	0	1
"265"	0	1	2	1	0	1	0	3640	0	50000	0	1
"266"	0	1	2	1	0	0	0	3640	0	51000	0	1
"267"	0	1	2	0	0	0	0	5640	0	52500	0	1
"268"	0	1	2	1	0	0	0	3600	0	52500	0	1
"269"	0	1	2	1	0	0	0	3600	0	54000	0	1
"270"	1	1	4	1	0	0	0	4632	0	59000	0	2
"271"	0	2	3	1	1	0	0	3640	0	60000	0	2
"272"	0	1	2	1	1	0	0	4900	0	63000	0	2
"273"	1	1	4	1	0	2	0	4510	0	64000	0	2
"274"	0	2	2	1	1	0	0	4100	0	64900	1	1
"275"	1	1	3	1	0	0	0	3640	0	65000	0	2
"276"	1	1	3	1	0	1	0	5680	0	66000	1	2
"277"	1	1	3	1	0	2	0	6300	0	70000	0	1
"278"	0	1	3	1	0	1	0	4000	0	65500	0	2
"279"	0	1	3	1	0	0	0	3960	0	57000	0	2
"280"	0	1	3	1	1	0	0	5960	0	52000	1	2
"281"	0	1	2	1	0	2	0	5830	0	54000	0	1
"282"	1	2	4	0	1	2	0	4500	0	74500	0	1
"283"	1	2	3	1	0	2	0	4100	0	90000	0	3
"284"	0	1	2	1	0	0	0	6750	0	45000	0	1
"285"	0	1	3	1	0	2	0	9000	0	45000	0	2
"286"	0	1	3	1	1	0	0	2550	0	65000	0	2
"287"	1	1	3	1	0	0	0	7152	0	55000	0	2
"288"	0	1	4	1	0	0	0	6450	0	62000	0	2
"289"	0	1	2	1	0	1	0	3360	0	30000	0	1
"290"	0	1	2	1	0	0	0	3264	0	34000	0	1
"291"	0	1	3	1	0	0	0	4000	0	38000	0	1
"292"	0	1	3	1	0	1	0	4000	0	39000	0	2
"293"	0	1	2	1	0	1	0	3069	0	45000	0	1
"294"	0	1	2	1	0	0	0	4040	0	47000	0	1
"295"	0	1	2	1	0	1	0	4040	0	47500	0	1
"296"	0	1	2	1	0	2	0	3185	0	49000	0	1
"297"	0	1	2	1	0	1	0	5900	0	50000	0	1
"298"	0	1	3	1	0	1	0	3120	0	50000	0	2
"299"	0	1	2	1	0	0	0	5450	0	52900	0	1
"300"	0	1	2	1	0	0	0	4040	0	53000	0	1
"301"	0	1	2	1	0	0	0	4080	0	55000	0	1
"302"	1	1	3	1	0	2	0	8080	0	56000	0	1
"303"	0	1	2	1	0	1	0	4040	0	58500	0	2
"304"	0	1	3	1	0	2	0	4080	0	59500	0	2
"305"	0	1	3	1	0	2	1	5800	0	60000	0	1
"306"	1	1	2	1	0	1	0	5885	0	64000	0	1
"307"	0	2	4	1	1	1	0	9667	0	67000	1	2
"308"	0	2	4	1	0	0	0	3420	0	68100	0	2
"309"	1	1	2	1	1	0	0	5800	0	70000	1	1
"310"	1	1	4	1	0	2	0	7600	0	72000	0	2
"311"	0	1	3	1	0	3	0	5400	0	57500	0	1
"312"	0	2	4	1	1	0	0	4995	0	69900	0	1
"313"	1	1	3	1	1	0	0	3000	0	70000	0	2
"314"	0	2	3	1	1	0	0	5500	0	75000	0	1
"315"	0	2	3	1	1	0	1	6450	0	76900	1	1
"316"	1	1	4	1	0	0	0	6210	0	78000	1	4
"317"	0	1	3	1	0	0	0	5000	0	80000	0	4
"318"	1	1	3	1	0	0	0	5000	0	82000	0	3
"319"	0	1	4	1	0	0	0	5828	0	83000	1	4
"320"	1	1	3	1	0	0	0	5200	0	83000	0	3
"321"	1	1	3	1	0	1	0	5500	0	83900	1	3
"322"	1	2	3	1	0	0	0	6350	0	88500	1	3
"323"	1	2	3	1	0	0	0	8250	0	93000	0	3
"324"	1	1	3	1	0	1	0	6000	0	98000	0	1
"325"	0	2	3	1	0	2	0	7700	0	98500	0	1
"326"	1	2	3	1	1	1	0	8880	0	99000	0	2
"327"	1	1	2	1	0	1	0	8880	0	101000	0	1
"328"	1	2	3	1	0	2	0	6480	0	110000	0	4
"329"	1	2	3	1	0	2	0	7000	0	115442	0	4
"330"	0	1	3	1	0	1	0	8875	0	120000	0	1
"331"	1	2	3	1	1	2	0	7155	0	124000	1	1
"332"	1	4	4	1	0	3	0	8960	0	175000	0	4
"333"	0	1	2	1	0	1	0	7350	0	50000	0	1
"334"	0	1	2	1	0	0	0	3850	0	55000	0	1
"335"	0	1	3	1	0	3	0	7000	0	60000	0	1
"336"	0	1	2	1	0	1	0	7770	0	61000	0	1
"337"	1	2	3	1	1	0	0	7440	1	106000	1	1
"338"	1	3	3	1	1	2	0	7500	1	155000	0	1
"339"	1	1	4	1	1	2	0	8100	1	141000	1	2
"340"	0	1	3	1	0	0	0	3900	0	62500	0	2
"341"	0	1	3	1	0	0	0	2970	0	70000	0	3
"342"	0	1	3	1	1	0	0	3000	0	73000	0	2
"343"	0	1	2	1	0	1	0	10500	0	80000	0	1
"344"	0	2	3	1	0	1	0	5500	0	80000	0	2
"345"	1	1	3	1	0	0	0	4500	0	88000	0	4
"346"	0	1	3	1	0	0	0	3850	0	49000	0	1
"347"	0	2	3	1	0	2	0	4130	0	52000	0	2
"348"	0	1	3	1	1	1	0	4046	0	59500	0	2
"349"	0	1	3	1	0	0	0	4079	0	60000	0	3
"350"	0	1	3	1	0	2	0	4000	0	64000	0	2
"351"	0	1	3	1	0	0	0	9860	0	64500	0	1
"352"	0	1	3	1	1	0	0	7000	0	68500	0	2
"353"	0	1	3	1	0	2	0	7980	0	78500	0	1
"354"	0	1	2	1	1	2	0	6800	0	86000	1	1
"355"	0	2	6	1	0	0	0	4300	0	86900	0	2
"356"	0	1	3	1	0	1	0	10269	1	75000	0	1
"357"	1	1	3	1	0	0	0	6100	1	78000	1	3
"358"	1	2	3	1	0	0	0	6420	1	95000	0	3
"359"	0	2	4	1	0	2	0	12090	1	97000	0	2
"360"	1	1	3	1	0	3	0	6600	1	107000	0	4
"361"	1	2	4	1	1	1	0	6600	1	130000	1	2
"362"	1	3	4	1	0	2	0	8580	1	145000	0	4
"363"	0	2	3	1	1	2	0	9960	1	175000	0	2
"364"	0	1	3	1	1	0	0	10700	0	72000	1	2
"365"	1	1	3	1	0	2	0	15600	0	84900	0	1
"366"	0	1	2	1	1	1	1	13200	0	99000	0	1
"367"	1	2	4	1	0	2	0	9000	0	114000	0	4
"368"	0	2	5	1	1	2	1	7950	0	120000	0	2
"369"	0	3	5	1	0	0	0	16200	0	145000	0	2
"370"	0	2	3	1	1	2	0	6100	1	79000	0	1
"371"	1	1	3	1	1	2	0	6360	1	82000	1	1
"372"	1	1	3	1	1	0	0	6420	1	85000	0	1
"373"	1	2	4	1	0	2	0	6360	1	100500	0	3
"374"	1	2	4	1	1	2	0	6540	1	122000	1	2
"375"	1	2	3	1	0	1	0	6420	1	126500	0	2
"376"	1	2	4	1	0	1	0	6550	1	133000	0	2
"377"	1	2	3	1	0	1	0	5750	1	140000	1	4
"378"	1	2	4	1	0	2	0	7420	1	190000	0	3
"379"	0	1	3	1	1	2	0	7160	1	84000	0	1
"380"	1	2	3	1	1	0	0	4000	1	97000	0	2
"381"	1	2	4	1	0	1	0	9000	1	103500	1	4
"382"	1	1	3	1	1	0	0	6550	1	112500	0	2
"383"	1	1	3	1	1	2	0	13200	1	140000	0	2
"384"	0	1	3	1	1	2	0	7085	1	74700	1	1
"385"	0	2	4	1	1	0	0	6600	1	78000	1	2
"386"	0	1	3	1	1	0	0	6900	1	78900	1	1
"387"	0	1	3	1	0	2	0	11460	1	83900	0	3
"388"	1	1	3	1	1	2	0	7020	1	85000	0	1
"389"	0	1	3	1	1	2	0	6540	1	85000	1	1
"390"	1	1	3	1	1	2	0	8000	1	86000	1	1
"391"	0	1	3	1	1	2	0	9620	1	86900	0	1
"392"	1	2	3	1	1	1	0	10500	1	94500	0	1
"393"	1	1	3	1	0	0	0	5020	1	96000	0	4
"394"	0	2	3	1	0	1	0	7440	1	106000	0	4
"395"	0	1	3	1	1	0	0	6600	1	72000	1	1
"396"	0	1	3	1	1	1	0	7200	1	74500	1	2
"397"	0	2	3	1	1	1	0	6710	1	77000	1	2
"398"	0	2	4	1	1	1	0	6660	1	80750	1	2
"399"	0	1	3	1	1	2	0	7000	1	82900	0	1
"400"	1	1	3	1	1	0	0	7231	1	85000	1	2
"401"	1	1	3	1	1	2	0	7410	1	92500	1	1
"402"	1	1	3	1	1	2	0	7800	1	76000	0	1
"403"	1	1	3	1	1	0	0	6825	1	77500	1	1
"404"	0	1	3	1	0	0	0	6360	1	80000	0	3
"405"	0	2	4	1	1	0	0	6600	1	80000	0	1
"406"	0	2	3	1	1	0	0	6900	1	86000	1	1
"407"	0	1	3	1	1	2	0	6600	1	87000	1	1
"408"	0	1	3	1	1	0	0	6420	1	87500	0	3
"409"	1	2	3	1	1	0	0	6600	1	89000	0	1
"410"	1	2	3	1	0	0	0	6600	1	89900	0	3
"411"	0	1	3	1	1	1	0	9000	1	90000	0	1
"412"	1	2	3	1	0	0	0	6500	1	95000	0	3
"413"	1	2	3	1	0	0	0	6360	1	112000	0	4
"414"	1	1	3	0	0	0	0	5300	1	31900	0	1
"415"	0	2	3	0	1	0	0	2850	1	52000	0	2
"416"	1	1	3	1	1	1	0	6400	1	90000	1	1
"417"	1	1	3	1	1	1	0	11175	1	100000	0	1
"418"	0	1	2	1	1	2	0	6750	1	91700	1	1
"419"	1	2	4	1	1	3	0	7500	1	174500	0	2
"420"	0	1	3	1	0	1	1	6000	1	94700	0	2
"421"	1	1	2	1	0	2	0	10240	1	68000	0	1
"422"	1	1	3	1	1	0	0	5136	1	80000	1	2
"423"	0	1	3	1	1	2	0	3400	1	61100	0	2
"424"	0	1	3	1	0	0	0	2880	1	62900	0	2
"425"	0	1	3	1	0	1	0	3840	1	65500	0	2
"426"	0	1	2	1	1	0	0	2870	1	66000	1	2
"427"	0	1	2	1	0	1	0	5320	1	49500	0	1
"428"	0	1	2	1	0	1	0	3512	1	50000	0	1
"429"	0	1	2	1	0	0	0	3480	1	53500	0	1
"430"	1	1	3	1	1	0	0	3600	1	58550	0	1
"431"	0	1	2	1	0	0	0	3520	1	64500	0	2
"432"	0	1	3	1	1	0	0	5320	1	65000	1	2
"433"	0	1	3	1	0	2	0	6040	1	69000	0	1
"434"	0	1	2	1	0	0	0	11410	1	73000	0	2
"435"	1	1	3	1	1	2	0	8400	1	75000	1	2
"436"	1	2	4	1	0	0	0	5300	1	75000	0	1
"437"	0	2	3	1	0	0	0	7800	1	132000	0	2
"438"	0	1	3	1	0	0	0	3520	1	60000	0	2
"439"	0	1	3	1	0	2	0	5360	1	65000	0	2
"440"	1	1	3	1	0	2	0	6862	1	69000	0	2
"441"	0	1	3	1	0	2	0	3520	1	51900	0	1
"442"	0	1	2	1	1	0	0	4050	1	57000	1	2
"443"	0	1	3	1	0	0	0	3520	1	65000	0	1
"444"	1	1	4	1	0	2	0	4400	1	79500	0	2
"445"	1	1	2	1	0	0	0	5720	1	72500	0	2
"446"	0	1	4	1	1	1	0	11440	1	104900	0	2
"447"	0	2	3	1	0	1	1	7482	1	114900	0	3
"448"	1	2	4	1	1	1	0	5500	1	120000	0	2
"449"	0	1	3	1	0	2	0	4320	1	58000	0	2
"450"	0	1	2	1	0	0	0	5400	1	67000	0	2
"451"	0	1	3	1	0	0	0	4320	1	67000	0	1
"452"	1	1	2	1	0	0	0	4815	1	69000	0	1
"453"	1	1	3	1	1	0	0	6100	1	73000	0	1
"454"	0	1	3	1	0	1	0	7980	1	73500	0	1
"455"	0	1	3	1	1	0	0	6050	1	74900	0	1
"456"	0	1	3	1	1	1	0	3800	1	75000	1	2
"457"	1	1	5	1	1	0	0	5400	1	79500	1	2
"458"	1	2	3	1	1	0	0	6000	1	120900	1	4
"459"	0	1	3	1	0	0	0	2398	1	44555	0	1
