winet	fortw	dryw	sweetw	red	rose	spark
112	2676	2961	254	1763	74	1650
113	3145	3163	309	2200	73	1654
114	3224	2880	310	2067	91	1406
115	4117	3331	379	2503	86	1971
116	3446	3062	294	2141	74	1968
117	2482	3534	356	2103	87	2608
118	2349	3622	318	1972	87	3845
119	2986	4464	405	2181	109	4514
120	3163	5411	545	2344	137	6694
121	1651	2564	268	970	43	1720
122	1725	2820	243	1199	69	1321
123	2622	3508	273	1718	73	1859
124	2316	3088	273	1683	77	1628
125	2976	3299	236	2025	69	1615
126	3263	2939	222	2051	76	1457
127	3951	3320	302	2439	78	1899
128	2917	3418	285	2353	70	1605
129	2380	3604	309	2230	83	2424
130	2458	3495	322	1852	65	3116
131	2883	4163	362	2147	110	4286
132	2579	4882	471	2286	132	6047
133	1330	2211	198	1007	54	1902
134	1686	3260	253	1665	55	2049
135	2457	2992	173	1642	66	1874
136	2514	2425	186	1518	65	1279
137	2834	2707	185	1831	60	1432
138	2757	3244	105	2207	65	1540
139	3425	3965	228	2822	96	2214
140	3006	3315	214	2393	55	1857
141	2369	3333	189	2306	71	2408
142	2017	3583	270	1785	63	3252
143	2507	4021	277	2047	74	3627
144	3168	4904	378	2171	106	6153
145	1545	2252	185	1212	34	1577
146	1643	2952	182	1335	47	1667
147	2112	3573	258	2011	56	1993
148	2415	3048	179	1860	53	1997
149	2862	3059	197	1954	53	1783
150	2822	2731	168	2152	55	1625
151	3260	3563	250	2835	67	2076
152	2606	3092	211	2224	52	1773
153	2264	3478	260	2182	46	2377
154	2250	3478	234	1992	51	3088
155	2545	4308	305	2389	58	4096
156	2856	5029	347	2724	91	6119
157	1208	2075	203	891	33	1494
158	1412	3264	217	1247	40	1564
159	1964	3308	227	2017	46	1898
160	2018	3688	242	2257	45	2121
161	2329	3136	185	2255	41	1831
162	2660	2824	175	2255	55	1515
163	2923	3644	252	3057	57	2048
164	2626	4694	319	3330	54	2795
165	2132	2914	202	1896	46	1749
166	1772	3686	254	2096	52	3339
167	2526	4358	336	2374	48	4227
168	2755	5587	431	2535	77	6410
169	1154	2265	150	1041	30	1197
170	1568	3685	280	1728	35	1968
171	1965	3754	187	2201	42	1720
172	2659	3708	279	2455	48	1725
173	2354	3210	193	2204	44	1674
174	2592	3517	227	2660	45	1693
175	2714	3905	225	3670	46	2031
176	2294	3670	205	2665	44	1495
177	2416	4221	259	2639	46	2968
178	2016	4404	254	2226	51	3385
179	2799	5086	275	2586	63	3729
180	2467	5725	394	2684	84	5999
181	1153	2367	159	1185	30	1070
182	1482	3819	230	1749	39	1402
183	1818	4067	188	2459	45	1897
184	2262	4022	195	2618	52	1862
185	2612	3937	189	2585	28	1670
186	2967	4365	220	3310	40	1688
187	3179	4290	274	3923	62	2031
