good    broken 
 6639.91    6648.4
 -594.49    -593.3
-7481.34   -7484.0
-9983.06   -9990.5
-6639.21   -6640.5
  594.10     594.0
 7477.74    7480.5
 9983.87    9980.6
 6637.54    6635.5
 -596.05    -593.8
-7478.00   -7473.3
-9980.82   -9970.3
-6638.17   -6625.5
  591.55     593.8
 7476.90    7463.6
 9980.74    9962.5
 6636.51    6622.3
 -594.54    -593.4
-7476.40   -7459.1
-9980.59   -9952.8
-6634.95   -6614.5
  594.44     594.7
 7477.22    7454.9
 9979.85    9949.3
 6635.89    6612.6
 -595.32    -595.2
-7475.05   -7451.4
-9980.44   -9943.8
-6636.00   -6609.2
  594.19     594.6
 7475.91    7450.7
 9979.34    9941.7
 6635.54    6610.1
 -594.04    -593.4
-7476.19   -7452.0
-9978.69   -9941.7
-6634.84   -6610.8
  595.59     594.5
 7473.94    7453.7
 9979.38    9946.2
 6636.22    6613.6
 -594.87    -594.9
-7475.77   -7456.5
-9979.79   -9953.5
-6636.58   -6618.3
  595.30     595.3
 7478.96    7463.8
 9980.44    9961.3
 6636.44    6623.3
 -595.63    -595.5
-7478.19   -7469.3
-9982.02   -9970.5
-6637.79   -6629.9
  594.84     593.3
 7477.69    7474.1
 9984.71    9979.7
 6638.39    6638.3
 -593.31    -594.1
-7481.54   -7482.1
-9982.33   -9990.8
-6640.25   -6644.9
  595.36     593.4
 7480.34    7489.2
 9983.61    9999.8
 6640.92    6651.9
 -595.14    -593.1
-7481.14   -7495.1
-9985.87  -10009.5
-6640.83   -6659.2
  595.39     594.4
 7481.51    7500.6
 9986.56   10013.8
 6640.23    6662.4
 -594.07    -595.2
-7481.21   -7505.3
-9987.46  -10020.2
-6639.14   -6664.4
  594.58     595.0
 7482.44    7505.7
 9987.24   10022.9
 6641.00    6666.5
 -594.75    -594.9
-7480.83   -7508.1
-9987.33  -10023.5
-6639.04   -6665.5
  594.06     594.9
 7483.24    7505.6
 9987.55   10019.6
 6640.87    6662.8
 -593.88    -594.7
-7482.31   -7503.9
-9985.23  -10014.3
-6639.37   -6660.1
  594.54     593.0
 7480.38    7497.0
 9984.21   10006.4
 6639.86    6655.6
 -593.37    -595.4
-7480.75   -7493.7
-9984.14   -9999.5
-6640.56   -6649.1
  594.94     595.1
 7480.91    7486.0
 9984.56    9990.0
 6639.40    6642.0
 -596.31    -594.8
-7478.42   -7478.6
-9981.61   -9978.7
-6638.23   -6634.0
  594.61     593.9
 7477.33    7473.4
 9981.76    9971.1
 6636.86    6628.1
 -596.01    -595.6
-7477.90   -7464.4
-9978.81   -9961.6
-6636.90   -6621.7
  595.18     594.8
 7477.91    7457.5
 9979.41    9955.2
 6635.70    6616.6
 -594.97    -593.5
-7475.77   -7451.9
-9979.87   -9945.6
-6635.42   -6612.8
  594.15     595.6
 7473.94    7453.7
 9977.03    9943.6
 6636.37    6610.7
 -594.63    -593.2
-7475.27   -7449.8
-9976.43   -9942.2
-6633.93   -6611.5
  595.12     593.6
 7476.50    7449.7
 9978.25    9940.9
 6637.12    6612.0
 -593.85    -597.2
-7477.51   -7454.0
-9978.97   -9946.9
-6637.76   -6613.3
  594.25     592.3
 7474.13    7456.9
 9980.71    9953.4
 6635.66    6619.8
 -594.87    -594.3
-7477.41   -7462.2
-9979.56   -9960.5
-6636.19   -6625.1
  595.01     593.0
 7477.28    7469.3
 9979.72    9969.2
 6637.14    6631.1
 -594.16    -595.4
-7479.37   -7475.5
-9982.13   -9981.0
-6639.40   -6635.9
  594.43     595.6
 7479.38    7481.1
 9982.92    9991.2
 6638.77    6645.1
 -592.68    -594.6
-7479.18   -7488.7
-9982.91   -9999.6
-6640.52   -6651.9
  594.61     594.5
 7481.72    7494.7
 9984.81   10006.2
 6638.04    6657.1
 -594.10    -593.5
-7482.98   -7500.2
-9986.36  -10015.3
-6639.29   -6662.5
  595.06     592.7
 7482.55    7503.9
 9986.34   10018.4
 6640.81    6665.9
 -595.37    -595.1
-7480.08   -7506.2
-9986.24  -10023.8
-6641.77   -6666.8
  595.31     595.8
 7482.80    7507.3
 9988.18   10024.2
 6640.40    6667.5
 -594.83    -596.0
-7482.00   -7507.5
-9986.41  -10020.4
-6641.16   -6665.1
  594.15     595.4
 7482.73    7502.4
 9984.86   10016.0
 6640.02    6660.9
 -593.79    -594.0
-7479.71   -7497.4
-9985.64  -10007.7
-6640.40   -6656.7
  594.97     595.8
 7481.28    7494.0
 9983.77    9999.5
 6637.84    6647.6
 -592.73    -594.9
-7478.17   -7485.9
-9983.78   -9991.2
-6638.65   -6640.3
  592.68     594.1
 7479.47    7480.0
 9983.68    9979.2
 6636.24    6633.8
 -595.22    -595.5
-7478.84   -7472.1
-9981.76   -9969.4
-6639.22   -6628.6
  594.94     594.8
 7476.00    7465.4
 9980.15    9959.5
 6637.16    6621.7
 -594.64    -593.1
-7476.07   -7458.9
-9979.43   -9953.1
-6636.70   -6616.6
  595.09     592.6
 7476.08    7453.3
 9980.58    9947.6
 6635.65    6610.8
 -593.59    -594.9
-7476.00   -7453.9
-9981.45   -9943.3
-6636.82   -6609.0
  594.02     593.6
 7476.31    7450.8
 9975.97    9941.8
 6636.37    6610.1
 -595.05    -594.4
-7476.87   -7451.1
-9980.00   -9942.4
-6636.99   -6611.0
  594.50     592.9
 7476.85    7454.6
 9976.71    9947.0
 6634.84    6615.5
 -593.91    -595.5
-7477.17   -7456.5
-9977.24   -9954.8
-6635.05   -6619.1
  595.04     593.8
 7477.24    7460.8
 9980.45    9961.1
 6636.16    6625.1
 -593.81    -595.3
-7476.38   -7467.7
-9980.00   -9969.5
-6638.34   -6630.6
  592.82     594.3
 7478.43    7475.9
 9982.51    9980.0
 6639.58    6637.1
 -595.76    -594.5
-7478.89   -7483.7
-9982.83   -9988.5
-6637.74   -6645.0
  594.41     592.6
 7479.58    7489.6
 9982.87    9998.1
 6639.07    6651.9
 -594.80    -594.6
-7478.21   -7495.7
-9982.42  -10008.0
-6640.33   -6658.4
  593.40     595.2
 7479.10    7500.9
 9986.07   10015.1
 6639.53    6660.1
 -592.16    -595.7
-7482.34   -7506.4
-9985.92  -10018.7
-6637.11   -6662.8
  593.33     596.5
 7481.98    7507.3
 9985.18   10021.2
 6641.40    6667.1
 -595.32    -593.6
-7481.64   -7508.5
-9986.58  -10021.9
-6642.19   -6666.4
  594.45     593.3
 7482.58    7504.5
 9987.63   10019.3
 6639.42    6664.4
 -594.69    -593.0
-7480.13   -7502.2
-9986.67  -10014.6
-6642.94   -6659.4
  593.51     594.0
 7479.87    7497.5
 9984.91   10008.6
 6639.49    6656.4
 -594.21    -592.9
-7480.68   -7493.1
-9983.65   -9999.5
-6639.64   -6649.3
  595.63     594.3
 7478.86    7485.6
 9983.36    9989.9
 6637.70    6642.0
 -594.23    -593.0
-7478.95   -7479.6
-9983.75   -9978.8
-6638.02   -6634.8
  595.62     594.2
 7478.88    7472.3
 9981.22    9969.8
 6636.00    6628.4
 -593.27    -592.4
-7477.46   -7463.3
-9980.63   -9963.3
-6634.93   -6622.2
  593.67     593.8
 7477.27    7460.4
 9980.68    9952.6
 6636.65    6615.9
 -594.75    -593.7
-7476.93   -7453.3
-9978.46   -9947.9
-6635.16   -6612.6
  594.46     594.5
 7477.53    7454.2
 9978.38    9943.8
 6634.75    6610.2
 -593.91    -594.5
-7478.28   -7450.8
-9977.92   -9943.1
-6634.91   -6608.1
  594.22     592.9
 7475.00    7450.8
 9978.05    9942.0
 6637.09    6610.9
 -595.19    -593.5
-7478.67   -7452.9
-9978.00   -9948.6
-6636.34   -6613.0
  593.93     595.1
 7475.50    7455.6
 9979.38    9954.0
 6636.99    6618.9
 -595.03    -594.2
-7477.84   -7461.7
-9979.08   -9960.6
-6637.11   -6625.6
  594.28     595.2
 7477.23    7468.4
 9981.98    9970.4
 6636.53    6630.3
 -593.59    -595.0
-7477.74   -7474.8
-9982.53   -9980.1
-6637.38   -6639.8
  595.43     593.3
 7479.83    7482.6
 9985.09    9989.4
 6636.97    6645.4
 -595.61    -593.6
-7481.32   -7488.4
-9983.85   -9999.4
-6638.01   -6651.5
  596.12     595.3
 7481.05    7494.5
 9985.75   10009.4
 6640.02    6656.4
 -593.97    -593.3
-7480.70   -7502.0
-9986.31  -10015.0
-6640.91   -6661.3
  594.31     594.3
 7482.85    7506.6
 9985.00   10020.6
 6638.81    6664.1
 -593.67    -593.6
-7482.49   -7507.9
-9986.72  -10021.0
-6640.15   -6664.9
  593.68     593.7
 7481.38    7506.2
 9987.79   10023.1
 6641.54    6666.4
 -593.90    -595.2
-7481.73   -7505.8
-9987.17  -10021.4
-6642.29   -6663.8
  594.22     594.0
 7483.29    7502.0
 9985.77   10013.4
 6640.57    6659.4
 -594.11    -595.2
-7481.22   -7499.6
-9986.27  -10008.0
-6637.22   -6653.9
  594.02     596.1
 7479.96    7493.2
 9982.23    9998.6
 6639.02    6650.9
 -594.69    -593.4
-7479.86   -7485.3
-9984.85   -9989.9
-6636.80   -6642.4
  596.21     594.8
 7479.59    7478.6
 9980.96    9979.0
 6638.59    6636.5
 -594.69    -595.0
-7478.51   -7473.3
-9979.72   -9971.9
-6638.42   -6628.6
  593.93     594.0
 7476.80    7465.5
 9980.19    9960.3
 6634.99    6622.3
 -595.15    -595.5
-7476.25   -7458.7
-9978.94   -9953.8
-6637.02   -6616.4
  595.00     594.0
 7474.08    7454.7
 9978.47    9946.6
 6636.38    6611.9
 -595.10    -595.7
-7476.24   -7451.6
-9980.04   -9944.0
-6634.60   -6611.6
  592.59     594.1
 7475.75    7451.2
 9978.06    9940.9
 6635.47    6610.5
 -595.27    -593.3
-7474.29   -7452.0
-9979.87   -9944.9
-6635.29   -6611.1
  591.50     593.6
 7476.34    7453.4
 9979.32    9946.7
 6634.76    6614.3
 -593.74    -593.2
-7476.39   -7457.8
-9978.42   -9953.9
-6637.14   -6618.6
  593.47     595.4
 7475.46    7461.9
 9979.85    9961.3
 6635.53    6625.6
 -593.75    -593.0
-7477.79   -7467.4
-9978.89   -9971.3
-6638.68   -6630.9
  595.62     594.8
 7478.02    7476.6
 9980.61    9980.8
 6638.80    6637.9
 -595.88    -593.7
-7480.31   -7483.1
-9983.80   -9989.4
-6638.72   -6645.9
  593.44     593.6
 7481.02    7488.7
 9982.82   10001.1
 6639.81    6653.2
 -594.30    -595.6
-7481.63   -7495.0
-9985.30  -10007.2
-6640.82   -6656.1
  595.40     592.6
 7482.63    7501.1
 9984.51   10013.7
 6641.55    6663.5
 -594.52    -595.4
-7483.42   -7503.8
-9986.79  -10017.4
-6640.46   -6664.6
  594.59     593.5
 7479.23    7507.1
 9986.87   10022.7
 6641.71    6668.0
 -594.75    -595.0
-7482.43   -7504.7
-9984.31  -10022.8
-6641.10   -6665.1
  594.43     594.0
 7480.46    7507.9
 9984.69   10019.6
 6639.27    6662.5
 -594.86    -596.0
-7479.93   -7503.1
-9983.80  -10017.1
-6638.84   -6659.4
  595.74     595.5
 7480.60    7498.1
 9983.64   10007.4
 6639.56    6655.9
 -596.86    -594.0
-7480.57   -7493.4
-9982.36   -9999.3
-6639.14   -6647.7
  595.54     594.8
 7480.09    7485.6
 9982.29    9990.1
 6640.33    6642.6
 -594.52    -594.9
-7479.87   -7479.7
-9981.99   -9981.8
-6639.39   -6633.2
  595.31     596.0
 7478.70    7471.7
 9980.73    9969.4
 6636.70    6628.3
 -593.51    -594.1
-7478.60   -7466.0
-9981.16   -9960.4
-6636.14   -6620.6
  593.99     595.3
 7477.89    7459.2
 9979.20    9952.8
 6637.25    6615.9
 -593.95    -595.2
-7478.76   -7456.2
-9980.15   -9946.1
-6634.39   -6612.0
  595.13     593.3
 7475.24    7450.1
 9977.10    9945.0
 6636.48    6609.3
 -595.25    -594.0
-7474.27   -7451.0
-9976.55   -9942.8
-6636.86   -6610.1
  593.60     593.2
 7474.87    7453.0
 9979.11    9943.4
 6634.25    6610.9
 -596.48    -593.9
-7474.32   -7454.2
-9977.81   -9947.8
-6635.02   -6613.5
  593.78     593.0
 7476.71    7458.0
 9980.02    9951.9
 6635.01    6619.1
 -594.57    -594.9
-7477.06   -7462.5
-9978.48   -9961.4
-6636.22   -6623.8
  595.72     595.0
 7478.00    7468.8
 9979.97    9969.2
 6637.19    6631.5
 -596.11    -594.0
-7477.62   -7476.6
-9980.65   -9979.5
-6638.29   -6638.1
  593.46     595.2
 7480.34    7482.7
 9983.21    9992.0
 6638.55    6643.8
 -593.32    -593.1
-7480.70   -7488.6
-9982.87   -9997.6
-6640.43   -6649.8
  594.83     593.8
 7481.45    7495.3
 9983.53   10008.2
 6640.56    6657.8
 -594.55    -594.9
-7480.40   -7502.4
-9986.34  -10015.2
-6640.70   -6662.2
  595.82     593.4
 7481.63    7505.6
 9986.86   10019.7
 6640.70    6665.3
 -595.47    -595.1
-7481.69   -7508.5
-9987.51  -10023.1
-6643.65   -6666.6
  595.61     594.4
 7480.63    7507.5
 9984.46   10021.4
 6642.00    6665.9
 -594.45    -593.7
-7482.19   -7506.0
-9986.21  -10018.8
-6641.21   -6663.0
  595.44     593.6
 7482.01    7503.5
 9983.83   10015.7
 6640.76    6660.2
 -593.72    -594.7
-7480.17   -7497.5
-9987.29  -10008.1
-6640.13   -6654.3
  596.42     594.8
 7481.06    7492.4
 9982.31    9998.2
 6637.61    6649.3
 -593.95    -596.0
-7479.78   -7486.6
-9982.10   -9989.6
-6638.29   -6642.0
  594.52     594.8
 7479.08    7479.6
 9982.23    9979.1
 6636.61    6635.2
 -592.09    -592.6
-7479.61   -7471.7
-9981.10   -9969.1
-6637.73   -6628.6
  596.24     594.0
 7478.55    7463.7
 9979.61    9959.3
 6636.77    6623.4
 -593.28    -594.8
-7474.73   -7459.9
-9979.10   -9951.8
-6637.09   -6615.6
  593.46     592.6
 7478.52    7454.9
 9976.74    9945.3
 6638.73    6612.2
 -594.70    -595.3
-7476.66   -7452.7
-9978.28   -9943.6
-6634.52   -6611.1
  594.75     595.4
 7474.12    7451.1
 9978.67    9943.7
 6635.86    6611.4
 -593.78    -593.3
-7477.15   -7452.5
-9980.81   -9943.0
-6635.86   -6609.8
  593.50     593.1
 7475.57    7452.1
 9977.86    9946.3
 6635.44    6614.7
 -594.75    -593.8
-7475.92   -7456.8
-9978.41   -9951.2
-6637.09   -6618.2
  594.13     595.7
 7477.60    7461.0
 9981.57    9959.0
 6636.81    6624.4
 -596.14    -594.9
-7477.63   -7469.6
-9981.20   -9970.5
-6635.75   -6630.8
  594.79     592.3
 7477.92    7473.8
 9981.63    9980.6
 6637.72    6639.2
 -594.26    -595.4
-7479.08   -7482.2
-9982.15   -9990.0
-6638.61   -6647.1
  594.08     593.2
 7479.00    7490.4
 9984.65    9999.9
 6639.53    6652.9
 -594.26    -594.6
-7479.46   -7495.3
-9983.11  -10006.8
-6641.12   -6658.9
  596.09     595.9
 7480.21    7501.1
 9985.82   10015.0
 6640.84    6662.8
 -594.72    -594.5
-7480.06   -7505.4
-9986.69  -10019.0
-6640.26   -6665.2
  594.43     595.3
 7480.75    7505.4
 9987.50   10022.8
 6638.96    6666.4
 -594.97    -592.8
-7483.26   -7507.3
-9986.09  -10022.2
-6640.74   -6665.3
  593.32     594.1
 7482.24    7507.2
 9985.00   10019.4
 6641.45    6664.2
 -594.20    -593.7
-7480.57   -7503.8
-9986.49  -10013.8
-6640.31   -6661.0
  593.98     594.2
 7479.37    7497.8
 9985.02   10007.9
 6641.67    6654.2
 -595.09    -594.9
-7480.46   -7491.0
-9983.33   -9996.8
-6639.23   -6649.8
  596.39     594.2
 7480.34    7486.4
 9985.39    9990.4
 6638.93    6641.7
 -595.58    -595.2
-7478.48   -7479.5
-9982.99   -9978.8
-6638.88   -6634.0
  594.25     594.8
 7479.13    7471.3
 9981.42    9970.7
 6638.00    6628.5
 -593.53    -594.1
-7477.71   -7466.0
-9982.58   -9961.3
-6635.77   -6623.3
  596.61     594.3
 7477.02    7459.1
 9978.05    9952.9
 6635.68    6615.5
 -595.38    -593.4
-7476.55   -7456.6
-9978.14   -9946.3
-6634.80   -6612.8
  594.68     594.8
 7475.27    7451.9
 9979.26    9943.3
 6636.80    6610.2
 -592.19    -596.1
-7476.57   -7451.1
-9977.84   -9942.2
-6634.21   -6610.4
  594.33     594.9
 7476.64    7451.2
 9978.66    9944.1
 6635.41    6611.3
 -594.27    -595.6
-7475.37   -7453.8
-9978.40   -9947.7
-6636.31   -6612.7
  592.20     594.2
 7475.92    7458.3
 9979.38    9955.9
 6633.78    6617.6
 -592.23    -592.9
-7478.72   -7461.6
-9981.33   -9962.1
-6635.41   -6624.6
  592.25     594.8
 7478.60    7469.9
 9980.74    9970.6
 6637.98    6631.5
 -593.56    -594.5
-7479.50   -7475.4
-9982.77   -9981.1
-6641.23   -6636.3
  593.48     595.5
 7479.63    7481.5
 9983.57    9990.4
 6640.96    6645.4
 -594.38    -596.3
-7479.48   -7489.2
-9983.95   -9999.2
-6640.08   -6653.0
  595.19     594.0
 7481.03    7496.3
 9985.00   10008.4
 6639.35    6657.4
 -594.48    -593.9
-7480.30   -7501.7
-9984.88  -10014.6
-6641.10   -6663.9
  593.77     594.6
 7481.97    7508.0
 9987.08   10019.9
 6641.04    6665.9
 -594.76    -594.5
-7482.56   -7506.3
-9986.70  -10022.7
-6642.54   -6664.1
  593.75     594.7
 7482.86    7505.1
 9987.40   10023.1
 6640.14    6666.5
 -594.23    -594.3
-7481.52   -7506.0
-9987.70  -10019.5
-6639.98   -6663.7
  592.53     595.1
 7480.04    7503.3
 9986.55   10013.8
 6639.87    6661.1
 -594.66    -595.2
-7482.46   -7497.9
-9986.32  -10008.1
-6639.54   -6656.1
  594.27     595.9
 7479.67    7491.6
 9982.69    9997.9
 6638.17    6649.2
 -592.41    -594.0
-7479.93   -7486.3
-9982.29   -9988.5
-6637.80   -6640.4
  595.21     594.7
 7479.19    7479.0
 9980.81    9979.6
 6636.87    6634.2
 -593.69    -593.4
-7479.50   -7473.8
-9980.55   -9970.7
-6637.72   -6628.9
  594.04     595.5
 7476.75    7465.3
 9979.94    9958.2
 6637.44    6621.7
 -593.99    -594.2
-7477.19   -7459.6
-9978.53   -9952.9
-6634.39   -6617.0
  594.44     594.0
 7476.98    7455.4
 9979.09    9946.0
 6634.69    6612.7
 -595.37    -594.7
-7474.29   -7452.4
-9977.56   -9945.4
-6634.71   -6611.0
  594.59     594.2
 7476.56    7451.6
 9978.47    9941.7
 6635.45    6609.6
 -594.22    -596.2
-7477.13   -7450.4
-9976.04   -9944.7
-6634.74   -6611.3
  594.19     593.8
 7477.55    7452.9
 9978.18    9947.9
 6637.55    6614.9
 -594.84    -593.4
-7479.04   -7457.2
-9978.04   -9950.6
-6635.16   -6619.6
  593.67     594.2
 7475.83    7462.4
 9978.34    9963.4
 6636.60    6624.9
 -596.28    -593.7
-7478.67   -7467.8
-9980.92   -9971.1
-6636.67   -6630.8
  593.62     593.7
 7478.42    7475.5
 9982.32    9979.2
 6639.95    6637.2
 -595.40    -595.0
-7480.86   -7481.8
-9984.91   -9988.1
-6638.38   -6645.3
  594.38     595.8
 7480.71    7489.7
 9983.88    9999.2
 6639.99    6652.0
 -594.22    -593.6
-7480.54   -7496.1
-9985.49  -10008.3
-6638.90   -6656.2
  594.04     593.9
 7481.74    7499.5
 9985.72   10014.7
 6642.40    6662.5
 -593.73    -592.9
-7481.80   -7503.1
-9986.05  -10018.9
-6641.04   -6665.2
  592.35     595.0
 7483.37    7506.6
 9987.35   10020.9
 6640.29    6665.8
 -594.06    -595.3
-7481.48   -7507.4
-9987.42  -10024.1
-6639.52   -6666.7
  594.19     593.7
 7481.77    7507.9
 9986.44   10018.3
 6639.79    6663.6
 -595.53    -594.3
-7481.34   -7501.6
-9984.98  -10015.3
-6640.34   -6661.5
  595.15     594.4
 7481.17    7496.4
 9985.41   10008.1
 6638.49    6655.8
 -593.77    -592.9
-7481.05   -7493.1
-9984.49   -9996.7
-6639.38   -6648.6
  592.79     594.3
 7479.50    7486.0
 9982.63    9988.2
 6637.87    6642.9
 -595.00    -593.5
-7477.65   -7480.4
-9983.32   -9981.0
-6638.09   -6635.2
  591.97     595.9
 7477.52    7471.8
 9980.58    9968.3
 6638.73    6628.3
 -595.40    -595.4
-7478.41   -7464.9
-9981.57   -9961.7
-6636.39   -6621.1
  595.60     595.1
 7475.76    7459.2
 9978.98    9954.3
 6637.42    6616.8
 -595.13    -594.8
-7475.82   -7453.9
-9978.42   -9946.6
-6636.98   -6612.4
  595.66     594.7
 7477.00    7453.0
 9977.95    9944.3
 6634.55    6609.9
 -594.83    -595.1
-7475.26   -7449.7
-9978.88   -9942.6
-6637.28   -6609.0
  594.30     596.2
 7476.89    7450.5
 9977.28    9943.0
 6635.30    6611.0
 -595.66    -593.8
-7476.22   -7453.2
-9978.94   -9947.6
-6635.88   -6614.3
  593.82     593.6
 7476.01    7457.2
 9980.27    9953.8
 6636.40    6619.8
 -594.63    -595.1
-7480.45   -7462.8
-9981.45   -9960.6
-6636.10   -6623.9
  594.04     594.4
 7476.65    7467.3
 9980.64    9971.7
 6637.15    6630.6
 -594.94    -595.2
-7478.05   -7476.7
-9980.54   -9979.4
-6637.24   -6637.8
  595.69     594.2
 7478.92    7482.0
 9983.91    9990.9
 6637.95    6647.5
 -594.58    -594.6
-7477.75   -7489.3
-9984.03  -10000.2
-6639.90   -6652.8
  593.86     595.2
 7481.33    7495.2
 9986.97   10006.8
 6640.58    6658.2
 -594.70    -596.1
-7479.00   -7502.2
-9986.33  -10013.7
-6639.49   -6661.8
  594.02     594.6
 7480.44    7503.2
 9987.25   10019.5
 6639.12    6664.7
 -594.75    -596.0
-7481.66   -7506.4
-9986.73  -10021.3
-6642.69   -6668.6
  593.80     593.6
 7480.16    7507.3
 9988.21   10022.7
 6639.15    6667.7
 -596.55    -595.6
-7480.89   -7505.8
-9985.13  -10018.8
-6640.98   -6664.7
  594.24     593.1
 7482.01    7502.1
 9986.95   10013.7
 6638.82    6660.2
 -593.14    -594.6
-7480.64   -7497.4
-9985.21  -10007.5
-6638.63   -6655.1
  595.38     594.8
 7481.54    7493.4
 9983.73    9999.7
 6640.05    6648.4
 -594.15    -596.7
-7480.12   -7486.8
-9981.31   -9991.0
-6638.42   -6641.4
  594.39     592.2
 7479.43    7480.2
 9982.46    9979.6
 6637.17    6634.7
 -594.50    -594.3
-7475.59   -7471.7
-9981.15   -9971.2
-6637.48   -6628.5
  595.18     594.5
 7477.94    7464.6
 9979.64    9960.3
 6635.48    6622.5
 -593.59    -594.5
-7476.84   -7459.3
-9978.92   -9952.0
-6636.34   -6618.2
  592.79     594.7
 7476.58    7455.4
 9981.20    9945.0
 6634.21    6612.0
 -595.43    -594.4
-7477.54   -7451.5
-9978.81   -9943.5
-6634.07   -6609.0
  594.29     593.2
 7475.82    7451.9
 9977.03    9942.1
 6635.47    6611.4
 -593.41    -594.5
-7473.86   -7450.5
-9977.13   -9942.9
-6636.41   -6610.8
  593.94     594.0
 7476.95    7451.6
