UK NZ EU
0.55549 1.5603 0.83138
0.55368 1.553 0.83195
0.55817 1.5779 0.83964
0.56447 1.6036 0.84404
0.5654 1.5986 0.843
0.56573 1.599 0.84725
0.55991 1.5881 0.84372
0.55809 1.5862 0.83838
0.56409 1.6066 0.84491
0.56318 1.6085 0.83711
0.5637 1.6018 0.83483
0.56421 1.5972 0.83744
0.55835 1.5795 0.82806
0.55769 1.5702 0.82199
0.5572 1.5812 0.82688
0.56043 1.6208 0.84124
0.56426 1.6567 0.84507
0.56987 1.6545 0.84616
0.56355 1.6367 0.83951
0.56866 1.6619 0.84737
0.56853 1.6556 0.84185
0.56519 1.6543 0.83284
0.56505 1.6675 0.83551
0.56096 1.6437 0.83219
0.56458 1.6549 0.83847
0.5591 1.6327 0.83259
0.55133 1.6221 0.82588
0.55118 1.6149 0.82629
0.54436 1.5745 0.81475
0.54562 1.59 0.81902
0.54591 1.5846 0.82039
0.54459 1.5904 0.81892
0.54412 1.6043 0.81616
0.54391 1.6226 0.81935
0.54439 1.6133 0.81568
0.54386 1.5862 0.81164
0.54458 1.5935 0.81476
0.54656 1.6113 0.82688
0.54392 1.5751 0.82576
0.54991 1.5896 0.83234
0.55098 1.5977 0.82827
0.54699 1.5785 0.82381
0.54766 1.5891 0.83291
0.54495 1.6009 0.8304
0.54439 1.5941 0.82521
0.54612 1.5923 0.82612
0.54891 1.5947 0.82689
0.54983 1.5966 0.82712
0.54908 1.5763 0.82161
0.54894 1.5708 0.82333
0.54659 1.5589 0.82019
0.55286 1.5806 0.82465
0.55167 1.5812 0.82097
0.54638 1.5469 0.81236
0.54641 1.5436 0.8144
0.54285 1.5391 0.81359
0.53844 1.522 0.80744
0.53865 1.5214 0.80705
0.53894 1.5188 0.80725
0.53647 1.5121 0.8058
0.53938 1.5258 0.81289
0.53864 1.5325 0.80729
0.53961 1.5359 0.80938
0.53434 1.5184 0.80401
0.53375 1.5166 0.80442
0.53895 1.5221 0.80792
0.54476 1.5682 0.81811
0.54171 1.5551 0.81488
0.54566 1.5721 0.82488
0.5437 1.57 0.82395
0.54878 1.5928 0.82927
0.5488 1.5934 0.83021
0.55026 1.5773 0.82841
0.54957 1.5706 0.83106
0.54807 1.551 0.82994
0.54792 1.5495 0.82945
0.54847 1.5504 0.82985
0.54169 1.5296 0.81481
0.54334 1.529 0.81557
0.54385 1.5258 0.81255
0.54693 1.5287 0.81793
0.54916 1.5202 0.8179
0.54252 1.5036 0.80932
0.54366 1.5054 0.81091
0.54678 1.5037 0.81104
0.54859 1.5061 0.81295
0.546 1.4885 0.80822
0.54899 1.4853 0.81147
0.55116 1.4977 0.81982
0.5576 1.5322 0.82642
0.55662 1.5355 0.82711
0.55738 1.5407 0.82744
0.55793 1.5273 0.83157
0.55778 1.536 0.83006
0.5547 1.5238 0.82073
0.55748 1.5222 0.82111
0.55813 1.5415 0.82211
0.5631 1.5474 0.82973
0.56395 1.5467 0.82735
0.55913 1.5376 0.8221
0.55998 1.5355 0.82022
0.5561 1.5223 0.81428
0.55697 1.5247 0.81636
0.55533 1.5078 0.81505
0.56269 1.5212 0.82322
0.55753 1.5141 0.82096
0.55793 1.5162 0.82135
0.55922 1.5125 0.82165
0.55722 1.511 0.81524
0.55712 1.5079 0.81554
0.55552 1.4983 0.813
0.55455 1.4976 0.81568
0.55316 1.5002 0.81252
0.55243 1.4983 0.81273
0.55633 1.4944 0.81242
0.55245 1.4786 0.80503
0.55627 1.485 0.80641
0.56089 1.4937 0.81482
0.56082 1.4854 0.81198
0.56201 1.4798 0.81292
0.56108 1.4796 0.81407
0.55742 1.4633 0.80516
0.55932 1.4735 0.81174
0.55882 1.4887 0.81496
0.55637 1.4659 0.80676
0.55406 1.4545 0.80101
0.55522 1.4569 0.79857
0.55441 1.4532 0.79898
0.54987 1.4441 0.7921
0.54655 1.4399 0.7924
0.54716 1.4401 0.79124
0.54342 1.4254 0.78206
0.54459 1.434 0.78386
0.54578 1.4386 0.78581
0.54592 1.4602 0.78397
0.54508 1.4626 0.78436
0.54569 1.4634 0.78483
0.54427 1.4604 0.7875
0.54215 1.4548 0.78214
0.54266 1.4458 0.77655
0.53914 1.4403 0.7723
0.5384 1.444 0.77286
0.53809 1.4412 0.7738
0.5414 1.4622 0.774
0.53918 1.4437 0.77115
0.54116 1.4319 0.77275
0.53929 1.4279 0.77053
0.53799 1.4108 0.76706
0.54025 1.411 0.77047
0.53751 1.4044 0.7662
0.53795 1.4088 0.7665
0.53444 1.4025 0.76401
0.53147 1.4074 0.75965
0.52983 1.393 0.75536
0.52725 1.3914 0.75257
0.52777 1.3967 0.75276
0.52434 1.4008 0.75432
0.5182 1.3954 0.75146
0.52002 1.3922 0.75334
0.51629 1.3927 0.74667
0.5148 1.3883 0.74436
0.51384 1.3888 0.74415
0.51836 1.4178 0.75405
0.52162 1.4146 0.75389
0.52267 1.4208 0.75628
0.51984 1.4083 0.75116
0.52044 1.4131 0.75399
0.51449 1.3904 0.74501
0.51667 1.4104 0.75257
0.51571 1.4001 0.75232
0.51338 1.3947 0.74704
0.51923 1.4069 0.74764
0.52287 1.4032 0.74692
0.52104 1.4026 0.74127
0.51994 1.3942 0.73884
0.52206 1.4048 0.73706
0.52027 1.3935 0.7341
0.5219 1.3887 0.73877
0.53099 1.4148 0.7523
0.52962 1.4222 0.75214
0.53318 1.4329 0.75857
0.53491 1.4377 0.76581
0.53334 1.4396 0.7629
0.53208 1.4284 0.76004
0.52825 1.4149 0.75309
0.53094 1.4158 0.75691
0.53484 1.4333 0.76326
0.53754 1.434 0.76495
0.53511 1.4332 0.76673
0.53417 1.4228 0.76778
0.5344 1.4179 0.77184
0.53372 1.4021 0.76704
0.53258 1.3997 0.76687
0.53636 1.4105 0.77196
0.53125 1.3912 0.76446
0.5302 1.3982 0.76756
0.53025 1.4037 0.76739
0.53087 1.4065 0.76623
0.53217 1.406 0.76847
0.53083 1.4049 0.76792
0.532 1.4088 0.77173
0.53048 1.4044 0.77358
0.53749 1.4205 0.78298
0.53865 1.4281 0.78235
0.53825 1.4245 0.78153
0.53455 1.4045 0.77629
0.5361 1.4029 0.77748
0.52878 1.3978 0.7706
0.52933 1.3963 0.77052
0.53249 1.4013 0.76957
0.5279 1.3909 0.7644
0.52799 1.3816 0.7651
0.52724 1.3762 0.76505
0.52385 1.3699 0.75565
0.52433 1.3813 0.75672
0.52326 1.3839 0.75707
0.52222 1.3889 0.75788
0.51958 1.3731 0.75421
0.52057 1.3778 0.75847
0.5229 1.3762 0.76178
0.52386 1.3737 0.76197
0.51969 1.3603 0.75508
0.52177 1.3589 0.75659
0.51836 1.353 0.74969
0.51964 1.3596 0.74715
0.51983 1.3551 0.74578
0.51903 1.3525 0.74243
0.52318 1.3561 0.74916
0.52279 1.3505 0.75163
0.51937 1.343 0.74522
0.5198 1.3456 0.74792
0.52112 1.3433 0.75138
0.5271 1.357 0.75969
0.52641 1.3508 0.7571
0.53451 1.3867 0.76908
0.5345 1.4 0.77186
0.53612 1.4105 0.77664
0.53333 1.4059 0.77442
0.53162 1.4093 0.77258
0.52941 1.4037 0.77099
0.53218 1.4115 0.77562
0.53395 1.4144 0.77895
0.53275 1.413 0.77867
0.5323 1.4053 0.77724
0.53285 1.3982 0.77491
0.53123 1.3943 0.77472
0.5288 1.3861 0.77083
0.53078 1.3851 0.77693
0.52843 1.3805 0.77426
0.53171 1.386 0.77986
0.52831 1.3941 0.77363
0.5249 1.3952 0.76702
0.5218 1.3867 0.76733
0.52098 1.3746 0.76472
0.52351 1.374 0.76379
0.52219 1.3662 0.76521
0.52312 1.3712 0.77016
0.52524 1.3798 0.77133
0.52499 1.3863 0.77285
0.52372 1.3722 0.77435
0.52301 1.3621 0.77405
0.52748 1.3714 0.77769
0.52883 1.377 0.77594
0.52635 1.3671 0.77307
0.52505 1.36 0.77304
0.52857 1.3657 0.77919
0.53093 1.3683 0.77883
0.53115 1.3672 0.77655
0.53376 1.3686 0.78115
0.53622 1.3898 0.78697
0.53972 1.4044 0.79098
0.54449 1.4127 0.79177
0.54349 1.4086 0.79097
0.54404 1.4043 0.78991
0.54419 1.4033 0.79146
0.54822 1.4121 0.79651
0.54683 1.4023 0.79439
0.54612 1.4012 0.79357
0.54934 1.4057 0.7989
0.54868 1.4002 0.7957
0.54848 1.4045 0.80186
0.54849 1.416 0.80976
0.55191 1.4293 0.8175
0.55084 1.4297 0.81537
0.55199 1.4297 0.8179
0.54922 1.4096 0.81498
0.54584 1.3988 0.81458
0.54444 1.3984 0.8118
0.54921 1.4033 0.81855
0.55159 1.415 0.82451
0.55481 1.4206 0.83038
0.5537 1.4107 0.83068
0.54899 1.4045 0.82584
0.54934 1.3989 0.82727
0.54767 1.3941 0.81706
0.54853 1.3979 0.82381
0.54819 1.3961 0.8241
0.54894 1.3951 0.82449
0.54987 1.4134 0.8293
0.54887 1.4178 0.82736
0.548 1.4149 0.823
0.55077 1.4263 0.82798
0.55321 1.4316 0.8264
0.55778 1.4372 0.8266
0.56833 1.4711 0.83989
0.56918 1.4788 0.83938
0.56871 1.4803 0.83918
0.57403 1.4863 0.83796
0.57607 1.4875 0.83794
0.56921 1.473 0.82888
0.56342 1.4605 0.81985
0.5697 1.4896 0.82702
0.5687 1.4795 0.82726
0.57064 1.4846 0.83113
0.57056 1.4733 0.82811
0.57598 1.4841 0.83321
0.57795 1.4836 0.83015
0.57246 1.4618 0.82557
0.57486 1.4575 0.82845
0.57291 1.4626 0.82966
0.57474 1.4647 0.83318
0.57351 1.4702 0.83386
0.56977 1.4668 0.82625
0.56841 1.4639 0.82452
0.56408 1.4544 0.81926
0.56176 1.447 0.81071
0.56192 1.4446 0.80762
0.56353 1.4514 0.81139
0.55988 1.4431 0.80907
0.56044 1.4467 0.80995
0.55796 1.4409 0.80988
0.55345 1.4187 0.80436
0.55096 1.4133 0.80484
0.55291 1.4189 0.80906
0.55266 1.4211 0.81039
0.55328 1.423 0.81364
0.55722 1.4386 0.82133
0.55742 1.4424 0.82282
0.55496 1.4352 0.8175
0.55551 1.4342 0.8188
0.55652 1.4331 0.81691
0.55453 1.4343 0.81257
0.5538 1.4346 0.81158
0.55571 1.4418 0.81701
0.56058 1.454 0.81935
0.55512 1.4421 0.81082
0.54692 1.4221 0.80283
0.543 1.4177 0.79729
0.54288 1.4146 0.80116
0.54345 1.4166 0.80345
0.54403 1.4171 0.80649
0.54379 1.4158 0.80494
0.54852 1.4177 0.81386
0.54908 1.4252 0.81551
0.54813 1.4133 0.81424
0.55324 1.4188 0.81778
0.55444 1.4207 0.81885
0.55435 1.4266 0.82283
0.5542 1.4262 0.82126
0.5527 1.4312 0.81912
0.55815 1.4405 0.82307
0.56225 1.4563 0.82821
0.5627 1.4601 0.82952
0.56569 1.4735 0.83258
0.56697 1.4607 0.83222
0.5676 1.4456 0.83203
0.56512 1.4418 0.82918
0.56959 1.4469 0.83932
0.56868 1.4403 0.83913
0.56649 1.4384 0.83457
0.56413 1.4365 0.82418
0.56822 1.4358 0.82546
0.57182 1.442 0.83227
0.57046 1.434 0.83075
0.572 1.4517 0.83778
0.56565 1.4341 0.82834
0.5697 1.4356 0.83068
0.5716 1.4394 0.83737
0.56737 1.4305 0.83436
0.56493 1.4244 0.83513
0.56533 1.4308 0.83624
0.56468 1.4222 0.83359
0.56002 1.4182 0.82625
0.56291 1.4242 0.82771
0.56068 1.4146 0.82321
0.56243 1.4213 0.8272
0.56526 1.429 0.83376
0.56738 1.4326 0.83353
0.56326 1.4454 0.82873
0.56456 1.4517 0.83561
0.57119 1.4654 0.84558
0.57357 1.474 0.84795
0.57426 1.4629 0.84942
0.57442 1.4635 0.85122
0.57255 1.4552 0.85176
0.57643 1.4709 0.85724
0.57595 1.4593 0.85512
0.58259 1.4609 0.85667
0.58166 1.455 0.8537
0.58312 1.4559 0.8516
0.58267 1.4503 0.85226
0.5835 1.4518 0.85211
0.58092 1.4416 0.84767
0.58056 1.4369 0.84866
0.58303 1.4367 0.85299
0.58079 1.427 0.84723
0.58132 1.4253 0.84858
0.57732 1.4238 0.84822
0.57836 1.4209 0.85456
0.57791 1.4041 0.8543
0.57484 1.3893 0.84839
0.57479 1.395 0.84865
0.57645 1.4164 0.85312
0.57088 1.4261 0.84537
0.56966 1.4203 0.84556
0.56376 1.4054 0.83548
0.56581 1.4161 0.83855
0.56381 1.4143 0.83047
0.56636 1.4466 0.83534
0.56454 1.4522 0.83248
0.56693 1.449 0.83356
0.57003 1.4666 0.84405
0.5745 1.4742 0.8463
0.57483 1.4883 0.84167
0.57708 1.4864 0.84346
0.58053 1.4657 0.84206
0.57944 1.4674 0.84415
0.5819 1.463 0.84455
0.57467 1.4677 0.83479
0.56853 1.4534 0.82693
0.56929 1.4547 0.82642
0.56508 1.4473 0.82324
0.56677 1.4447 0.82887
0.56689 1.4432 0.82915
0.56684 1.4346 0.82402
0.56785 1.443 0.83095
0.56448 1.4337 0.82614
0.56619 1.4334 0.82517
0.56726 1.4489 0.82815
0.56754 1.4561 0.82764
0.56744 1.4744 0.82527
0.56614 1.4744 0.82634
0.56049 1.4626 0.81455
0.55925 1.4671 0.81394
0.55952 1.4604 0.81637
0.5609 1.4601 0.81779
0.56405 1.4641 0.82434
0.56537 1.4667 0.82704
0.56137 1.4591 0.82259
0.56253 1.4588 0.82707
0.56158 1.4509 0.82643
0.56751 1.4561 0.83208
0.57268 1.4679 0.83548
0.57326 1.4655 0.83516
0.57456 1.4754 0.83795
0.5744 1.4769 0.83586
0.57297 1.4726 0.83905
0.57347 1.4711 0.84004
0.57665 1.4843 0.84071
0.57464 1.48 0.84143
0.57642 1.4953 0.84198
0.57458 1.4985 0.84004
0.573 1.4932 0.83704
0.5732 1.5096 0.83948
0.57393 1.5186 0.84
0.57074 1.5109 0.83877
0.57318 1.5084 0.8419
0.57453 1.5128 0.84318
0.57017 1.5079 0.83861
0.57254 1.5084 0.84072
0.57165 1.5036 0.83299
0.57048 1.5024 0.8314
0.57176 1.5219 0.83311
0.57603 1.5427 0.84116
0.57611 1.5414 0.83936
0.57589 1.5427 0.83894
0.57955 1.5592 0.84149
0.57772 1.5601 0.83758
0.57212 1.5663 0.83165
0.57272 1.5505 0.83014
0.56979 1.5686 0.82296
0.5693 1.577 0.81992
0.56941 1.599 0.82188
0.57284 1.6067 0.82791
0.57201 1.5928 0.82686
0.57587 1.6024 0.83463
0.57386 1.6336 0.83101
0.57244 1.6491 0.83235
0.57158 1.6562 0.82806
0.5762 1.6564 0.83131
0.57318 1.6388 0.82426
0.57495 1.6225 0.8237
0.57517 1.627 0.82482
0.56955 1.6444 0.81575
0.57155 1.6291 0.81497
0.5713 1.6273 0.81871
0.57458 1.6386 0.82591
0.57456 1.6436 0.82715
0.57253 1.6385 0.82479
0.57122 1.6274 0.82599
0.57052 1.6114 0.82598
0.56458 1.6016 0.8151
0.56304 1.5931 0.81477
0.55884 1.5794 0.81004
0.56179 1.5954 0.81134
0.5613 1.5785 0.81022
0.56058 1.5844 0.80797
0.55948 1.6003 0.80575
0.55847 1.5813 0.80214
0.5552 1.5804 0.79845
0.5489 1.5712 0.79212
0.54694 1.5685 0.79323
0.54358 1.5603 0.79093
0.54219 1.5566 0.79125
0.54096 1.5558 0.78837
0.538 1.5599 0.78542
0.53815 1.5807 0.78627
0.53675 1.5919 0.78447
0.53627 1.5936 0.78136
0.53076 1.5833 0.77805
0.52881 1.5899 0.77588
0.53091 1.607 0.77978
0.53137 1.6069 0.78023
0.53138 1.6165 0.78594
0.52967 1.6053 0.78161
0.53336 1.6095 0.78437
0.53168 1.603 0.7786
0.53545 1.5867 0.78453
0.53426 1.5682 0.78271
0.53867 1.5805 0.78498
0.53839 1.5781 0.78502
0.53126 1.5659 0.77716
0.53384 1.5712 0.77925
0.5352 1.5834 0.77993
0.53152 1.5867 0.77449
0.53231 1.5788 0.77201
0.53745 1.5918 0.77959
0.53817 1.5969 0.78122
0.54285 1.5961 0.79065
0.54275 1.5786 0.79137
0.54234 1.5868 0.79448
0.54357 1.6047 0.79533
0.54082 1.6014 0.7916
0.54126 1.6084 0.79281
0.54106 1.6204 0.79224
0.54344 1.6206 0.79509
0.54353 1.6117 0.79571
0.54181 1.6139 0.78956
0.54656 1.6371 0.79481
0.54933 1.6499 0.79865
0.54985 1.6564 0.79664
0.54839 1.649 0.7944
0.55071 1.6774 0.79803
0.55226 1.6793 0.79798
0.54089 1.6392 0.78268
0.54165 1.6423 0.78142
0.54525 1.6533 0.78582
0.54426 1.6555 0.78394
0.54017 1.6415 0.78007
0.54294 1.637 0.78429
0.54262 1.6274 0.78409
0.54508 1.6259 0.78707
0.5434 1.6152 0.78911
0.54461 1.611 0.7911
0.5494 1.6069 0.79822
0.54734 1.598 0.8
0.54417 1.6053 0.79626
0.54074 1.6052 0.79131
0.53808 1.5992 0.78845
0.54079 1.6054 0.79173
0.54337 1.6013 0.79518
0.54132 1.6003 0.7919
0.53684 1.6122 0.7855
0.53634 1.6202 0.78447
0.53521 1.6221 0.7835
0.53448 1.616 0.78261
0.53247 1.6123 0.78139
0.5306 1.6152 0.78259
0.52363 1.6018 0.77553
0.52421 1.5978 0.77887
0.5239 1.5856 0.77593
0.52948 1.579 0.7834
0.52774 1.5751 0.78399
0.52907 1.5838 0.7853
0.5278 1.5771 0.78212
0.52636 1.5558 0.77745
0.52827 1.5576 0.77762
0.53174 1.5643 0.78061
0.5272 1.5592 0.77441
0.52978 1.5679 0.78104
0.52854 1.5618 0.7816
0.52955 1.5696 0.78368
0.52964 1.5739 0.78326
0.52721 1.5662 0.78227
0.52873 1.559 0.78337
0.52517 1.538 0.77988
0.5257 1.528 0.78172
0.525 1.5269 0.77925
0.52839 1.5458 0.78075
0.53165 1.5424 0.78207
0.53327 1.5428 0.78449
0.53607 1.5701 0.78908
0.53682 1.565 0.78751
0.53345 1.5543 0.78791
0.5329 1.5489 0.78693
0.52951 1.5133 0.78518
0.53238 1.509 0.79072
0.53271 1.5031 0.78919
0.53116 1.5085 0.78854
0.52927 1.5107 0.78739
0.52725 1.5114 0.78572
0.52601 1.5163 0.78153
0.52621 1.4956 0.7844
0.52766 1.5002 0.78819
0.53012 1.5213 0.78744
0.53347 1.5243 0.78748
0.5343 1.5318 0.7882
0.53016 1.5218 0.78457
0.5299 1.5164 0.78569
0.53085 1.5108 0.78809
0.53276 1.5072 0.78826
0.53462 1.516 0.79363
0.53913 1.5157 0.79728
0.5386 1.5126 0.79705
0.53886 1.5149 0.79765
0.5391 1.5229 0.79993
0.53748 1.5188 0.79889
0.53377 1.5021 0.79597
0.53551 1.5071 0.79909
0.53311 1.4981 0.79408
0.53123 1.4983 0.79294
0.53451 1.5087 0.7972
0.53338 1.5092 0.79588
0.53273 1.5132 0.79429
0.52975 1.5274 0.78937
0.52729 1.5107 0.7859
0.52564 1.503 0.78643
0.52404 1.4906 0.78291
0.52382 1.4851 0.78305
0.52393 1.4845 0.78251
0.52605 1.4928 0.78714
0.52727 1.4966 0.78653
0.52361 1.4883 0.7809
0.52478 1.4968 0.7828
0.5245 1.5038 0.77913
0.52296 1.501 0.77754
0.52762 1.5153 0.78059
0.5296 1.517 0.78067
0.52904 1.5031 0.78072
0.52806 1.507 0.77984
0.52735 1.4968 0.78069
0.52679 1.4946 0.77975
0.52236 1.4884 0.77355
0.52201 1.4924 0.77217
0.51773 1.4901 0.7645
0.51631 1.493 0.76214
0.51339 1.4789 0.75979
0.51308 1.4726 0.76073
0.50788 1.4599 0.75416
0.50519 1.4609 0.75098
0.50536 1.448 0.75034
0.50645 1.4574 0.75038
0.50788 1.4603 0.75147
0.50952 1.448 0.75211
0.51136 1.4496 0.75679
0.51148 1.4529 0.75628
0.50881 1.4486 0.75566
0.50859 1.4484 0.7567
0.50895 1.4483 0.75905
0.51185 1.4478 0.76366
0.51392 1.4498 0.76497
0.50847 1.4395 0.7579
0.50891 1.4381 0.7585
0.5094 1.4358 0.75837
0.51099 1.4299 0.7615
0.51114 1.4236 0.76189
0.50969 1.4173 0.75994
0.51056 1.4192 0.75782
0.5067 1.4117 0.75262
0.51284 1.4182 0.75933
0.51436 1.4329 0.76374
0.51802 1.4552 0.769
0.51592 1.4536 0.76793
0.51551 1.4502 0.76959
0.51722 1.4549 0.77285
0.51443 1.4437 0.77499
0.51103 1.4463 0.77374
0.50907 1.4398 0.77327
0.51005 1.4393 0.77424
0.50709 1.4474 0.77237
0.50732 1.44 0.77275
0.50609 1.438 0.77115
0.50579 1.4298 0.77179
0.50388 1.4243 0.76777
0.50832 1.436 0.7715
0.50749 1.4291 0.77048
0.51027 1.4388 0.77461
0.51045 1.4343 0.77239
0.5098 1.4515 0.77201
0.50997 1.459 0.76931
0.50799 1.4675 0.768
0.50855 1.4713 0.77166
0.51021 1.463 0.77328
0.5078 1.4711 0.77109
0.50765 1.4598 0.76806
0.51058 1.457 0.76718
0.51266 1.463 0.76901
0.51353 1.4591 0.77144
0.51433 1.4519 0.76791
0.50953 1.44 0.76189
0.51205 1.4412 0.76107
0.51287 1.4337 0.76128
0.5128 1.4251 0.76072
0.51157 1.4278 0.76139
0.51224 1.4163 0.76194
0.511 1.4176 0.76141
0.50921 1.4151 0.75967
0.50942 1.4086 0.76001
0.50863 1.4189 0.75504
0.50989 1.4265 0.75586
0.51075 1.44 0.75911
0.51397 1.4519 0.75865
0.51992 1.4743 0.76372
0.51898 1.4694 0.76294
0.51779 1.4625 0.76063
0.51816 1.4605 0.7616
0.51766 1.4463 0.7623
0.51833 1.4429 0.75833
0.51763 1.4338 0.75762
0.51714 1.4486 0.75618
0.51636 1.439 0.75488
0.51491 1.4333 0.75146
0.51386 1.4245 0.75198
0.51075 1.4201 0.75246
0.51031 1.4192 0.75162
0.50834 1.3999 0.74863
0.50947 1.4038 0.75173
0.50782 1.3966 0.74989
0.50856 1.3923 0.74871
0.50998 1.4071 0.7501
0.50953 1.3998 0.74987
0.50795 1.3973 0.74776
0.50544 1.3862 0.74775
0.50557 1.3878 0.74829
0.50627 1.3878 0.74832
0.50743 1.3835 0.74487
0.51 1.3887 0.74818
0.50716 1.3721 0.74415
0.50541 1.3734 0.74428
0.50588 1.3723 0.74161
0.50434 1.3561 0.73978
0.50238 1.35 0.73806
0.4985 1.3436 0.73701
0.49898 1.3457 0.73677
0.49934 1.3447 0.735
0.49889 1.3402 0.73523
0.49962 1.3404 0.73644
0.49933 1.3467 0.73411
0.49899 1.3421 0.73284
0.50244 1.3565 0.73581
0.50045 1.3496 0.73394
0.50002 1.347 0.73214
0.50016 1.3484 0.7353
0.50229 1.3539 0.73551
0.50307 1.3583 0.73716
0.50172 1.3603 0.73597
0.50141 1.3553 0.73444
0.5025 1.3566 0.739
0.50091 1.3617 0.73804
0.50426 1.365 0.74007
0.50446 1.3624 0.73972
0.50502 1.3552 0.73838
0.50351 1.3538 0.73513
0.50568 1.3645 0.73961
0.50641 1.369 0.74109
0.50621 1.3682 0.74021
0.50587 1.3747 0.74278
0.50302 1.368 0.74172
0.50376 1.3791 0.74468
0.50397 1.3769 0.74342
0.50425 1.3766 0.74331
0.50476 1.3716 0.7417
0.50645 1.3691 0.74525
0.50515 1.3579 0.7434
0.5049 1.345 0.74409
0.50194 1.3384 0.74142
0.50154 1.3307 0.73935
0.50216 1.3326 0.74126
0.50516 1.3241 0.74315
0.50874 1.3218 0.74856
0.50802 1.3348 0.74852
0.50636 1.3297 0.75048
0.50689 1.3325 0.7522
0.5077 1.3332 0.75128
0.50599 1.3277 0.7483
0.50449 1.3267 0.74622
0.50293 1.3195 0.74539
0.5016 1.3117 0.74474
0.50196 1.3124 0.74633
0.50063 1.3037 0.74418
0.50098 1.305 0.74349
0.50012 1.3043 0.74252
0.50089 1.3179 0.74443
0.49948 1.3001 0.74258
0.49848 1.2938 0.73971
0.49586 1.2803 0.73451
0.4961 1.2792 0.73403
0.49718 1.2773 0.73574
0.49708 1.2784 0.73389
0.49588 1.2806 0.73408
0.4939 1.2834 0.72921
0.49221 1.2833 0.72688
0.49289 1.2791 0.7259
0.49155 1.2726 0.7253
0.49085 1.2626 0.72551
0.4889 1.2644 0.72558
0.48703 1.2597 0.72429
0.48811 1.2627 0.72408
0.48626 1.2557 0.72304
0.4858 1.2443 0.7237
0.48483 1.2365 0.72339
0.48758 1.2452 0.72938
0.48813 1.264 0.7283
0.49286 1.3069 0.73287
0.49415 1.3118 0.73097
0.49113 1.2965 0.72928
0.49243 1.3118 0.73091
0.49153 1.2995 0.73038
0.48963 1.3085 0.72542
0.49503 1.3142 0.72739
0.49097 1.3015 0.72417
0.49335 1.32 0.72993
0.49463 1.3405 0.73065
0.49695 1.3511 0.73402
0.49993 1.369 0.73631
0.50196 1.3974 0.74192
0.50434 1.4749 0.74625
0.50444 1.4525 0.74127
0.50436 1.4372 0.74254
0.50476 1.4368 0.74174
0.5021 1.4276 0.7389
0.49915 1.4109 0.73747
0.49754 1.3924 0.73294
0.49672 1.3928 0.73282
0.4984 1.4225 0.73394
0.49551 1.4235 0.73129
0.4961 1.4199 0.73275
0.49589 1.4247 0.73315
0.49728 1.4315 0.73501
0.49454 1.4496 0.7316
0.49407 1.446 0.73009
0.49301 1.4518 0.72611
0.49298 1.4419 0.72501
0.49217 1.4254 0.72272
0.49224 1.4009 0.71921
0.49322 1.3948 0.72023
0.49835 1.4035 0.72211
0.50205 1.42 0.7215
0.50068 1.4088 0.72105
0.50042 1.3646 0.71685
0.49675 1.3466 0.7096
0.49488 1.3487 0.71046
0.49452 1.3423 0.70997
0.49584 1.3529 0.70782
0.49607 1.3433 0.70795
0.49409 1.3371 0.70735
