choc	beer	elec
2685	142.2	3166
1805	116.4	3080
3756	112.6	3069
4227	123.8	3340
4595	103.6	3310
5702	113.9	3798
4681	98.6	3883
4395	95	4191
4459	116	4213
4191	113.9	3766
3742	127.5	3628
3279	131.4	3520
2468	145.9	3322
1742	131.5	3250
3366	131	3287
3633	130.5	3552
3701	118.9	3440
4926	114.3	4153
4522	85.7	4265
5275	104.6	4655
4717	105.1	4492
4114	117.3	4051
3851	142.5	3967
3493	140	3807
2654	159.8	3639
2168	131.2	3647
3561	125.4	3560
4305	126.5	3929
4413	119.4	3858
5307	113.5	4485
5361	98.7	4697
4948	114.5	4977
4472	113.8	4675
3846	133.1	4596
3715	143.4	4491
3343	137.3	4127
2939	165.2	4144
1615	126.9	4014
3497	124	3994
3915	135.7	4320
4858	130	4400
4962	109.4	5002
4504	117.8	5091
4767	120.3	5471
4291	121	5193
4091	132.3	4997
4164	142.9	4737
3915	147.4	4546
3130	175.9	4498
1696	132.6	4350
3887	123.7	4206
4749	153.3	4743
4781	134	4582
5089	119.6	5191
5484	116.2	5457
5072	118.6	5891
4611	130.7	5618
4117	129.3	5158
3910	144.4	5030
4252	163.2	4800
3624	179.4	4654
1678	128.1	4453
3851	138.4	4440
5021	152.7	4945
4581	120	4788
6195	140.5	5425
5338	116.2	5706
4909	121.4	6061
4640	127.8	5846
3706	143.6	5242
4113	157.6	5408
3879	166.2	5114
3411	182.3	5042
2043	153.1	5008
3736	147.6	4657
4490	157.7	5359
3715	137.2	5193
5623	151.5	5891
4671	98.7	5980
5591	145.8	6390
5461	151.7	6366
4795	129.4	5756
4846	174.1	5640
4843	197	5429
3278	193.9	5398
2411	164.1	5413
4278	142.8	5141
4639	157.9	5695
4559	159.2	5554
6404	162.2	6369
4851	123.1	6592
6480	130	7107
6394	150.1	6917
5752	169.4	6353
4718	179.7	6205
4659	182.1	5830
3842	194.3	5646
2873	161.4	5379
5556	169.4	5489
5389	168.8	5824
6135	158.1	5907
6707	158.5	6482
5220	135.3	6795
6249	149.3	7028
5281	143.4	6776
4192	142.2	6274
4867	188.4	6362
3752	166.2	5940
3492	199.2	5958
1979	182.7	5769
4584	145.2	5887
5139	182.1	6367
5044	158.7	6165
5501	141.6	6868
5044	132.6	7201
5035	139.6	7601
5167	147	7581
4650	166.6	7090
5298	157	6841
4373	180.4	6408
3941	210.2	6435
2334	159.8	6176
4381	157.8	6138
5665	168.2	6717
4393	158.4	6470
5232	152	7312
5876	142.2	7763
5900	137.2	8171
5704	152.6	7788
4718	166.8	7311
4650	165.6	6679
4446	198.6	6704
3061	201.5	6724
2155	170.7	6552
4274	164.4	6427
4695	179.7	7105
4362	157	6869
4889	168	7683
5370	139.3	8082
5072	138.6	8555
4985	153.4	8386
3978	138.9	7553
4139	172.1	7398
3995	198.4	7112
3025	217.8	6886
1949	173.7	7077
4357	153.8	6820
4638	175.6	7426
3994	147.1	7143
6174	160.3	8261
5656	135.2	8240
4411	148.8	8977
5504	151	8991
4463	148.2	8026
4458	182.2	7911
4528	189.2	7510
2830	183.1	7381
1843	170	7366
5042	158.4	7414
5348	176.1	7824
5257	156.2	7524
6699	153.2	8279
5388	117.9	8707
6001	149.8	9486
5966	156.6	8973
4845	166.7	8231
4507	156.8	8206
4214	158.6	7927
3460	210.8	7999
1833	203.6	7834
4978	175.2	7521
6464	168.7	8284
5820	155.9	7999
6447	147.3	8940
6191	137	9381
6628	141.1	10078
5452	167.4	9796
5295	160.2	8471
5080	191.9	8572
5564	174.4	8150
3965	208.2	8168
2062	159.4	8166
5099	161.1	7903
6162	172.1	8606
5529	158.4	8071
6416	114.6	9178
6382	159.6	9873
5624	159.7	10476
5785	159.4	9296
4644	160.7	8818
5331	165.5	8697
5143	205	8381
4596	205.2	8293
2180	141.6	7942
5786	148.1	8001
5840	184.9	8744
5666	132.5	8397
6360	137.3	9115
6219	135.5	9773
6082	121.7	10358
5653	166.1	9849
5726	146.8	9083
5049	162.8	9143
5859	186.8	8800
4091	185.5	8741
2167	151.5	8492
6480	158.1	8795
7375	143	9354
6583	151.2	8796
7251	147.6	10072
6730	130.7	10174
6428	137.5	11326
5228	146.1	10744
4716	133.6	9806
6101	167.9	9740
5753	181.9	9373
4000	202	9244
2691	166.5	9407
5898	151.3	8827
6526	146.2	9880
5840	148.3	9364
6650	144.7	10580
5717	123.6	10899
7236	151.6	11687
6523	133.9	11280
5729	137.4	10208
6004	181.6	10212
5950	182	9725
4690	190	9721
3687	161.2	9846
7791	155.5	9407
7153	141.9	10265
6434	164.6	9970
7850	136.2	10801
6809	126.8	11246
8379	152.5	12167
6914	126.6	11578
6919	150.1	10645
7265	186.3	10613
6994	147.5	10104
5503	200.4	10348
3782	177.2	10263
7502	127.4	9973
8119	177.1	10803
7292	154.4	10409
6886	135.2	11458
7049	126.4	11845
7977	147.3	12559
8519	140.6	12070
6680	152.3	11221
7994	151.2	11338
7047	172.2	10761
5782	215.3	11012
3771	154.1	10923
7906	159.3	10790
8970	160.4	11427
6077	151.9	10788
7919	148.4	11772
7340	139.6	12104
7791	148.2	12634
7368	153.5	12772
8255	145.1	11764
7816	183.7	11956
7476	210.5	11646
6696	203.3	11750
4484	153.3	11485
8274	144.3	11198
8866	169.6	12265
8572	143.7	11704
9176	160	12419
8645	135.5	13259
8265	141.7	13945
9558	159.9	13839
7037	145.6	12387
9101	183.4	12546
8180	198.1	12038
7072	186.7	11977
3832	171.9	12336
7253	150.5	11793
8667	163	12877
7658	153.6	11923
8859	152.8	13306
7291	135.4	13988
7529	148.3	14002
8715	148.3	14338
8450	133.5	12867
9085	193.8	12761
8350	208.4	12449
7080	197	12658
