"","d","s","y","spp"
"179",11,0.0730598,0,"cedar"
"180",6,0.0748013,0,"balsam fir"
"181",6,0.0748013,0,"balsam fir"
"182",6,0.0748013,0,"balsam fir"
"183",34,0.0760489,0,"aspen"
"184",14,0.0773118,0,"black spruce"
"185",13,0.0777039,1,"paper birch"
"186",11,0.0777039,1,"paper birch"
"187",9,0.0777039,1,"paper birch"
"188",13,0.0777039,1,"paper birch"
"189",13,0.0777039,1,"paper birch"
"190",12,0.0777039,1,"paper birch"
"191",15,0.0777039,1,"paper birch"
"192",12,0.0777039,0,"paper birch"
"193",11,0.0777039,1,"paper birch"
"194",17,0.0777039,1,"paper birch"
"195",12,0.0777039,1,"paper birch"
"196",11,0.0777039,1,"paper birch"
"197",34,0.0780471,0,"aspen"
"198",51,0.0780471,0,"aspen"
"199",28,0.0780471,0,"red pine"
"200",38,0.0792837,0,"aspen"
"201",13,0.0792837,0,"red maple"
"202",10,0.0792837,0,"red maple"
"203",12,0.0792837,0,"red maple"
"204",10,0.0792837,0,"red maple"
"205",11,0.0805133,0,"black spruce"
"206",25,0.0805133,0,"red pine"
"207",6,0.0805133,0,"red maple"
"208",9,0.0813203,0,"aspen"
"209",39,0.0813203,0,"aspen"
"210",40,0.0813203,0,"aspen"
"211",36,0.0813203,0,"aspen"
"212",7,0.0818451,0,"black spruce"
"213",6,0.0818451,0,"black spruce"
"214",20,0.0818451,0,"cedar"
"215",13,0.0818451,0,"jackpine"
"216",7,0.0818451,0,"jackpine"
"217",6,0.0818451,0,"jackpine"
"218",8,0.0818451,0,"jackpine"
"219",5,0.0846147,0,"black spruce"
"220",6,0.0846147,0,"black spruce"
"221",5,0.0846147,0,"black spruce"
"222",5,0.0846147,0,"black spruce"
"223",6,0.0846147,0,"cedar"
"224",12,0.0846147,0,"cedar"
"225",6,0.0846147,0,"red pine"
"226",8,0.084997,0,"balsam fir"
"227",6,0.084997,0,"balsam fir"
"228",7,0.084997,0,"balsam fir"
"229",6,0.084997,0,"balsam fir"
"230",7,0.084997,0,"balsam fir"
"231",9,0.084997,0,"balsam fir"
"232",10,0.084997,0,"black spruce"
"233",12,0.084997,0,"cedar"
"234",5,0.084997,0,"red pine"
"235",42,0.0868586,1,"aspen"
"236",9,0.0868586,0,"red maple"
"237",6,0.0868586,1,"red maple"
"238",9,0.0868586,1,"red maple"
"239",7,0.0868586,0,"red maple"
"240",25,0.0868586,1,"red maple"
"241",5,0.0879988,0,"black spruce"
"242",6,0.0879988,0,"black spruce"
"243",6,0.0879988,0,"black spruce"
"244",5,0.0879988,0,"black spruce"
"245",5,0.0879988,0,"black spruce"
"246",8,0.0879988,0,"black spruce"
"247",5,0.0879988,0,"red pine"
"248",7,0.0879988,0,"red pine"
"249",5,0.0879988,0,"red pine"
"250",21,0.0886621,0,"aspen"
"251",22,0.0886621,0,"aspen"
"252",31,0.0886621,0,"aspen"
"253",28,0.0886621,0,"aspen"
"254",28,0.0886621,0,"aspen"
"255",28,0.0886621,0,"aspen"
"256",13,0.0886621,0,"cedar"
"257",16,0.0886621,0,"cedar"
"258",16,0.089435,0,"black spruce"
"259",10,0.089435,0,"black spruce"
"260",12,0.089435,1,"black spruce"
"261",14,0.089435,0,"red pine"
"262",5,0.0894688,0,"black spruce"
"263",7,0.0894688,0,"cedar"
"264",6,0.0894688,0,"cedar"
"265",9,0.0894688,0,"cedar"
"266",8,0.0894688,0,"cedar"
"267",12,0.0894688,0,"cedar"
"268",13,0.0894688,0,"cedar"
"269",7,0.0894688,0,"red pine"
"270",7,0.0899905,0,"cedar"
"271",8,0.0899905,0,"cedar"
"272",6,0.0899905,0,"cedar"
"273",6,0.0899905,0,"cedar"
"274",10,0.0899905,0,"cedar"
"275",10,0.0899905,0,"cedar"
"276",11,0.0899905,0,"cedar"
"277",11,0.0904253,0,"cedar"
"278",9,0.0914889,0,"black spruce"
"279",12,0.0914889,0,"black spruce"
"280",5,0.0914889,0,"black spruce"
"281",10,0.0914889,0,"black spruce"
"282",7,0.0914889,0,"black spruce"
"283",17,0.0914889,0,"cedar"
"284",5,0.0943459,0,"black spruce"
"285",7,0.0943459,0,"black spruce"
"286",5,0.0943459,0,"black spruce"
"287",33,0.0943459,0,"red pine"
"288",10,0.095173,0,"balsam fir"
"289",12,0.095173,1,"balsam fir"
"290",14,0.0958845,0,"black spruce"
"291",15,0.0958845,0,"cedar"
"292",15,0.0958845,0,"cedar"
"293",21,0.0958845,0,"cedar"
"294",13,0.0958845,0,"cedar"
"295",10,0.0958845,0,"cedar"
"296",12,0.0958845,0,"cedar"
"297",25,0.0958845,1,"paper birch"
"298",23,0.0958845,0,"paper birch"
"299",17,0.0965822,0,"aspen"
"300",8,0.0965822,0,"aspen"
"301",5,0.0965822,0,"black spruce"
"302",16,0.0965822,0,"cedar"
"303",7,0.0965822,0,"cedar"
"304",8,0.0974461,0,"cedar"
"305",15,0.0974461,0,"red pine"
"306",11,0.0974461,0,"red pine"
"307",14,0.0974461,0,"red pine"
"308",9,0.0974461,0,"red pine"
"309",13,0.0990518,0,"red pine"
"310",15,0.0990518,0,"red pine"
"311",14,0.0990518,0,"red pine"
"312",16,0.0990518,0,"red pine"
"313",10,0.0990518,0,"red pine"
"314",11,0.0990518,0,"red pine"
"315",12,0.0990518,0,"red pine"
"316",10,0.0990518,0,"red pine"
"317",17,0.0990518,0,"red pine"
"318",18,0.0992233,0,"cedar"
"319",16,0.0992233,0,"cedar"
"320",15,0.0992233,0,"cedar"
"321",15,0.0992233,0,"cedar"
"322",17,0.0992233,0,"cedar"
"323",15,0.0992233,0,"cedar"
"324",16,0.0992233,0,"cedar"
"325",17,0.0992233,0,"cedar"
"326",8,0.0992233,0,"cedar"
"327",13,0.0992233,0,"cedar"
"328",12,0.0994145,0,"aspen"
"329",12,0.0994145,0,"aspen"
"330",12,0.0994145,1,"aspen"
"331",17,0.0994145,0,"black spruce"
"332",5,0.0994145,0,"red pine"
"333",7,0.0994145,0,"red pine"
"334",9,0.0994145,0,"red pine"
"335",7,0.0994145,0,"red pine"
"336",8,0.0994145,0,"red pine"
"337",5,0.0994145,0,"red pine"
"338",5,0.0994145,0,"red pine"
"339",6,0.0994145,0,"red pine"
"340",11,0.0994145,0,"red pine"
"341",11,0.0994145,0,"red pine"
"342",5,0.0995897,0,"black spruce"
"343",11,0.0995897,0,"black spruce"
"344",7,0.0995897,0,"cedar"
"345",5,0.0995897,0,"cedar"
"346",5,0.0995897,0,"cedar"
"347",9,0.0995897,0,"cedar"
"348",19,0.0995897,0,"cedar"
"349",18,0.0995897,0,"red pine"
"350",11,0.0998312,0,"balsam fir"
"351",14,0.0998312,0,"balsam fir"
"352",6,0.0998312,0,"black spruce"
"353",7,0.0998312,0,"black spruce"
"354",7,0.0998312,0,"black spruce"
"355",7,0.0998312,0,"cedar"
"356",16,0.0998312,0,"cedar"
"357",7,0.0998312,0,"cedar"
"358",9,0.0998312,0,"cedar"
"359",9,0.0998312,0,"cedar"
"360",14,0.0998312,0,"cedar"
"361",11,0.0998312,0,"cedar"
"362",7,0.0998312,0,"red pine"
"363",17,0.100452,0,"jackpine"
"364",46,0.100452,0,"jackpine"
"365",10,0.101679,0,"cedar"
"366",14,0.101679,0,"cedar"
"367",17,0.101679,0,"cedar"
"368",16,0.101679,0,"cedar"
"369",18,0.101679,0,"cedar"
"370",15,0.101679,0,"cedar"
"371",8,0.101679,0,"cedar"
"372",7,0.101679,1,"cedar"
"373",7,0.101679,0,"cedar"
"374",13,0.101679,0,"jackpine"
"375",9,0.101679,0,"jackpine"
"376",10,0.101679,0,"jackpine"
"377",22,0.10254,0,"aspen"
"378",21,0.10254,1,"aspen"
"379",23,0.10254,0,"aspen"
"380",26,0.10254,0,"aspen"
"381",25,0.10254,0,"aspen"
"382",17,0.10254,0,"aspen"
"383",21,0.10254,0,"aspen"
"384",13,0.10254,1,"black spruce"
"385",15,0.103689,1,"aspen"
"386",25,0.103689,0,"black spruce"
"387",7,0.105993,0,"black spruce"
"388",8,0.105993,0,"black spruce"
"389",9,0.105993,0,"black ash"
"390",14,0.107644,0,"black spruce"
"391",20,0.107644,0,"cedar"
"392",51,0.107644,0,"cedar"
"393",19,0.107769,0,"black spruce"
"394",17,0.107769,0,"black spruce"
"395",5.5,0.107769,0,"cedar"
"396",29,0.107769,0,"red pine"
"397",46,0.109636,0,"jackpine"
"398",14,0.114878,0,"black spruce"
"399",13,0.114878,1,"black spruce"
"400",6,0.114878,0,"black spruce"
"401",16,0.114878,0,"cedar"
"402",14,0.114878,0,"cedar"
"403",6,0.114878,0,"red pine"
"404",6,0.115634,0,"black spruce"
"405",6,0.115634,0,"black spruce"
"406",23,0.115634,0,"cedar"
"407",8,0.115634,0,"red pine"
"408",17,0.115776,0,"cedar"
"409",8,0.118361,0,"black spruce"
"410",6,0.118361,0,"red maple"
"411",8,0.118887,0,"cedar"
"412",15,0.118887,1,"cedar"
"413",13,0.118887,0,"red pine"
"414",7,0.118887,0,"red pine"
"415",14,0.118887,0,"red pine"
"416",13,0.118887,0,"red pine"
"417",15,0.118887,0,"red pine"
"418",12,0.118887,0,"red pine"
"419",8,0.118887,0,"red pine"
"420",12,0.119263,0,"cedar"
"421",10,0.119263,0,"red pine"
"422",13,0.119263,0,"red pine"
"423",12,0.119263,0,"red pine"
"424",13,0.119263,0,"red pine"
"425",22,0.120054,1,"black spruce"
"426",15,0.120054,1,"cedar"
"427",11.5,0.120054,1,"cedar"
"428",14,0.120054,1,"cedar"
"429",24,0.120054,1,"paper birch"
"430",22,0.120054,1,"paper birch"
"431",28,0.120054,1,"paper birch"
"432",11,0.120054,1,"red pine"
"433",15,0.120054,1,"red maple"
"434",15,0.120149,0,"cedar"
"435",7,0.120149,0,"cedar"
"436",14,0.120149,0,"cedar"
"437",16,0.120149,0,"cedar"
"438",14,0.120149,0,"cedar"
"439",13,0.120149,0,"cedar"
"440",13,0.120149,0,"cedar"
"441",10,0.120149,0,"red pine"
"442",10,0.120149,0,"red pine"
"443",6,0.120534,0,"black spruce"
"444",9,0.120534,0,"black spruce"
"445",12,0.120534,0,"cedar"
"446",5,0.120534,0,"red pine"
"447",10,0.120534,0,"red pine"
"448",12,0.120534,0,"red pine"
"449",11,0.120534,0,"red pine"
"450",10,0.120534,0,"red pine"
"451",11,0.120629,0,"black spruce"
"452",14,0.120629,0,"cedar"
"453",14,0.120629,0,"cedar"
"454",15,0.120629,0,"cedar"
"455",15,0.120629,0,"cedar"
"456",7,0.120629,0,"cedar"
"457",12,0.120629,0,"cedar"
"458",20,0.120629,0,"paper birch"
"459",15,0.120629,0,"paper birch"
"460",16,0.120629,0,"paper birch"
"461",30,0.120629,0,"paper birch"
"462",18,0.120629,0,"paper birch"
"463",25,0.120629,0,"paper birch"
"464",13,0.120629,0,"paper birch"
"465",20,0.120629,0,"paper birch"
"466",20,0.120629,0,"paper birch"
"467",38,0.128254,0,"jackpine"
"468",23,0.128254,0,"jackpine"
"469",28,0.128254,0,"jackpine"
"470",23,0.128254,0,"jackpine"
"471",24,0.128254,0,"jackpine"
"472",23,0.128254,0,"jackpine"
"473",42.5,0.128254,0,"jackpine"
"474",30,0.128254,0,"red pine"
"475",11,0.128353,0,"cedar"
"476",10,0.128353,0,"cedar"
"477",13,0.128353,0,"cedar"
"478",13,0.128353,0,"cedar"
"479",25,0.128353,0,"paper birch"
"480",21,0.128353,0,"paper birch"
"481",34,0.128353,0,"paper birch"
"482",6,0.128477,0,"black spruce"
"483",15,0.128477,0,"cedar"
"484",13,0.128477,0,"cedar"
"485",17,0.128477,0,"cedar"
"486",12,0.128477,0,"cedar"
"487",7,0.128477,0,"red maple"
"488",7,0.12938,0,"black spruce"
"489",5,0.12938,0,"black spruce"
"490",7,0.12938,0,"black spruce"
"491",21,0.130199,1,"paper birch"
"492",28,0.130199,1,"paper birch"
"493",27,0.130199,0,"paper birch"
"494",36,0.130199,1,"paper birch"
"495",14,0.130565,0,"cedar"
"496",6,0.130565,0,"red pine"
"497",13,0.131108,0,"aspen"
"498",17,0.131108,0,"aspen"
"499",27,0.131108,0,"paper birch"
"500",7,0.13163,0,"black spruce"
"501",15,0.13163,0,"cedar"
"502",14,0.13163,1,"cedar"
"503",21,0.13163,0,"cedar"
"504",32,0.13163,0,"paper birch"
"505",11,0.131718,0,"black spruce"
"506",11,0.132051,0,"black spruce"
"507",21,0.132051,0,"cedar"
"508",21,0.132051,0,"cedar"
"509",9,0.132051,0,"cedar"
"510",7,0.132051,0,"cedar"
"511",13,0.132093,0,"black spruce"
"512",17,0.132093,0,"cedar"
"513",28,0.132093,0,"cedar"
"514",14,0.132093,0,"red pine"
"515",14,0.132093,0,"red pine"
"516",15,0.132093,0,"red pine"
"517",12,0.132093,0,"red pine"
"518",10,0.132585,0,"black spruce"
"519",10,0.132585,0,"black spruce"
"520",25,0.132585,1,"cedar"
"521",19,0.132585,0,"cedar"
"522",26,0.132585,1,"paper birch"
"523",7,0.135751,1,"black spruce"
"524",9,0.135751,1,"black spruce"
"525",14,0.135751,0,"cedar"
"526",14,0.135751,1,"paper birch"
"527",22,0.135751,1,"paper birch"
"528",19,0.135751,1,"paper birch"
"529",15,0.135751,1,"paper birch"
"530",21,0.137206,0,"red pine"
"531",33,0.137242,0,"black ash"
"532",5,0.138033,0,"black spruce"
"533",5,0.138033,0,"black spruce"
"534",5,0.138033,0,"black spruce"
"535",5,0.138033,0,"cedar"
"536",5,0.138033,0,"cedar"
"537",6,0.138033,0,"cedar"
"538",56,0.14235,0,"aspen"
"539",30,0.14235,0,"paper birch"
"540",18,0.14235,0,"red pine"
"541",11,0.14235,0,"red pine"
"542",6,0.144217,0,"black spruce"
"543",20,0.144217,0,"cedar"
"544",17,0.144217,0,"cedar"
"545",9,0.144217,0,"cedar"
"546",34,0.144217,0,"paper birch"
"547",6,0.144217,0,"red pine"
"548",17,0.144485,0,"aspen"
"549",9,0.144485,1,"cedar"
"550",23,0.144485,1,"paper birch"
"551",14,0.144485,1,"paper birch"
"552",36,0.145072,1,"black ash"
"553",32,0.145072,1,"black ash"
"554",30.5,0.145072,1,"black ash"
"555",34.5,0.145072,0,"black ash"
"556",37,0.145072,1,"black ash"
"557",6,0.145446,0,"black spruce"
"558",9,0.145446,0,"black spruce"
"559",14,0.145446,0,"cedar"
"560",6,0.145446,0,"cedar"
"561",7,0.145446,0,"cedar"
"562",6,0.145446,0,"cedar"
"563",12,0.146615,1,"black spruce"
"564",8,0.146615,1,"black spruce"
"565",9,0.146615,0,"cedar"
"566",16,0.146615,0,"cedar"
"567",13,0.146615,0,"cedar"
"568",12,0.146615,1,"cedar"
"569",14,0.146615,0,"jackpine"
"570",9,0.146615,0,"jackpine"
"571",20,0.147894,0,"cedar"
"572",14,0.147894,0,"cedar"
"573",18,0.147894,0,"paper birch"
"574",14,0.147894,0,"red pine"
"575",14,0.148025,0,"black spruce"
"576",11,0.148025,0,"black spruce"
"577",13,0.148025,0,"black spruce"
"578",9,0.148025,0,"black spruce"
"579",26,0.148025,0,"cedar"
"580",17,0.148025,0,"jackpine"
"581",10,0.148025,0,"red maple"
"582",6,0.149973,0,"black spruce"
"583",5,0.149973,0,"black spruce"
"584",27,0.149973,1,"cedar"
"585",22,0.150451,0,"jackpine"
"586",25,0.150451,0,"black ash"
"587",35,0.150451,0,"black ash"
"588",40,0.150451,0,"black ash"
"589",9,0.152714,0,"black spruce"
"590",6,0.152714,0,"black spruce"
"591",22,0.152714,0,"jackpine"
"592",19,0.152714,0,"jackpine"
"593",26,0.152714,0,"jackpine"
"594",21,0.152714,0,"jackpine"
"595",17,0.152714,0,"jackpine"
"596",5,0.152714,0,"red pine"
"597",5,0.152714,0,"red pine"
"598",24,0.153093,1,"aspen"
"599",25,0.153093,0,"aspen"
"600",29,0.153093,1,"aspen"
"601",22,0.153093,1,"aspen"
"602",27,0.153093,0,"aspen"
"603",22,0.153093,1,"aspen"
"604",19,0.153093,1,"aspen"
"605",13,0.153093,1,"paper birch"
"606",13,0.157774,1,"cedar"
"607",12,0.157774,1,"paper birch"
"608",18,0.157774,1,"paper birch"
"609",14,0.157774,1,"paper birch"
"610",14,0.157774,1,"paper birch"
"611",23,0.157774,1,"paper birch"
"612",14,0.157774,1,"paper birch"
"613",16,0.157774,1,"paper birch"
"614",11,0.157774,1,"paper birch"
"615",9,0.157774,1,"paper birch"
"616",14,0.157774,1,"paper birch"
"617",10,0.157774,0,"red pine"
"618",9,0.157774,0,"red pine"
"619",5,0.163796,0,"black spruce"
"620",14,0.163796,0,"black spruce"
"621",5,0.163796,0,"black spruce"
"622",10,0.164513,0,"black spruce"
"623",10,0.164513,0,"black spruce"
"624",11,0.164513,0,"red pine"
"625",18,0.16455,0,"jackpine"
"626",17,0.16455,0,"jackpine"
"627",17,0.16455,0,"jackpine"
"628",12,0.16455,0,"jackpine"
"629",14,0.16455,0,"jackpine"
"630",25,0.16455,0,"jackpine"
"631",12,0.16455,0,"jackpine"
"632",10,0.16455,0,"jackpine"
"633",19,0.16455,0,"jackpine"
"634",14,0.16455,0,"jackpine"
"635",16,0.166452,0,"cedar"
"636",8,0.166452,0,"cedar"
"637",11,0.166452,0,"cedar"
"638",19,0.166452,0,"cedar"
"639",13,0.166452,0,"cedar"
"640",11,0.166452,0,"red pine"
"641",16,0.166936,0,"cedar"
"642",18,0.166936,1,"cedar"
"643",13,0.166936,0,"cedar"
"644",13,0.166936,0,"cedar"
"645",23,0.166936,0,"paper birch"
"646",18,0.166936,0,"paper birch"
"647",23,0.166936,0,"paper birch"
"648",21,0.170198,0,"red pine"
"649",13,0.170198,0,"red pine"
"650",18,0.170198,0,"red pine"
"651",14,0.170198,0,"red maple"
"652",12,0.170198,0,"red maple"
"653",15,0.170198,0,"red maple"
"654",8,0.170198,0,"red maple"
"655",12,0.170198,0,"red maple"
"656",9,0.170198,0,"red maple"
"657",28,0.170545,0,"aspen"
"658",14,0.170545,0,"cedar"
"659",9,0.173236,0,"aspen"
"660",11.5,0.173236,0,"cedar"
"661",14.5,0.173236,0,"cedar"
"662",11,0.173236,0,"red pine"
"663",12,0.173236,0,"red pine"
"664",14,0.173236,0,"red pine"
"665",16,0.173383,0,"black spruce"
"666",7,0.173383,0,"black spruce"
"667",10,0.173383,0,"black spruce"
"668",30,0.173383,0,"red maple"
"669",22,0.173782,0,"aspen"
"670",31,0.173782,1,"cedar"
"671",10,0.173782,0,"red pine"
"672",8,0.174111,1,"black spruce"
"673",8,0.174111,1,"black spruce"
"674",7,0.174111,1,"black spruce"
"675",10,0.174111,1,"black spruce"
"676",6,0.174111,0,"black spruce"
"677",6,0.174869,0,"balsam fir"
"678",9,0.174869,0,"balsam fir"
"679",5,0.174869,0,"balsam fir"
"680",7,0.174869,0,"balsam fir"
"681",8,0.174869,0,"balsam fir"
"682",9,0.174869,0,"black spruce"
"683",8,0.174869,0,"cedar"
"684",6,0.174869,0,"cedar"
"685",5,0.174869,0,"jackpine"
"686",24,0.174869,0,"jackpine"
"687",27,0.174869,0,"jackpine"
"688",12,0.175609,0,"cedar"
"689",10,0.175609,0,"jackpine"
"690",14,0.175609,0,"jackpine"
"691",6,0.175609,0,"jackpine"
"692",13,0.175609,0,"jackpine"
"693",16,0.175609,0,"jackpine"
"694",6,0.175609,0,"jackpine"
"695",7,0.175609,0,"jackpine"
"696",20,0.176509,0,"aspen"
"697",21,0.176509,0,"aspen"
"698",20,0.176509,0,"aspen"
"699",23,0.176509,0,"aspen"
"700",22,0.176509,0,"aspen"
"701",23,0.176509,0,"aspen"
"702",21,0.176509,0,"aspen"
"703",12,0.176509,1,"cedar"
"704",21,0.176509,0,"cedar"
"705",14,0.176509,0,"cedar"
"706",11,0.176509,0,"red pine"
"707",10,0.176509,0,"red pine"
"708",12,0.176509,0,"red pine"
"709",7,0.176954,0,"black spruce"
"710",14,0.176954,1,"cedar"
"711",13,0.176954,0,"cedar"
"712",12,0.176954,0,"cedar"
"713",6,0.176954,0,"cedar"
"714",9,0.176954,0,"cedar"
"715",12,0.176954,0,"cedar"
"716",8,0.176954,1,"cedar"
"717",23,0.17722,0,"aspen"
"718",37,0.17722,0,"aspen"
"719",33,0.17722,0,"cedar"
"720",24,0.17722,0,"cedar"
"721",19,0.17722,0,"red pine"
"722",11,0.17722,0,"red maple"
"723",8,0.17722,0,"red maple"
"724",5,0.18105,1,"black spruce"
"725",5,0.18105,0,"black spruce"
"726",7,0.18105,1,"black spruce"
"727",5,0.18105,0,"black spruce"
"728",13,0.18105,1,"cedar"
"729",13,0.18105,1,"cedar"
"730",6,0.182465,0,"black spruce"
"731",5,0.182465,0,"black spruce"
"732",5,0.182465,0,"black spruce"
"733",5,0.182465,0,"black spruce"
"734",7,0.182465,0,"black spruce"
"735",5,0.182702,0,"jackpine"
