"","age","y","sex","family.name","status"
"Murphy_Simon_Peter",8,"survived","Male","Murphy-Foster-Pike","Family"
"Murphy_William_Green",10,"survived","Male","Murphy-Foster-Pike","Family"
"Pike_Catherine",1,"died","Female","Murphy-Foster-Pike","Family"
"Pike_Harriet_Frances_Murphy",18,"survived","Female","Murphy-Foster-Pike","Family"
"Pike_Naomi_Levina",2,"survived","Female","Murphy-Foster-Pike","Family"
"Pike_William_M.",25,"died","Male","Murphy-Foster-Pike","Family"
"Reed_James_Frazier",45,"survived","Male","Reed-Keyes","Family"
"Reed_James_Frazier_Jr.",6,"survived","Male","Reed-Keyes","Family"
"Reed_Margret_Wilson_Keyes_Backenstoe",32,"survived","Female","Reed-Keyes","Family"
"Reed_Martha_Jane",9,"survived","Female","Reed-Keyes","Family"
"Reed_Thomas_Keyes",4,"survived","Male","Reed-Keyes","Family"
"Reed_Virginia_Elizabeth_Backenstoe",13,"survived","Female","Reed-Keyes","Family"
"Wolfinger_Doris",20,"survived","Female","Wolfinger","Family"
"Wolfinger_Mr",NA,"died","Male","Wolfinger","Family"
"Burger_Charles",30,"died","Male","Hired","Hired"
"Denton_John",30,"died","Male","Hired","Hired"
"Salvador",NA,"died","Male","Hired","Hired"
"Shoemaker_Samuel",25,"died","Male","Hired","Hired"
"Smith_James",25,"died","Male","Hired","Hired"
"Snyder_John",25,"died","Male","Hired","Hired"
"Trudeau_Jean_Baptiste",16,"survived","Male","Hired","Hired"
"Williams_Baylis",25,"died","Male","Hired","Hired"
"Williams_Eliza",31,"survived","Female","Hired","Hired"
"Antonio",23,"died","Male","Hired","Hired"
"Dolan_Patrick",35,"died","Male","Single","Single"
"Halloran_Luke",25,"died","Male","Single","Single"
"Reinhardt_Joseph",30,"died","Male","Single","Single"
"Spitzer_Augustus",30,"died","Male","Single","Single"
"Stanton_Charles_Tyler",35,"died","Male","Single","Single"
