Price,Size
147.634,0.864
236.215,1.392
109.249,0.812
139.104,1.76
104.328,0.898
104.984,1.096
90.446,1.2
142.42,2.016
52.36,1.31
113.796,0.96
104.267,1.056
129.427,1.512
151.95,1.89
172.789,1.812
135.526,1.952
148.401,1.856
65.615,0.924
283.851,2.346
130.782,1.274
135.526,1.42
184.315,2.296
146.329,2.026
55.851,0.99
111.809,1.711
88.092,3.944
26.049,1.344
111.702,0.878
232.989,2.248
235.62,2.107
119.389,1.364
112.153,1.27
202.527,2.12
150.502,1.668
188.497,2.11
129.155,1.242
117.287,1.04
209.371,2.084
99.903,1.36
205.95,2.024
127.055,1.019
311.709,3.028
142.302,1.242
177.539,1.528
277.828,2.988
196.512,1.428
104.984,1.144
157.411,1.666
295.268,4.534
202.751,2.202
104.984,1.184
155.929,2.601
226.705,2.51
271.339,3.056
126.082,1.592
113.6,1.24
104.556,1.673
167.145,1.852
106.365,1.184
238.951,2.641
116.589,1.184
170.345,1.952
218.517,2.038
97.739,1.276
105.035,0.908
233.876,2.434
104.651,0.912
212.932,2.494
278.906,2.96
160.571,1.294
184.315,2.152
100.967,0.988
220.261,2.712
189.665,2.203
240.59,3.001
169.407,2.31
127.394,2.04
222.576,3.144
200.51,1.806
155.787,1.54
186.348,2.011
217.868,3.344
208.635,2.714
82.019,1.518
183.066,1.836
236.215,2.066
150.849,1.423
178.216,1.512
196.846,2.144
135.167,1.61
65.55,1.196
143.697,1.376
112.153,1.834
163.31,1.72
117.907,1.295
49.211,0.8
187.003,1.868
135.823,1.946
113.514,1.142
102.53,1.202
75.975,1.3
128.434,1.508
185.487,2.271
126.082,1.592
98.333,0.912
104.556,1.673
157.081,2.31
92.852,0.912
238.951,2.641
242.952,1.708
75.399,0.988
220.765,2.058
163.992,2.31
233.876,2.434
160.571,1.612
251.699,3.081
102.626,1.227
203.478,2.762
354.739,3.982
184.654,2.212
125.361,1.173
237.062,2.604
155.787,1.54
236.829,2.472
107.743,1.184
210.743,2.12
216.841,2.472
118.517,1.592
116.795,1.404
158.789,3.344
200.126,1.69
178.216,1.512
101.375,1.82
103.672,1.476
110.234,1.652
206.931,2.331
89.893,0.96
31.113,1.54
59.043,1.668
94.064,0.912
50.483,0.743
253.433,3.021
144.335,1.274
54.21,0.792
93.895,0.96
130.574,1.6
94.486,1.15
109.577,1.456
253.973,2.464
326.33,1.326
284.154,2.808
115.771,1.479
201.876,2.498
466.702,4.14
99.491,1.064
151.95,1.792
278.936,3.121
101.23,1.032
223.055,2.668
237.716,2.996
180.817,1.815
101.23,1.281
181.516,2.204
191.988,2.096
183.61,2.57
237.367,2.936
296.708,3.21
272.902,3.02
196.875,2.086
139.627,1.98
129.155,1.26
198.969,1.938
205.95,2.284
208.743,1.804
112.4,1.375
174.534,2.226
106.117,1.48
107.743,1.228
154.499,1.886
136.203,1.479
379.472,3.44
189.736,2.588
308.253,2.88
134.171,2.133
120.279,1.056
112.825,1.314
251.4,2.741
125.361,1.326
94.868,1.38
110.182,1.48
180.927,2.05
233.714,2.338
172.795,1.91
150.772,1.652
329.328,3.542
88.092,0.929
187.026,1.831
132.138,1.468
163.986,2.039
159.92,1.794
150.434,1.666
216.53,2.388
262.461,2.505
206.688,2.284
190.284,1.879
157.476,1.664
347.761,3.82
262.461,2.809
194.877,2.066
166.335,1.664
193.565,2.35
232.934,2.116
108.593,1.48
124.013,1.524
100.938,1.034
94.064,1.48
109.042,0.88
159.175,1.512
94.667,0.912
150.434,1.611
149.756,1.47
218.475,2.748
172.795,1.512
158.565,1.512
60.309,2.039
98.256,1.48
238.832,2.872
140.269,1.244
98.423,1.355
131.165,1.564
93.174,1.022
93.895,1.48
213.249,1.904
149.078,1.592
155.855,1.332
101.375,0.96
260.485,2.143
108.958,1.514
228.291,1.986
214.749,2.286
256.417,2.752
173.082,1.656
295.426,3.37
193.774,1.932
100.003,1.184
222.33,2.712
197.35,2.5
95.708,0.912
249.25,2.604
157.055,1.836
102.287,0.882
178.851,2.002
95.708,0.912
135.901,1.508
44.873,0.882
182.056,2.396
205.07,2.46
201.928,2.322
108.785,1.48
270.841,2.306
185.902,2.756
150.581,1.664
479.67,3.956
285.769,3.125
247.125,2.835
203.24,2.464
207.751,2.628
124.939,1.099
80.13,1.225
227.314,2.764
199.733,0.84
49.564,1.363
106.95,1.472
158.338,1.836
169.876,1.774
147.44,1.59
208.339,2.109
148.496,1.47
197.956,2.314
67.951,1.04
121.798,1.308
242.955,1.954
455.14,1.764
217.314,2.498
141.029,1.874
318.121,2.892
153.85,2.4
88.092,1.572
124.939,1.678
107.973,1.388
119.875,1.512
66.027,1.653
182.649,1.758
206.48,2.31
107.695,1.802
236.737,3.239
154.829,1.44
179.492,2.03
189.108,2.097
